mmsi,shipname
251478840,BLIDFARI
251485840,KUGGURSH1144
251486340,BODISH184
251488340,BRANARE28
251504240,HANNAST49
251525440,STAKKURGK180
251533740,STORMURBA198
251541240,HOLMARINNSH114
251549240,NORDURLJOSHF73
251559240,SVEINBJORGNS49
251566540,ISBJORNGK87
251568110,THJARKURINN
251575110,STADAREYSF15
251578110,BRYNJARBA338
251579110,SAEBJORNST68
251582240,GNYRHF515
251609000,TOGARINNRE23
251719110,FREYDIS
251795640,SOMISU644
251796640,OLIHU115
251800240,DIVAST18
251804340,MANIAK73
251808240,INGUNNSH312
251808340,ULFURAK25
251813340,RANNS44
251815340,MAGGIJONSIS38
251815440,HVALSASH127
251820110,EINARSIGURJONSSON
251820240,ASIRE52
251830110,GEIRIRE121
251837840,STEINUNNHF
251838240,BLIKISK15
251842240,VEDISSU32
251843840,GUDNY2
251848670,HERMANN
251850840,EMBLA
251851640,FRIGG
251851740,JESSICA
203017200,SOLACEW24602
203045200,MADARA
203091200,MITTE
203129300,HANGLOOSE
203138300,PASSION2
203147400,WIDAD
203149400,SYCLEVER
203151400,PANKAKOSKI
203156300,ALLOTRIA
203173300,PHOENIXO31088
203177400,SIGMA
203182400,MONAMI
203197200,PEGASUS2
203204300,ESPADA
203222300,ULEXVONTRIEST
203227300,LUMA
203234200,MANANA
203241300,LEILEI
203251300,SATORI
203255400,ISVIND
203262200,TANGAROA
203262300,CHRISTIANE
203263000,HERA6
203266200,GLORIA
203269400,MORRISTOWN
203271300,ANNAMARIA
203283400,INUBA
203288400,CICCICOCCO
203303200,BIMBO
203309300,LUCKY
203319300,DESIDERA
203328300,CHILLIBEE
203334100,TALIMNNIKO
203338300,AENEA
203351400,FILLETTE
203358200,WESTRELLA24795
203363300,EASYRIDER
203372100,PANGEA
203377300,SOUL
203379300,ALITO
203395400,MIMIN30929
203406300,MOINMOIN
203422300,AKILES
203432300,TRITON
203434300,MARYANN
203446200,RAPANUI
203456400,NORELAX
203473400,COLDPLAY
203480200,PLEAMAR5
203482200,SYKOSATKA
203488400,ELFINCOVE
203491400,JOHANNE
203501300,MAURITIUS
203503400,BRIDGET
203506400,NAVICULANOVA
203510200,ANNA2
203528200,BLUEFLAME
203536200,AURORA
203539400,ALLEGRO
203571200,TALOA
203571400,SARMANA
203576400,SYFELBA
203580200,TUKKE2
203597200,NONAME
203599200,VAQUITA
203614400,TAHAA1
203616400,TIMAIOS
203620100,BRIANI
203624200,FILOU
203628400,YIPPIEYEAH
203634200,JOSI
203648200,MAELA
203649200,SHAMBALA
203689400,GWYLAN
203694400,LISA
203698200,HULDA
203719100,NOAH
203748400,MARIEN30648
203756200,AMICIDELMARE
203760200,LYLU
203762400,LAVIDAN31783
203770200,QUOVADIS
203773200,KAIROS
203786100,BAZILLUS
203788100,SUNLIGHT
203808200,SILVERCURL
203826200,MOACIR
203836200,MODESTA
203839200,DESAFIO
203849200,ESCAPADA
203857400,SAYG1
203870200,DO
203875400,GINAH
203894200,BLUELADY
203896200,INGRID2
205004600,KNANTO
205006800,MERMAID
205020800,NELLYMATHILDE
205033200,GULLIVER
205033900,AMICA
205039800,ZWAAN
205047100,DELTA498
205050900,SCARAB
205053800,KUSTERA38
205054300,PEZE0
205057005,STANNASTRAND
205057017,STANNASTRAND
205058800,TILLYGREIG
205187000,DN141
205199947,DEJAVU
205205410,BILLY
205215700,BICOOL
205219310,ZANZIBAR
205221710,TRITON145
205223310,ARNIKA
205225410,JEANNY
205228310,AZUREE41
205230500,BOUNDLESSTOO
205235210,HINDRY
205235410,FOXY
205236100,THISTLE
205240100,MAREMCO
205241100,HALONG
205241610,MATAPALO
205246700,SAPOREDIMARE
205250810,BURO
205253000,SEADUCTION
205253010,SEADUCTION
205255310,JEFS
205261810,PIEDSDANSLEAU
205262810,HELENA
205263410,ZELDA
205263910,ELGLIS
205264510,CELESTIAL
205267610,ALEGRIA
205268500,TWINKLE
205281600,JEANMARGUERITE
205282500,SEADUCTION
205293700,SANTANDER
205297200,DRUNKENDUCK
205305010,SAUVAGE
205309410,MYWAYKETCHPIEDS53
205309700,SUKA
205311110,SINOE
205312210,FELICITY2
205324210,LENNY
205330310,LUCIA
205335710,TETHYS
205339600,LABELLEROSSELLE
205340910,BENZAI
205348210,SEANRJ
205348300,MANEA
205351710,JAKKER
205354110,ARTE
205354410,TARA
205354710,CARISSIMA
205360910,CARAMBA
205363600,MUCHKA
205364510,CWILD
205368010,NAMASTE2
205370310,BARRA
205371610,GRINITI
205381300,FREEBIRD
205382610,ADESSO
205390900,LIKEDOLPHINS
205397800,CONCORDE
205403700,ILUMARA
205403910,OUNBASS
205405810,BOYUR
205406000,SAFMARINENIMBA
205416410,GLADEYE
205418000,LOWLANDSPROSPERITY
205419000,LOWLANDSBRILLIANCE
205423010,BREEZY
205423710,LABELLEBLANCHE
205430810,PEGASE
205439200,INNOUT
205443600,CARATB
205448700,ALFO
205453600,CHAOS
205460110,BLUES
205463710,LOBSTER
205468400,LOVELY
205468710,STIENEKEN
205470810,CATTLEYAWAVE
205477510,GUAN
205478900,BLUETHISTLE
205481610,CARATI
205484810,ORION
205493010,JAG3
205497710,MOANA
205500010,LUPERON
205502310,VRAC
205507910,MOANA
205516110,ISSEO
205517010,LAMOUETTE
205518410,SALMON
205521200,DANAIDA
205524710,ELIBRA
205528210,MOANA
205531510,VAGABOND
205532710,MYBELLALUNA2
205533010,AEGIR
205535810,LAVENTURA
205538210,HAMILI
205541910,LANGXA5
205546300,RENEE
205564600,BLACKFIN
205565310,GARLANDS
205565610,ANAIS
205565810,AMARILYS
