"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","NPS_LANDED_WEIGHT_MTONS","NPS_LANDED_WEIGHT_PPP","NPS_EXVESSEL_REVENUE","NPS_CONFIDENTIAL_FLAG","SPS_LANDED_WEIGHT_MTONS","SPS_LANDED_WEIGHT_PPP","SPS_EXVESSEL_REVENUE","SPS_CONFIDENTIAL_FLAG","CWA_LANDED_WEIGHT_MTONS","CWA_LANDED_WEIGHT_PPP","CWA_EXVESSEL_REVENUE","CWA_CONFIDENTIAL_FLAG","CLW_LANDED_WEIGHT_MTONS","CLW_LANDED_WEIGHT_PPP","CLW_EXVESSEL_REVENUE","CLW_CONFIDENTIAL_FLAG","WA5_LANDED_WEIGHT_MTONS","WA5_LANDED_WEIGHT_PPP","WA5_EXVESSEL_REVENUE","WA5_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1981","W","GRND","MGRN","SPINY DOGFISH","DSRK",1782.2,.09,347202,"",82.3,.09,17052,"",192.5,.09,37372,"",,,,"*",,,,"",2057,,401626,"*"
"1981","W","GRND","MGRN","SPOTTED RATFISH","RATF",44.1,.02,1890,"",,,,"",,,,"",,,,"",,,,"",44.1,,1890,""
"1981","W","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"1981","W","GRND","MGRN","UNSP. SKATE","USKT",29.8,.12,8033,"",2.4,.22,1158,"",,,,"*",,,,"*",,,,"",32.2,,9191,"*"
"1981","W","GRND","ROCK","BOCACCIO","BCAC",30.3,.17,11195,"",4.2,.16,1518,"",5.2,.16,1866,"",,,,"*",,,,"",39.7,,14579,"*"
"1981","W","GRND","ROCK","BLACK ROCKFISH","BLCK",23.9,.17,8752,"",6.4,.17,2412,"",93,.16,32739,"",,,,"*",,,,"",123.3,,43903,"*"
"1981","W","GRND","ROCK","CHILIPEPPER ROCKFISH","CLPR",1.5,.16,543,"",,,,"*",,,,"*",,,,"",,,,"",1.5,,543,"*"
"1981","W","GRND","ROCK","CANARY ROCKFISH","CNRY",226.9,.16,80122,"",46.7,.16,16512,"",151.6,.16,52500,"",,,,"*",,,,"",425.2,,149134,"*"
"1981","W","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",19.8,.16,6975,"",7.5,.17,2733,"",6.2,.16,2230,"",,,,"*",,,,"",33.5,,11938,"*"
"1981","W","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",1.9,.16,685,"",,,,"*",,,,"*",,,,"*",,,,"",1.9,,685,"*"
"1981","W","GRND","ROCK","PACIFIC OCEAN PERCH","POP",177.8,.16,62863,"",73.4,.17,26941,"",68.3,.16,24280,"",,,,"*",,,,"",319.5,,114084,"*"
"1981","W","GRND","ROCK","REDBANDED ROCKFISH","RDBD",9.7,.16,3494,"",.8,.18,314,"",8,.17,2894,"",,,,"*",,,,"",18.5,,6702,"*"
"1981","W","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",91.1,.16,33063,"",28,.16,10120,"",130.1,.16,46012,"",,,,"*",,,,"",249.2,,89195,"*"
"1981","W","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",9.4,.16,3222,"",1.1,.17,420,"",3.3,.15,1059,"",,,,"*",,,,"",13.8,,4701,"*"
"1981","W","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",4.6,.17,1688,"",.9,.17,321,"",4.6,.17,1725,"",,,,"*",,,,"",10.1,,3734,"*"
"1981","W","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",103.3,.17,37900,"",14.7,.17,5498,"",20.1,.16,7184,"",,,,"*",,,,"",138.1,,50582,"*"
"1981","W","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",28.4,.16,10106,"",6.7,.16,2431,"",2.5,.14,775,"",,,,"*",,,,"",37.6,,13312,"*"
"1981","W","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",5.2,.16,1847,"",4.1,.14,1310,"",1.3,.14,376,"",,,,"*",,,,"",10.6,,3533,"*"
"1981","W","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",27.8,.16,9992,"",8.9,.17,3373,"",16,.16,5534,"",,,,"*",,,,"",52.7,,18899,"*"
"1981","W","GRND","ROCK","UNSP. POP GROUP","UPOP",33.2,.16,11710,"",9.8,.18,3879,"",6.5,.17,2450,"",,,,"*",,,,"",49.5,,18039,"*"
"1981","W","GRND","ROCK","UNSP. ROCKFISH","URCK",189.8,.19,80880,"",96.9,.31,65756,"",414.1,.15,132557,"",257.6,.15,85750,"",,,,"",958.4,,364943,""
"1981","W","GRND","ROCK","WIDOW ROCKFISH","WDOW",622.3,.17,226562,"",,,,"*",3334.4,.14,1065848,"",,,,"*",,,,"",3956.7,,1292410,"*"
"1981","W","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",1.8,.16,639,"",,,,"*",.4,.15,115,"",,,,"*",,,,"",2.2,,754,"*"
"1981","W","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",,,,"*",,,,"*",2.4,.17,877,"",,,,"*",,,,"",2.4,,877,"*"
"1981","W","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",1736.4,.16,628412,"",654.3,.16,231578,"",1633.9,.15,551401,"",,,,"*",,,,"",4024.6,,1411391,"*"
"1981","W","GRND","ROND","LINGCOD","LCOD",388.6,.25,215228,"",119.6,.28,74932,"",417.5,.21,196136,"",79.1,.21,37388,"",,,,"",1004.8,,523684,""
"1981","W","GRND","ROND","PACIFIC COD","PCOD",2014.5,.19,822609,"",301.9,.2,130711,"",63.4,.21,29455,"",15.7,.21,7217,"",,,,"",2395.5,,989992,""
"1981","W","GRND","ROND","WALLEYE POLLOCK","PLCK",713.1,.1,152383,"",11.1,.1,2465,"",,,,"",,,,"",,,,"",724.2,,154848,""
