"LANDING_YEAR","PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","FIRST_QTR_LANDED_WEIGHT_MTONS","FIRST_QTR_EXVESSEL_REVENUE","FIRST_QTR_LANDED_PPP","FIRST_QTR_NUMBER_OF_VESSELS","FIRST_QTR_NUMBER_OF_DEALERS","FIRST_QTR_CONFIDENTIAL_FLAG","SECOND_QTR_LANDED_WEIGHT_MTONS","SECOND_QTR_EXVESSEL_REVENUE","SECOND_QTR_LANDED_PPP","SECOND_QTR_NUMBER_OF_VESSELS","SECOND_QTR_NUMBER_OF_DEALERS","SECOND_QTR_CONFIDENTIAL_FLAG","THIRD_QTR_LANDED_WEIGHT_MTONS","THIRD_QTR_EXVESSEL_REVENUE","THIRD_QTR_LANDED_PPP","THIRD_QTR_NUMBER_OF_VESSELS","THIRD_QTR_NUMBER_OF_DEALERS","THIRD_QTR_CONFIDENTIAL_FLAG","FOURTH_QTR_LANDED_WEIGHT_MTONS","FOURTH_QTR_EXVESSEL_REVENUE","FOURTH_QTR_LANDED_PPP","FOURTH_QTR_NUMBER_OF_VESSELS","FOURTH_QTR_NUMBER_OF_DEALERS","FOURTH_QTR_CONFIDENTIAL_FLAG"
"1996","CMCK","CHUB MACKEREL",3017.74,337598.99,.05,106,62," ",770.3,127088.64,.07,101,54," ",3581.33,500529.89,.06,110,61," ",2291.61,330101.46,.07,94,56," "
"1996","JMCK","JACK MACKEREL",1190.98,145588.57,.06,24,10," ",550.54,61996.35,.05,49,18," ",471.05,54085.97,.05,46,19," ",221.92,42920.97,.09,29,17," "
"1996","MSQD","MARKET SQUID",28396.55,7189324.72,.11,88,33," ",3462.1,937151.86,.12,56,20," ",3894.78,1155572.94,.13,54,26," ",44895.54,12613770.52,.13,108,36," "
"1996","NANC","NORTHERN ANCHOVY",118.27,40724.34,.16,9,8," ",3210.18,371813.78,.05,32,24," ",996.06,203887.61,.09,17,17," ",180.5,84004.23,.21,12,12," "
"1996","PSDN","PACIFIC SARDINE",9976.7,858506.91,.04,37,14," ",6391.38,675647.24,.05,40,22," ",4747.89,712064.99,.07,32,17," ",11437.12,905491.15,.04,47,22," "
"1996","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,3,2,"*",8.04,1914.75,.11,5,3," ",1.45,798,.25,3,3," "
"1996","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",0,0,0,,," "
"1996 TOTAL","","",42700.23,8571743.53,.09,,," ",14384.5,2173697.87,.07,,,"*",13699.14,2628056.15,.09,,," ",59028.14,13977086.33,.11,,," "
"1997","CMCK","CHUB MACKEREL",2971.72,420946.54,.06,94,54," ",506.87,89803.8,.08,115,57," ",5009.18,542802.79,.05,121,68," ",11515.16,1705468.17,.07,85,51," "
"1997","JMCK","JACK MACKEREL",631.21,142532.5,.1,28,17," ",127.11,21234.75,.08,46,18," ",586.81,40662.65,.03,63,27," ",188.33,42732.37,.1,13,11," "
"1997","MSQD","MARKET SQUID",60472.85,17251484.2,.13,106,38," ",7699.93,2531642.48,.15,72,31," ",1844.54,750573.65,.18,52,23," ",433.61,166945.96,.17,61,21," "
"1997","NANC","NORTHERN ANCHOVY",126.18,21851.54,.08,12,10," ",3948.19,339381.67,.04,24,21," ",1614.77,432308.93,.12,23,17," ",88.05,18038.12,.09,7,5," "
"1997","PSDN","PACIFIC SARDINE",6448.46,630051.93,.04,35,17," ",4079.57,332607.29,.04,29,16," ",9626.24,747990.66,.04,60,25," ",23135.09,2730060.91,.05,58,27," "
"1997","UMCK","UNSP. MACKEREL",.26,218.1,.38,6,5," ",2.52,1381.8,.25,16,10," ",154.82,18552.64,.05,11,8," ",2.63,1587.9,.27,17,16," "
"1997 TOTAL","","",70650.68,18467084.82,.12,,," ",16364.19,3316051.78,.09,,," ",18836.35,2532891.32,.06,,," ",35362.88,4664833.43,.06,,," "
"1998","CMCK","CHUB MACKEREL",4035.09,522316.68,.06,75,48," ",2381.03,272472,.05,96,48," ",8146.46,1008424.09,.06,151,74," ",6948.42,731825.13,.05,93,53," "
"1998","JMCK","JACK MACKEREL",198.03,79006.08,.18,27,17," ",310.13,77589.29,.11,58,28," ",931.67,122999.82,.06,60,31," ",336.99,101270.31,.14,32,17," "
"1998","MSQD","MARKET SQUID",32.45,23991.03,.34,30,20," ",4.68,1866.75,.18,21,8," ",76.66,58134.94,.34,33,19," ",2789.51,1543372.68,.25,82,40," "
"1998","NANC","NORTHERN ANCHOVY",3.84,2142.4,.25,3,3," ",670.21,73705.55,.05,19,17," ",756.57,136038.75,.08,19,17," ",129.08,33245.49,.12,9,10," "
"1998","PSDN","PACIFIC SARDINE",13228.83,1181106.82,.04,41,21," ",8947.3,789833.94,.04,37,24," ",2222.08,165138.15,.03,40,33," ",18776.04,1480654.81,.04,50,32," "
"1998","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,4,2,"*",,,,4,2,"*",,,,2,2,"*"
"1998","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",,,,,,"*",,,,,,"*"
"1998 TOTAL","","",17498.25,1808563.01,.05,,," ",12313.34,1215467.53,.04,,,"*",12133.43,1490735.75,.06,,,"*",28980.04,3890368.42,.06,,,"*"
"1999","CMCK","CHUB MACKEREL",5213.96,573168.36,.05,68,35," ",390.46,46063.92,.05,59,25," ",2422.69,344027.98,.06,83,40," ",919.55,125277.21,.06,37,16," "
"1999","JMCK","JACK MACKEREL",312.07,61473.4,.09,17,10," ",377.91,70712.53,.08,47,18," ",675.03,25028.35,.02,54,23," ",188.12,40619.38,.1,17,13," "
"1999","MSQD","MARKET SQUID",7749.66,3719875.23,.22,95,34," ",22104.86,13830393.58,.28,99,31," ",2996.59,1329674.89,.2,63,28," ",59062.03,13967460.21,.11,112,37," "
"1999","NANC","NORTHERN ANCHOVY",1159.3,96394.78,.04,23,14," ",729.67,204733.67,.13,26,16," ",1994.54,270985.95,.06,23,23," ",1393.2,287748.28,.09,18,11," "
"1999","PSDN","PACIFIC SARDINE",26909.94,2074821.23,.03,51,21," ",4519.61,437641.96,.04,43,27," ",14420.45,1290612.06,.04,52,29," ",14418.99,1153375.47,.04,53,20," "
"1999","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,3,2,"*",46.39,4282.36,.04,11,6," ",,,,1,1,"*"
"1999","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",,,,,,"*"
"1999 TOTAL","","",41344.93,6525732.99,.07,,," ",28122.51,14589545.64,.24,,,"*",22555.68,3264611.59,.07,,," ",75981.88,15574480.55,.09,,,"*"
"2000","CMCK","CHUB MACKEREL",742.43,136042.46,.08,39,26," ",2425.33,376400.26,.07,68,37," ",17079.71,2180932.56,.06,102,47," ",1744.63,227956.49,.06,55,28," "
"2000","JMCK","JACK MACKEREL",240.71,56188.13,.11,17,11," ",768.88,136621.53,.08,77,37," ",254.03,35520.72,.06,60,29," ",186.89,28257.02,.07,15,11," "
"2000","MSQD","MARKET SQUID",31227.37,6958056.61,.1,103,30," ",15209.9,3877868.18,.12,84,34," ",5482.54,1407364.82,.12,70,28," ",66889.34,14860492.71,.1,110,34," "
"2000","NANC","NORTHERN ANCHOVY",2867.57,407986.05,.06,26,15," ",2961.96,317785.11,.05,24,17," ",1160.64,207728.21,.08,18,16," ",4842.01,467899.25,.04,24,13," "
"2000","PSDN","PACIFIC SARDINE",24514.71,2642248.18,.05,51,22," ",7551.89,718092.77,.04,50,22," ",23587.32,2474271.16,.05,61,26," ",12327.23,1258166.97,.05,60,22," "
"2000","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,2,1,"*",,,,9,2,"*",,,,1,1,"*"
"2000","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",,,,,,"*",,,,,,"*"
"2000 TOTAL","","",59592.79,10200521.43,.08,,," ",28917.96,5426767.84,.09,,,"*",47564.24,6305817.47,.06,,,"*",85990.1,16842772.45,.09,,,"*"
"2001","CMCK","CHUB MACKEREL",591.76,74576.28,.06,38,20," ",58.74,22405.69,.17,56,38," ",4623.51,704748.67,.07,91,46," ",1972.42,295079.09,.07,58,33," "
"2001","JMCK","JACK MACKEREL",531.17,86855.96,.07,22,10," ",1597.2,233986.55,.07,49,21," ",1053.53,147669.74,.06,53,18," ",669.97,101230.92,.07,17,7," "
"2001","MSQD","MARKET SQUID",25247.44,4011691.4,.07,94,36," ",9520.16,1836006.67,.09,79,27," ",10048.09,2357011.04,.11,64,27," ",41569.43,8757124.72,.1,81,21," "
"2001","NANC","NORTHERN ANCHOVY",4330.74,292630.87,.03,28,15," ",12518.12,807666.88,.03,36,17," ",2155.17,300686.77,.06,24,16," ",340.55,32516.73,.04,17,10," "
"2001","PSDN","PACIFIC SARDINE",21494.95,2363275.24,.05,54,19," ",9203.86,1012548.35,.05,50,24," ",31417.61,3395926.98,.05,75,32," ",13683.79,2139081.2,.07,60,22," "
"2001","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,6,2,"*",341.36,36768.05,.05,22,8," ",.41,448.04,.5,5,4," "
"2001","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",0,0,0,,," "
"2001 TOTAL","","",52196.06,6829029.75,.06,,," ",32898.07,3912614.13,.05,,,"*",49639.28,6942811.24,.06,,," ",58236.57,11325480.7,.09,,," "
"2002","CMCK","CHUB MACKEREL",403.22,71685.18,.08,52,22," ",820.67,99797.5,.06,44,25," ",1183.56,172060.33,.07,52,24," ",1085.68,145449.68,.06,32,15," "
"2002","JMCK","JACK MACKEREL",163.42,27451.1,.08,25,9," ",407.66,65626.08,.07,35,16," ",397.55,98783.21,.11,52,21," ",55.45,11697.63,.1,10,7," "
"2002","MSQD","MARKET SQUID",32184,7268839.97,.1,96,27," ",18729.17,5053765.41,.12,73,28," ",7072.01,1789251.8,.11,40,18," ",14893.66,4139834.42,.13,85,34," "
"2002","NANC","NORTHERN ANCHOVY",1975.29,144094.95,.03,24,9," ",1126.28,167186.9,.07,28,18," ",1501.52,274886.38,.08,27,17," ",272.13,37110.24,.06,14,11," "
"2002","PSDN","PACIFIC SARDINE",17974.37,1717972.46,.04,54,16," ",10165.13,1085612.01,.05,55,24," ",49120.16,5544542.59,.05,68,31," ",19636.03,2015506.58,.05,57,25," "
"2002","UMCK","UNSP. MACKEREL",1.37,1292.25,.43,6,6," ",.18,122.95,.32,6,5," ",238.12,28111.91,.05,20,7," ",10.28,1383.15,.06,4,3," "
"2002 TOTAL","","",52701.67,9231335.91,.08,,," ",31249.08,6472110.84,.09,,," ",59512.92,7907636.22,.06,,," ",35953.23,6350981.69,.08,,," "
"2003","CMCK","CHUB MACKEREL",279.21,41251.54,.07,39,18," ",133.83,26852.28,.09,29,19," ",2401.7,354506,.07,41,23," ",1344.48,219703.01,.07,34,18," "
"2003","JMCK","JACK MACKEREL",27.33,6008.48,.1,8,6," ",48.35,16838.9,.16,34,12," ",69.64,2522.23,.02,38,17," ",86.16,30844.18,.16,21,8," "
"2003","MSQD","MARKET SQUID",1959.12,1007742.67,.23,51,23," ",5631.92,3130643.6,.25,85,33," ",9098.47,5109419.58,.25,72,33," ",28383.19,16135681.36,.26,107,30," "
"2003","NANC","NORTHERN ANCHOVY",312.4,33444.49,.05,12,10," ",687.46,128378.8,.08,22,16," ",313.77,120902.39,.17,13,13," ",614.95,59026.26,.04,11,11," "
"2003","PSDN","PACIFIC SARDINE",19083.26,1507515.34,.04,49,21," ",5013.33,378915.97,.03,35,25," ",39278.89,4377343.15,.05,60,32," ",8533.72,768169.64,.04,57,31," "
"2003","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,1,1,"*",52.24,7188.6,.06,15,3," ",,,,2,2,"*"
"2003","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",,,,,,"*"
"2003 TOTAL","","",21661.32,2595962.5,.05,,," ",11514.88,3681629.54,.15,,,"*",51214.72,9971881.95,.09,,," ",38962.5,17213424.43,.2,,,"*"
"2004","CMCK","CHUB MACKEREL",630.69,80823.93,.06,35,23," ",68.99,18294.85,.12,20,15," ",1075.93,190078.7,.08,60,33," ",1900.78,273102.42,.07,37,17," "
"2004","JMCK","JACK MACKEREL",593.43,166727.72,.13,18,6," ",166.3,32530.1,.09,20,13," ",222.61,25311.7,.05,47,12," ",177.66,27004.71,.07,16,6," "
"2004","MSQD","MARKET SQUID",11761.14,4682338.88,.18,92,25," ",10178.13,5341852.57,.24,75,24," ",2426.74,1207891.13,.23,53,23," ",16679.34,8971796.53,.24,84,19," "
"2004","NANC","NORTHERN ANCHOVY",1304.14,118115.96,.04,12,7," ",3621.22,335903.65,.04,19,14," ",1483.26,297775.65,.09,23,15," ",610.31,67374.23,.05,15,8," "
"2004","PSDN","PACIFIC SARDINE",10559.12,1075958.33,.05,43,17," ",7487.71,785269.58,.05,43,24," ",51510.01,6193304.56,.05,66,28," ",19792.64,1723631.05,.04,64,27," "
"2004","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,1,1,"*",22.27,2343.22,.05,16,7," ",,,,3,2,"*"
"2004","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",,,,,,"*"
"2004 TOTAL","","",24848.52,6123964.81,.11,,," ",21522.35,6513850.75,.14,,,"*",56740.82,7916704.95,.06,,," ",39160.73,11062908.93,.13,,,"*"
"2005","CMCK","CHUB MACKEREL",245.78,44534.1,.08,31,17," ",716.99,129808.11,.08,29,21," ",1738.57,260886.05,.07,73,42," ",878.09,133643.67,.07,55,27," "
"2005","JMCK","JACK MACKEREL",51.43,11326.62,.1,15,9," ",57.82,17784.3,.14,38,18," ",129.81,28532.4,.1,47,20," ",40.65,3725.07,.04,6,3," "
"2005","MSQD","MARKET SQUID",20323.15,10696923.62,.24,78,25," ",1719.62,930282.13,.25,34,20," ",2203.96,1216599.49,.25,55,25," ",31507.21,18626730.26,.27,92,27," "
"2005","NANC","NORTHERN ANCHOVY",1279.55,115859.21,.04,13,6," ",6014.43,563477.53,.04,27,21," ",2638.86,324228.48,.06,29,23," ",1481.13,123463.72,.04,18,13," "
"2005","PSDN","PACIFIC SARDINE",6843.62,639543.45,.04,28,15," ",7498.15,712423.62,.04,44,29," ",56439.29,6909427.51,.06,72,38," ",15682.14,1570087.33,.05,56,27," "
"2005","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,4,2,"*",,,,4,2,"*",0,0,0,0,0," "
"2005","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",,,,,,"*",0,0,0,,," "
"2005 TOTAL","","",28743.52,11508186.99,.18,,," ",16007.01,2353775.68,.07,,,"*",63150.5,8739673.91,.06,,,"*",49589.21,20457650.05,.19,,," "
"2006","CMCK","CHUB MACKEREL",538,68339.83,.06,45,21," ",650.56,81702.3,.06,37,24," ",1805.51,243429.72,.06,68,43," ",3562.26,474041.23,.06,54,34," "
"2006","JMCK","JACK MACKEREL",338.49,76666.72,.1,19,9," ",601.66,79719.61,.06,40,18," ",39.15,10155.61,.12,51,22," ",194.48,32751.09,.08,16,11," "
"2006","MSQD","MARKET SQUID",38156.81,21026216.08,.25,95,28," ",3285.69,1765853.6,.24,43,24," ",3194.83,1745458.38,.25,46,24," ",4548.14,2426348.07,.24,64,27," "
"2006","NANC","NORTHERN ANCHOVY",1117.21,92558.74,.04,17,12," ",7386.36,537869.06,.03,21,15," ",1651.17,241433.58,.07,18,13," ",2803.12,460557.14,.07,15,11," "
"2006","PSDN","PACIFIC SARDINE",9598.94,1281775.23,.06,39,14," ",7522.62,707766.91,.04,35,25," ",38489.72,3947562.31,.05,56,31," ",30997.34,3345451.72,.05,50,30," "
"2006","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,8,2,"*",,,,12,2,"*",,,,3,2,"*"
"2006","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",,,,,,"*",,,,,,"*"
"2006 TOTAL","","",49749.46,22545556.59,.21,,," ",19446.88,3172911.48,.07,,,"*",45180.38,6188039.59,.06,,,"*",42105.34,6739149.23,.07,,,"*"
"2007","CMCK","CHUB MACKEREL",1100.66,147606.13,.06,37,24," ",414.54,60877.08,.07,45,26," ",2879.72,450012.2,.07,86,38," ",1358.3,188989.86,.06,42,25," "
"2007","JMCK","JACK MACKEREL",61.55,17542.94,.13,9,5," ",307.34,69867.64,.1,34,19," ",152.47,34391.98,.1,54,22," ",123.06,23277.9,.09,23,10," "
"2007","MSQD","MARKET SQUID",23800.61,12818451.35,.24,77,28," ",351.78,207383.6,.27,21,18," ",671.23,424028.03,.29,31,17," ",24651.37,15646496.93,.29,72,21," "
"2007","NANC","NORTHERN ANCHOVY",2987.94,285957.68,.04,29,17," ",6321.42,652085.66,.05,26,14," ",1164.62,179550.52,.07,22,11," ",69.23,18123.64,.12,8,6," "
"2007","PSDN","PACIFIC SARDINE",17880.76,2223501.5,.06,47,20," ",16577.93,1870391.66,.05,47,27," ",66377.9,6722045.87,.05,64,36," ",26951.35,2442490.52,.04,47,22," "
"2007","UMCK","UNSP. MACKEREL",,,,2,2,"*",.08,60.5,.36,5,4," ",5.22,597.13,.05,20,9," ",,,,2,2,"*"
"2007","XXXX Subtotal","",,,,,,"*",0,0,0,,," ",0,0,0,,," ",,,,,,"*"
"2007 TOTAL","","",45831.52,15493059.58,.15,,,"*",23973.09,2860666.14,.05,,," ",71251.17,7810625.71,.05,,," ",53153.31,18319378.84,.16,,,"*"
"2008","CMCK","CHUB MACKEREL",821.64,127452.45,.07,33,16," ",1263.93,258785.58,.09,28,17," ",1179.93,243963.31,.09,59,29," ",327.74,65647.01,.09,30,18," "
"2008","JMCK","JACK MACKEREL",100.84,16189.6,.07,16,10," ",69.31,19916.43,.13,13,9," ",137.01,12537.19,.04,61,25," ",14.91,5009.5,.15,5,5," "
"2008","MSQD","MARKET SQUID",20262.33,13158022.3,.29,80,18," ",1526.83,1153462.81,.34,36,20," ",5071.19,3780137.4,.34,45,20," ",11239.97,8365144.91,.34,59,16," "
"2008","NANC","NORTHERN ANCHOVY",2076.58,198305.15,.04,19,7," ",7419.8,685934.5,.04,33,19," ",974.14,179433.58,.08,29,15," ",4176.26,583566.05,.06,11,8," "
"2008","PSDN","PACIFIC SARDINE",14517.92,1502504.25,.05,42,14," ",12124.8,1418767.64,.05,36,16," ",60460.99,11653594.03,.09,85,33," ",85.28,5360.34,.03,25,11," "
"2008","UMCK","UNSP. MACKEREL",,,,1,1,"*",.2,156.87,.36,5,5," ",3.67,1033.05,.13,14,7," ",,,,2,2,"*"
"2008","XXXX Subtotal","",,,,,,"*",0,0,0,,," ",0,0,0,,," ",,,,,,"*"
"2008 TOTAL","","",37779.3,15002473.74,.18,,,"*",22404.86,3537023.84,.07,,," ",67826.93,15870698.55,.11,,," ",15844.16,9024727.81,.26,,,"*"
"2009","CMCK","CHUB MACKEREL",646.13,99592.71,.07,35,19," ",2133.04,494288.56,.11,25,17," ",2084.15,457673.33,.1,55,26," ",269.62,41506.19,.07,35,15," "
"2009","JMCK","JACK MACKEREL",30.5,5782.35,.09,12,8," ",12.65,3963.1,.14,34,15," ",20.86,4602.83,.1,30,20," ",57.08,3682.56,.03,15,9," "
"2009","MSQD","MARKET SQUID",18581.46,14111523.15,.34,83,16," ",2884.65,2111646.44,.33,50,18," ",16783.3,11232212.39,.3,55,15," ",54856.76,29417899.47,.24,86,21," "
"2009","NANC","NORTHERN ANCHOVY",1669.4,193286.56,.05,24,11," ",860.06,111369.96,.06,13,11," ",938.25,169752.71,.08,36,13," ",23.96,4469.3,.08,17,6," "
"2009","PSDN","PACIFIC SARDINE",20291.69,2818729.5,.06,48,13," ",39.52,5463.4,.06,28,17," ",46577.63,9598417.52,.09,92,33," ",174.81,5254.43,.01,43,13," "
"2009","UMCK","UNSP. MACKEREL",1.07,356.64,.15,3,3," ",,,,2,2,"*",3.52,1166.1,.15,12,3," ",,,,2,2,"*"
"2009","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",0,0,0,,," ",,,,,,"*"
"2009 TOTAL","","",41220.25,17229270.91,.19,,," ",5929.91,2726731.45,.21,,,"*",66407.72,21463824.87,.15,,," ",55382.23,29472811.95,.24,,,"*"
"2010","CMCK","CHUB MACKEREL",92.14,32528.29,.16,26,12," ",566.58,135846.31,.11,27,18," ",1109.72,222574.22,.09,45,23," ",338.19,23263.31,.03,42,14," "
"2010","JMCK","JACK MACKEREL",11.85,1521.01,.06,11,6," ",112.47,30930.41,.12,14,9," ",131.89,24814.12,.09,38,17," ",57.45,5361.25,.04,36,16," "
"2010","MSQD","MARKET SQUID",10391.6,5416730.9,.24,85,19," ",6314.01,3477465.15,.25,40,19," ",15995.54,8629886.06,.24,63,20," ",98151.1,53635078.82,.25,95,23," "
"2010","NANC","NORTHERN ANCHOVY",,,,3,2,"*",58.33,19874.6,.15,9,6," ",492.03,182775.11,.17,24,14," ",664.57,299538.32,.2,14,13," "
"2010","PSDN","PACIFIC SARDINE",12586.7,1647353.93,.06,35,14," ",10708.91,1632991.3,.07,48,27," ",42979.28,8953963.39,.09,81,34," ",638.08,7714.32,.01,43,11," "
"2010","UMCK","UNSP. MACKEREL",,,,1,1,"*",,,,2,2,"*",,,,6,2,"*",,,,1,1,"*"
"2010","XXXX Subtotal","",,,,,,"*",,,,,,"*",,,,,,"*",,,,,,"*"
"2010 TOTAL","","",23082.29,7098134.12,.14,,,"*",17760.3,5297107.77,.14,,,"*",60708.46,18014012.9,.13,,,"*",99849.39,53970956.02,.25,,,"*"
"2011","CMCK","CHUB MACKEREL",569.48,117700.87,.09,21,7," ",69.61,34012.99,.22,23,13," ",634.69,144669.51,.1,49,20," ",90.72,30781.6,.15,25,12," "
"2011","JMCK","JACK MACKEREL",,,,3,1,"*",.35,304.5,.39,7,4," ",73.79,9366.52,.06,51,20," ",25.23,8561.15,.15,21,12," "
"2011","MSQD","MARKET SQUID",785.28,493877.59,.29,39,12," ",8001.63,4303430.02,.24,49,17," ",28550.53,15531138,.25,75,23," ",84175.37,46190340.05,.25,116,23," "
"2011","NANC","NORTHERN ANCHOVY",1214.15,212956.03,.08,15,10," ",578.01,128077.99,.1,9,8," ",246.46,130677.68,.24,10,9," ",742.93,185384.2,.11,20,7," "
"2011","PSDN","PACIFIC SARDINE",15185.67,2382161.06,.07,37,12," ",54.17,25062.54,.21,11,8," ",31474.32,7548322.3,.11,74,28," ",31.23,3293.42,.05,21,8," "
"2011","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,1,1,"*",.04,25.8,.33,5,4," ",,,,2,2,"*"
"2011","XXXX Subtotal","",,,,,,"*",,,,,,"*",0,0,0,,," ",,,,,,"*"
"2011 TOTAL","","",17754.58,3206695.55,.08,,,"*",8703.78,4490888.04,.23,,,"*",60979.83,23364199.81,.17,,," ",85065.48,46418360.42,.25,,,"*"
"2012","CMCK","CHUB MACKEREL",381.3,122926.04,.15,31,16," ",769.7,170887.88,.1,38,20," ",3308.23,531540.28,.07,68,25," ",1539.48,390672.41,.12,59,26," "
"2012","JMCK","JACK MACKEREL",,,,5,2,"*",8.92,2851.72,.14,16,10," ",119.97,13532.11,.05,57,22," ",117.49,19006.43,.07,38,14," "
"2012","MSQD","MARKET SQUID",1622.67,1217839.43,.34,53,12," ",1360.92,849588.63,.28,22,14," ",39004.98,25460169.56,.3,88,26," ",55727.79,36380354.73,.3,107,28," "
"2012","NANC","NORTHERN ANCHOVY",1558.42,210241.35,.06,9,8," ",797.11,122284.58,.07,13,11," ",262.95,76999.34,.13,18,8," ",58.24,12929.47,.1,10,5," "
"2012","PSDN","PACIFIC SARDINE",10496.35,1978812.88,.09,35,14," ",10937.86,2217349.81,.09,43,22," ",70648.81,15110646.59,.1,74,30," ",9365.38,1951833.05,.09,57,23," "
"2012","UMCK","UNSP. MACKEREL",,,,2,2,"*",61.96,11049.71,.08,7,4," ",56.27,10239.33,.08,15,6," ",8.46,1472.61,.08,16,8," "
"2012","XXXX Subtotal","",,,,,,"*",0,0,0,,," ",0,0,0,,," ",0,0,0,,," "
"2012 TOTAL","","",14058.75,3529819.7,.11,,,"*",13936.48,3374012.33,.11,,," ",113401.21,41203127.21,.16,,," ",66816.83,38756268.69,.26,,," "
"2013","CMCK","CHUB MACKEREL",21.57,8033.73,.17,5,3," ",543.63,99562.36,.08,27,16," ",1624.33,315380.08,.09,60,24," ",6501.83,1223228.56,.09,36,16," "
"2013","JMCK","JACK MACKEREL",,,,2,2,"*",184.75,33249.96,.08,24,14," ",133.47,20147.59,.07,55,21," ",762.62,156365.53,.09,42,16," "
"2013","MSQD","MARKET SQUID",128.56,89332.31,.32,19,10," ",13052.39,8898100.33,.31,53,21," ",73371.56,52028015.56,.32,96,33," ",17859.15,12714207.71,.32,82,18," "
"2013","NANC","NORTHERN ANCHOVY",,,,2,2,"*",147.63,77345.85,.24,7,7," ",426.73,156844.85,.17,22,13," ",5505.93,833678.19,.07,18,15," "
"2013","PSDN","PACIFIC SARDINE",152.97,35605.11,.11,7,8," ",4095.43,859567.71,.1,31,16," ",53374.84,12747763.04,.11,60,24," ",6225.19,1466008.4,.11,45,20," "
"2013","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",.68,355.28,.24,6,5," ",5.51,2278.28,.19,16,8," ",.63,1284.14,.93,3,3," "
"2013","XXXX Subtotal","",,,,,,"*",0,0,0,,," ",0,0,0,,," ",0,0,0,,," "
"2013 TOTAL","","",303.09,132971.14,.2,,,"*",18024.52,9968181.48,.25,,," ",128936.45,65270429.4,.23,,," ",36855.35,16394772.52,.2,,," "
"2014","CMCK","CHUB MACKEREL",123.41,55778.04,.21,14,12," ",3617.11,777808.17,.1,39,23," ",2228.71,622833.07,.13,90,34," ",1181.22,251837.65,.1,53,26," "
"2014","JMCK","JACK MACKEREL",17.83,4988.52,.13,8,7," ",591.14,118540.69,.09,36,17," ",900.38,179840.13,.09,55,17," ",327.26,52970.27,.07,36,16," "
"2014","MSQD","MARKET SQUID",134.76,97003.6,.33,10,4," ",25879.09,18533888.11,.32,61,19," ",59317.91,42059306.14,.32,80,27," ",18760.99,12213477.96,.3,71,18," "
"2014","NANC","NORTHERN ANCHOVY",7245.78,1108192.58,.07,14,10," ",2985.31,447456.02,.07,16,13," ",117.66,46842.33,.18,12,7," ",243.1,39456.67,.07,8,6," "
"2014","PSDN","PACIFIC SARDINE",2964.17,725343.25,.11,17,10," ",3591.26,936137.69,.12,39,20," ",16676.4,7181752.41,.2,66,28," ",112.16,20828.52,.08,21,10," "
"2014","UMCK","UNSP. MACKEREL",.62,593,.43,4,4," ",.35,446.02,.58,7,7," ",.25,484.95,.89,11,10," ",4.77,4738.83,.45,13,11," "
"2014 TOTAL","","",10486.59,1991898.99,.09,,," ",36664.27,20814276.68,.26,,," ",79241.32,50091059.04,.29,,," ",20629.5,12583309.9,.28,,," "
"2015","CMCK","CHUB MACKEREL",439.88,117010.09,.12,32,24," ",1485.07,312928.08,.1,56,33," ",2780.38,560178.97,.09,80,40," ",939.45,200338.08,.1,61,37," "
"2015","JMCK","JACK MACKEREL",91.14,18778.79,.09,11,10," ",1047.26,172663.03,.07,35,23," ",306.59,40359.45,.06,44,19," ",92.75,18314.5,.09,33,16," "
"2015","MSQD","MARKET SQUID",,,,1,1,"*",525.04,298700.9,.26,16,8," ",28635.14,18410742.39,.29,62,20," ",7646.01,5743296.69,.34,57,12," "
"2015","NANC","NORTHERN ANCHOVY",4018.26,461319.98,.05,12,8," ",7729.57,902574.58,.05,17,9," ",454.19,100239.71,.1,22,10," ",5498.22,624023.35,.05,10,7," "
"2015","PSDN","PACIFIC SARDINE",1667.05,491852.62,.13,19,15," ",2125.48,658947.49,.14,33,23," ",94.96,31414.2,.15,16,10," ",42.82,14438.74,.15,18,9," "
