"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","B_d_d","B_d_pd","w_cmck","w_msqd","c_msqd","w_psdn","c_psdn","w_nanc","w_jmck","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","asc_no_participation","B_unem_rate_nopart","w_nopart","lambda_part","lambda_laa","lambda_sba","lambda_mna","logLike"
0.860413144255265,0.350005324092831,-0.0367606704868309,-0.00671324298394656,-0.014065889938606,3.51547634607087,0.299935622285784,0.180534334045849,-0.49294605145529,-1.52281384719997,-1.67729828038629,-3.70751289115013,-3.00464802803499,-1.74131882973718,-1.94828814205309,-1.09480383787779,-0.53154518327566,-4.34782682353197,-5.61585757782415,-5.24838704932313,-5.76108992336702,-3.91070014979289,-4.80949015782244,-3.81634643099363,-3.84869321859705,-3.384341992045,-4.48423804913026,-5.33342767676753,-5.85405972561316,-4.26791380015784,-4.88185130024724,0,0,0,0.825645002258334,0.781061155227169,0.39991433197907,0.825613916577148,-1701.33430433729
0.860294421212991,0.349933353982887,-0.0367540930076613,-0.00671154825733117,-0.0140633945956325,3.51514614316298,0.299927196302932,0.180522746707688,-0.492931669703184,-1.52300385296663,-1.67715232222925,-3.70796317331265,-3.00464975043974,-1.74120299328309,-1.94826928795048,-1.09461475083923,-0.531597088049813,-4.3481136846919,-5.61535112475354,-5.24820807080913,-5.76091548409179,-3.91067101096734,-4.80959060344724,-3.81611700988926,-3.84864852901283,-3.38429900547778,-4.48416613132687,-5.33327560003582,-5.85380061433566,-4.2676670489269,-4.88156272031619,0,0,0,0.82558170582416,0.781001280781974,0.399826458042816,0.825558445499069,-1701.31174655686
0.565823064169723,0.330953956603776,-0.0297257472881357,-0.0058461471617728,-0.0105425122306437,3.21267573951358,0.26757930525874,0.176931951281841,-0.480128466420942,-1.6428072713081,-1.46560476879328,-4.14858157545803,-3.00647338134494,-1.60087612008332,-1.92037478078736,-1.20444046366161,-0.639009356374639,-4.09481135337159,-5.1009807406205,-5.06849527058022,-5.45733465231356,-3.69099898465074,-4.88601749763236,-3.70467356880751,-3.63230759719363,-3.377759884709,-4.55304516916306,-5.14053122754413,-5.52490932176418,-4.2466719366634,-4.87415505119711,0,0,0,0.79549036215463,0.752895318173554,0.125214989695788,0.771785590785129,-1690.96492107045
0.493416289684928,0.31052250941271,-0.0312030924487096,-0.00535843688763267,-0.00835414496110244,3.14040348156464,0.256201377409233,0.170157084009906,-0.400387427342932,-1.67023958835995,-1.39610305752064,-4.27904817342912,-3.00715988310481,-1.5448945894918,-1.90668856346836,-1.2901803073259,-0.687112019877888,-3.95801216498952,-4.96786908525215,-4.99163871055096,-5.33289949787201,-3.71973475904705,-4.89319233433694,-3.68791426364557,-3.54375737936769,-3.3435922661448,-4.58492422468029,-5.05891974492702,-5.40386946169127,-4.11691289959926,-4.87067436797694,0,0,0,0.778694129487419,0.736726267108843,0.154145539124842,0.763495153844206,-1684.81505506656
0.44753508281752,0.309907662120203,-0.0309779392518331,-0.0052615248276893,-0.00773889483488169,3.12179778315456,0.254809048602673,0.166663679744262,-0.369030888380205,-1.67122593942507,-1.41364317296447,-4.29363191318869,-3.00740745236476,-1.52271376898894,-1.8966138433431,-1.3160824261357,-0.710076196968691,-3.95995930133587,-4.98182895570087,-4.96458677822606,-5.27643801606186,-3.70865989336866,-4.87212093948797,-3.68545852146901,-3.50383817791029,-3.31004801124915,-4.51207892379705,-5.02127523759296,-5.35799530556984,-4.09106987926879,-4.85560450271538,0,0,0,0.77398438390986,0.732185328207097,0.151541890555467,0.764732954208117,-1681.84240883554
0.399334248787813,0.304282579147781,-0.0309860874806101,-0.00512301774824423,-0.00747814972057197,3.09855064598793,0.242731537769758,0.165225645570337,-0.360316780405809,-1.67030509167408,-1.43587234198315,-4.2799669019591,-3.00758495017701,-1.53462233839497,-1.88685234623183,-1.27375723004833,-0.736011375341605,-3.92544607197352,-4.97964635093141,-4.9451156041347,-5.27688045426542,-3.68927848706392,-4.83303133196243,-3.65581154800529,-3.49609445927989,-3.28988968536974,-4.48222256860535,-5.00587870293287,-5.34110294844325,-4.04238271399364,-4.82425807119561,0,0,0,0.768246367231763,0.726628546035518,0.147539188985857,0.766265818143447,-1679.64420273105
0.387796050800407,0.301252754346317,-0.0309593809851611,-0.00509112223248181,-0.00750849965373432,3.10104639896966,0.238877372660699,0.164379121119153,-0.352797555021869,-1.67050820543633,-1.43959928775197,-4.27443461714155,-3.00762394865333,-1.5411284540775,-1.88387112101331,-1.27970415899793,-0.73999955024817,-3.92527012657552,-4.971556579967,-4.93565025615341,-5.27940182496538,-3.6759863355962,-4.81962521270762,-3.64464530668138,-3.49766359555766,-3.28881002806103,-4.47763021693971,-5.00133109538756,-5.34077029992412,-4.02943444058764,-4.80875240197917,0,0,0,0.768044132679923,0.726432337300658,0.147673105808848,0.767009387343439,-1679.0584087877
0.38637687609001,0.30116329742764,-0.0309661853031999,-0.00508534657971188,-0.00750591728770774,3.1000099988865,0.238582857674028,0.164396021794623,-0.354350960953025,-1.67076437668793,-1.43969639436577,-4.27462222810053,-3.0076284499223,-1.54236570774973,-1.88337285351074,-1.28134989852632,-0.739683932473474,-3.9253378037566,-4.96996023708666,-4.93382420075166,-5.27921579011629,-3.67577753223606,-4.81764895633755,-3.64369651425822,-3.49731219021242,-3.28829139244852,-4.47588530275693,-5.00036536744261,-5.34101856297583,-4.02688455100889,-4.80731528538638,0,0,0,0.767767342934354,0.726159553465133,0.147497256409484,0.767020098987135,-1678.97552303494
0.385909463242353,0.30095174031754,-0.0309653858851205,-0.00507955070393493,-0.00750570803337932,3.09913824013941,0.238484808538693,0.164357484368865,-0.354121854149532,-1.67121079982361,-1.43950604092513,-4.27542791041546,-3.00763092792447,-1.54336121733058,-1.88289013005761,-1.28123248507832,-0.738629455432962,-3.92510680415894,-4.97007290499522,-4.93186676113186,-5.27751946094131,-3.67507700195925,-4.81605302655482,-3.64241608628466,-3.49654804134753,-3.28861080015301,-4.4750548977547,-4.99873216276322,-5.34014479852671,-4.02526290172704,-4.80574950704372,0,0,0,0.767485421988508,0.725883300122382,0.147379236734255,0.766983302676377,-1678.90409872451
0.382684713278067,0.299247421731021,-0.0310247444075816,-0.00506262746565809,-0.00741487734611426,3.09526716677482,0.238148401691934,0.163762080716803,-0.34667241546557,-1.67534646201922,-1.4359233974254,-4.27487567218189,-3.00763548847005,-1.54593957279448,-1.88001023271854,-1.27957984322006,-0.736720319345399,-3.92056848028196,-4.96351184307813,-4.92311635339142,-5.27314791318598,-3.67082742945145,-4.8071326904921,-3.63818727902298,-3.49764686763737,-3.27934939139279,-4.46255296961593,-4.99028566867858,-5.33113168928226,-4.01849287696665,-4.80123832884034,0,0,0,0.766217728900569,0.724650309375573,0.146604972469589,0.76621772495404,-1678.50448161648
0.38268470037389,0.299247417265087,-0.0310247445829684,-0.00506236656936707,-0.00741485864701675,3.09526715541535,0.238148396399842,0.163762078636635,-0.346672410804508,-1.67534647059581,-1.43592340329621,-4.27487566271104,-3.00763548846122,-1.5459395685318,-1.8800102259453,-1.27957984837413,-0.736720331028334,-3.92056847096644,-4.96351183351687,-4.92311634887607,-5.27314790838589,-3.670827415264,-4.8071326844993,-3.63818726368834,-3.49764684769306,-3.2793493808569,-4.46255294627697,-4.99028565044037,-5.33113166550923,-4.01849284946541,-4.80123830536588,0,0,0,0.766217724285784,0.724650308115912,0.146604971536312,0.766217723911683,-1678.50239381504
0.382684700359243,0.299247417045413,-0.0310247474445163,-0.00506236523398913,-0.00741486310391177,3.0952671552239,0.238148396275802,0.163762076995067,-0.346672410777376,-1.6753464706005,-1.43592340333619,-4.27487566271779,-3.00763548846131,-1.54593956853053,-1.88001022594306,-1.2795798483571,-0.736720331030506,-3.92056847111262,-4.96351183358524,-4.92311634885595,-5.27314790840083,-3.6708274152744,-4.80713268447461,-3.63818726376371,-3.49764684772664,-3.27934938086941,-4.46255294621918,-4.99028565043978,-5.33113166552373,-4.01849284934391,-4.80123830537745,0,0,0,0.76621772382516,0.724650308510374,0.146604971712216,0.766217723920675,-1678.50238559099
0.382684700359243,0.299247417045413,-0.0310247474445163,-0.00506236523398913,-0.00741486310391177,3.0952671552239,0.238148396275802,0.163762076995067,-0.346672410777376,-1.6753464706005,-1.43592340333619,-4.27487566271779,-3.00763548846131,-1.54593956853053,-1.88001022594306,-1.2795798483571,-0.736720331030506,-3.92056847111262,-4.96351183358524,-4.92311634885595,-5.27314790840083,-3.6708274152744,-4.80713268447461,-3.63818726376371,-3.49764684772664,-3.27934938086941,-4.46255294621918,-4.99028565043978,-5.33113166552373,-4.01849284934391,-4.80123830537745,0,0,0,0.76621772382516,0.724650308510374,0.146604971712216,0.766217723920675,-1678.50238559099
0.382684700359243,0.299247417045413,-0.0310247474445163,-0.00506236523398913,-0.00741486310391177,3.0952671552239,0.238148396275802,0.163762076995067,-0.346672410777376,-1.6753464706005,-1.43592340333619,-4.27487566271779,-3.00763548846131,-1.54593956853053,-1.88001022594306,-1.2795798483571,-0.736720331030506,-3.92056847111262,-4.96351183358524,-4.92311634885595,-5.27314790840083,-3.6708274152744,-4.80713268447461,-3.63818726376371,-3.49764684772664,-3.27934938086941,-4.46255294621918,-4.99028565043978,-5.33113166552373,-4.01849284934391,-4.80123830537745,0,0,0,0.76621772382516,0.724650308510374,0.146604971712216,0.766217723920675,-1678.50238559099
