"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_msqd","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_msqd","B_mean_avail_ytna","B_mean_avail_btna","B_mean_avail_psdn","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_d_c","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_dist_to_cog","logLike"
-4.897334,-5.28047,-4.176291,-3.220271,-5.860792,-3.697772,-3.210438,-7.265418,-3.748681,-4.484919,-4.600359,-4.334389,-4.774108,-4.518065,-1.317069,-3.629525,3.757583,12,1.356727,0.539975,0.021872,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.255586,-0.050706,-2.24915,-2.29044,-0.962611,-0.010698,2.631406,0.261214,0.196018,0,-0.002598,-23573.6748336213
-4.897334,-5.28047,-4.176291,-3.220271,-5.860792,-3.697772,-3.210438,-7.265418,-3.748681,-4.484919,-4.600359,-4.334389,-4.774108,-4.518065,-1.317069,-3.629525,3.757583,12,1.356727,0.539975,0.021872,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.255586,-0.050706,-2.24915,-2.29044,-0.962611,-0.010698,2.631406,0.261214,0.196018,0,-0.002598,-23573.6748336213
-4.89733399539164,-5.28047000221667,-4.17629098142716,-3.22027105990274,-5.86079199879955,-3.69777212133181,-3.2104382694308,-7.26541799886602,-3.74868105417719,-4.4849190004424,-4.60035899679098,-4.33438900538136,-4.774107991025,-4.51806498704955,-1.31706900001206,-3.62952502440579,3.75758299550237,12,1.35672694781716,0.539974998501301,0.021872000862807,12,1.35337301638924,-3.94399800473009,2.44832391565323,1.6016320005257,3.3477740009166,-1.7766109898352,0.255585548964977,-0.050716168996051,-2.24914998716311,-2.29044000314759,-0.962611,-0.0107229128933549,2.63140550780804,0.261213780956507,0.196014994486049,0,-0.00264985746146739,-23573.0926397702
-4.89733375771514,-5.28047002845853,-4.17629023515869,-3.22027176158379,-5.86079186553412,-3.69777444703937,-3.21044332542957,-7.26541791765372,-3.74868154246477,-4.48491891796647,-4.60035886329465,-4.33438911734211,-4.77410768765866,-4.51806423284714,-1.31706898971066,-3.62952549597273,3.75758303725893,12,1.35672637340864,0.539974960436956,0.0218720661346856,12,1.35337366408015,-3.94399809060817,2.44832269196303,1.6016320725454,3.34777405925454,-1.77661068033359,0.255578715041114,-0.0509077925256465,-2.24914957594257,-2.29044008220314,-0.962611,-0.0110913584696195,2.63139690325118,0.261209707407901,0.19597509840134,0,-0.00256277245743124,-23572.4372512127
-4.89732813458967,-5.2804698049681,-4.17626709237313,-3.22024332086449,-5.86078431022014,-3.69783174710159,-3.21049477734213,-7.26541323665383,-3.74869462290879,-4.48491630721126,-4.60035465115439,-4.33439038470091,-4.77409823349834,-4.5180432416906,-1.31706870540399,-3.62953214550595,3.75758476494694,12,1.35671324734367,0.539974057785811,0.0218731904810461,12,1.35339065429315,-3.94399947217934,2.44830963315157,1.60163661146868,3.34777755340709,-1.77660240529692,0.25554009495274,-0.0537229346929904,-2.24914160836114,-2.29044221712809,-0.962611,-0.0105048555692099,2.63132698170734,0.261196355629007,0.195885333106685,0,-0.00252302270241127,-23570.7790179942
-4.89722856828985,-5.28035080990755,-4.17545601643994,-3.21980612021203,-5.86070674305959,-3.69694654715779,-3.21178342197318,-7.26536992678765,-3.74939683228574,-4.48472875417213,-4.60023516124323,-4.33435022137788,-4.77377242444852,-4.51667705367576,-1.31704495829235,-3.62961728619376,3.75764215009094,12,1.35624021712308,0.53996600746716,0.0219175395093388,12,1.35413615284913,-3.94399823716704,2.44850935816523,1.60167285808576,3.34780515690345,-1.77634647793577,0.255807671288526,-0.0604402656539279,-2.2487891537789,-2.29048576061308,-0.962611,-0.010974244710458,2.632425667922,0.262090863546314,0.215177088227632,0,-0.00259256535205239,-23570.3263330167
-4.89424885494572,-5.27805039588951,-4.16070338126872,-3.2155698816227,-5.85784110971738,-3.69483246478156,-3.22870190113095,-7.26349898623756,-3.76768637269236,-4.48369896304388,-4.59734228137802,-4.33456684254744,-4.76912094351938,-4.49855168771631,-1.31657297390597,-3.63348357582066,3.75869345596979,12,1.34743067603934,0.539645941696645,0.0229365125669852,12,1.36676458143558,-3.94434752316163,2.45530647181115,1.60321532033858,3.34909177882319,-1.77180165374159,0.261247089217997,-0.0604700084691753,-2.24206291098387,-2.29162946267967,-0.962611,-0.0107617712624696,2.62517575035343,0.261720878309543,0.214288398169854,0,-0.00258283992635017,-23569.9198747782
-4.88831578302748,-5.27277921600449,-4.13169851193014,-3.23242447335819,-5.85372936680171,-3.69985722850083,-3.21936358201461,-7.26097328216341,-3.79849054367051,-4.48025197577066,-4.59104015454208,-4.33627527444306,-4.75839057817155,-4.47047664708016,-1.31544951842345,-3.64061176248286,3.75992086357886,12,1.32560681135832,0.538790805487983,0.0247606337478474,12,1.39068352519603,-3.94618101752925,2.47800939478066,1.60524314546863,3.35081688834648,-1.76081660828289,0.27740895511422,-0.0612836700157759,-2.22606737199571,-2.29440886586143,-0.962611,-0.0107576174964007,2.61821685436507,0.27027208935891,0.213416133567805,0,-0.00256289364387835,-23569.7406670105
-4.88577745175785,-5.26863419976589,-4.11906577570344,-3.2288153753816,-5.85372930489758,-3.70597368085874,-3.22017541087807,-7.26191603102792,-3.79812716719639,-4.47551718092219,-4.58623938635242,-4.33657830008167,-4.75039587283283,-4.47133750099378,-1.31452656795191,-3.64291518942235,3.75999446974973,12,1.31542640715668,0.538019369474513,0.0251683917999021,12,1.39988971104213,-3.94907525405244,2.50283780748308,1.60491720793205,3.35022685417322,-1.75186644056244,0.290807141452398,-0.0615826653713823,-2.21450543591428,-2.29671265372122,-0.962611,-0.0109018885294243,2.61606337823072,0.270962143444564,0.2133090269298,0,-0.00256980636662467,-23569.3282585263
-4.88688849515169,-5.26198431195367,-4.10875826077575,-3.22394208949314,-5.85692137929754,-3.71019800151091,-3.2167480343228,-7.26843021156164,-3.79914277885192,-4.46743964151859,-4.57770749710707,-4.33673110711415,-4.73718049227603,-4.46830131633824,-1.31311526140123,-3.64399841238956,3.75952562011224,12,1.30601805784461,0.536407886663092,0.0237482698116179,12,1.41372118194389,-3.95533961302127,2.54056057763064,1.60267365984728,3.34621651735101,-1.73697216140453,0.282120617323629,-0.0615449351467996,-2.20143798410801,-2.30101510028936,-0.962611,-0.0108000346603292,2.60836076660809,0.265255714177732,0.213888649395201,0,-0.00257842700941442,-23568.9570740514
-4.89167870823585,-5.24927019455883,-4.09713862755702,-3.21137760885692,-5.86334494049836,-3.68922158449441,-3.21156718607944,-7.28347336838616,-3.8082861273563,-4.45153149106965,-4.55937909582806,-4.3367359213052,-4.71099546242726,-4.46641255030848,-1.31043746849845,-3.64341122501399,3.75714194786779,12,1.28841703848174,0.532077938420126,0.0185515122176302,12,1.44043805194605,-3.97132882280584,2.62265723497574,1.59814639302814,3.33706873114489,-1.7046350697831,0.26751943513518,-0.0624289970678772,-2.17802494317564,-2.31079288038344,-0.962611,-0.0105276433194977,2.6051220614457,0.278051917032054,0.211651078117783,0,-0.00255597470496821,-23568.6180704432
-4.89297985493621,-5.24859253298605,-4.10066856804233,-3.21177607401593,-5.86036166732134,-3.68510127642619,-3.21004339373493,-7.28403856193725,-3.81050472562154,-4.44990751325678,-4.55587852211124,-4.33230788533935,-4.71004484628045,-4.46421568913521,-1.31041501971256,-3.64156937613244,3.75636880921983,12,1.29069238653504,0.530208327158432,0.0157889616714793,12,1.44520307041744,-3.97652307293975,2.63392692178068,1.59966732552151,3.33695197472034,-1.69810092002332,0.271042698698575,-0.0626621617596485,-2.17744850005852,-2.3129158937999,-0.962611,-0.0105064713452816,2.6041978847543,0.273107669242874,0.211661569837305,0,-0.00256508591878102,-23568.5500783894
-4.89534750227543,-5.24850537875265,-4.10549706821579,-3.20905692872102,-5.85416102308156,-3.68892534177635,-3.20906442942885,-7.28403621366052,-3.81135986191433,-4.44811033067585,-4.55039745500859,-4.32442059049657,-4.71058894945566,-4.45857285710958,-1.31065344179794,-3.63826925408923,3.75484550141556,12,1.29605030784982,0.526631836050102,0.0104472028388479,12,1.45281747464734,-3.98540514057185,2.64623344051655,1.60285768842213,3.33741902566143,-1.68745859345966,0.27302069127831,-0.0627300303328256,-2.17921508305542,-2.31645144837983,-0.962611,-0.0105740127971694,2.60384955068124,0.276410132925307,0.211444306938338,0,-0.00256622900753673,-23568.4494267851
-4.90131905222584,-5.25075858832791,-4.08557322348984,-3.20984697532315,-5.82875483801134,-3.69432446888124,-3.2107761392249,-7.27940120286054,-3.82073682580269,-4.44451898681162,-4.52885592285509,-4.30751733808262,-4.71759756169628,-4.4708604890035,-1.31244682051859,-3.63071025525887,3.7472321395855,12,1.30770867024192,0.510837461433059,-0.0109715289838344,12,1.46830397861169,-4.01660844595583,2.6686517134147,1.61568464235779,3.34268509972157,-1.64500429134361,0.266765312268364,-0.0628080734834906,-2.19778972053331,-2.33085110816703,-0.962611,-0.0106289442593616,2.61301325552604,0.277061424882268,0.210950143327461,0,-0.00255855485931238,-23568.2331912745
-4.90033092967059,-5.25777993989858,-4.06905639565979,-3.19468214778983,-5.80530609207825,-3.69148847873155,-3.19786734847971,-7.26267691944794,-3.82458181787444,-4.45923317215558,-4.50101752169426,-4.31998889080448,-4.7288085324512,-4.48461837295586,-1.31612902411489,-3.63264152646081,3.73382595012016,12,1.32021006683628,0.487094756206073,-0.0336304586072312,12,1.49204150993268,-4.06719980493198,2.68439998861925,1.62517826416528,3.35704393951887,-1.5843626552048,0.265001982438042,-0.062567349116454,-2.21845456734678,-2.35253953857465,-0.962611,-0.0107936576459217,2.59683733936322,0.280113191897979,0.212288132115936,0,-0.00257006414728789,-23568.041444
-4.89790063432768,-5.26309624640302,-4.06004978756682,-3.1877113335186,-5.79216765094468,-3.68893913825606,-3.19254690290363,-7.24939112466612,-3.81817189360405,-4.4724696391279,-4.48257307304548,-4.33170882049215,-4.73588803174923,-4.48572842220813,-1.31874427583763,-3.63579643229097,3.72331585502527,12,1.32297077561238,0.470305359162285,-0.0472930127446726,12,1.51170690875113,-4.10400717566282,2.69345487194589,1.62965171201714,3.36819459103297,-1.54130906699502,0.261769626243006,-0.0625800215210633,-2.23129448798594,-2.36807925245031,-0.962611,-0.0108521241956891,2.60103664095719,0.277862586906468,0.211829229006033,0,-0.00257273454841917,-23567.7783053459
-4.87830908411252,-5.27689578821143,-4.04073112940168,-3.20114392667775,-5.77853984408671,-3.67541889865824,-3.1966051087532,-7.20837395850544,-3.79023104243147,-4.50140243574988,-4.4445920525782,-4.32457936883152,-4.74210691386674,-4.49887513214164,-1.32318104057348,-3.64264327129365,3.69706973550201,12,1.33614425168418,0.429019737975611,-0.0602171829620987,12,1.55798193153013,-4.20619174075077,2.69773179954584,1.62685665946179,3.40107848296773,-1.41853135298096,0.248827504509216,-0.0620896792687178,-2.23429686410087,-2.40958777585859,-0.962611,-0.010573885545661,2.59049546683083,0.284379220489927,0.21129973888009,0,-0.00260113594029593,-23567.6703775066
-4.82572180345123,-5.31240562720747,-4.00787456279791,-3.1699553144197,-5.7669375832658,-3.65993605372386,-3.17018448733387,-7.11426179064345,-3.77990857708318,-4.56140335889741,-4.37053155065863,-4.27825540875115,-4.75883581801085,-4.54149254480497,-1.33149163596893,-3.64999840004301,3.6301619931134,12,1.34928344646801,0.333344073645644,-0.0694541818246332,12,1.65629416025496,-4.45767269443086,2.68013145268726,1.60493811498041,3.47563807377445,-1.11766346344819,0.21937118431824,-0.06133437526916,-2.21131327864043,-2.50850737073171,-0.962611,-0.010630274809057,2.60352676288922,0.280180021718394,0.209140948104564,0,-0.00258431728560368,-23566.8403280043
-4.82570338615531,-5.33922657485843,-3.96387422049961,-3.14574406973294,-5.737071264721,-3.63475626559564,-3.14639687357445,-7.08220825993924,-3.75022021497743,-4.59043135427758,-4.35920893114754,-4.25244302766053,-4.79955480995662,-4.53997892720386,-1.33479139940317,-3.6337719450949,3.5919536998603,12,1.34752851825211,0.285813693497037,-0.059367949787066,12,1.68557624452417,-4.59826146960732,2.66858570164115,1.60285052749011,3.49984332366171,-0.951554038938051,0.204241080860268,-0.0609861617838777,-2.17596031289269,-2.55907567973986,-0.962611,-0.0105605513643859,2.60037618388861,0.277972218967107,0.207230768864463,0,-0.00258965772655459,-23566.036349581
-4.83317351858928,-5.33370270052485,-3.94815343215376,-3.1275506308697,-5.67343927030722,-3.61572658820533,-3.12918642596823,-7.06525995744705,-3.72384309620208,-4.61063240285578,-4.36136755458773,-4.23185864827601,-4.80625071638156,-4.54435737124275,-1.33374309619825,-3.64454246620575,3.55263668447136,12,1.31569171987591,0.247806095308662,-0.0401872508411686,12,1.69882185203963,-4.74083404518256,2.64234590232431,1.61541076312243,3.50821406053064,-0.77701534466297,0.192209953633307,-0.0602908374229128,-2.15599645803667,-2.6003551360926,-0.962611,-0.010492199472126,2.59175111201175,0.276778297600645,0.206196272233499,0,-0.00257796420275557,-23565.4529909903
-4.83369699107565,-5.31222339170798,-3.92818970461943,-3.11684096589812,-5.6656716766945,-3.60688948655958,-3.11885614623474,-7.06579994769291,-3.71157827636719,-4.6341515921973,-4.36282293801553,-4.21399696350762,-4.80404761456213,-4.53431060594743,-1.33242481780172,-3.64948035552339,3.53773457121846,12,1.31445023430842,0.240632322836812,-0.0328613623434498,12,1.69236369667284,-4.79167359552371,2.63553022444422,1.60340181549476,3.50068498844274,-0.711225573416872,0.196217708845278,-0.0602921429965688,-2.17046758528286,-2.60773771868043,-0.962611,-0.0105451150047003,2.58872818304318,0.275705733257245,0.2054006740964,0,-0.00258185987701356,-23565.1840898101
-4.82107517094644,-5.28772061719385,-3.91279608912365,-3.11019632946806,-5.66171189345024,-3.59998816714045,-3.11212626910544,-7.06586432984406,-3.70057452164669,-4.62926901943985,-4.34543287687793,-4.21116947365362,-4.8132254749459,-4.51593139008087,-1.32808466965463,-3.64024064579163,3.52317599529098,12,1.31023903386902,0.242137510982568,-0.0258193507517167,12,1.66984297970541,-4.84607924580738,2.62429312806656,1.58072140806153,3.48744559252213,-0.62877303769643,0.204596690015649,-0.060251464704492,-2.18869124463927,-2.6084207465606,-0.962611,-0.010572026253458,2.58429747125966,0.274802263986905,0.204394555178453,0,-0.00258770276616567,-23564.8811360506
