"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","asc_no_participation","logLike"
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,0,12,0,0,0,12,0,-43395.5503473043
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,0,12,0,0,0,12,0,-43395.5503473043
-3.14711471879855,-3.0664747194387,-2.96451653214172,-1.8508281824179,-3.13859722437337,-1.2466681827791,-0.304588185157626,-3.11592658143491,-3.07706818310544,-2.94636596087366,-3.14051761152223,-3.70426818123087,-2.97708596196026,-2.25495471945032,0.87251260643825,11.9999987101182,0.717523451894522,-0.0366893084719777,-0.0300119095481932,11.9999984446913,0,-36710.3000248079
-3.20959041077404,-3.10966363196929,-2.98549574642297,-1.58215925148362,-3.20169357357591,-0.91154050675286,-0.383869157136075,-3.17685271510161,-3.06380824422077,-2.97351724577727,-3.20408224071935,-3.83333755918663,-3.01053731324836,-2.16174630992263,1.15374342394783,11.9999985243691,0.992305797065717,-0.0419021745553856,-0.034480163322578,11.999998175066,0,-34092.4099517994
-3.31546853744346,-3.16232146447639,-3.00834745937688,-1.1536276770396,-3.33421640735251,-1.15775452820697,-0.412604561731812,-3.30885207616882,-2.91312915710622,-3.0276392877204,-3.33785020456179,-4.01364366275046,-3.07693219307037,-2.05587874838186,1.11179901790011,11.9999981153017,1.03935955530459,-0.0534072907404371,-0.0405155864491327,11.9999975062253,0,-33435.0370858574
-3.88964822077176,-3.37907584157361,-3.08935550556865,-0.933413045296373,-4.1049434939271,-0.878314090741082,-0.814150888892034,-4.08594078844334,-1.83446413625867,-3.33585359721828,-4.11661282359426,-5.04609710432938,-3.44499345524926,-1.7588972913379,0.34098516631314,11.9999957472176,0.611798844206934,-0.116223089313623,0.00808200230101643,11.999993587463,0,-32690.5068149185
-4.11883526954357,-3.4287213535871,-3.05353787319863,-1.0737603440892,-4.40666817012168,-0.968846011644804,-0.886912500347623,-4.39658264470832,-1.23402051191715,-3.43493602992093,-4.42237899729398,-5.42979739051703,-3.56112773077452,-1.69264715535723,0.39956710357474,11.9999948989845,0.548848174018068,-0.135259586706067,0.0719434945147678,11.9999920355393,0,-32526.1463122755
-4.45185434963977,-3.36690129060308,-2.80826697340368,-1.17428970311626,-4.8604703352191,-1.10724139632764,-1.06362645297577,-4.88710598401422,-1.38204326269767,-3.52622160832822,-4.88518215218117,-5.85222172038211,-3.64815112700923,-2.05518382460134,0.669824491448793,11.9999938890817,0.249044333122993,-0.146928748566156,0.303909366561328,11.9999895554338,0,-32195.5881881811
-4.72772271183621,-3.32617295253762,-2.86251504971541,-1.47484066940425,-5.2621784133362,-1.31786093529504,-1.18396661127265,-5.3393223728564,-1.70460743560416,-3.61720899929482,-5.29663930933905,-5.9438210097146,-3.72385259822613,-2.06043737345055,0.65044801556973,11.9999934203913,0.508942045254823,-0.154694898530717,0.382296322138823,11.9999871842991,0,-32085.4179989851
-4.7571032466239,-3.30999730864663,-2.89318777415508,-1.48346081424128,-5.30942948418397,-1.32392746317905,-1.18154366811214,-5.39908086458576,-1.70441986032081,-3.62023783533022,-5.34583641912391,-5.90725253036,-3.72121090599137,-2.12693547053405,0.635659593914961,11.9999935221702,0.549124352060791,-0.152851482280191,0.391525484530729,11.999986864121,0,-32061.178888795
