"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","asc_no_participation","logLike"
-8.27835153738854,-4.25268595047305,-3.19638032492256,-1.15780683160204,-5.15719467169876,-1.09982009507046,-0.985215625513741,-5.86441030009871,-1.60010849337582,-3.56148124040982,-5.62660302905081,-2.33185913956502,-3.78917310491374,-2.34086356290046,1.27536459981105,12.0014075089553,-0.0632610620722705,-0.075433302114294,2.0173544403626,12.0020360646207,0,-31055.0825825025
-8.53681674216972,-4.43126619767718,-3.19211561059912,-1.15628891269372,-5.08586210920187,-1.09603475606991,-0.987075013656662,-5.76070461217428,-1.59223851128228,-3.50919999808563,-5.51612704363408,-2.30976351367223,-3.69563755459346,-2.32260101063964,1.2421443246962,12.0014609004393,-0.0436758238883323,0.200793534973823,2.32406094516105,12.0021127260537,0,-31048.177739413
-9.02914134789654,-4.42190652470235,-3.07862679117843,-1.16719653022077,-4.990209019986,-1.09097801192723,-0.984932977088322,-5.50712665780182,-1.57978249258779,-3.45833778242293,-4.96722519878174,-2.32680450928739,-3.67958401090368,-2.37666867026708,1.27406173089961,12.0018119343216,-0.0608010542594958,0.305864994347095,2.34973888997241,12.0025484898122,0,-31003.3080336021
-7.53202013482851,-4.53322176670117,-3.19939731716219,-1.20562748176735,-5.00530659884916,-1.1146183991064,-0.969640019887476,-5.50478012409059,-1.57892567968433,-3.97879818089804,-4.40245801584544,-2.32705392216809,-3.98156972045829,-2.55875637483142,1.58400421360524,12.0024276383789,-0.200498879810971,0.687158765925622,2.37709697009151,12.0036218817341,0,-30951.6100530352
-7.37897035936104,-4.53413619849426,-3.21027399513807,-1.2097125750229,-5.0118449223304,-1.11794071877898,-0.96934394112344,-5.14344653679504,-1.57675001243597,-3.98438186305388,-4.62714210993197,-2.31332897583048,-3.98365777084781,-2.58420765101516,1.62510378002984,12.0026144515675,-0.22091526312129,0.714727703045335,2.38119859959677,12.0037406042233,0,-30938.5529694858
-6.19229169446887,-4.48556983599621,-3.21375498939369,-1.21220200995775,-4.94272085939413,-1.1111283134774,-0.965157854085331,-5.70845296595846,-1.56372117827789,-3.97963263937012,-4.94897745770202,-2.25777977390542,-3.95445271722386,-2.63317517300023,1.71800705524297,12.0029749870702,-0.281341313882737,0.808491480463969,2.26471324447605,12.0040158702156,0,-30916.4468386381
-5.70063754030969,-4.46572692399728,-3.28749101520808,-1.19060471979605,-4.83106645459172,-1.08391548236624,-0.978385859520946,-5.3403926490932,-1.52939433426222,-3.74094447308459,-4.99989219881147,-2.11781486968226,-3.78438148286543,-2.6820084249562,1.81852478962461,12.0035628968154,-0.387495389524997,0.966036390234845,2.3012778832686,12.004527480304,0,-30896.1915977152
-5.62218717648449,-4.43446475861244,-3.31456784231854,-1.18703393859224,-4.92751110456507,-1.09284652905766,-0.982671369007885,-5.30278254693215,-1.52497392331579,-3.84960362929545,-4.99557737933453,-2.12852296363739,-3.89023417781704,-2.6615048913269,1.82947861825027,12.0034756380374,-0.386897657018317,0.872042962109961,2.262163549162,12.0043975111829,0,-30890.3656238908
-5.72157055235654,-4.41474953041656,-3.31066954359345,-1.18689051917111,-4.91332839921524,-1.09365044407381,-0.984297965400563,-5.29775521401085,-1.52352550038993,-3.84493234238653,-4.98020411358296,-2.12807580628409,-3.89260021344925,-2.65318136695304,1.82237912157968,12.0034525881668,-0.383973797009007,0.847982791903035,2.24765422300645,12.0043648698799,0,-30889.7069151833
-5.66669237538934,-4.33787501568934,-3.31393271229306,-1.18384509842328,-4.89535830662662,-1.09314483650158,-0.987418796345539,-5.33327659257269,-1.51369356860181,-3.84958480156382,-4.94053261579491,-2.11381837879972,-3.92603066770246,-2.63236063136797,1.83594246685791,12.0034668316044,-0.399559116683779,0.777606165602733,2.17846908219993,12.004325700918,0,-30888.7007735442
-5.68833004626751,-4.34469069309902,-3.31552602462265,-1.18447574479626,-4.88927303910964,-1.09345088973226,-0.986839815081629,-5.31978706531205,-1.51566551539631,-3.83840755032059,-4.92787776578229,-2.1117864299682,-3.92343462006395,-2.63143681525779,1.83689470643429,12.0034759772553,-0.401081788149343,0.771636843238557,2.18681960309201,12.0043093164193,0,-30888.583784057
-5.68459217051614,-4.35316909311594,-3.31552913993132,-1.18499577698606,-4.88212970560362,-1.09323943593289,-0.986079273074641,-5.32345019391747,-1.51611634995188,-3.82851862880121,-4.92574115767426,-2.11016992398463,-3.92424894502128,-2.62971567383075,1.83688495833819,12.0034896066304,-0.401560436414212,0.760948876024866,2.19667524425794,12.0042553075047,0,-30888.5382876454
-5.68025145717246,-4.35580455787523,-3.31613015621024,-1.18487497434043,-4.8801017831101,-1.09311397778491,-0.985968645749209,-5.32205768391959,-1.51608191752428,-3.82623744942985,-4.92846780925691,-2.11022599203399,-3.92740574522697,-2.62961485310548,1.83707797018575,12.003486592921,-0.401845597895202,0.752750193688471,2.19853287521681,12.0041864751345,0,-30888.5299233894
-5.67908863811141,-4.35654544385545,-3.31603387409474,-1.18483813076115,-4.88016888511705,-1.09314145534331,-0.985977171231765,-5.32265722479782,-1.51590639270693,-3.82572432788609,-4.9307031065022,-2.11039180148721,-3.92921418827165,-2.63006031038539,1.83687852324042,12.0034928093191,-0.401551788364609,0.748360561926606,2.19823002512344,12.0041033525807,0,-30888.52811979
-5.6793861238273,-4.35621296191486,-3.31611878242407,-1.18481182683565,-4.88032256049325,-1.0931266320679,-0.986006875218749,-5.32270951749967,-1.51589932605465,-3.82597735651266,-4.93084832217686,-2.1104574105246,-3.92958608845084,-2.63036882088523,1.83692821584237,12.0034968649756,-0.401572519921098,0.747789834294917,2.19741343019758,12.0040542456393,0,-30888.5280094053
