"Port","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7"
"CLO","0.0%","0.0%","12.4%","3.9%","30.7%","53.0%","0.0%"
"CLW","0.0%","0.0%","0.0%","6.6%","48.1%","45.3%","0.0%"
"CWA","0.0%","0.0%","46.1%","0.0%","12.4%","41.4%","0.0%"
"LAA","1.3%","1.7%","0.0%","86.1%","5.3%","0.0%","5.6%"
"MNA","0.0%","0.0%","0.0%","79.8%","1.3%","0.0%","18.9%"
"SBA","1.1%","0.0%","0.0%","87.8%","10.8%","0.0%","0.3%"
"SDA","0.0%","13.0%","0.0%","0.0%","0.0%","0.0%","87.0%"
"SFA","0.0%","1.7%","0.0%","98.3%","0.0%","0.0%","0.0%"
