"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_psdn","c_dcrb","B_mean_price_part","B_mean_price_crab","asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_npa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_laa_psdn","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_sba_cmck","asc_laa_cmck","asc_laa_nanc","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_psdn","w_msqd","w_psdn","w_albc","w_cmck","w_dcrb","logLike"
2.3,-0.07,-8e-04,-0.0045,2.5,0.35,0.4,-1.75,-2,-2,3.75,0.1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,-2,-2,-2,-2,-2,-24718.625977406
2.12566295659816,-0.0756459301117749,-0.000853085808923767,-0.00395730721569782,2.53058737795351,0.373524946284573,0.384446332994934,-1.81394307295762,-1.97600371420589,-1.82494953202673,3.72523758619243,0.122410664619382,-7.95998710242412,-7.97219612686563,-7.97169448536241,-7.97536380141374,-7.89904359632081,-7.96387669286141,-7.93642461939098,-7.98500520733032,-7.97118653027943,-7.96502809052569,-7.96086312402513,-7.96382036062097,-7.96764136260151,-7.91916203083332,-8.06470806160821,-7.83615547064212,-7.82274633744734,0.0120041814457941,0.0259642623214336,-1.98195600150127,-1.98000927969812,-2.09453992603531,-2.2671975982167,-1.83500425271764,-22282.2749735129
2.29600608252158,-0.0816528749468828,-0.000897662854700733,-0.00588395818583259,2.52705710069677,0.346299636809423,0.327960740634989,-2.10703561291349,-1.95930998369183,-1.35088552190181,3.77417480758394,0.15638339798976,-7.96209831898145,-7.89780025909194,-7.90725681612471,-7.87205223290447,-7.37139739609651,-7.97133469830292,-7.6524149304152,-7.75372465370299,-7.9000138194203,-7.72958670041877,-7.74776716208203,-7.73409783383399,-7.75693032901688,-7.75795505702414,-8.63241639036573,-7.12316734209499,-6.97432031057825,-0.0165932456667896,0.140782888823619,-2.16462965074524,-2.15624359429526,-2.36372784807031,-4.4522161124807,-1.4546334632639,-18218.3706284252
1.97414522457512,-0.0905789279731464,-0.000991303628930544,-0.00491735672196127,2.58197809528751,0.38820192951075,0.307270535557369,-2.21810583868681,-1.91328944954927,-1.05146985388436,3.72788028023342,0.197413336564324,-7.88943202766957,-7.84803006125746,-7.85937010217635,-7.83065120325516,-7.2221893704419,-7.90611399549569,-7.53738519834519,-7.72401903199906,-7.84601247753181,-7.66368521630124,-7.67466585659049,-7.67028161161192,-7.7089703881688,-7.58285579363383,-8.74723667428733,-6.82500300866807,-6.64311035959681,0.0060818375702701,0.188772167909233,-2.11852150122833,-2.1090184934391,-2.56374010679505,-3.93866490495522,-1.14882254610469,-14993.8174766355
1.34130218826913,-0.105147148294178,-0.00116953578749748,-0.00324115438891035,2.6843123063186,0.443551706944214,0.27582171580921,-2.45787186936426,-1.80112064899284,-0.609150187307848,3.61649013183035,0.289001448120662,-7.73005756118937,-7.76125221489761,-7.79894358038796,-7.77142471365313,-6.89714017643448,-7.77945651970861,-7.19334738147667,-7.63252806199597,-7.72317560522335,-7.46065934471888,-7.46070097680532,-7.53601239113749,-7.62307929320508,-7.09206232387714,-9.01333429479853,-6.14160361828089,-5.83111491448883,0.0265538040353164,0.325322612993696,-2.08505958158972,-1.87448489520263,-2.74655904069708,-9.24001206219617,-0.502292686401075,-10500.0993014689
1.21981080366844,-0.104423753196061,-0.00121760151732671,-0.00264152168580248,2.71441660781609,0.469215927492843,0.278887328003152,-2.51354809803171,-1.77278062298866,-0.637514544689541,3.59179439076237,0.295877848015569,-7.69629485769065,-7.73048594834618,-7.79265173088075,-7.75263377718019,-6.86333613700494,-7.7492513124453,-7.15476778928698,-7.62095556912927,-7.69508006027452,-7.43275026716251,-7.42890557724348,-7.50352337046325,-7.59592995374559,-7.04042981727922,-9.07571782941045,-6.09312284566373,-5.7693131891086,0.0424092046973569,0.350420729785845,-2.09261813941637,-1.84323590564518,-2.80895318506969,-9.1066355646624,-0.447653903645904,-9696.39822979725
0.72453779492338,-0.0813826123308903,-0.0010906748743754,0.00118594900084446,2.79011126027443,0.541476593835895,0.313941467959906,-2.82322242032193,-1.57361221295251,-1.56410311463802,3.36769005428057,0.315488292630777,-7.43510289353384,-7.5384560264898,-7.90782417210139,-7.76991518493291,-6.57973632573567,-7.52811900234249,-6.74049755668553,-7.37908446181109,-7.44381370409037,-6.91803442615965,-6.84638108252378,-6.86310486878592,-7.19420031943129,-6.52918165909104,-9.64313244474297,-5.75135632691535,-5.25455151680608,-0.054761542443274,0.781174870934332,-3.15394089626167,-1.76104591555804,-3.25235890495061,-12.6178844640572,-0.187764245357229,-6525.63519284801
1.33422839563423,-0.059218752893429,-0.000538842226535852,0.000798826029614224,2.38697841193353,0.399398225453247,0.364047475114167,-2.73906403340824,-1.53260429121197,-2.16258608880117,3.06739589909413,0.142376698284334,-7.30650818840585,-7.35887366096869,-7.9136560835628,-7.63592559353434,-6.95976340810479,-7.43540010009286,-7.08866875021462,-6.92053065545561,-7.28695716110685,-6.62786908069112,-6.52819952237073,-6.22956107834071,-6.73888714789415,-6.02981163561106,-10.5462074390883,-4.98196059532644,-4.59506085950909,-0.253918404469154,0.94093725596325,-3.59744567171742,-1.50871062034602,-2.83172987181696,-14.697307643336,-0.366769387614713,-5418.80153981326
2.56954239664918,-0.0370664699934832,-0.000281621924223001,0.000360868208421607,1.53890276730384,0.229848584204623,0.383767284410193,-1.97378364055647,-1.34824113444326,-2.58987121322293,1.90485348235279,-0.06724058288366,-6.10813026655374,-5.99083439948831,-6.48157464941851,-6.16234343195625,-6.00641754815099,-6.39871431843734,-6.32178708593735,-5.57804994681017,-5.77040425325115,-5.46955210885291,-5.43565060668056,-4.8138529103509,-5.66965683201903,-5.7077596379626,-9.24758475628429,-4.67746719455472,-4.26901728661478,-0.764285666165219,0.912850055862699,-3.36730242237802,-1.19159531907393,-1.676732477472,-47.9392274275851,-0.436756091223325,-4734.57905941654
2.81078848866361,-0.0378066269706386,-0.00034805279158428,-0.00017473043757512,1.59507206967201,0.281228729715553,0.387198291084521,-1.97931298174232,-1.46773703468507,-2.37243745185817,1.79389716756622,-0.0764958218341764,-6.13515725455762,-6.00132691138139,-6.47017471827926,-6.149679816409,-6.06838781348798,-6.47323933546947,-6.28781832388718,-5.67125990173296,-5.50145072090935,-5.46435687062019,-5.42561274375442,-5.09445005393928,-5.86883024926755,-6.13451316591881,-9.53642802145552,-4.93766425479944,-4.48619920819849,-0.682332157142001,0.671844037047446,-3.14187492445735,-0.942583232380802,-1.45695978508297,-46.9181565705037,-0.572323340068157,-4493.80038217707
