"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_psdn","B_d_d","B_unem_rate_part","w_msqd","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_sba","logLike"
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-1.5,-1,0.15,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,-1473.87955979312
1.00220312015066,1.49577325399003,-0.0461961967632099,-0.00227762949550759,-0.00883018312893703,2.82998189507299,0.173308534724446,-1.49376890994167,-1.04073213347113,0.156832395056824,-3.67242530029407,-4.92512203178839,-5.67098864891791,-4.94076642360876,-5.87723902345948,-4.90511671592814,-5.0593842103062,-4.85870770993253,-4.89531846371156,-4.83270722265228,-4.8638643924712,-5.14363213737923,-5.26488002722579,-4.84985619196444,-5.24682069294903,0.535821572959787,0.850607443427995,-1382.16992984381
0.690265220655214,1.47946996648701,-0.039076128926899,-0.00331967170490338,-0.00766223788269984,2.88103975508898,0.0918850893055686,-1.32078356099034,-0.763367134246763,0.167177038765512,-3.55560366436543,-4.86781224474379,-6.62010491334316,-5.03423156416949,-6.81644832742455,-4.70408962048148,-4.99813384525461,-4.66654968525433,-4.5626902723187,-4.41661427448613,-4.71234208009902,-5.50943340760237,-5.8262173353992,-4.77893129849495,-5.61936859009654,0.685106293551348,0.313323937092759,-1348.23281814602
0.135061847316642,1.30908109721609,-0.0346351231218012,-0.002742112920436,-0.00885003671430522,3.16185613301348,0.0273399662734739,-1.31862859328601,-0.76444619247522,0.169619014494405,-3.68251333263903,-5.15243164115676,-6.81992998683833,-5.40848947380871,-6.88526514172061,-4.78462084530088,-5.4289471806044,-4.63729979465473,-4.81736293775856,-4.7271802948806,-4.93207992697805,-5.61116081586095,-6.00652096509676,-4.67737852376925,-5.61517634616281,1.0802353913414,0.514460286044784,-1344.09420421633
-0.24193987682597,0.969998984338908,-0.0347457609743081,-0.00428151963160209,-0.00939984301337005,3.49391795143468,-0.0336074019310433,-1.43172647129208,-0.651424096776208,0.157795581559518,-3.6051846303845,-5.03046468542191,-6.70874382058707,-5.38467816529853,-6.68189337762134,-4.43688129343899,-5.15105516657118,-4.37959572064756,-4.16444825808043,-4.19672482151799,-4.84575251532615,-5.60063920734872,-6.0625267084158,-4.43794243342204,-5.48791833011896,1.51172780980768,-0.0291586675468788,-1343.14738122353
-0.187219297520373,0.93769923435598,-0.0344334768562262,-0.00372588205541371,-0.00837781628753011,3.37401359130997,-0.0501833110481215,-1.29903249939769,-0.52569737454339,0.164591368036856,-3.63059660049361,-5.02937308944622,-6.69319832795672,-5.40362199418731,-6.62892218006287,-4.44709999040471,-5.13423673746317,-4.37863842162014,-4.31441551764442,-4.23132005021075,-4.88446718922646,-5.65272591080969,-6.07463479182221,-4.39679277513383,-5.52421179566578,1.44262070958043,-0.518994376631162,-1342.15742831282
-0.224908660914485,1.03625202352823,-0.0349170575866957,-0.00373541018153221,-0.00847470561311334,3.34687439413788,-0.029174511605429,-1.3307093606274,-0.573193377530625,0.168295228220432,-3.60341314193697,-5.03805240391395,-6.77001552299496,-5.364334312729,-6.73115524024366,-4.5249321841627,-5.18489320461036,-4.46230649894846,-4.39255659659814,-4.30077565553329,-4.87771058697395,-5.70335528985538,-6.04007540540875,-4.46993528602482,-5.57494960669909,1.41453281340616,-0.137405344410186,-1342.06140960768
-0.196858071309927,0.959930641787836,-0.0344744295251035,-0.00373858680083899,-0.00853582420812806,3.34361916074471,-0.0318172784682177,-1.33480901576818,-0.574523396567743,0.163947939511236,-3.6170979943541,-4.97966113685155,-6.65879117043127,-5.32072691054963,-6.62333147091656,-4.4290180057151,-5.09218087496548,-4.36854725808061,-4.30702406431818,-4.22309302880133,-4.82942313947865,-5.64806981397611,-5.99621070011701,-4.39021169087541,-5.48660583763775,1.40218999923905,-0.116982694620742,-1342.04114138116
-0.191815231193352,0.965946502741222,-0.0345233001202335,-0.00374495873987398,-0.00847407610170399,3.3407752859331,-0.0346549003704632,-1.32986906283315,-0.572783256201395,0.163964940252787,-3.62743066757353,-4.98064404716143,-6.66126498078547,-5.32440041706466,-6.62437312621076,-4.43191611733618,-5.09971449653211,-4.37221223909348,-4.30752717850292,-4.22396061594177,-4.82949209098227,-5.64444609364606,-5.99493287662968,-4.39317783901345,-5.49112808175154,1.39888868244987,-0.0772461058622591,-1342.03862296256
-0.18496822558776,0.97378980466331,-0.0344883942942907,-0.00374216556541597,-0.00848705350816408,3.34409396865247,-0.0345376469050804,-1.33236429233641,-0.575675711016451,0.164244978221258,-3.64121422672271,-4.99099820667475,-6.67595558954374,-5.33370952118385,-6.63961802450944,-4.44363789362825,-5.11384464983059,-4.38511313676735,-4.32340234220043,-4.23706429438866,-4.83817435162563,-5.65372129202082,-6.00455645688581,-4.40734339087258,-5.50378671700977,1.40495309675589,-0.0405062907751677,-1342.03809048243
