"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_last_day","B_unem_rate_part","B_d_d","B_d_cd","w_cmck","w_msqd","w_psdn","c_psdn","w_nanc","w_tuna","c_btna","asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","lambda_part","lambda_cmck","lambda_msqd","lambda_psdn","lambda_nanc","lambda_tuna","asc_no_participation","B_unem_rate_nopart","w_nopart","logLike"
0.592362695527694,-0.0327513694144034,-0.0256126461389092,-0.00222790113197389,-0.00397635930531038,0.919029414761733,0.130312062206476,-1.13431810028549,-1.66262324224375,-3.1779811338413,-3.3527831729359,-3.98711316112775,-0.421928683649956,-4.04596605214219,-3.17413285755856,-4.42338135124293,-1.0982071983385,-1.44927548901035,-1.14848295873039,-0.573733146325777,-1.17946916894814,-0.776803886051665,-0.54629896679507,-1.11236616002332,-0.771673341312747,-1.35529700917794,-1.25837821796893,-1.30389758059917,-1.33189185328084,-1.21319783243375,0.274924694990994,0.274902701650617,0.247167683084375,0.196237312487633,0.163310914918119,0.206190089976621,0,0,0,-23173.2386575198
0.592325583473516,-0.032783239803653,-0.0256131329433875,-0.00222789686500306,-0.00397635633944227,0.919031321527994,0.130314113046905,-1.13431177990288,-1.66211618990676,-3.1781313437547,-3.35288616918638,-3.9870984714445,-0.421952481017568,-4.04602500242231,-3.17411754010767,-4.42338053496341,-1.09815943449438,-1.44924133264924,-1.14845196526894,-0.573702054753171,-1.17938856997843,-0.776768244266863,-0.546265465966263,-1.11225154375167,-0.771636962277432,-1.35528137270603,-1.25837783853303,-1.30387557221291,-1.33184820563401,-1.2131758690466,0.274912013412742,0.274908437736259,0.247172366710966,0.196239077015767,0.163309971077111,0.206202323431194,0,0,0,-23173.1821577386
0.592324154023009,-0.0327838058281635,-0.0256131232220655,-0.00222789647789957,-0.00397635546371155,0.919031203535118,0.130314428021867,-1.13431149546857,-1.66209466695561,-3.17813560741573,-3.35288845072579,-3.98709568074995,-0.421953174785426,-4.04602693107196,-3.17411532309674,-4.42338050204761,-1.09816055573691,-1.4492421694861,-1.148452998566,-0.573703485202276,-1.17938870664728,-0.776769442109,-0.546266835579971,-1.11225128021742,-0.771638137944057,-1.35528307138939,-1.25838007821557,-1.30387727892275,-1.33184873459036,-1.21317717363161,0.274911469611956,0.274908648433413,0.24717252573449,0.196239077442482,0.163309946656088,0.206202756678286,0,0,0,-23173.1799097948
0.592322660295398,-0.0327849084620615,-0.0256131347024369,-0.00222789628533531,-0.00397635524995705,0.919031218854555,0.130314569295333,-1.13431124311557,-1.66207243890854,-3.17814098448777,-3.35289192433959,-3.98709370969467,-0.421954048389012,-4.04602887165822,-3.17411401401549,-4.42338046958223,-1.09815941111134,-1.44924137949798,-1.14845232176418,-0.573702911803405,-1.17938626362472,-0.776768674487685,-0.546266173087002,-1.11224773134143,-0.771637338726063,-1.355283021334,-1.25838062696092,-1.30387704796744,-1.33184755042248,-1.21317684597222,0.274910951946941,0.274908874553115,0.247172699020843,0.19623911051729,0.163309919404289,0.206203117924587,0,0,0,-23173.1776581887
0.59232120207555,-0.0327856343616883,-0.0256131311820706,-0.00222789598675471,-0.0039763546683558,0.919031135205951,0.13031482668621,-1.13431098142227,-1.6620492278351,-3.1781455834187,-3.35289457826693,-3.98709065143847,-0.421954787935494,-4.04603067312021,-3.17411200646047,-4.42338043696881,-1.09815981823731,-1.44924169917404,-1.1484527923544,-0.573703694874375,-1.17938554171445,-0.776769240011864,-0.546266886182997,-1.11224642655691,-0.771637875949959,-1.35528413408492,-1.25838230320592,-1.30387812866637,-1.33184751113049,-1.21317761124472,0.274910417345306,0.274909089668566,0.24717285756925,0.196239107100269,0.16330989979537,0.206203430298798,0,0,0,-23173.1754100747
0.592319717491069,-0.0327865772904776,-0.0256131367096223,-0.00222789576868639,-0.00397635435863394,0.919031114013814,0.130315013028182,-1.13431073072931,-1.6620251899708,-3.17815058586133,-3.35289767622419,-3.98708773958835,-0.421955588649582,-4.04603242964027,-3.17411032486741,-4.42338040448643,-1.09815930292831,-1.44924135789235,-1.14845256740565,-0.573703661305468,-1.17938375882195,-0.776769003188534,-0.546266769423528,-1.11224378111894,-0.771637606828456,-1.35528453935679,-1.25838329075243,-1.30387842131823,-1.33184677305265,-1.2131777103838,0.274909893883645,0.274909312483536,0.247173023241579,0.196239116449777,0.163309879436465,0.20620368337728,0,0,0,-23173.1731545112
0.592319415028837,-0.0327867477625056,-0.0256131368061797,-0.00222789571426016,-0.00397635427340376,0.919031099565776,0.130315057469858,-1.13431067564294,-1.66202016761666,-3.17815154281541,-3.35289824297084,-3.98708704435338,-0.421955741734127,-4.04603276894534,-3.17410994579504,-4.42338039793868,-1.09815928477066,-1.4492413502325,-1.1484525857578,-0.573703732078095,-1.17938348893401,-0.776769031099071,-0.546266824674331,-1.11224336580727,-0.771637628267142,-1.35528468627846,-1.25838355358633,-1.30387855357696,-1.33184668781356,-1.21317779203981,0.274909786169947,0.274909355960501,0.247173054687727,0.196239115335357,0.163309875268919,0.206203724768666,0,0,0,-23173.1726999319
0.592319111812756,-0.032786932333819,-0.0256131373295171,-0.0022278956725221,-0.00397635422564582,0.919031093686656,0.130315098646486,-1.13431063095229,-1.66201502038855,-3.17815251974968,-3.35289883738251,-3.98708636860885,-0.421955909523833,-4.04603312271646,-3.1741095548387,-4.42338039141121,-1.09815922135092,-1.44924131432474,-1.14845257517681,-0.5737037622149,-1.17938316332756,-0.776769020525366,-0.546266838502725,-1.11224287590482,-0.771637609578574,-1.35528479690031,-1.25838378810931,-1.30387865024059,-1.33184657323249,-1.21317784643041,0.274909681638576,0.27490940245997,0.24717308761299,0.196239115421718,0.163309873162694,0.206203755872407,0,0,0,-23173.1722462391
0.592318811112764,-0.0327870887349845,-0.0256131372617316,-0.00222789561502191,-0.0039763541418669,0.919031075077824,0.13031514299094,-1.13431057314074,-1.66200971351267,-3.17815347143667,-3.35289940537029,-3.98708558909541,-0.421956051379298,-4.04603345811592,-3.17410917586224,-4.42338038488068,-1.09815922390436,-1.44924131136565,-1.14845259755381,-0.573703846272697,-1.17938291625979,-0.776769061149783,-0.546266907148394,-1.11224250539124,-0.77163764372749,-1.3552849493089,-1.25838405230047,-1.30387879491599,-1.33184649224267,-1.21317792949214,0.274909573274177,0.274909444094961,0.247173118050482,0.196239111312923,0.163309869297787,0.206203781289059,0,0,0,-23173.171790928
0.592318738967612,-0.0327871337728027,-0.0256131458072925,-0.00222716218981326,-0.00397642091145697,0.919031078077149,0.130315152557671,-1.13431056062856,-1.66200858723909,-3.1781536764956,-3.35289953016048,-3.98708543029737,-0.421956086943866,-4.04603351557148,-3.17410910616907,-4.42338038354872,-1.09815918519768,-1.44924128522424,-1.14845258019164,-0.57370382256905,-1.179382815926,-0.77676903085805,-0.546266882788345,-1.11224236305564,-0.771637615188222,-1.35528495632336,-1.25838408410123,-1.30387879143737,-1.3318464494602,-1.21317792542562,0.274909480982746,0.274909450499431,0.247173170666845,0.196239109943437,0.163309865290486,0.20620378791715,0,0,0,-23173.1551167135
