"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","B_mean_price_part","B_mean_price_crab","asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_laa_cmck","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_psdn","w_msqd","w_psdn","w_albc","w_cmck","w_dcrb","logLike"
2.3,-0.07,-8e-04,-0.0045,2.5,0.35,0.4,-1.75,3.75,0.1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,-2,-2,-2,-2,-2,-28732.4882965755
2.13248082255569,-0.074894566442216,-0.000848518386334413,-0.00395938740578721,2.52959543829128,0.373336278434927,0.386358334594205,-1.80818562643494,3.72752674939628,0.117303222455171,-7.96312264334828,-7.96964856986122,-7.97298681152263,-7.97478900768191,-7.96656998946025,-7.94336801796164,-7.97357552946761,-7.97334024248988,-7.9662064910442,-7.96958984051331,-8.05915827657208,-7.86311540747048,-7.85475503473343,0.0112701067968081,0.0206735574409023,-2.00203252083804,-1.97987900873815,-2.08758163832622,-1.96030361532084,-1.86042865170845,-26076.2651926966
2.46769687532126,-0.082420089624936,-0.000878132768619884,-0.00417611864023741,2.52783267971575,0.350537669465792,0.332876833812204,-2.10844028174748,3.7373006112627,0.144852249790162,-7.96395182955521,-7.90934738493924,-7.94108648303171,-7.89260180922375,-8.02899758841823,-7.72526569365736,-7.93271482225197,-7.6734464048477,-7.67742206973951,-7.78168868956135,-8.56326675380231,-7.22401487664936,-7.12717038871294,-0.0522433678555288,0.10609454801646,-2.28639962586847,-2.17660158934639,-2.38424435226729,-2.12120434696212,-1.46560234069853,-21179.9316135917
2.48584905873835,-0.0761823510967787,-0.000777944572117556,0.0036450909587762,2.18863726312804,0.328466898000397,0.286787627393102,-1.58970564375306,2.86370330031052,0.160790006797925,-7.19743060308096,-7.2872498181912,-7.34177414518343,-7.25313033468966,-7.4809244244886,-6.89243183918134,-7.25213983105564,-6.79923924845269,-6.78388465015159,-6.98273559777773,-8.835419374815,-6.17543026495449,-5.76196472792179,-0.608847102323273,0.202568146234993,-2.6545252949728,-2.45487788445887,-3.16624660725649,-2.35735571329791,-0.807439744213644,-11562.1095059981
2.52775786091387,-0.0926676053549559,-0.00091599000665437,-3.1174869400628e-05,2.04160924592093,0.302005339547891,0.279682056400253,-1.41803124181443,4.44697673335921,0.123422732061865,-8.50671333866394,-8.48310522032975,-8.73330822492249,-8.42835728611781,-8.81067336906451,-7.80045863060639,-7.55031045156431,-7.20099967283333,-7.51676531266693,-7.27662717070653,-15.1936926316242,-5.39703086069981,-4.96196839986791,-0.795345419353355,0.398570432680164,-3.42460356521945,-3.19948716283177,-4.56539130811284,-2.881190733145,-0.557461409674601,-9767.29936304267
2.69759351140984,-0.0971380590220311,-0.00101149248937043,0.000633254412219728,1.90085863274304,0.275648422368242,0.330301728502564,-1.11918343213521,5.29752001443118,0.0806896221549043,-9.08717803197549,-9.10425534166549,-9.43570191272208,-9.05817477219876,-9.42187962713183,-8.37323860464101,-7.77925724308624,-7.5257094209523,-8.02308879172028,-7.41678223713607,-18.8707339967543,-5.69838907556222,-5.11267692770686,-0.907414141998901,0.591911104388456,-3.22242214406304,-2.54472954594566,-3.51496639310805,-2.39212507848584,-0.454934207857165,-8560.68972032732
3.19486423288545,-0.0985755952142486,-0.00112806823482071,0.0021621808227549,2.11601672124669,0.295058247047248,0.385832302585454,-1.31374625057036,4.55741419887381,0.0470422403432746,-8.37681124199924,-8.41804324103751,-8.87002783662107,-8.3972579912764,-8.82807336962974,-7.99790668529609,-7.85741729677557,-7.68204936781428,-8.01469591136312,-7.20488619022827,-16.7518854587731,-5.97069836613822,-5.41881568476724,-0.659006728568192,0.570188183484825,-3.53302240389657,-2.14847211763195,-3.23864305289955,-2.74993373572347,-0.551487328590658,-7231.96788405632
3.18329000906032,-0.0793899167655342,-0.000908092462730757,8.9382547225667e-05,2.0622736320437,0.267172127056869,0.420353548721425,-1.43646427099146,4.67428471023461,0.0436190200365379,-8.59644122462127,-8.59459875232551,-9.18233248064978,-8.6536956775004,-9.10716458207116,-8.36052124206475,-7.82646010490756,-7.88415306576276,-8.20249594676592,-7.3283339578713,-18.0526467106904,-6.08662082300286,-5.5829894482052,-0.531269221428162,0.396037580237317,-3.54511796461582,-1.54465691715414,-2.51309437347383,-1.65830801678332,-0.59092050234126,-6415.83084510549
3.01614481552548,-0.060776947741315,-0.000866190329577444,-0.0011464446353483,2.11724026395655,0.264285448882015,0.439703649013153,-1.79932906490575,4.11465077224216,0.0708479459599067,-8.38442433556929,-8.31663816063673,-9.00655273002065,-8.48309038178784,-8.91586196674503,-8.12875311821611,-7.36158615845787,-7.66715424949726,-7.83767602292902,-7.45929993353784,-17.0974051697274,-6.33023258603736,-5.78208880511045,-0.246565931765067,-0.0444892476438601,-3.91646475939256,-1.05661307330074,-1.7019763473716,-3.1334458288121,-0.530959961748759,-5841.58606534409
2.76600017524354,-0.0596256143169003,-0.000868761282502439,-0.00236933604415519,2.33148373416901,0.332756170180993,0.427400388792233,-2.15514685558293,4.05283465726567,0.0763814923611227,-8.49787855093309,-8.36700444982498,-9.13634470877232,-8.61359227092887,-8.97895446257643,-8.32536421719001,-6.85999398325664,-7.30025892154825,-7.34436833752551,-7.75306067116845,-17.2531235338013,-6.05788519653647,-5.56551605558473,0.103088662837029,-0.392115771081834,-3.60772361048747,-0.360846803858043,-0.627752597595362,-1.98162057978561,-0.491801391214305,-5494.931808426
