"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_msqd","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_msqd","B_mean_avail_ytna","B_mean_avail_btna","B_mean_avail_psdn","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_d_c","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_dist_to_cog","logLike"
-2.55043412839647,-2.76943767397909,-2.38663900925453,-1.90810755215835,-2.97207659932027,-2.13406832962956,-1.90736752971443,-3.14874119322694,-2.12345080238931,-2.57986020614482,-2.39985886955534,-2.46660998281567,-2.60978712572153,-2.33635971351679,-0.459993084409984,-3.73844479099175,-0.520749814874488,12,4.68715156242806,2.46897822037189,0.654834282360457,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.195223278939648,-0.0417046574016666,-1.00397649888326,-0.862768828374188,-0.962611,-0.00431293393440836,1.21838066095092,0.152284909609806,0.186785241803917,0,-0.00153006705503279,-27420.1224041095
-2.55043412839647,-2.76943767397909,-2.38663900925453,-1.90810755215835,-2.97207659932027,-2.13406832962956,-1.90736752971443,-3.14874119322694,-2.12345080238931,-2.57986020614482,-2.39985886955534,-2.46660998281567,-2.60978712572153,-2.33635971351679,-0.459993084409984,-3.73844479099175,-0.520749814874488,12,4.68715156242806,2.46897822037189,0.654834282360457,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.195223278939648,-0.0417046574016666,-1.00397649888326,-0.862768828374188,-0.962611,-0.00431293393440836,1.21838066095092,0.152284909609806,0.186785241803917,0,-0.00153006705503279,-27420.1224041095
-2.55043460217275,-2.76943853407152,-2.38663651687554,-1.90810705817592,-2.97207813410375,-2.13406887896118,-1.90736809677569,-3.14874888412403,-2.12345319650859,-2.57985903445592,-2.39985846654663,-2.46661007368823,-2.60978666355357,-2.33636379355741,-0.459992988686593,-3.73844283376678,-0.520744347693253,12,4.6871515568424,2.46897822422451,0.654834156604432,12,1.35337097110499,-3.94399756182623,2.44832226307434,1.60163097054288,3.34776864430933,-1.7766106251305,0.195194222215621,-0.0418747168008989,-1.00397806503384,-0.862768953472476,-0.962611,-0.00526495328334265,1.21837934870291,0.152285887276482,0.186700225297662,0,-0.00413085044504815,-27098.9122506468
-2.55043582312882,-2.7694427188357,-2.38662333811192,-1.90810210855138,-2.97208458134751,-2.13407328829277,-1.90736367364477,-3.1487811069917,-2.12345502392677,-2.57985287467186,-2.39985636654887,-2.46661186869501,-2.60978409934941,-2.3363858109041,-0.459992475998947,-3.73843261012957,-0.520695473418493,12,4.68715174972395,2.46897823733482,0.654833793383562,12,1.35336069656755,-3.94399525991391,2.44831844807435,1.60162657451485,3.34774648423335,-1.77660863045472,0.195087540454247,-0.0424127031474599,-1.00398564656068,-0.862769484037268,-0.962611,-0.00825442997809267,1.21838566392325,0.152290469823197,0.186441570430471,0,-0.00368942454347525,-26780.9637822111
-2.55059344534545,-2.77000521955785,-2.38497395593654,-1.90670330742128,-2.97245295245932,-2.13509115020989,-1.90529312076121,-3.15180621147356,-2.12369170716691,-2.57909255971809,-2.39959546165795,-2.46673984277297,-2.60942531263808,-2.33916801133077,-0.459929471105333,-3.73719616254912,-0.51545694924003,12,4.6871690747578,2.46897995204669,0.654773568275829,12,1.35199100693789,-3.94371078791876,2.44806333054042,1.60138266642761,3.34574424082411,-1.77635247484419,0.187395461225654,-0.0635819048992519,-1.00532108417473,-0.862878197567168,-0.962611,-0.00499156241471772,1.22148483584206,0.154280338433706,0.175476865534789,0,-0.00346047450740583,-26738.6210076705
-2.57464570737705,-2.84626924686845,-2.12351436296216,-1.67735772381085,-3.03856138169875,-2.18670019344592,-1.54293292614348,-3.64071571206926,-2.18352799762464,-2.45986612284385,-2.3578831247148,-2.47922657420463,-2.55100435246168,-2.70872282585871,-0.449863353934437,-3.54480540179147,0.297369129496475,12,4.68956164329096,2.46928589505618,0.645920469911929,12,1.16850929785362,-3.89873214183397,2.43551017900316,1.55644930414116,3.01562877421444,-1.73584062165391,-0.938297466881564,0.0470119930150044,-1.18422297221139,-0.876726254158024,-0.962611,0.00961073434799395,1.87215001258055,0.561005163605575,-0.130612241766894,0,-0.00213198772339166,-26528.1846352771
-2.57843245067797,-2.87716086299407,-2.05969186232734,-1.6120754592616,-3.04956312700005,-2.15025547596466,-1.47735292536213,-3.74799653615416,-2.19624764112696,-2.42774187297716,-2.35012242913391,-2.48342194923526,-2.5402852296187,-2.81651522618105,-0.448313799898741,-3.48654364578604,0.529481838229336,12,4.69035327031286,2.4693031808196,0.643474823774166,12,1.11218371093643,-3.8879531480507,2.43701267902372,1.54899374498501,2.94432753537643,-1.72590544215392,-1.14577911356855,-0.0541383554245382,-1.23574760113453,-0.880652259125655,-0.962611,0.0106598620394621,2.07430590748095,0.638156740498963,0.0966797323472494,0,-0.00255103458995966,-26064.1917571746
-2.57081542406474,-2.9773171798496,-2.03210068079898,-1.53737881490921,-3.01994537088771,-1.94278547198311,-1.48210049246308,-3.77257429963264,-2.21327712812916,-2.40040467948135,-2.35640139415663,-2.49404059497043,-2.5702095115366,-3.0425636434863,-0.454237830143425,-3.38521750789428,0.887561680399011,12,4.69205855014243,2.46879522943356,0.639519014796397,12,0.983003595087551,-3.88300432295888,2.4602181960309,1.56902975262965,2.9380985689453,-1.72505409953096,-0.990661512169523,-0.0519423457277404,-1.34199895128052,-0.888705842515847,-0.962611,0.00942952789106616,2.30783557495008,0.47286712369886,0.066025809813378,0,-0.00324060345517671,-25473.016541235
-2.56966725535498,-3.01611248649408,-2.05590006932496,-1.55623899952239,-3.01539899649528,-1.98556724353951,-1.41273649658394,-3.76071660318662,-2.20381853334045,-2.41736616247335,-2.37234013571073,-2.50144723219343,-2.58687928568864,-3.02129293806472,-0.466351423518608,-3.36449343532899,0.948707617871466,12,4.69072320386708,2.46820708901395,0.636246386230808,12,0.968501360490456,-3.88754303725798,2.4456121381329,1.57292589001676,2.95181074646887,-1.73227707237104,-0.975092167358768,-0.0523559225532635,-1.41278994860772,-0.893794688425563,-0.962611,0.00869997310524627,2.2960958733306,0.441319148940658,0.07325167737372,0,-0.00339899862802671,-25424.2254578665
-2.56440111086787,-3.27025167324898,-2.23965535155256,-1.36979217856563,-3.00324280634896,-2.08955704708854,-1.50497542051712,-3.67087116700131,-2.14127046804641,-2.57639589597081,-2.50555095571659,-2.55463396093519,-2.71406453918455,-2.81085183269065,-0.570226043490969,-3.27429614869626,1.19153328774393,12,4.67650483734616,2.4628446107616,0.606657189872737,12,0.891140473412534,-3.92420677855168,2.30857642349299,1.58773773518628,3.05459718859614,-1.79451029429782,-0.979756498447588,-0.0447611801782893,-1.98189312014842,-0.934814720990994,-0.962611,0.00685247851158615,2.21620261825848,0.499106897118079,0.0831545478816972,0,-0.00376142794725136,-25363.1510414428
