"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_nanc","w_cmck","w_msqd","w_tuna","w_psdn","theta_part","theta_msqd","theta_psdn","theta_nanc","B_mean_avail","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","B_dist_to_cog","logLike"
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-0.4,-4,-4,-4,-4,-4,0,0,0,0,1.15,0.3,-0.05,-1,-1,-0.005,1.2,0.15,0.2,-0.001,-26754.6910640546
-2.91051546665118,-2.92770094283983,-2.80556046004325,-2.72885540830605,-2.95821012711718,-2.74087809033875,-2.7283133541097,-3.06298584749625,-2.73594397522215,-2.82023216885725,-2.86105334260027,-2.76281228563622,-2.83655868359053,-2.75232363446108,-0.593328289101763,-4.23527296369956,-4.06139317009512,-3.9446525498101,-4.04987917831852,-4.12673179280398,-0.0289181379439767,0.0522465993656233,-0.145804798305613,-0.16071719126427,1.03290191497482,0.267251552199818,-0.047625790086239,-1.07792234424625,-1.67229824994697,-0.00468009526487187,1.23719297565662,0.173953943986622,0.205078046354749,-0.00106037901393055,-25176.8045886266
-3.22742531563609,-3.39356280287065,-3.06653700493649,-2.67888236918456,-3.64665902316316,-2.70528943831736,-2.66904618732634,-4.09456976536691,-2.64942500607957,-3.11332130465907,-3.19251285725073,-2.78305908901788,-3.19499735984985,-2.85365380749136,-0.853177773995595,-4.64117586610322,-4.06280696257723,-3.81498819727529,-3.42678989354655,-4.23304556335298,-0.184199720641497,0.384436981635637,0.0456973881647051,-0.12500475043613,0.810492654617827,0.234473404350341,-0.0422948759372585,-1.09184425707778,-1.79792590721657,-0.00412542986499118,1.34841325285321,0.200927333611083,0.21746820698045,-0.00132051244582371,-23320.1412214244
-3.20120485882111,-3.36573301624363,-2.92923697661479,-2.45359777226098,-3.5996618091412,-2.59249739036411,-2.46144953891777,-3.94401792649678,-2.54137158140426,-3.14144397150715,-2.90379004310086,-2.76698824137695,-3.13973897716582,-2.82358982997527,-0.49686704323844,-4.53944969034441,-3.76463279688618,-3.76060758472806,-3.1393205889136,-3.96734699991966,-0.350020079666844,1.05060217936747,0.686426830281774,0.292526393110412,1.07184696607011,0.292030311172655,-0.0411985938644309,-1.02434354905711,-1.47938817050317,-0.00430082341540489,1.42723173055445,0.193125887350383,0.2136097245852,-0.00153397586736324,-22761.553567626
-2.84743905652751,-3.00736606127487,-2.68754849544791,-2.19015038881661,-3.36772567248434,-2.36484879256697,-2.19734915421881,-3.62269881201251,-2.33114157662041,-2.83672653114733,-2.71003722920649,-2.60207159626302,-2.90945863952318,-2.5360839342346,-0.49557073580459,-4.70455871655161,-3.77129776232664,-3.72550581178683,-2.87135075987159,-3.90555239931685,-0.403125110731583,1.41515170811199,0.869522471497442,0.325638579392576,1.06476833034879,0.251868269038519,-0.0405331440122199,-0.991927701298514,-1.20823064777468,-0.00404497400072935,1.30116174637882,0.172233102210077,0.199276518118585,-0.00130440676918149,-22569.0859563524
-2.69804812845702,-2.94612287150349,-2.55234598451454,-2.02755781958902,-3.07339361872314,-2.2410572445312,-2.02573807709791,-3.19595400100725,-2.18857956841785,-2.76838211252214,-2.55985700376023,-2.53963414433603,-2.77436532878632,-2.50378305478142,-0.507384888542529,-4.64629264530285,-3.72475999744702,-3.71132679198721,-3.00752570248764,-3.97778753278884,-0.419850766501228,2.2954725988355,1.75364128072105,0.578067953610381,1.03103328326475,0.16305962891762,-0.0403976506825659,-1.05882022001181,-1.10170197428719,-0.00445164081171032,1.34612649817057,0.172980491187548,0.189499722572092,-0.00156866462919093,-22518.2810122968
-2.68132248709107,-2.78863284460854,-2.49626469957072,-2.02583014408067,-3.15336224757111,-2.21813430194593,-2.01177838033764,-3.43272762056091,-2.19451685685353,-2.65255982500551,-2.50944843840323,-2.52889095952152,-2.69940816095311,-2.36824137209306,-0.480499551567604,-4.74628141848511,-3.81405080362093,-3.76177571514419,-2.98217556076839,-4.00058522606287,-0.489350879417919,2.81639525045476,2.49290028210319,0.574957908152983,0.997505818764467,0.268374383860368,-0.0391652834993574,-1.01356416373174,-0.856340851218476,-0.00404096076404873,1.17914807383049,0.149779023537989,0.193853879763411,-0.00142388847970209,-22492.5743822164
-2.70269366424875,-2.8322337042513,-2.47832842212406,-2.02374717379206,-3.09155108961117,-2.2291547961184,-2.00963685697461,-3.34506878303328,-2.19206313179136,-2.66323782529323,-2.46720912003541,-2.56031359943782,-2.66940180625974,-2.40992703388357,-0.480971734865315,-4.63679508752144,-3.7413770832889,-3.72955503225785,-3.05696212433654,-4.03497602279696,-0.514703819208653,3.72670027155623,2.37227901326721,0.694830142653959,0.996043043409503,0.24497471292463,-0.0389030697441246,-1.03829525079578,-0.900307652305461,-0.00417646864138627,1.23468146903551,0.160213675957018,0.19158951209977,-0.00161377980461096,-22487.7423144709
-2.60476182627656,-2.81018896480345,-2.46220967942899,-1.97269819954835,-3.0415974375665,-2.17434774303779,-1.96067698521381,-3.22313195334163,-2.14982494436674,-2.63373061087444,-2.47131490769497,-2.5078843432514,-2.67632476619362,-2.3746974129049,-0.49311413864385,-4.71990007920792,-3.76953775263489,-3.74482866643649,-2.92726728731904,-4.01782139157898,-0.486742393574048,3.89991328996103,1.71716960072072,0.6396754799753,1.03453443606987,0.197228287444016,-0.0401338887889281,-1.03733672552584,-0.865570663484102,-0.00421469744290191,1.23378023726092,0.160617282223396,0.189919095452121,-0.00146398665156656,-22484.7998428744
-2.61622803636464,-2.82368507403392,-2.46686402981688,-1.9670229494806,-3.02986168418997,-2.17829537088704,-1.95484794080413,-3.20222776205332,-2.14681702739503,-2.65633408292052,-2.47571649916119,-2.51265719976173,-2.68055166201601,-2.39365516740752,-0.500282870522841,-4.71451744951161,-3.75469677796854,-3.73394212586946,-2.98290799958735,-4.01790688121363,-0.464465384975735,3.92070627517058,2.04253726219616,0.648484375307896,1.02874918591077,0.193208437691914,-0.0398137595278928,-1.0617330191954,-0.89752955917833,-0.00432551580898239,1.25627205436873,0.160935785290157,0.188407342217524,-0.00155106776503484,-22483.252034402
