"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_btna","c_psdn","w_nanc","w_cmck","w_msqd","w_tuna","w_psdn","lambda_part","lambda_cmck","lambda_msqd","lambda_psdn","lambda_nanc","lambda_tuna","B_mean_avail","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_d_pd","B_d_pcd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_unem_rate_nopart","w_nopart","B_dist_to_cog","logLike"
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-4.4,-0.4,-4,-4,-4,-4,-4,0.9,0.5,0.5,0.5,0.5,0.5,1.08,0.049,-0.05,-1,-1,-1,-1,-0.005,1.2,0.15,0.2,0,0,0,-0.001,-29057.029111875
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-4.4,-0.4,-4,-4,-4,-4,-4,0.9,0.5,0.5,0.5,0.5,0.5,1.08,0.049,-0.05,-1,-1,-1,-1,-0.005,1.2,0.15,0.2,0,0,0,-0.001,-29057.029111875
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-4.4,-0.4,-4,-4,-4,-4,-4,0.9,0.5,0.5,0.5,0.5,0.5,1.08,0.049,-0.05,-1,-1,-1,-1,-0.005,1.2,0.15,0.2,0,0,0,-0.001,-29057.029111875
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-4.4,-0.4,-4,-4,-4,-4,-4,0.9,0.5,0.5,0.5,0.5,0.5,1.08,0.049,-0.05,-1,-1,-1,-1,-0.005,1.2,0.15,0.2,0,0,0,-0.001,-29057.029111875
-2.75000136181124,-2.75000210736997,-2.75000289990956,-2.74999390661357,-2.7500032954492,-2.74999584413035,-2.74998696447508,-2.75000232631898,-2.75000003312965,-2.75000222172558,-2.75000131125234,-2.75000211098783,-2.75000224266069,-2.75000112678964,-4.40000000020006,-0.400001264757454,-4.00000011446936,-4.00000006494318,-3.99999947071372,-4.00000003771499,-4.00000007268661,0.8999767068488,0.499997785821453,0.499996437678114,0.499997559789807,0.499994459674194,0.499997310377538,1.07999798005296,0.0490046062049568,-0.0499556901850551,-1.00000275763676,-1.00000000158857,-1.00000066318306,-1.00000000158857,-0.00456181911355257,1.2000246198497,0.150013812188357,0.200014180919662,0,0,0,-0.00397521151982248,-28695.449363511
-2.7500054436354,-2.75001179938789,-2.75001420716996,-2.74996229867589,-2.75001712154872,-2.7499727104817,-2.74992002350462,-2.75001187205497,-2.7499931092113,-2.75001227153681,-2.7500077538904,-2.75001399249684,-2.75001216335228,-2.75000501785958,-4.40000000109588,-0.400006819963797,-4.00000058776741,-4.00000031446296,-3.99999652037182,-4.00000012059813,-4.00000037617677,0.899890435778963,0.499988610198931,0.500021076456143,0.499989666334713,0.499976061382569,0.499986542746187,1.07999611968965,0.0490509622312774,-0.0494026453097638,-1.00001516620223,-1.0000000083443,-1.00000347585021,-1.0000000083443,-0.00138238787234871,1.20015207135215,0.150081049227463,0.200262668946995,0,0,0,-0.00417408618198507,-28310.5509134993
-2.75048550437236,-2.75125055323117,-2.75162097841456,-2.74700444772721,-2.75215117743272,-2.74671512925519,-2.74324784030626,-2.75129402216389,-2.74925387358928,-2.75128445212338,-2.7508225360211,-2.75172171629814,-2.75126705680645,-2.75047481983852,-4.40000015737959,-0.400634699721337,-4.00006366527881,-4.00003885867429,-3.99968215529142,-4.00002271129952,-4.0000435767847,0.885514282177711,0.498987307855199,0.502980382256596,0.499165105135901,0.498097419681805,0.498639488497932,1.07883989098874,0.0501745374052574,-0.0264761907586261,-1.00101529190222,-1.00000030711438,-1.00027393030035,-1.00000030711438,-0.00448516916321653,1.21300981444751,0.156587604465614,0.20924476097327,0,0,0,-0.00454614173698172,-28080.44082271
-2.75491103494805,-2.76372375124354,-2.76744463733928,-2.71898707782295,-2.77203466500159,-2.72072991554022,-2.68258389426296,-2.76366655041982,-2.74145637603367,-2.76422150740004,-2.75926749161681,-2.76800984585436,-2.76387892877052,-2.75705870691783,-4.40000155295563,-0.407063724886889,-4.00072398978243,-4.00043956538231,-3.99687508532972,-4.00025084951751,-4.00050093307179,0.735340703293917,0.488739455440782,0.535814560881279,0.491420868012981,0.480167555135562,0.485429981248309,1.06548183781454,0.0562181411205371,-0.0213358038752824,-1.01257308754982,-1.0000047197055,-1.00313726512034,-1.0000047197055,-0.00469883012623656,1.32521112396886,0.212962002195862,0.208532890033318,0,0,0,-0.00431874291469975,-26174.057174812
-2.75674065526513,-2.76773240954459,-2.77394066371341,-2.7039837682665,-2.77978849689889,-2.71188438440025,-2.66415225081921,-2.76788639818971,-2.73946045556381,-2.76881574387109,-2.76142929184083,-2.77035186078091,-2.7692594127753,-2.76039556556627,-4.40000184145109,-0.408048061129538,-4.00114066699916,-4.00056353642785,-3.99557533499849,-4.00020357425458,-4.00072727731469,0.640291829036032,0.486898699748793,0.53211066140965,0.488792492678406,0.473798252586142,0.482161389088094,1.0595952361513,0.0624457316707456,-0.0209814978360084,-1.01303418124061,-1.00000624690919,-1.00342981231343,-1.00000624690919,-0.00473120126100864,1.35245490644377,0.223830694633843,0.219951963145757,0,0,0,-0.00421217975925303,-25346.0658120528
-2.76065564590927,-2.76987338190183,-2.77925021405777,-2.68175082765311,-2.78828202580878,-2.71540466678241,-2.64209056643638,-2.77107383289918,-2.73879222831011,-2.77180449039213,-2.76000889435266,-2.77815082599375,-2.77575592384714,-2.76505535807388,-4.40000195436175,-0.405679572584777,-4.00194765432302,-4.00054261897002,-3.99454793395373,-3.99980414051796,-4.00100644699112,0.59358137019092,0.488663459000234,0.529920271161104,0.485770611649751,0.462756204445347,0.481003925121775,1.04859723204653,0.067428646641515,0.0020698589162846,-1.00637151231887,-1.00000826600896,-1.00166501999988,-1.00000826600896,-0.0043289898361094,1.34385114594806,0.222204294371523,0.17201588630475,0,0,0,-0.00404667890722292,-25036.2840216394
