"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","theta_part","theta_msqd","theta_psdn","theta_nanc","logLike"
-3.16482287847808,-2.96151232868411,-3.36505641025647,-2.01182358254892,-4.93871933254538,-1.79143037617924,-1.53386796551588,-5.38205301193597,-2.81417442750291,-2.85441247597591,-4.98941101625191,-4.2704792551668,-2.85514112382066,-2.7170074457281,1.90288905102034,5.20875156727347,-5.37617321050508,-1.93994851972095,-31006.7177574728
-3.07574399265038,-2.82907682595784,-3.11344116724997,-1.83872906102008,-4.57054885502608,-1.62511922590792,-1.37472668101708,-4.9824978809236,-2.60644891862027,-2.85506904297482,-4.61721777160078,-3.9819305281281,-2.85576751424849,-2.49860400471008,1.27843438907756,4.60694810826614,-5.30110909835696,-1.45712913836265,-30933.4565050427
-3.07827952406199,-2.82029825188005,-3.11210034955051,-1.83734032826963,-4.57404950275494,-1.62500568372855,-1.37678548682941,-4.98753779976709,-2.60327322365924,-2.8550416310185,-4.62094349349893,-3.97871424730749,-2.85577209423887,-2.47302650543165,1.41183666388576,4.63227072377037,-5.25663570095423,-1.43210895973482,-30932.7229163952
-3.05017496105825,-2.67384340953809,-2.80506527894099,-1.69939414494552,-4.09414049611062,-1.51234884046666,-1.29439127148999,-4.45848614779437,-2.37737394376942,-2.87505937318617,-4.1355140969904,-3.59915177011322,-2.87579015565984,-2.17778717021226,0.863425938777867,5.74462902315331,-5.14525487112081,-0.762664148194909,-30889.8400767868
-3.03970156386592,-2.6548055578285,-2.7477541244713,-1.66449645701023,-3.99720045787758,-1.48271690563136,-1.2703102152231,-4.35137470747008,-2.32094627554536,-2.87571745691459,-4.03731944516453,-3.50000139744136,-2.87642178781772,-2.1530786232373,0.794298496048563,5.31228583203771,-5.14649063911132,-0.719588060497534,-30888.5685096833
-3.04141244483773,-2.65657526414231,-2.75073815194307,-1.66705295254439,-4.00184483213484,-1.48483899837117,-1.27191322766659,-4.35647781750324,-2.32509985545945,-2.87588864727229,-4.04203606914205,-3.5067837928655,-2.87659421746945,-2.15477685491949,0.799518630670633,5.5799319416093,-5.14745560898598,-0.720765278522294,-30888.5638108032
-3.04216949373433,-2.65707721155482,-2.75094359980834,-1.66713068539704,-4.00216247425757,-1.48490567959367,-1.27196679530077,-4.35682900861251,-2.32521755898103,-2.87610614223388,-4.04235713398736,-3.50697185583526,-2.8768117235757,-2.15494601435492,0.799814164743821,5.61443919206534,-5.14752886573465,-0.719914438059751,-30888.563705573
-3.1397941838545,-2.72904278992598,-2.80157965826177,-1.69408733663345,-4.08082090748436,-1.50766860004627,-1.28982036338053,-4.44344399377781,-2.36732241501237,-2.92968033716446,-4.12192430406978,-3.57625808078799,-2.93040564578638,-2.19346752971442,0.87217949968823,5.7521131343823,-5.14189252891029,-0.654243244004489,-30888.5616558615
-3.23533467717448,-2.78600594879283,-2.80706895525851,-1.69611366703796,-4.08938590318747,-1.50939501442071,-1.29120442382698,-4.45279579558443,-2.37043047862047,-2.93520889222472,-4.13058129122332,-3.58131959865944,-2.93593614025658,-2.20010865436017,0.881884723094916,5.5432459645194,-5.14194280833719,-0.518331363251974,-30888.561027006
-3.23897778656979,-2.78823907399135,-2.80747228183577,-1.68811945357265,-4.09001005742721,-1.50280849724113,-1.28626348047326,-4.45347075108688,-2.35735111039204,-2.93553895198572,-4.13121125183406,-3.55911836431176,-2.93620142529528,-2.20051109380328,0.881845134635371,3.58587841369915,-5.23157053132922,-0.515658924228899,-30767.8165396486
-3.23966231255932,-2.7888184473578,-2.80973272721018,-1.68798155571949,-4.09278045872145,-1.50294766048884,-1.28676900785617,-4.45638232566015,-2.35632691529162,-2.93553596552244,-4.1339982677135,-3.55661898141762,-2.93620005578678,-2.20163313628475,0.89482001109607,3.59725786039722,-5.22977891184205,-0.517374048266949,-30765.9311199945
-3.24411376996339,-2.79305970241865,-2.82168142151193,-1.68891536664556,-4.10997769187268,-1.50426633919382,-1.28854504314437,-4.47502606581178,-2.35598020432644,-2.93551896625298,-4.15136450360691,-3.55414147275858,-2.93619514880711,-2.20772078331553,0.918995874460692,3.54832416474953,-5.21404135309865,-0.52915179741586,-30762.5378562394
-3.24583950408405,-2.79463718613346,-2.82588954889557,-1.68944271530172,-4.11637557514324,-1.5047759235823,-1.28903046935261,-4.48204481705778,-2.35655928205663,-2.93551273298717,-4.15783332892682,-3.55480924688939,-2.93619471071576,-2.20970900058877,0.934440589040298,3.51944654122054,-5.20158102405962,-0.53350711206713,-30760.7016448984
-3.24587187278338,-2.79466671658547,-2.82596866258567,-1.6894528682318,-4.11649617051162,-1.50478579121541,-1.28903990442095,-4.48217735906776,-2.35657030697878,-2.93551261211789,-4.15795528804083,-3.55482201477069,-2.93619470250602,-2.20974619952492,0.934729198870846,3.51893741981721,-5.20092210675638,-0.533588633700787,-30760.6685817772
-3.24587833875007,-2.79467261467016,-2.8259844433288,-1.68945490171539,-4.11652023529224,-1.5047877639132,-1.28904178693041,-4.48220381634308,-2.35657252235824,-2.93551258790791,-4.15797962513904,-3.55482458389356,-2.93619470091461,-2.20975362601,0.934786785215836,3.51883645900262,-5.2007900883051,-0.53360490677043,-30760.6619909453
-3.24589137994212,-2.7946845051216,-2.82601624231991,-1.68945900774956,-4.11656873774373,-1.50479174060406,-1.28904557294297,-4.48225714633806,-2.35657701793806,-2.93551253894231,-4.15802866870226,-3.55482982922592,-2.93619469793078,-2.20976858566391,0.93490191817924,3.51863383511729,-5.20052352388219,-0.533637711414607,-30760.6488049758
-3.24589659466394,-2.79468926225424,-2.8260289632995,-1.68946065283887,-4.1165881452515,-1.50479333232726,-1.28904708629292,-4.48227848924447,-2.35657882387544,-2.93551251931614,-4.1580483081528,-3.55483194837408,-2.93619469677219,-2.20977456945622,0.934947960122647,3.51855163772247,-5.20041661492134,-0.533650793959951,-30760.6435327761
-3.24590702522195,-2.79469876902152,-2.82605436834612,-1.68946394407882,-4.11662692487634,-1.50479651243155,-1.2890501037813,-4.48232114160839,-2.35658245127253,-2.93551247999447,-4.15808754280421,-3.55483621731174,-2.93619469460409,-2.20978651596395,0.935040221237812,3.51838718474476,-5.20020298327031,-0.533677047523574,-30760.6329760681
-3.24591119907307,-2.79470257423786,-2.82606453177997,-1.68946526230528,-4.11664244085018,-1.50479778477718,-1.28905131046545,-4.48233820260799,-2.35658390506105,-2.93551246424048,-4.158103233079,-3.5548379340245,-2.93619469375738,-2.20979129458519,0.935076957739702,3.51832243061851,-5.2001174976744,-0.533687541967748,-30760.6287721333
-3.24591203213668,-2.79470333339347,-2.82606656188524,-1.68946552560747,-4.11664554110936,-1.50479803881043,-1.2890515512202,-4.48234160942424,-2.35658419597148,-2.93551246109576,-4.15810636664507,-3.55483827729638,-2.93619469358931,-2.20979224845028,0.935084319378588,3.5183093064034,-5.20010037443899,-0.533689637482009,-30760.6279300358
-3.24591373558282,-2.79470488751897,-2.82607071248098,-1.68946606412702,-4.11665187419228,-1.50479855911457,-1.28905204448368,-4.48234857558467,-2.35658479240263,-2.93551245464774,-4.15811277626338,-3.55483898018166,-2.93619469324865,-2.20979420022188,0.935098993984633,3.51828299683614,-5.20006524408108,-0.533693869126286,-30760.6262457218
-3.24591440718624,-2.79470550038798,-2.82607235337527,-1.68946627702866,-4.11665438002475,-1.50479876373301,-1.28905223846939,-4.48235131695917,-2.35658502694576,-2.93551245211116,-4.1581153069434,-3.55483925913058,-2.93619469311524,-2.20979496933004,0.935105024648413,3.51827210260781,-5.20005190736022,-0.533695562231092,-30760.6255573521
-3.2459145403428,-2.79470562188204,-2.82607267858972,-1.68946631921668,-4.11665487634089,-1.50479880440998,-1.2890522769841,-4.48235186369458,-2.35658507389009,-2.93551245160749,-4.15811580792241,-3.55483931432308,-2.93619469308878,-2.20979512179277,0.935106232348938,3.51826983915744,-5.20004930037645,-0.533695898394137,-30760.6254196073
-3.24591456918179,-2.79470564813218,-2.8260727492946,-1.68946632838831,-4.11665498292795,-1.50479881324142,-1.2890522853356,-4.48235198214554,-2.35658508400475,-2.93551245149827,-4.15811591644878,-3.55483932635885,-2.93619469308304,-2.20979515477545,0.935106471375408,3.518269427893,-5.20004870632631,-0.533695969007417,-30760.6253920572
-3.24591457376733,-2.79470565304465,-2.82607276245826,-1.68946633010363,-4.11665500199079,-1.50479881487738,-1.28905228675602,-4.48235200421817,-2.3565850859146,-2.93551245147794,-4.1581159353827,-3.55483932860348,-2.93619469308197,-2.20979516093293,0.93510652013204,3.51826933905684,-5.20004859562709,-0.533695977596743,-30760.6253865267
-3.24591459362742,-2.79470570691376,-2.8260728036148,-1.68946634635205,-4.11665505934529,-1.50479883647513,-1.28905229210088,-4.48235211519684,-2.35658509497017,-2.93551245069032,-4.15811598556389,-3.55483935151119,-2.93619469304153,-2.20979520103182,0.935106601773124,3.51826855735229,-5.20004818648613,-0.533695992025751,-30760.6253744173
-3.24591460088955,-2.79470571748786,-2.82607281838192,-1.68946635231293,-4.11665508714738,-1.50479884592129,-1.28905229361353,-4.48235216305775,-2.35658509855192,-2.93551245039168,-4.15811600914454,-3.55483935942608,-2.93619469302622,-2.20979521234429,0.935106642102142,3.51826844859504,-5.2000480137044,-0.533695999022382,-30760.6253692145
-3.2459146156072,-2.79470573891822,-2.82607284831051,-1.68946636439385,-4.11665514349361,-1.50479886238892,-1.2890522966792,-4.48235226005548,-2.35658510581075,-2.93551245017705,-4.15811605693503,-3.55483937546554,-2.93619469301494,-2.20979523527126,0.935106723837303,3.51826822818463,-5.20004766353183,-0.533696013202154,-30760.6253587374
-3.24591461597553,-2.79470573968344,-2.82607285229187,-1.68946636510172,-4.11665514779118,-1.5047988630842,-1.28905229706515,-4.48235226111194,-2.35658510592831,-2.93551245016634,-4.15811605990585,-3.55483937557878,-2.93619469301438,-2.20979523734019,0.93510672571226,3.51826822738341,-5.20004764782568,-0.533696013731392,-30760.6253583921
-3.24591462701896,-2.79470575644868,-2.82607297264757,-1.68946638334912,-4.11665519264018,-1.50479887865275,-1.28905230920796,-4.48235229842176,-2.35658510926431,-2.93551244988988,-4.15811627352708,-3.55483938281567,-2.93619469299986,-2.20979529289169,0.935106860572614,3.5182681698331,-5.20004764789729,-0.533696051784963,-30760.6253404401
-3.24591462974972,-2.794705760594,-2.82607300240863,-1.68946638786551,-4.11665520372984,-1.50479888250649,-1.28905231221419,-4.48235230764738,-2.35658511008988,-2.93551244982153,-4.15811633556725,-3.55483938460668,-2.93619469299627,-2.20979530662879,0.935106953177172,3.51826813026101,-5.20004764789733,-0.533696077923809,-30760.6253300858
-3.24591463026466,-2.79470576137568,-2.82607300559056,-1.68946638828013,-4.11665520582103,-1.50479888290464,-1.28905231258975,-4.48235230938706,-2.35658511024556,-2.93551244982221,-4.15811634047736,-3.55483938494442,-2.93619469299601,-2.20979530811881,0.935106964962687,3.51826812279905,-5.20004764789733,-0.533696081204273,-30760.6253288039
