"B_mean_avail_mckl","B_mean_avail_msqd","B_mean_avail_psdn","B_mean_avail_nanc","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_psdn","B_d_d","B_unem_rate","w_msqd","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_laa","theta_mna","theta_sba","asc_no_participation","logLike"
-7.179891,1.481207,0.304227,-0.911978,0.827208,-0.043,-0.003039,-0.005589,3.010054,0.127715,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.60707996832
-7.179891,1.481207,0.304227,-0.911978,0.827208,-0.043,-0.003039,-0.005589,3.010054,0.127715,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.60707996832
-7.17806962772034,1.4808533106072,0.303779111330559,-0.911473381052839,0.834508425204448,-0.043,-0.003039,-0.005589,3.01835662506497,0.129951565342173,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.57469228308
-7.168787623119,1.47573589098787,0.301195544052756,-0.913061084683064,0.838927435207008,-0.043,-0.003039,-0.005589,3.02012174489636,0.120280724064094,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.5540131895
-6.73507750526152,1.19177941500816,0.181406749847337,-0.964812284550242,0.878404054729551,-0.043,-0.003039,-0.005589,3.00622529654907,0.127332609941727,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.34196314202
-6.61982554002153,1.28533515296933,0.16257053524532,-0.976711858807626,0.891061061315814,-0.043,-0.003039,-0.005589,2.98341394598672,0.137180296225869,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.3034170701
-6.49890359924923,1.38530724243774,0.149255212173405,-0.966187551661028,0.854677345998295,-0.043,-0.003039,-0.005589,3.00263720646152,0.136977202616964,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.23006204151
-6.47663716091798,1.40513776880894,0.15102154336156,-0.93414722113146,0.853824038927237,-0.043,-0.003039,-0.005589,2.99879801895702,0.135819643587395,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.21129661744
-6.51828278907635,1.44585516934868,0.325659343416235,-0.903458180407653,0.844773363212233,-0.043,-0.003039,-0.005589,3.00287060330743,0.127677254867145,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.19080267565
-6.52422212059377,1.43950687002626,0.24241698864901,-0.905796945426865,0.842853328062508,-0.043,-0.003039,-0.005589,3.00527066992376,0.128761580758463,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.18549856607
-6.51584254971791,1.43797761785727,0.251061415590976,-0.906851692054033,0.843965081349944,-0.043,-0.003039,-0.005589,3.00429781930265,0.129139043725676,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.18538642487
-6.51742010403913,1.43837786937593,0.250794669680546,-0.906655755257726,0.843797434394927,-0.043,-0.003039,-0.005589,3.0044347958667,0.129057160691185,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1690.18538264446
