"B_mean_avail_psdn","B_mean_avail_nanc","B_mean_avail_othr","B_mean_avail_cmck","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","B_d_cd","c_dcrb","B_mean_price_part","B_mean_price_othr","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_nanc","theta_psdn","asc_no_participation","logLike"
1.816131,2.513599,10.519578,4.998825,-0.050113,-0.004826,-0.021126,2.149773,0.281181,0.297177,-1.058378,-8.130186,-0.332205,3.794151,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1895.69585093415
1.816131,2.513599,10.519578,4.998825,-0.050113,-0.004826,-0.021126,2.149773,0.281181,0.297177,-1.058378,-8.130186,-0.332205,3.794151,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1895.69585093415
1.81613054118202,2.51359805751552,10.519577999388,4.99882494764582,-0.0501216863237433,-0.00489142772715911,-0.0211173601766573,2.14977226895686,0.281180294730998,0.297177,-1.058378,-8.130186,-0.332205,3.79415063583904,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1895.66313054419
1.81611952889164,2.51357440160131,10.5195786655622,4.99882361283997,-0.0502738258967535,-0.00489174787821742,-0.0208503986443683,2.14975838706972,0.281164416306111,0.297177,-1.058378,-8.130186,-0.332205,3.79414289914301,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1895.63840570422
1.8160398080861,2.51342652551481,10.519583502356,4.99881548326418,-0.051251880881646,-0.00484929738085476,-0.0208525380909367,2.14966376057993,0.28105878681378,0.297177,-1.058378,-8.130186,-0.332205,3.79409594541271,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1895.62194514303
1.78047575379926,2.44945053330798,10.5225586428572,4.99503625674335,-0.0474738053315513,-0.0048705031142961,-0.0207846254669084,2.13350121093577,0.252387271517974,0.297177,-1.058378,-8.130186,-0.332205,3.78163934450341,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1895.14718019235
1.26102021167439,1.62959556196744,10.5437986487566,4.93120214949467,-0.0449884133850843,-0.00490312194945669,-0.0213740739898075,2.27285158068333,0.372979927233945,0.297177,-1.058378,-8.130186,-0.332205,3.72111014950972,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1894.42588752513
0.830604938512705,1.37477923776256,10.4677925577651,4.86054467743228,-0.0477554977170113,-0.00498503434324845,-0.019903964916381,2.40721134907418,0.291710416710881,0.297177,-1.058378,-8.130186,-0.332205,3.94344245072394,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1893.5951571585
0.758081852226885,1.34997968129268,10.4394838410566,4.83983284127824,-0.0466363970516431,-0.00495664543466716,-0.0195074282353385,2.37581789588079,0.310827488684296,0.297177,-1.058378,-8.130186,-0.332205,3.9798635172118,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1893.16747422127
0.689128504194362,1.3762900222453,10.0087180068029,4.48468793057775,-0.0437057465589833,-0.00481185822269699,-0.0194450554394705,2.38460363282578,0.30061007032389,0.297177,-1.058378,-8.130186,-0.332205,3.87160114458242,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1891.77456385448
0.85698503406099,1.39752880695863,10.0092694912285,3.95105745806198,-0.0436292617201471,-0.00485521075070927,-0.0199025312092139,2.32526503162894,0.299096765274173,0.297177,-1.058378,-8.130186,-0.332205,3.9879715129908,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1890.81268361299
0.843682498543132,1.48869478801127,10.0869444169359,3.6868120716936,-0.0429411995818066,-0.00486943348907422,-0.0195998263642074,2.30680309052291,0.298582315414907,0.297177,-1.058378,-8.130186,-0.332205,3.94760492099229,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1890.22576338908
0.843469828436964,1.59379553304807,10.048648889769,3.23223637329147,-0.0410605060473033,-0.0048408889898284,-0.0194736074634325,2.27540828338461,0.297103324481696,0.297177,-1.058378,-8.130186,-0.332205,3.89233329888564,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1889.9148934633
