"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","asc_no_participation","B_mean_avail","B_mean_price","lambda_part","lambda_cmck","lambda_msqd","lambda_psdn","lambda_nanc","lambda_tuna","logLike"
-2.86285910473668,-4.26055778014163,-2.43809516993364,-1.88889848597138,-2.93536945376465,-1.84546161274896,-1.67575054775168,-3.03156650704675,-2.4789324579646,-2.6668084758986,-2.99908633283157,-2.82257001754688,-2.87898787189354,-2.34540382690823,0,0.855791539669969,0.324663127422104,0.385380884557687,0.297556257765845,0.372829659299514,0.279205321162821,0.385294891994477,0.192097019603668,-40861.9326992974
-2.86274238493911,-4.26065301439762,-2.43800821638244,-1.88881179019975,-2.93521832137639,-1.84538140644327,-1.67566635289622,-3.03139801216808,-2.47883429201026,-2.6667374201916,-2.99904860381858,-2.82248805052127,-2.87883686097688,-2.34534817403772,0,0.855750395777565,0.32461919146968,0.385365949618391,0.29756470937864,0.37282098221767,0.279168074763818,0.385314644382188,0.192084967092704,-40861.7460940789
-2.86261411006874,-4.26067371579771,-2.43791139496184,-1.88871866312872,-2.93504235140353,-1.84529342563671,-1.67557158044266,-3.03120163029026,-2.4787255854192,-2.66665899923038,-2.99902846094163,-2.8223940649531,-2.8786509074782,-2.34525310947487,0,0.855705209020371,0.324570442181602,0.385347492130264,0.297578336272518,0.372810989794707,0.279113659343539,0.385313574999967,0.192071355653759,-40861.5408579944
-2.86164262264912,-4.26039049669682,-2.43716521888491,-1.88802256414109,-2.93368809237041,-1.84462857534718,-1.67485020425056,-3.02966535061905,-2.47789634173649,-2.66607991970428,-2.99893813263564,-2.82166155816914,-2.87712738098784,-2.34435336360529,0,0.855353483882504,0.324204231650511,0.385199635248363,0.297695339976811,0.372736377787185,0.27863553916696,0.385187427380563,0.191967909619752,-40859.9745713766
-2.86131818582944,-4.26029543596503,-2.43691243085285,-1.88779811958747,-2.93323501153714,-1.84441606018368,-1.67462267910632,-3.02915398800805,-2.47762761085007,-2.66585117451869,-2.99890877294374,-2.82142993032961,-2.87656659311272,-2.34404643444576,0,0.855231630805784,0.324081453246264,0.385150515626673,0.297752054276434,0.372714055329408,0.278455263992879,0.385141770908094,0.191932483286284,-40859.4592503779
-2.81165803352125,-4.22962156998719,-2.39784382423636,-1.85304604855771,-2.8629515941786,-1.81097437061398,-1.6382353587523,-2.95001219127575,-2.4357640948039,-2.63450611683144,-2.99824912760487,-2.78429170772327,-2.78991576726955,-2.29145992347317,0,0.836663531396883,0.305598412807434,0.376966546443495,0.30550946953515,0.368800698295123,0.249793817707321,0.374683481758206,0.186501986257422,-40778.2378961962
-2.72890254438442,-4.19668284003068,-2.33220140662868,-1.79728570821903,-2.74715625522042,-1.75835033541313,-1.58247155919837,-2.82084440412214,-2.36918838252574,-2.57068275404028,-2.99568474752806,-2.72761442410612,-2.63458049122451,-2.21088117784433,0,0.804637935756996,0.274673892019262,0.36406837831895,0.323410303340053,0.363304959370713,0.197580699723103,0.361588223315948,0.177199467159279,-40648.6652776807
-2.72417694846105,-4.19455797783944,-2.32832209054705,-1.79413727444745,-2.74052573642862,-1.75538471127009,-1.57935933728329,-2.8136617442387,-2.36546012234163,-2.56657444569467,-2.99585278611243,-2.72448048117715,-2.62565012128687,-2.20629288679487,0,0.802759836578592,0.272960750585602,0.363294104438218,0.324563142654295,0.362973572226565,0.194269990278401,0.360871473823905,0.176650475255196,-40641.3244619553
-2.72091637854263,-4.19295671058952,-2.32555612070615,-1.79198798530979,-2.73603475619389,-1.75335443953476,-1.57724837743855,-2.80881281097325,-2.36287961441525,-2.56348499431196,-2.99600666094802,-2.72232259802812,-2.61974846225432,-2.20311641901999,0,0.801414381676908,0.271824087684637,0.362751476655832,0.325416501169991,0.362749806192275,0.191955481217374,0.360395139005265,0.176275295607743,-40636.2865838769
-2.72090738830403,-4.19295326906347,-2.32554889877428,-1.79198114478229,-2.73602200683043,-1.75334832185294,-1.57724223844789,-2.80879911171043,-2.36287148957861,-2.56347655773651,-2.99600852867594,-2.72231562542198,-2.61973157069861,-2.20310808657077,0,0.801410517155145,0.271820839341076,0.362750095372516,0.325419289022036,0.362748802342145,0.191948624170394,0.360393998466793,0.176274202823415,-40636.2729597767
-2.70919203228411,-4.1899542206942,-2.31654483719075,-1.78206425632104,-2.71896381765906,-1.74477815325825,-1.56877868690409,-2.79036817405172,-2.35117619402665,-2.55264262183101,-2.99890598433193,-2.7121677815824,-2.59785695369872,-2.19253737573976,0,0.796354651270892,0.267412248761279,0.361112696853142,0.329114595924585,0.361111790620735,0.182575532134362,0.359000565883625,0.17481676548911,-40618.7679482809
-2.70700392251953,-4.18920469059169,-2.31470382030035,-1.78023378927025,-2.71582796399182,-1.74314037592882,-1.56715329231967,-2.78705389297575,-2.34885226853646,-2.55046891051134,-2.99956573101299,-2.71004715949617,-2.59329436879965,-2.19039928199917,0,0.795360693794839,0.26661850869005,0.3607543677026,0.329902793655846,0.360753681254903,0.180651772030053,0.358716356482361,0.174544766332508,-40615.0988396009
-2.69512588428247,-4.18446555923987,-2.30466937508697,-1.77021825752293,-2.69921916147684,-1.73429177653108,-1.55844140383292,-2.76930770906267,-2.33620961601234,-2.53840030384179,-3.00362979912575,-2.69833626106367,-2.56967711422381,-2.17893222970956,0,0.790020251855688,0.26242843194178,0.358826000046698,0.33442849138045,0.358823833912711,0.170437502214904,0.35723550901166,0.173108844605233,-40595.5422424333
-2.68383764829366,-4.17898128601669,-2.29499088207134,-1.76080367288021,-2.68351231245149,-1.72591976757439,-1.55024311317941,-2.75277816682106,-2.32417611142503,-2.52668038928248,-3.00850632650217,-2.68709398966911,-2.5472677999654,-2.16791799115831,0,0.784782803363501,0.258559590262444,0.356903539051018,0.339138688492651,0.356902978687132,0.161003139598386,0.355820493319246,0.171733085402133,-40576.8968613019
