"B_mean_avail_psdn","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_cpue","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_dcrb","B_mean_price_part","B_mean_price_crab","theta_part","logLike"
1,1,1,1,-0.05,-0.005,-0.02,2,0.3,0.4,-1.15,-2,3,3,0.5,-39384.2410276077
1.267562308969,1.2685253347295,1.38300657607335,0.659314565944329,-0.0575679689290213,-0.00590929870519135,-0.0184486584441957,2.07875182245258,0.376558404197427,0.377592640665323,-1.2710527761517,-2.09922428096562,3.19961427300875,2.98310089527793,0.675316461252257,-37686.2717024563
1.7580195199209,1.56163555623733,1.27966261637552,-0.227507691456552,-0.0593932741962457,-0.00567209505474918,-0.0234553725185993,2.20793709703669,0.42135348352411,0.351821747230657,-1.54367318380421,-2.09893910127618,3.48896047713661,2.953813997937,0.903152894707919,-35148.6608409416
3.96066014170685,2.79812012856242,3.24641799168354,-2.26345094778014,-0.0633066650122731,-0.00486577555680244,-0.0399866721983602,2.38861377702858,0.527607289764761,0.276704048721343,-2.36993694776526,-2.09729597026724,5.15133337981039,2.86874986091893,1.38125593619933,-28209.0938598647
4.75955056079642,3.27751969487844,2.34632055768503,-3.44692627515293,-0.0659755658524123,-0.00445094596938719,-0.0504529004336692,2.56039230479095,0.611748188734332,0.237579962759486,-2.94097415498393,-2.11051198387359,5.77905405291161,2.83597941269317,1.98349748002734,-24386.7274057231
7.33687581337494,4.71187107001112,12.7310654625358,-5.23466101021081,-0.0688376647283224,-0.0031048761945468,-0.0619541975592109,2.64553639118602,0.660837671943898,0.173740880889164,-3.37229088546461,-2.11788690128695,6.94905617914433,2.7534143168217,0.707300822349812,-19611.0503574172
8.26316883718516,5.26652659919322,13.4798902725093,-6.93331195854544,-0.0775347268863898,-0.00243504729145794,-0.0794002109990123,3.03455256161953,0.769488793034668,0.0969022455803934,-4.29765069240142,-2.25299990093027,7.39609817346346,2.74645742306573,0.795355130040032,-15117.7832102448
8.48443514300556,5.7056013707139,15.3285331055412,-9.8785468528943,-0.084818213245425,-0.00131163272646404,-0.0860899327288704,3.48717094301996,0.80763872504831,0.0363348554860768,-4.62735185728217,-2.41333631573859,5.9481181573602,2.72422773861497,0.669835791554118,-11280.5132110551
9.92323192254915,7.09214678186335,22.7497763357437,-14.9545601101477,-0.0830098694154939,0.000543029290252554,-0.0789000293590419,3.73381147129262,0.819358222246617,-0.0346649203108526,-4.25721458557398,-2.20357208057502,4.50442440547318,2.70114019974986,0.199044644788755,-8152.40366695216
10.3835742258118,7.6892555384036,25.6478389258971,-18.115068957984,-0.0850413997097265,0.00156580289084243,-0.0640662101902901,3.23396448781759,0.774125076565223,0.0948178380889743,-3.21779997911069,-2.1460975933106,2.94667280047847,2.46870040794372,-0.380593854817558,-5873.94528609608
8.66207622669229,5.93975188817453,21.9085718800324,-22.9144629176854,-0.0896610507229164,0.00206707580766305,-0.0535358559457976,2.80848234565447,0.666913065979963,0.344027499768205,-2.30396512452521,-2.2011941952539,2.10780780458983,2.24651431666063,-0.756180274148234,-4103.60758063871
5.07404077088996,2.70734273364529,15.1425874084826,-35.1191722975031,-0.0794781477932157,0.00324376100042207,-0.0408228868802626,2.51797803293919,0.418864087847102,0.631574638153581,-1.41744777697755,-2.29420477989502,0.944200079858142,2.20440079410878,-1.08304891611798,-3159.72481962616
5.39008702784986,2.75002661667691,14.88331592647,-31.231365726816,-0.0901280374205381,0.0029608907230857,-0.0266011440326001,2.93938180662183,0.422539215919331,0.438730035996652,-0.949048768640924,-1.4613065175842,0.61531429513533,1.98279700212162,-0.848553135182229,-2745.79037073302
5.16843671304264,2.48224691650199,13.8839872406368,-26.3646533002911,-0.0822376517661299,0.00212084725382591,-0.0132495139137419,3.67814440458877,0.436947914703816,0.256825400334787,-0.526113671017932,0.0404135789812872,0.281658661721525,1.59029191790093,-0.502748769406606,-2542.32716247116
3.13496568337265,1.48922820663244,9.40322831160032,-22.6553032792333,-0.0579330397335917,-0.000417002607688283,-0.00384840683617038,3.85496060037773,0.315379172320442,0.257199050548169,-0.0756335815215569,0.507258700012271,-0.017908653489729,1.29695515590148,-0.36354487897497,-2427.42369951337
2.15361859632745,1.21214788028999,6.65578046268419,-20.3059700517112,-0.0430380801167931,-0.000958056739402222,-0.00403270378261799,3.49527147976806,0.257710081145389,0.333443859041775,0.0338618679395432,0.376967295047819,-0.116047613757025,1.17854334639209,-0.35143428978172,-2364.23960423735
2.14284685954927,1.17579395585487,7.05960830288228,-19.3889118734725,-0.0420186232518018,-0.000599341921327902,-0.00388370615938463,3.46604336060984,0.27096842729752,0.336413846858485,0.0384202570019413,0.355865652501294,-0.132880290172053,1.20450085194674,-0.284923567793625,-2339.83956581037
2.62124973104306,1.42175079908136,7.90017912782062,-11.5180458136657,-0.0353866784610977,-0.00138603261983113,2.19770351007381e-05,3.35643123693578,0.334761411457699,0.283588559171907,0.178729110926962,0.25936165793136,0.0643591099091768,0.900682695175532,0.0414557752622595,-2241.5435107062
1.48946820795818,0.788461882561823,3.25975411942482,-7.34255197512716,-0.039533470970459,-0.00194820566418714,-0.00133246872855439,3.3896768260942,0.339495427679342,0.35588412641137,0.225436803722129,0.225000669693768,-0.372614172792967,0.625864251551277,0.480899512035764,-2183.71587456794
