"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_msqd","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_msqd","B_mean_avail_ytna","B_mean_avail_btna","B_mean_avail_psdn","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_d_c","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_dist_to_cog","logLike"
-2.55043412839647,-2.76943767397909,-2.38663900925453,-1.90810755215835,-2.97207659932027,-2.13406832962956,-1.90736752971443,-3.14874119322694,-2.12345080238931,-2.57986020614482,-2.39985886955534,-2.46660998281567,-2.60978712572153,-2.33635971351679,-0.459993084409984,-3.73844479099175,-0.520749814874488,12,4.68715156242806,2.46897822037189,0.654834282360457,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.195223278939648,-0.0417046574016666,-1.00397649888326,-0.862768828374188,-0.962611,-0.00431293393440836,1.21838066095092,0.152284909609806,0.186785241803917,0,-0.00153006705503279,-27416.5814141664
-2.55043412839647,-2.76943767397909,-2.38663900925453,-1.90810755215835,-2.97207659932027,-2.13406832962956,-1.90736752971443,-3.14874119322694,-2.12345080238931,-2.57986020614482,-2.39985886955534,-2.46660998281567,-2.60978712572153,-2.33635971351679,-0.459993084409984,-3.73844479099175,-0.520749814874488,12,4.68715156242806,2.46897822037189,0.654834282360457,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.195223278939648,-0.0417046574016666,-1.00397649888326,-0.862768828374188,-0.962611,-0.00431293393440836,1.21838066095092,0.152284909609806,0.186785241803917,0,-0.00153006705503279,-27416.5814141664
-2.55043461867237,-2.76943851380493,-2.38663649949023,-1.9081070602454,-2.97207813537925,-2.13406887011007,-1.90736804350723,-3.14874886612844,-2.12345325668053,-2.57985904610376,-2.39985846421731,-2.46661006642528,-2.60978667056412,-2.33636379450766,-0.459992989882516,-3.73844283192329,-0.520744343721482,12,4.68715155669652,2.46897822439824,0.654834157024093,12,1.35337095605719,-3.94399756848311,2.44832226124564,1.60163096971323,3.34776866103749,-1.77661062664311,0.195194262266441,-0.0418730112387544,-1.00397808129093,-0.86276895318612,-0.962611,-0.00525900535539084,1.21837939748923,0.15228596648885,0.186700458669114,0,-0.00414950241799766,-27096.2916244066
-2.55043589682631,-2.76944259851606,-2.38662324732539,-1.90810212186598,-2.97208458116401,-2.13407323261199,-1.90736333625747,-3.14878098045012,-2.12345523180591,-2.57985296969927,-2.39985635716887,-2.46661182366522,-2.60978413925997,-2.336385803543,-0.459992483955455,-3.73843261519619,-0.520695428516116,12,4.68715174943396,2.46897823814521,0.654833796606714,12,1.35336063886834,-3.94399530359631,2.44831853181481,1.60162657563674,3.34774659293883,-1.77660864468682,0.195088016897796,-0.0424002254134202,-1.0039857111106,-0.86276948054566,-0.962611,-0.00821266508173077,1.218385943311,0.152290917885908,0.186444286658202,0,-0.00371615078483388,-26785.2981552364
-2.55060155044555,-2.76999221519928,-2.38496229823775,-1.90671092094866,-2.97245923634906,-2.13507249247437,-1.90527986979263,-3.15180710597119,-2.12371004847574,-2.57909955531725,-2.39959387130432,-2.4667385783089,-2.60942885075649,-2.33917031721922,-0.459930067082898,-3.7371956204539,-0.515429789216517,12,4.68716922783124,2.46898005123054,0.654774212891778,12,1.3519850808907,-3.94371508385551,2.44806343734934,1.60137858540674,3.34574435002564,-1.77635395068795,0.187375683144223,-0.062722688117842,-1.00532644587685,-0.862877188507619,-0.962611,-0.00504931231774773,1.22149453003609,0.154310411108831,0.175550649099248,0,-0.00349449834495732,-26740.5854204754
-2.5557204792392,-2.78515043134352,-2.33147788086737,-1.86040397511257,-2.9860302788771,-2.14570677038785,-1.83153017885797,-3.2510656178308,-2.13635268288169,-2.5550873107943,-2.39107268582248,-2.46925227718254,-2.59767246884892,-2.41477104229503,-0.457902900868909,-3.69805433871475,-0.349401898606141,12,4.68766123991899,2.46904523585421,0.652990602586198,12,1.31429760851821,-3.93470742312995,2.44522129542697,1.59216440782124,3.27878460040096,-1.76816577040457,-0.042462541965934,-0.0371764433455856,-1.04201084967262,-0.865677480929444,-0.962611,-0.00206701217074211,1.35288802615576,0.237271566446904,0.106701310814255,0,-0.00321148642678354,-25553.905416287
-2.55647287895805,-2.80452962209308,-2.28850309249933,-1.82768496367787,-2.99268757159141,-2.11393334816576,-1.8223837651073,-3.28805590153598,-2.14718684566742,-2.53461705059154,-2.385125558045,-2.46770260735428,-2.59129293267796,-2.48796931031927,-0.456514258026807,-3.65849853508501,-0.224223855326504,12,4.68795144385552,2.46908816365125,0.651360155135603,12,1.27784790563766,-3.92727764216237,2.44261376518884,1.58739610992171,3.25093354099267,-1.76184680665645,-0.0977511901324923,-0.097295191224456,-1.06241661934178,-0.866580767856267,-0.962611,-0.0021934080087288,1.436785122274,0.261408960433997,0.244452830678957,0,-0.00356035563605812,-25335.9438594718
-2.55074941813732,-2.90633608374073,-2.1485498951542,-1.76772631395741,-3.00185623825145,-1.93250098053476,-1.87524433497489,-3.27463661913807,-2.20135737859999,-2.4646082184921,-2.36825598344618,-2.4600692535513,-2.58950903412836,-2.81298071255046,-0.45346954753433,-3.48597437153387,0.184113253794221,12,4.68893980255545,2.46918030223452,0.644101855509771,12,1.11247339065053,-3.90171005059756,2.42943224555652,1.58002321151132,3.24334164001329,-1.74382287785749,0.104253628652234,-0.0866031495590903,-1.126290902848,-0.867217425584219,-0.962611,-0.00404994119791429,1.60610780377425,0.15734097403574,0.201869572566659,0,-0.00432622528624427,-24987.9581320572
-2.56009543330283,-2.9642270071386,-2.11792161755866,-1.77365092371241,-3.03054046630747,-1.98487857737955,-1.79157229526999,-3.24069706051323,-2.19058056116615,-2.46316641198169,-2.36918047713239,-2.48024584793739,-2.6000993851751,-2.8281376377107,-0.457851151482566,-3.39060237885392,0.181174669883931,12,4.68868688060485,2.46900124632565,0.637921487199121,12,1.07500455082805,-3.89452714691616,2.41303962757206,1.56380700532689,3.25862084004518,-1.74513819003328,0.169561085394137,-0.0907337606172664,-1.18730571266839,-0.872018563350531,-0.962611,-0.00569578971211884,1.7146341568855,0.136672575353673,0.202183364253946,0,-0.00437097904788378,-24907.0907939456
-2.57550404508284,-3.02666596814871,-2.0915618207566,-1.73049341824269,-3.05951614073856,-2.041450077372,-1.81679913257222,-3.20958598921171,-2.17122169491287,-2.47077868321454,-2.36752961821337,-2.4955795253444,-2.60962201117781,-2.79296767669649,-0.464379653566098,-3.27461242181225,0.19733035543938,12,4.6889528332236,2.46884072480641,0.631033284088437,12,1.05128654002637,-3.88634471887139,2.38389377724895,1.54890245892151,3.27478374983134,-1.74827465148327,0.16803600919323,-0.08815949598909,-1.26310020273396,-0.882405443994188,-0.962611,-0.00620005396601543,1.72786318644699,0.0935987542598782,0.204214075387619,0,-0.00443984200568015,-24853.0210337584
-2.64465344132708,-3.33976194927209,-2.05857408999018,-1.72925098490618,-3.15204532871336,-1.91820098499001,-1.81698232821941,-3.12423757512359,-2.1907932119438,-2.53021864039814,-2.360552442144,-2.59694872021036,-2.64712312191867,-2.73299168904615,-0.505901048603613,-2.63658217212502,0.110208974933869,12,4.69076991228284,2.46807698136139,0.592541780276569,12,0.896339506512395,-3.8529285845694,2.2622793745016,1.51364545921555,3.32034509305562,-1.76634239977338,0.124038730065017,-0.084043863229671,-1.62908606992136,-0.962109985100844,-0.962611,-0.00651787689736511,1.56197835718741,0.232225092180693,0.211564502640517,0,-0.00411665927083248,-24792.1866887229
-2.64356703924562,-3.37458969011474,-2.06747213183087,-1.76747247433808,-3.14030160107228,-1.92621314125556,-1.79256620707275,-3.13064544698864,-2.18877174229272,-2.53071865702592,-2.35569594905375,-2.59702882739029,-2.6474447543094,-2.74355627253079,-0.511617046307081,-2.5589283756838,0.110368107706316,12,4.69124188395596,2.46806867470993,0.587804878873394,12,0.877610210849335,-3.84791468235497,2.24073205072087,1.52468116693534,3.31302306955211,-1.76580998781407,0.106301023812507,-0.0831828202095815,-1.66050583638268,-0.976616644133618,-0.962611,-0.00652187186631426,1.51668775889989,0.202354742263592,0.220378058514412,0,-0.00414976903484119,-24778.5998872075
-2.60041327194459,-3.46211465468604,-2.15895568228565,-1.77702553841722,-3.03616558518526,-1.9704692982529,-1.84285633189408,-3.20390573851185,-2.17679638003164,-2.51589786087593,-2.33142924459914,-2.56719574918203,-2.64107152639947,-2.8506306863909,-0.532906110539053,-2.36232971492565,-0.00664565566855978,12,4.69229782604574,2.46823976262093,0.573017831984047,12,0.825092605248131,-3.8317091616533,2.14301947114334,1.60381981500343,3.24349277105108,-1.75755970720238,0.0825928155736661,-0.079159043811568,-1.69794848592586,-1.0378994926635,-0.962611,-0.0068960767324165,1.51102996693452,0.162302608411572,0.2287181816355,0,-0.00395372699355777,-24769.5510546581
-2.58935261729932,-3.47591403754176,-2.1665845253152,-1.78521415389362,-3.02316578275731,-1.99376289348027,-1.85146874646454,-3.20874821906738,-2.1808824539959,-2.51565276206182,-2.32564038214518,-2.56153654780744,-2.63924750194999,-2.85967364802645,-0.537512022082686,-2.3414201794063,-0.00594579241051048,12,4.69251530747713,2.4683234229202,0.570501273442843,12,0.822995462978421,-3.82603577377296,2.1146993135662,1.61437568636297,3.23313660336413,-1.75623396775772,0.090354926015254,-0.0786209768981835,-1.69498720034992,-1.05006249847091,-0.962611,-0.00710093589886204,1.50406251055859,0.179973866724159,0.229558207028694,0,-0.00394623350488542,-24765.051294098
-2.54903656002172,-3.52819483275343,-2.15805844761993,-1.83892664934568,-3.02899538345146,-2.00608967855287,-1.88954541090249,-3.21884415647457,-2.24635890843379,-2.53539929354219,-2.29703117430319,-2.56043185566125,-2.6394611360782,-2.85840363514326,-0.560282079757321,-2.31436272160053,-0.0245228475672458,12,4.69300215637406,2.46875169311054,0.558916522929046,12,0.831499242315429,-3.79109823987482,1.98286885650866,1.62251250421041,3.18969402803295,-1.75617352343806,0.0857535421410593,-0.0780851120120125,-1.67073487876382,-1.11038583951735,-0.962611,-0.00677926139081496,1.52405401024346,0.175554010402856,0.229404117207799,0,-0.00382976308206823,-24758.1258035987
-2.52224346331832,-3.58944886071314,-2.17688604171647,-1.84209601339198,-3.10251088586638,-2.01885003239825,-1.89388273361811,-3.23721550456338,-2.24525844591525,-2.56169166630022,-2.26808960795642,-2.57767551077945,-2.65656153651218,-2.89655457350782,-0.590282186624592,-2.30944918385823,-0.0459593322968982,12,4.69462386792959,2.46943018792477,0.542745494480027,12,0.82288904187934,-3.7460047259764,1.85449728727971,1.59063027661079,3.12097739920567,-1.7586713428119,0.0897688188897901,-0.0767198130433687,-1.6144968946131,-1.19143168864932,-0.962611,-0.00664933344827514,1.50461839700152,0.168916950267503,0.232067038094934,0,-0.00378610725686958,-24747.2287821901
-2.54853427743733,-3.66434741486797,-2.23087581445758,-1.91480720583323,-3.17602376632195,-2.00363481392238,-1.93732053445922,-3.27046773589774,-2.14863947388024,-2.60459983265381,-2.25276895695234,-2.60721307004279,-2.68734350150403,-2.8950742060269,-0.634415551207796,-2.30177560850177,-0.0383019059407732,12,4.69724569063384,2.47051275846623,0.515267266580555,12,0.817914553455578,-3.67687119655899,1.69902721032035,1.56455245875293,3.00232651774279,-1.76306422017928,0.106815108621804,-0.0755049946357737,-1.5468892876083,-1.31425033554169,-0.962611,-0.00607119438886324,1.52602513866939,0.17064686397682,0.228352864563819,0,-0.00383011979388177,-24736.1240235902
-2.63029341904699,-3.7022330223743,-2.30071870398786,-1.91478338012489,-3.20003220279271,-1.99348245319165,-1.9317516982434,-3.30188780659625,-2.15078880015297,-2.6121883793097,-2.28815144795217,-2.62235511305729,-2.72696728027153,-2.86946425981072,-0.664909623729971,-2.31114141848692,-0.0186022336256159,12,4.69925351925038,2.47148169741352,0.490242208731795,12,0.817143174450889,-3.62227538828904,1.58713282284233,1.56282421332159,2.8943616725515,-1.76176844156268,0.139356695444567,-0.0761565050770271,-1.52785433850698,-1.41039361134952,-0.962611,-0.00597896978674893,1.52981232909478,0.161925089811047,0.227075715816015,0,-0.00382578121603145,-24725.0869326978
-2.76650289176874,-3.72262672844704,-2.30455800910398,-1.9536215989171,-3.24381846800223,-2.01726979158736,-1.96191187939319,-3.32279006117714,-2.14990997651164,-2.58340091123943,-2.37243749069358,-2.62282230311041,-2.77197996137465,-2.90263224337349,-0.698004794069349,-2.35075616271342,-0.038507679171406,12,4.70108803346913,2.47285304847149,0.453826867577258,12,0.80839741216848,-3.53298306455191,1.47208098620122,1.55199434144942,2.76610391999642,-1.74777531404923,0.162441296270751,-0.0745640719438296,-1.55153531644903,-1.53950276129698,-0.962611,-0.00606910695740502,1.51752367130424,0.163569471742196,0.229011553651397,0,-0.00375884282252399,-24710.2879055941
