"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_wa","c_dcrb","c_psdn","B_mean_price_part","B_mean_price_crab","B_mean_price_slmn","w_psdn","w_nanc","w_dcrb","w_slmn","w_cmck","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","lambda_part","lambda_nanc","lambda_psdn","asc_no_participation","w_nopart","B_mean_price_no_part","B_d_cd","c_no_participation","logLike"
2.81395408165165,-0.0522783582905327,-0.00444279804960968,-0.0177866511792655,2.06416375389242,0.318181965876877,0.362854730207284,-0.963340510602902,-4.63367177010266,-2,-2,4.12382929023116,0.0765630496123935,5.61079283551094,-0.123463989409509,-0.477130089795752,-0.398683183099696,0.720275577567045,-0.0297409215832029,-4.41156169769399,-5.31640569546322,-5.31881950321262,-4.97969325598634,-6.06594034150467,-9.38957031693706,-5.33584830203152,-5.46476385153309,-7.48376599010612,-16.3049033037021,0.464367824396997,0.464367821563381,0.337500009842129,0,0,0,-4.00000000000072,0,-1900.34991385581
2.81395408165165,-0.0522783582905327,-0.00444279804960968,-0.0177866511792655,2.06416375389242,0.318181965876877,0.362854730207284,-0.963340510602902,-4.63367177010266,-2,-2,4.12382929023116,0.0765630496123935,5.61079283551094,-0.123463989409509,-0.477130089795752,-0.398683183099696,0.720275577567045,-0.0297409215832029,-4.41156169769399,-5.31640569546322,-5.31881950321262,-4.97969325598634,-6.06594034150467,-9.38957031693706,-5.33584830203152,-5.46476385153309,-7.48376599010612,-16.3049033037021,0.464367824396997,0.464367821563381,0.337500009842129,0,0,0,-4.00000000000072,0,-1900.34991385581
2.81395408165165,-0.0522783582905327,-0.00444279804960968,-0.0177866511792655,2.06416375389242,0.318181965876877,0.362854730207284,-0.963340510602902,-4.63367177010266,-2,-2,4.12382929023116,0.0765630496123935,5.61079283551094,-0.123463989409509,-0.477130089795752,-0.398683183099696,0.720275577567045,-0.0297409215832029,-4.41156169769399,-5.31640569546322,-5.31881950321262,-4.97969325598634,-6.06594034150467,-9.38957031693706,-5.33584830203152,-5.46476385153309,-7.48376599010612,-16.3049033037021,0.464367824396997,0.464367821563381,0.337500009842129,0,0,0,-4.00000000000072,0,-1900.34991385581
2.81395408165165,-0.0522783582905327,-0.00444279804960968,-0.0177866511792655,2.06416375389242,0.318181965876877,0.362854730207284,-0.963340510602902,-4.63367177010266,-2,-2,4.12382929023116,0.0765630496123935,5.61079283551094,-0.123463989409509,-0.477130089795752,-0.398683183099696,0.720275577567045,-0.0297409215832029,-4.41156169769399,-5.31640569546322,-5.31881950321262,-4.97969325598634,-6.06594034150467,-9.38957031693706,-5.33584830203152,-5.46476385153309,-7.48376599010612,-16.3049033037021,0.464367824396997,0.464367821563381,0.337500009842129,0,0,0,-4.00000000000072,0,-1900.34991385581
2.81395408236917,-0.0522783350541831,-0.00444273346633856,-0.0177866333740435,2.06416375526753,0.318181966780647,0.362854740766733,-0.96334050927003,-4.63367177010266,-2,-2.00000000019322,4.123829290486,0.0765630541141908,5.61079283550896,-0.123463989031269,-0.477130089777497,-0.398683182953105,0.720275577566608,-0.0297409215944431,-4.4115616976652,-5.31640569501198,-5.31881950283646,-4.97969325577975,-6.06594034149265,-9.38957031698114,-5.33584830183882,-5.46476385155847,-7.48376598953648,-16.3049033037032,0.464367824106435,0.46436782241415,0.337500010409938,0,0,0,-4.00000000000144,0,-1900.34975618622
2.81395408323725,-0.0522783071998303,-0.00444272287794989,-0.0177866135410166,2.06416375686346,0.318181967863968,0.362854752966346,-0.963340507692936,-4.63367177010261,-2,-2.00000000045829,4.1238292907462,0.0765630601663393,5.61079283541238,-0.123463988569341,-0.477130089776181,-0.398683182755846,0.720275577541836,-0.0297409216093254,-4.41156169776053,-5.31640569445544,-5.31881950229097,-4.97969325552774,-6.06594034142635,-9.38957031704365,-5.33584830172511,-5.46476385159173,-7.4837659887707,-16.3049033037548,0.464367823640227,0.46436782353656,0.33750001105375,0,0,0,-4.00000000000253,0,-1900.34969976687
2.81399901450113,-0.0508805052618711,-0.00469531062974379,-0.017325101744455,2.06423905212602,0.318232187270903,0.363447102720938,-0.9632489615832,-4.6336717701133,-2,-2.00001691068966,4.12383914026482,0.0769368056251869,5.61078596223828,-0.123440238704358,-0.477132070613518,-0.398671016046861,0.720273821744412,-0.0297415100826906,-4.41156807331712,-5.31638770457969,-5.31878516986787,-4.97967852595253,-6.06593745880629,-9.38957442088823,-5.33584788050713,-5.46476516708229,-7.48371869191776,-16.3049069797161,0.464458393011013,0.464318936949186,0.337533742348558,0,0,0,-4.00000006101442,0,-1899.6143608117
2.81405422985069,-0.0493558574438894,-0.00469582968009644,-0.0182909114142442,2.06430640850845,0.318271408836265,0.3640589375011,-0.963111090533036,-4.63367177013457,-2,-2.00004808628212,4.12383801210113,0.0775941081861991,5.61077554725557,-0.123409975544434,-0.477142781234235,-0.39864960971092,0.720271209079823,-0.0297420024559648,-4.41157509245623,-5.3163958657056,-5.31872749564557,-4.97965580496501,-6.06593847244728,-9.38958280392735,-5.33586811458824,-5.4647662864516,-7.48363551419301,-16.3049125518252,0.464692968064107,0.464159910126948,0.337584430862402,0,0,0,-4.00000016411933,0,-1898.98423351912
2.81568861119831,-0.0498083042610809,-0.0043273143609018,-0.0174838500789028,2.06216567659839,0.315888588281328,0.367333781714846,-0.962086635970146,-4.63367177213004,-2,-2.00240186069023,4.12099871964708,0.124770374475149,5.61020352866669,-0.121450627118832,-0.479367856503691,-0.397109077873695,0.720133997676889,-0.029946099749296,-4.41168457832007,-5.31554297134297,-5.31626976492714,-4.97918571257208,-6.06639974218219,-9.39057367022175,-5.3424539027614,-5.46529692659335,-7.47766630523726,-16.3052187312509,0.482237402717486,0.449239166071013,0.342697816768646,0,0,0,-4.00000772087874,0,-1892.94999893233
2.81765303567671,-0.0500675196941425,-0.00470087639020929,-0.0181823741713756,2.06152463564256,0.314328128259851,0.364996449287463,-0.96110000630123,-4.63367177523172,-2,-2.00586910786066,4.11792143600475,0.168717873856472,5.60960782016152,-0.118671042474077,-0.481723182272483,-0.395603709366903,0.719993355004512,-0.0306184099933827,-4.41171156361323,-5.31454941417835,-5.3130808160295,-4.97810515538179,-6.06702252769467,-9.39179505796348,-5.34885938376276,-5.46717476827754,-7.47203189623777,-16.3055372058464,0.466421184647056,0.463102447864303,0.346449378647196,0,0,0,-4.00001998738743,0,-1890.15705527414
