"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","B_d_pd","B_d_pcd","B_mean_price_part","B_mean_price_crab","B_mean_price_slmn","w_cmck","w_psdn","c_psdn","c_wa","w_nanc","w_dcrb","c_dcrb","w_slmn","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","asc_no_participation","w_nopart","B_mean_price_no_part","c_no_participation","lambda_part","lambda_nanc","lambda_psdn","logLike"
2.3,-0.05,-0.005,-0.002,2,0.3,0.35,-0.3,-0.5,-0.5,0.15,0.15,3,-0.1,-3,-3,-3,-0.5,-0.4,-3,-0.7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0.5,0.5,0.5,-3481.97104135205
2.3,-0.05,-0.005,-0.002,2,0.3,0.35,-0.3,-0.5,-0.5,0.15,0.15,3,-0.1,-3,-3,-3,-0.5,-0.4,-3,-0.7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0.5,0.5,0.5,-3481.97104135205
2.3,-0.05,-0.005,-0.002,2,0.3,0.35,-0.3,-0.5,-0.5,0.15,0.15,3,-0.1,-3,-3,-3,-0.5,-0.4,-3,-0.7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0.5,0.5,0.5,-3481.97104135205
2.3,-0.05,-0.005,-0.002,2,0.3,0.35,-0.3,-0.5,-0.5,0.15,0.15,3,-0.1,-3,-3,-3,-0.5,-0.4,-3,-0.7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0,0,0.5,0.5,0.5,-3481.97104135205
2.29999555513072,-0.0501286108440254,-0.0143991609050892,-0.00169170358190313,2.00003677159701,0.300035557833593,0.349916480567725,-0.299986299261358,-0.500003631636826,-0.50001392738414,0.150012423694367,0.149872145496588,2.9999240689374,-0.100005093556503,-2.99997621954,-3.00000004692753,-3.00000000021989,-0.500003493481735,-0.400004571540421,-2.99999970467109,-0.700010731164319,-4.99999767863923,-4.99998510829583,-4.99998799940795,-4.99999138184614,-5.0000114436999,-5.00000440287967,-4.99997356990045,-5.00000574633661,-5.00001683392972,-5.00004140890637,0,0,0,0,0.500053460550727,0.499994466129225,0.5000023973573,-2967.21277747472
2.30011787374238,-0.0430722448658899,-0.0150691513168019,0.0112883776360727,2.00118624133991,0.300977476251529,0.353333972844312,-0.299499867227404,-0.500053108119855,-0.499990795374884,0.15032416987409,0.147369543598867,2.99947885181924,-0.100118532420443,-2.99938904566814,-3.00000104376401,-3.00000000702865,-0.500082080947443,-0.400085114682941,-2.99999092746182,-0.700058112016808,-4.99992830747609,-4.99962011311657,-4.99971000820954,-4.99975669148315,-5.00031377591177,-5.00013116156121,-4.99925972063593,-5.00013253892047,-5.00033104277631,-5.00027609795175,0,0,0,0,0.501488331578862,0.500352090056465,0.500426951163646,-2902.04340081331
2.3002137281877,-0.02279233586566,-0.0159820709622534,0.00496024315093535,2.00625590488697,0.305114738901947,0.362341637804402,-0.296407446480229,-0.500334475492762,-0.499757772942488,0.151828922645384,0.132593324886585,2.9971800357312,-0.100683533563837,-2.99632047930463,-3.00001597778342,-3.00000004915209,-0.500511698175378,-0.400570277459401,-2.99994304963791,-0.700313787633809,-4.99953650043688,-4.99935791548438,-4.99803159008525,-4.998370796767,-5.00199394267891,-5.00078555527539,-4.99537423872851,-5.00068256301537,-5.00218932955224,-5.00148131379643,0,0,0,0,0.507973581777379,0.503139300041252,0.502468626151059,-2860.70023853295
2.28668425786734,-0.0203388250706633,-0.0153269257792537,-0.00836092198115284,2.16107632855071,0.43510669356863,0.426552167634679,-0.23094829032118,-0.512363697411975,-0.49031136896381,0.189119954276107,-0.515324985536369,2.91442514781872,-0.124244548571883,-2.8754780189661,-3.00062120898805,-3.00000219573054,-0.526412239423464,-0.422043481810737,-2.99824453380344,-0.709026704633781,-4.98418238402404,-4.9843926661799,-4.93843502875039,-4.94964324839583,-5.07493967417424,-5.03105467606899,-4.86663828753558,-5.02514103259734,-5.08395652389334,-5.04477200850407,0,0,0,0,0.755757524463109,0.605424406724751,0.59056611012885,-2672.18147426336
2.254857433894,0.0102487036414377,-0.0113989456763093,-0.00492660773813153,2.41826401346363,0.639453399523959,0.223985974319733,-0.151246799119106,-0.51146484678662,-0.454785325470745,0.14618952296611,-0.391007130262346,2.66578413788924,-0.181581407204469,-2.59703544895596,-3.00431849662979,-3.00006882227138,-0.614580939536709,-0.416121138598233,-2.98811568828174,-0.737014210261948,-4.94116726370738,-4.94885384544606,-4.81080471396806,-4.86271176243708,-5.26312330856497,-5.1281674978116,-4.69547804394812,-5.11843978583865,-5.06439658312453,-5.17428388339862,0,0,0,0,0.99227402914886,0.720683346608517,0.787586760386895,-2480.31846279433
2.25451449719747,0.00826019353432632,-0.0113792567218744,-0.00505895206399843,2.42208568822778,0.642029699221841,0.227356957691748,-0.149587938738206,-0.511440166362036,-0.454028671065184,0.145705099541754,-0.388515935662027,2.66207321763432,-0.182201740405616,-2.59274450982486,-3.00441070489134,-3.00007181203704,-0.615526538082565,-0.416007364331929,-2.98793183310085,-0.737400577777955,-4.94050778412591,-4.94830160606204,-4.8087457753385,-4.86141025560713,-5.2651264017716,-5.12939831062364,-4.69374443398389,-5.11961177143258,-5.06401802707154,-5.1762082521037,0,0,0,0,0.994034700940208,0.722264056024791,0.789598761720519,-2476.90930239494
