"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_dcrb","B_mean_price_part","B_mean_price_crab","B_mean_price_slmn","w_psdn","w_nanc","w_dcrb","w_slmn","w_cmck","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","theta_part","theta_psdn","logLike"
2.8,-0.05,-0.005,-0.02,2,0.3,0.4,-1.15,-2,3,3,3,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,-45587.926274523
2.4645553191339,-0.0571506671688301,-0.00582986793824562,-0.0186864354315218,2.08161037359939,0.373536622370561,0.378566315430685,-1.26452376444996,-2.08411216766912,3.26887134094553,2.98373966451772,3.12214749421238,-0.951047444732508,-0.952003132954848,-1.08869726093337,-0.860823487619928,-0.945434074864818,-4.89345342365922,-4.95083260140161,-4.91104646557972,-4.90712330940584,-4.92013657568759,-5.22600884476724,-4.89274010640121,-4.94020980955521,-5.13542506272893,0.639875674171693,0.552743302922384,-43776.9421744296
2.46455551610357,-0.0571506937842374,-0.00582986924166057,-0.018686377620881,2.08161092272361,0.373536498268404,0.378567454779735,-1.2645204673399,-2.08411384075749,3.26886131344162,2.98374028453305,3.12214414924391,-0.951047829177319,-0.95200319279086,-1.088697941748,-0.860824286888779,-0.945434140810212,-4.89345961896104,-4.95084150550124,-4.91105412087936,-4.90713246580886,-4.92014127289081,-5.2260080573549,-4.89274656941682,-4.94021930893957,-6.13543983205051,0.639876089911891,0.552743309254076,-41506.9431887298
2.46455730336326,-0.0571508427405015,-0.00582986864771831,-0.0186861729619078,2.08161379880028,0.373536699397374,0.378572258375957,-1.26450423875276,-2.08412198663253,3.26886725018715,2.98374324639296,3.12212961737565,-0.951049297940657,-0.952003615094508,-1.08870129434712,-0.860828270859514,-0.945437442019109,-4.89350615513996,-4.95088999351567,-4.91110683484068,-4.90718448415358,-4.92017308061721,-5.22607265197069,-4.89279494632542,-4.94026700599991,-8.85379207650825,0.639873124590213,0.552749796495688,-35336.487805569
2.46456904254311,-0.0571524165636582,-0.00582993561867822,-0.0186826533530448,2.08164528222353,0.373528949506266,0.378640564193434,-1.26429844223907,-2.08422213899994,3.26829158713546,2.98378043197162,3.12192732201143,-0.951072155121564,-0.952007206732517,-1.08874189146579,-0.860875941626366,-0.945444816131311,-4.89388931215211,-4.95142964926616,-4.91157972132789,-4.90774278630729,-4.92046070976146,-5.22606595493783,-4.89319714604161,-4.94083885656169,-10.378174175717,0.639888439083808,0.55275795320551,-31878.2992331868
2.4646500420415,-0.0571610473044535,-0.00583015275194,-0.0186635414539994,2.08182448829038,0.3735118872918,0.378995389390412,-1.26312057026513,-2.08474805352861,3.26653385181098,2.98397697039769,3.12084749404119,-0.951179145887429,-0.952024375667461,-1.08895409137625,-0.8611296877472,-0.94552630242028,-4.89649117384882,-4.95460244359842,-4.91462129668705,-4.9110555051045,-4.92233126940712,-5.22783692336593,-4.89589878883199,-4.94410889126407,-12.4378995602002,0.63988075918429,0.552912990290439,-27215.0422122372
2.46509688369638,-0.0572208414943655,-0.00583224425144434,-0.018529277618969,2.08306993933165,0.373290806492427,0.38154034877417,-1.25511676570769,-2.08851098568909,3.24814223572929,2.98538525856233,3.11321887127888,-0.95197487432488,-0.952148556314969,-1.09045307486487,-0.862913567120446,-0.945891586868554,-4.91242137578769,-4.97573390261568,-4.93382652484207,-4.93303864530617,-4.93403633396553,-5.23228055312309,-4.91251644109067,-4.96626268946102,-14.2097035875101,0.640236405810154,0.55353234308761,-23276.5369326694
2.46735692465831,-0.0575413408775467,-0.00583860696061179,-0.0178211976670628,2.09037992693372,0.372735705290693,0.394702031339536,-1.21144135205653,-2.10844024783873,3.18441418689798,2.99308364730979,3.07294370440846,-0.955323301514026,-0.952798257360398,-1.0978949535886,-0.872101234974516,-0.94845873573714,-5.01109807431268,-5.09466502553649,-5.04819144906539,-5.05765298197528,-5.00430406796148,-5.30045337618745,-5.01381122427541,-5.08881663795903,-16.2987584994267,0.640552441797475,0.559473985475624,-18989.699313888
2.46914558933358,-0.0592023049173956,-0.00585073059317448,-0.015404458919759,2.13221629345583,0.375942946275625,0.445374817751723,-1.05169170899507,-2.1898939491141,3.26581759485707,3.02981256094004,2.91945682481758,-0.961078811503974,-0.957130889632606,-1.12594763668715,-0.910923807533229,-0.965789794998375,-5.53116811017428,-5.63171086152547,-5.6123224784519,-5.6192378378263,-5.37146599152079,-5.98684829424525,-5.52862677834608,-5.61890345743499,-18.8807819833797,0.638306928198629,0.606228996122435,-15014.3009995545
2.43684825973869,-0.0641703167401732,-0.00585911453819129,-0.015572766717725,2.27857393731179,0.421225759871445,0.521940706378519,-0.942148296614268,-2.35753461753656,5.49525917386109,3.13768154268724,2.72318295221146,-0.908504455450326,-0.942451064921352,-1.17169063478991,-0.997879012581315,-1.05744218077833,-7.11159418905764,-6.89344603172986,-7.20434429829982,-6.94721835417815,-6.56600426483383,-9.94283263886965,-7.04886569343314,-6.64756564339086,-22.2565697757806,0.517955477601785,0.923074309313747,-11285.5547397353
2.42799816000898,-0.0616639754430475,-0.00633699052426923,-0.0311745024813011,2.36302361148836,0.432347437872135,0.381837634804479,-1.58962114936965,-2.51391738977615,4.57136883251804,3.28915932150761,3.3297287926572,-0.621971373498642,-0.792358173978211,-1.14781658185711,-1.00024953136697,-1.08797332318891,-4.96418585061529,-5.22387200597874,-5.55098068261828,-5.5584378102726,-5.67314958648669,-8.40530894290082,-5.33653592658086,-4.52881760251915,-24.1646423902327,0.0126370662664936,1.67188862266038,-8337.45985713247
2.41097158497333,-0.0575577545471004,-0.00589581492805221,-0.0371634361895225,2.33791622063534,0.371713455809692,0.336085350805896,-2.09646645818658,-2.3797910251713,2.91328167518933,3.49055896706582,3.44900675140585,-0.233176533382265,-0.485945773341559,-0.977397595783043,-0.827292237769669,-0.460686259007635,-3.2094326204447,-4.12856493896278,-3.81643738319482,-4.05138104929978,-5.08478927153385,-6.37967784902292,-3.97998478034513,-3.69934769317171,-27.2938297967917,-0.178253565619143,1.40906800957695,-6280.91549031115
2.06431073179941,-0.0602103430513664,-0.00471796283201439,-0.0248957252207744,1.74322440896827,0.282023504257579,0.809989128405126,-1.93754367910418,-2.41473725900555,-2.53601029328564,2.70153508264994,1.99656447820073,-0.14345987179157,-0.307898018687934,-0.91784142494905,-0.605746918741717,0.0579815144421073,-3.36068601465521,-6.02167951243471,-4.08580684365516,-4.88810277391745,-5.75110293945658,-2.6062165143624,-3.92236914311513,-5.77549626111044,-24.4229376540777,-0.603373917532641,1.20783598594203,-4580.55888165005
2.43495023729605,-0.0770188752222048,-0.00558309769112161,-0.0150113553153825,2.70224666364935,0.134998966799736,0.695281886782686,-2.30002486719667,-2.63341931826021,2.04966011367471,2.85188665901634,2.05954625939946,-0.0800661675261498,-0.382175081841329,-1.01899908956473,-0.926015389347924,-0.15946623306311,-5.18159314344823,-7.39247614047087,-5.2857627301169,-5.33767552592679,-7.40090661126307,-8.40942825979071,-5.31287730355847,-6.53902121026959,-26.8238355656314,-0.00477327657601756,1.34748976703039,-3150.82919089027
