"B_mean_avail_msqd","B_mean_avail_psdn","B_mean_avail_cmck","B_mean_avail_nanc","B_mean_avail_albc","B_mean_avail_dcrb","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_psdn","c_dcrb","B_mean_price_part","B_mean_price_crab","asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_npa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_laa_psdn","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_sba_cmck","asc_laa_cmck","asc_laa_nanc","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_part_crab","w_msqd","asc_no_participation","logLike"
1.674983,-0.168489,-2.247578,11.415522,-2.19218,5.78463,-0.0681795745575034,-0.000865450215178451,-0.00467926763829586,2.56969166223813,0.380068579610992,0.384333664787536,-1.80271196142251,-1.98620581383377,-1.97020355440248,3.84576098781963,0.090807855347259,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,1.064859,10.400237,5.558108,0.125401,10.456592,-3.71287266860165,0,-6076.96564963604
1.674983,-0.168489,-2.247578,11.415522,-2.19218,5.78463,-0.0681795745575034,-0.000865450215178451,-0.00467926763829586,2.56969166223813,0.380068579610992,0.384333664787536,-1.80271196142251,-1.98620581383377,-1.97020355440248,3.84576098781963,0.090807855347259,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,1.064859,10.400237,5.558108,0.125401,10.456592,-3.71287266860165,0,-6076.96564963604
1.67498388605135,-0.16848881377694,-2.24757799099866,11.4155219917836,-2.19217992422041,5.78462985729004,-0.0681096513004654,0.000338590970055292,-0.00440057430785891,2.56969690683447,0.380071038676686,0.384369187783347,-1.80271188528134,-1.98620580747341,-1.97020355691597,3.84576622286487,0.0908057716172953,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,1.06485958454775,10.400237,5.558108,0.125401,10.456592,-3.71287260297168,0,-5924.44408813142
1.67509168700533,-0.16848990237344,-2.24757723909054,11.4155189445338,-2.19216988440876,5.78459734723103,-0.0606565087368631,-0.000666958977953762,0.0274567101217901,2.57030955570512,0.380334093908998,0.388092171988154,-1.80275527629267,-1.98620723053759,-1.9702048154779,3.84639652149668,0.0903071178975125,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,1.06492951370803,10.400237,5.558108,0.125401,10.456592,-3.71286396481668,0,-5484.29791931668
1.67531877614993,-0.168471731767351,-2.24758591046169,11.4155037390573,-2.19212133697926,5.78451736831307,-0.047139556943975,-0.000779045539471215,0.0249747478290874,2.57179834823514,0.381010821203976,0.395088501726488,-1.80257713750356,-1.98620954834538,-1.97020548589258,3.8477726055434,0.0891391333721871,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,1.06511625887127,10.400237,5.558108,0.125401,10.456592,-3.7128606030976,0,-5409.3789973137
1.69305857262501,-0.17399031660964,-2.24914061124224,11.4142475800152,-2.18585835577929,5.76249153421883,-0.121009541870983,-0.000737722851509458,0.0135314456264079,2.63916569756222,0.40289327511959,0.643735198620487,-1.81535543996606,-1.9875201832004,-1.97049301979131,3.97239181124961,-0.219434047048162,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,1.07076859811967,10.400237,5.558108,0.125401,10.456592,-3.7141583868138,0,-5361.96086103161
1.70750784419533,-0.187025721760183,-2.25112306792909,11.4130111316402,-2.17921578012571,5.75565927609665,-0.0932780204048092,-0.000511849875757917,0.0123790644172162,2.66859451558796,0.406033917700175,0.573741819052551,-1.81113375024739,-1.99014907664151,-1.97040374533773,4.07242563627283,-0.309585264036244,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,1.06188884899825,10.400237,5.558108,0.125401,10.456592,-3.7169293918421,0,-5321.19237287251
1.78500133489714,-0.266042894964305,-2.26338267632404,11.4062632375938,-2.1340230011905,5.75867642327475,-0.122763840437329,-0.000446420924838095,0.0111820519409141,2.83484406449891,0.427311172627665,0.548077574328521,-1.69822167258702,-2.00656106199354,-1.96845427038906,4.67354571616517,-0.228259358707433,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,0.987837423017301,10.400237,5.558108,0.125401,10.456592,-3.73479829598323,0,-5212.59629539183
1.78895436928217,-0.275376500326442,-2.26376034750985,11.4137824415348,-2.11240861309542,5.75645646537829,-0.118731365131864,-0.000485845007050266,0.0101347631516724,2.69341088600972,0.356906655716801,0.559951417129677,-1.66179511061674,-2.01077874216262,-1.9670171707452,4.79507712131238,-0.230979161078126,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,0.964879303859637,10.400237,5.558108,0.125401,10.456592,-3.76157478848906,0,-5196.01747513559
1.71568301529401,-0.177110860910641,-2.26330001510741,11.4671279120876,-2.01089153476007,5.74229814290586,-0.10835659960251,-0.000645102721828883,0.00840266746262787,2.30983523337629,0.548746973681179,0.581389039399424,-1.49194572566554,-2.00894916592059,-1.95779875119596,5.01171915633832,-0.26636591108152,-9.569094,-9.477997,-10.516949,-9.984531,-10.014414,-10.001498,-9.781821,-7.896198,-5.634865,-4.053051,-4.473406,-7.459976,-8.743552,-12.205574,-19.579248,-7.102633,-7.240661,0.434683896834016,10.400237,5.558108,0.125401,10.456592,-3.91328682835319,0,-5177.22666905582
