"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_dcrb","B_mean_price_part","B_mean_price_crab","B_mean_price_slmn","w_psdn","w_nanc","w_dcrb","w_slmn","w_cmck","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_psdn","logLike"
2.8,-0.05,-0.005,-0.02,2,0.3,0.4,-1.15,-2,3,3,3,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,-45330.6101144516
2.45371373335357,-0.0571057859749881,-0.00584867720899181,-0.0186452867830176,2.08098876180262,0.373837223881783,0.37864344286411,-1.26446128678252,-2.08372421061393,3.26275795412911,2.98385674446268,3.09123407505522,-0.954924198607687,-0.951141424187549,-1.0873032308177,-0.903823861211591,-0.949133311494923,-4.88904807752598,-4.94818232627253,-4.91215153481707,-4.90946611037569,-4.91969992107839,-5.22686307455906,-4.89305741338397,-4.94150172849755,-5.13460898096996,-4.82930446349504,0.653241807945006,0.547528276867397,-43515.4209792008
2.45371262625434,-0.0571058121340221,-0.0058486786793483,-0.0186452305998516,2.08098938280356,0.373837098975625,0.378644571277616,-1.26445806621189,-2.08372582686672,3.26274728748923,2.98385735722957,7.22932486303464,-0.954924582368755,-0.951141495553576,-1.08730390075198,-0.903824652801257,-0.949133369264803,-4.88905362128953,-4.94819058550301,-4.91215848962926,-4.90947465859939,-4.91970392262808,-5.22686099458083,-4.89306319862105,-4.94151078648285,-6.13462306135247,-12.5715240090891,0.653242241301277,0.54752851636775,-41245.4219965118
2.45370922523123,-0.0571058836174038,-0.00584868250383752,-0.0186450862647801,2.08099111999738,0.373836762487723,0.378647604737827,-1.26444971560485,-2.08373031748101,3.26271716208065,2.98385903081337,7.22991220173437,-0.95492563448384,-0.951141663571733,-1.0873057301281,-0.903827047633194,-0.949133591864635,-4.88906774194339,-4.94821213982665,-4.91217635996063,-4.90949706035372,-4.91971393223215,-5.22685336265702,-4.89307784875889,-4.94153456757145,-7.13466059139816,-12.5726378609493,0.653243495689196,0.547529260174682,-38975.4248328304
2.45370147823814,-0.057106251158493,-0.00584868153337178,-0.018644322056605,2.0809990100635,0.373836837494826,0.378661679681657,-1.26439583183727,-2.08375202411596,3.26272864441676,2.98386713788595,6.41266220062742,-0.954929286059744,-0.951142576035969,-1.08731452391492,-0.903838353072304,-0.949143197352491,-4.88920383421015,-4.94835425553716,-4.91232921770519,-4.9096482946352,-4.91980544687628,-5.22703379161894,-4.89321918669815,-4.94167571497581,-9.8531453119804,-11.0436714973084,0.653232610392812,0.547549996080997,-32805.0457045532
2.45353295528295,-0.0571103626511116,-0.00584887822550825,-0.0186348019267663,2.08109470770948,0.373814363656572,0.378848105989808,-1.26383890543572,-2.08401985375246,3.26100030631565,2.98396831873651,7.0774322596762,-0.954990691785858,-0.951152014912962,-1.08742271366636,-0.903977452109298,-0.94916573719401,-4.8901465426571,-4.94973324297332,-4.91350792595413,-4.91108357743215,-4.92048084679972,-5.22676529244055,-4.89420651336178,-4.94317010291321,-11.3790226001209,-12.2883859068741,0.653271431840711,0.547614538470541,-29347.0075447905
2.45273519346051,-0.057132681454306,-0.00584954584292837,-0.0185833243995423,2.0816290147882,0.373755538930021,0.379811398202666,-1.26066357465783,-2.08542045426986,3.25534681210785,2.98450136858384,5.18478940405421,-0.955273328815105,-0.951194837020528,-1.08798277928987,-0.904705121187702,-0.949422004548432,-4.89663840351252,-4.95784238278468,-4.92115871506332,-4.91959999248932,-4.92497442019154,-5.2301852612867,-4.9009386270392,-4.95167591220403,-13.4468110291265,-8.75241266334402,0.653214270897868,0.548268475898215,-24685.6059662518
2.44677349423328,-0.0572819085558777,-0.00585506576190829,-0.0182349426450354,2.08532130110726,0.373156660768537,0.38642519192953,-1.2397732948112,-2.09507378111062,3.20375491930314,2.98821704883783,57.5770416291215,-0.957198869275489,-0.951474004074938,-1.09172459668424,-0.909620609557601,-0.95053326137171,-4.935492641697,-5.01012541758569,-4.96817061806512,-4.97446133976589,-4.95212021001678,-5.23559384507105,-4.94124683387673,-5.00750441282334,-15.2722006045725,-106.810857127724,0.653938298497839,0.551615979765301,-20754.3650351341
2.42290844497344,-0.0580202858431864,-0.00586539647621489,-0.0166852861070469,2.10547832350496,0.372619016642739,0.41563050319776,-1.14109814822363,-2.13985315983542,3.10030730969797,3.00671473662425,39.2810783006482,-0.962621126732504,-0.952645720072776,-1.10718991099146,-0.931247223563358,-0.959009331037072,-5.16879801303083,-5.27791985642653,-5.23347122643166,-5.25819556126192,-5.11135671509539,-5.43548373119836,-5.17764133832038,-5.28313624093805,-17.5936419137508,-72.7376013314168,0.651351042323841,0.577797419346154,-16509.807435666
2.36241031686453,-0.061523179414052,-0.00589872311632053,-0.0141292460419706,2.20060970329191,0.388626447039626,0.491436973787327,-0.935030060238256,-2.27080598213559,3.9646152464685,3.07828900156263,39.1923203241806,-0.957213211813767,-0.953438712714223,-1.15254883713034,-1.00394036301539,-1.02122752129349,-6.2197967545852,-6.22842520634899,-6.32971090366504,-6.25521859109115,-5.86554463978534,-7.44107540384854,-6.20533145103628,-6.16352358574468,-20.6546417644538,-72.9589909670107,0.616523515922172,0.742742242081673,-12674.2428888596
