"asc_nanc","asc_cmck","asc_msqd","asc_ytna","asc_btna","asc_psdn","c_psdn","w_msqd","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_msqd","B_mean_avail_ytna","B_mean_avail_btna","B_mean_avail_psdn","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_d_c","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_dist_to_cog","logLike"
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-0.4,-4,0,12,0,0,0,12,1.15,1.15,1.15,1.15,1.15,1.15,0.3,-0.05,-1,-1,0,-0.005,1.2,0.15,0.2,0,-0.001,-30123.5260516721
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-0.4,-4,0,12,0,0,0,12,1.15,1.15,1.15,1.15,1.15,1.15,0.3,-0.05,-1,-1,0,-0.005,1.2,0.15,0.2,0,-0.001,-30123.5260516721
-2.75000120876209,-2.75000098623967,-2.74999391541497,-2.75000139053461,-2.75000149000447,-2.75000100483904,-0.400000121698251,-3.99999970321592,-6.96733093261719e-07,12,8.6029289662838e-07,-3.03580284118653e-08,-8.62255781888962e-08,12,1.14999947148794,1.14999978658573,1.15000096823523,1.14999921278922,1.14999928742656,1.14999974023939,0.299996657334489,-0.0499938877349883,-1.000000489892,-1.00000034303564,-2.95930802822113e-09,-0.0049778700527072,1.20000372332572,0.15000283251569,0.200000160413992,0,-0.00146975684845448,-29937.0599168979
-2.75002847788094,-2.75002359079622,-2.7498416818321,-2.75003291527126,-2.75003466332568,-2.75002524677535,-0.400003022493631,-3.99999219678131,-8.04117433318284e-06,12,2.56181564545761e-05,-6.08408650579036e-07,-1.79072383230982e-06,12,1.14998769647702,1.14999483133387,1.15002615636275,1.14998124146147,1.14998344011407,1.14999351782968,0.299937902275942,-0.0496966100982184,-1.00001127894044,-1.00000783972349,-5.77044399667161e-08,-0.00373673375937569,1.20009465612038,0.150067741548949,0.200092057804691,0,-0.00154536205297532,-29888.7489212085
-2.75343384181714,-2.75295168454468,-2.73067555916294,-2.75447017546529,-2.75457186901018,-2.75319577494333,-0.40036693664522,-3.99901897826654,-0.00102511809552095,12,0.00318425880887511,-7.08463159385343e-05,-0.000196008594016766,12,1.14853291384599,1.14935647852706,1.15323104241002,1.14741663020487,1.14771868864506,1.14918118821815,0.290463068110339,-0.0258012864419088,-1.00117441927781,-1.00087045362986,-1.36493791450776e-05,-0.00612886540508872,1.21102146513454,0.157994018367046,0.205192519167822,0,-0.00169662348760983,-29740.4085882632
-2.93870940132346,-2.90799513620804,-1.82426058063779,-2.96791271117801,-2.97466260974848,-2.91811717658375,-0.419660118263246,-3.95066589688309,-0.0681947337187792,12,0.163361067166325,-0.00372766018654872,-0.0106112362754035,12,1.06993039268011,1.1158042895152,1.30431861269347,1.02511300530775,1.04014005306872,1.10698160858875,-0.197080246668979,-0.00539566737976156,-1.06647793879856,-1.04694835386148,-0.00112210332168214,0.00032040222207957,1.6918690497414,0.515971235868283,-0.0029046776376413,0,0.00109469167542314,-27045.1293226469
-2.95253696083914,-2.93521094737485,-1.68504196257773,-2.99719467620131,-2.99582937856308,-2.96163928028697,-0.425558868739652,-3.92377947567465,0.0694468839592967,12,0.266991542692279,-0.00202149326290789,-0.00974870137888018,12,1.06318448209061,1.10753274780188,1.32605081186214,1.00773287398066,1.03073296735726,1.09567953997571,-0.221481330584664,-0.0717131588872708,-1.07377778285749,-1.05168376815353,-0.00362196537696546,-0.000247332454350583,1.71897682117055,0.484194301958638,0.146849846226634,0,0.000768470677351775,-26643.9712661211
-2.96324034625745,-2.96829923858076,-1.56278447078285,-3.02284313058226,-3.00824384232042,-3.0259324131237,-0.434421411062764,-3.88136452305909,0.303846849945366,12,0.42536090197465,0.000886556781531865,-0.00779745937657658,12,1.05715260012368,1.09634720000231,1.34342169760135,0.992332178161122,1.02740965059013,1.07910437104719,-0.223375260889669,-0.0600140540218783,-1.08582480635942,-1.05656859708622,-0.00664179648169606,0.000166466751761448,1.6997932435261,0.390170510701071,0.109240247558524,0,0.000636195102963424,-25983.6043914869
-2.9128702037695,-3.01537590960114,-1.60385440519537,-3.02016860012292,-2.97181734761089,-3.09930069519272,-0.454627545866954,-3.80166223330653,0.427741624330342,12,0.480058374786031,0.00514608316114059,-0.00793807098575997,12,1.07274236473026,1.07672647056749,1.3153796270934,0.994056211449269,1.05613838679496,1.05867193101429,-0.131491856354102,-0.0640424966483865,-1.15132512934981,-1.06208733232623,-0.0161677641904039,-0.000884390546277879,1.85215656823944,0.485554685550748,0.0906618519033583,0,0.000644232899682461,-25815.0065343087
-2.9041322621318,-3.0378140235381,-1.68167070932559,-3.03838598855002,-2.95757607658905,-3.12624610433464,-0.471068710005243,-3.73128216329935,0.45897714052119,12,0.507679303760357,0.0107020309564541,-0.0120061638720859,12,1.06955948110658,1.06078016129419,1.29389112999401,0.984615281503099,1.07419404991647,1.04967637363148,-0.201756127203263,-0.0641578021751824,-1.22876506415797,-1.07439241251011,-0.0270680074271491,-0.000404271676303152,1.94387071426932,0.451814534707898,0.0932029223122838,0,0.000730590664533981,-25758.4794030608
