"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_msqd","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_msqd","B_mean_avail_ytna","B_mean_avail_btna","B_mean_avail_psdn","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_dist_to_cog","logLike"
-4.897334,-5.28047,-4.176291,-3.220271,-5.860792,-3.697772,-3.210438,-7.265418,-3.748681,-4.484919,-4.600359,-4.334389,-4.774108,-4.518065,-1.317069,-3.629525,3.757583,12,1.356727,0.539975,0.021872,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.255586,-0.050706,-2.24915,-2.29044,-0.010698,2.631406,0.261214,0.196018,0,-0.002598,-18408.5776926672
-4.897334,-5.28047,-4.176291,-3.220271,-5.860792,-3.697772,-3.210438,-7.265418,-3.748681,-4.484919,-4.600359,-4.334389,-4.774108,-4.518065,-1.317069,-3.629525,3.757583,12,1.356727,0.539975,0.021872,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.255586,-0.050706,-2.24915,-2.29044,-0.010698,2.631406,0.261214,0.196018,0,-0.002598,-18408.5776926672
-4.89733402693529,-5.28046998281455,-4.17629098029916,-3.22027115427376,-5.86079206060238,-3.69777163284539,-3.21043910554455,-7.26541802639867,-3.74868093803012,-4.48491899712814,-4.60035897876248,-4.33438895251353,-4.77410799851182,-4.51806490199402,-1.31706899562676,-3.62952497082655,3.75758298575142,12.0000000000003,1.35672692951617,0.539975000410095,0.0218719990432262,12.0000000000002,1.35337305699414,-3.94399799731675,2.44832403263947,1.60163196127632,3.34777398051089,-1.77661099892403,0.255584932472289,-0.050712346424371,-2.24915000344844,-2.29044000555082,-0.0107621715434343,2.63140540415949,0.261213660613164,0.196015054889575,0,-0.00272168645828962,-18404.9387331457
-4.89733458830176,-5.28046942962944,-4.17628979375732,-3.2202731893538,-5.86079349496248,-3.69775920383486,-3.21046437080586,-7.265418628717,-3.7486767297342,-4.48491863580398,-4.60035828401532,-4.33438759128673,-4.7741077645564,-4.51806115937444,-1.31706884805411,-3.62952371837321,3.75758299700262,12.0000000000091,1.35672706676665,0.539975020457945,0.0218720625768045,12.0000000000075,1.35337506917657,-3.94399782384808,2.44832728806375,1.60163102175491,3.34777352595314,-1.77661086438303,0.25556780271691,-0.0506848455203936,-2.24914991069314,-2.29044014017453,-0.0118106331088149,2.63140022816563,0.261208727507339,0.196041895373772,0,-0.00251948913522755,-18399.5926201352
-4.89734930147769,-5.2804536815171,-4.17624810313739,-3.22020559903365,-5.86081867052308,-3.69747014196198,-3.21090018963698,-7.26542713240808,-3.74857585484954,-4.48490858317492,-4.60033921298349,-4.33435285757286,-4.77409664907397,-4.51796606518828,-1.31706514695589,-3.6294806363476,3.7575851643785,12.0000000002289,1.3567348076438,0.539975546232253,0.0218724013889458,12.0000000001961,1.35342554249676,-3.94399159501197,2.44843925044569,1.60161432982522,3.34776735039038,-1.77660615891183,0.25544177983716,-0.0454882418641013,-2.2491553409652,-2.29044393655083,-0.0130883335799737,2.63161216691575,0.261306378608453,0.199004278752862,0,-0.00265103648152614,-18390.7913484278
-4.89767258449036,-5.28035427258091,-4.17573543912403,-3.21781660553041,-5.86120052230839,-3.69550889791289,-3.2216711133102,-7.26548325908088,-3.74530451505057,-4.48502245962028,-4.59991063390025,-4.33376133339014,-4.77409091085077,-4.51757438943955,-1.31701445072034,-3.62863139293931,3.7576179241848,12.0000000049409,1.35738029442425,0.539948860047665,0.0218545043169981,12.0000000054228,1.35394619199814,-3.9439125234642,2.45015909776521,1.60136616583424,3.34774247266816,-1.77662835436556,0.249477255347208,-0.0527069434820177,-2.24969861737088,-2.2905634961453,-0.0133265303483405,2.63005199118535,0.260622008888184,0.217269098813483,0,-0.00271440299470728,-18386.0593012919
-4.8996172484887,-5.27984287493202,-4.17383307859879,-3.20705012514175,-5.86344716283011,-3.68853945452271,-3.28263088463109,-7.26555200367788,-3.72528806988905,-4.48690431320326,-4.59710738065247,-4.33058125661986,-4.77513531842355,-4.51959223822003,-1.31669545142263,-3.62350510772923,3.75761255103882,12.0000000348099,1.36164099857449,0.539724401864595,0.0217400589375029,12.0000000414335,1.3556827846654,-3.94353848637925,2.46192400526305,1.59988486292926,3.34778758684844,-1.77724845894582,0.209502085027228,-0.0493390331159571,-2.25373034724483,-2.29138809847955,-0.0124728940368599,2.61112155891438,0.252400900360854,0.214288354316844,0,-0.00273331709554072,-18375.8103275998
-4.90602401279258,-5.28301989400635,-4.18464562585921,-3.2916208039519,-5.87526020367796,-3.66681964805831,-3.2965945223393,-7.26366536948267,-3.67203653981504,-4.50103668007449,-4.58914898178234,-4.32559470278696,-4.78945483921298,-4.55600446838304,-1.31594736150535,-3.59733224720807,3.75119914708346,12.0000001418566,1.35385521226368,0.537813389148956,0.021522767266149,12.0000002177388,1.35424739054401,-3.94525976608869,2.52893445771122,1.59168254071738,3.34878231609356,-1.78333424258495,0.079203386903205,-0.0482083109134826,-2.26946300831739,-2.29451912913789,-0.0110365102481219,2.58778490632287,0.286034393630734,0.218293068037137,0,-0.00274013825648089,-18366.1864112469
-4.90488038138673,-5.29450521222391,-4.22368427554617,-3.28519429908001,-5.87966036179543,-3.63015843548684,-3.29826186235098,-7.25078312337094,-3.68371159051816,-4.52291227969156,-4.58658022149345,-4.31854628509739,-4.82430566126247,-4.61243551238305,-1.31601043336855,-3.57218729414054,3.74010032946149,12.0000002203356,1.33092582406616,0.534900084509777,0.0240006870537921,12.0000004767887,1.34784547247092,-3.95168901534654,2.59976299865958,1.58637932703773,3.35595015227308,-1.79525002224785,0.0272485974112399,-0.048585488488859,-2.27800362700437,-2.29613141995403,-0.0105738804825531,2.59943009960778,0.278207782564985,0.219127884774701,0,-0.00271318378075695,-18361.2790451888
-4.89715077339461,-5.32130318322613,-4.28762367100274,-3.25273003884008,-5.87872749507745,-3.68100861793902,-3.28121713158396,-7.21625010149287,-3.71031983123475,-4.56601583025812,-4.58608266197522,-4.2992057512381,-4.89422800691935,-4.66395179106831,-1.31593614115753,-3.53790444746732,3.72113998873417,12.0000003699372,1.28871935657371,0.529643551083199,0.0310417317399133,12.0000010525927,1.35546470144904,-3.96312447369335,2.71418387760352,1.58038485535641,3.37530337761216,-1.81888957714928,-0.0731213190762624,-0.0470063020133158,-2.28463424782403,-2.29768564825565,-0.0106553623295828,2.59192723642647,0.256657858158145,0.228260437208902,0,-0.00268654180703447,-18355.5404939483
-4.88302544314208,-5.35368833433336,-4.31605201126886,-3.24756225733235,-5.8603422107519,-3.70772156432335,-3.30286053992329,-7.17139750975101,-3.74440739048751,-4.60653008471775,-4.59333793881557,-4.28309522560589,-4.95231799319943,-4.68235027910124,-1.31554879828268,-3.52805223543768,3.70765001151266,12.0000004929995,1.25566822526513,0.525264492187423,0.0390253501133011,12.000001652867,1.37084919932335,-3.97033202164059,2.80013183297732,1.58405534282205,3.40112232146877,-1.83956802465893,-0.105330387014192,-0.0467528485489535,-2.28281406097094,-2.29720842883857,-0.0107337444113536,2.58388667749548,0.30630433779656,0.229494923058572,0,-0.00260784457647826,-18352.076080675
