"B_mean_avail","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","c_psdn","c_dcrb","B_mean_price_part","B_mean_price_crab","asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_npa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_laa_psdn","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_sba_cmck","asc_laa_cmck","asc_laa_nanc","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_psdn","w_msqd","w_psdn","w_albc","w_cmck","w_dcrb","logLike"
2.3,-0.07,-8e-04,-0.0045,2.5,0.35,0.4,-1.75,-2,-2,3.75,0.1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,-2,-2,-2,-2,-2,-24741.7438055482
2.12851691368997,-0.0756710507026389,-0.000853136663110551,-0.00395805284754325,2.53059349896668,0.373456485004958,0.384426585532466,-1.81402495017637,-1.97813919714137,-1.82614553431194,3.72521445464921,0.122405147761005,-7.95991356196741,-7.9722187699085,-7.97148545482279,-7.97526204415417,-7.90094781037825,-7.96421261438276,-7.93730005760513,-7.98465942053699,-7.97121796286443,-7.96493173584405,-7.96116587140343,-7.96258254145577,-7.9682161398186,-7.92225476238618,-8.06475659519619,-7.83620238078098,-7.82285955028945,0.0119747302424623,0.0252412406325174,-1.98193683395624,-1.97927771753936,-2.0948052186319,-2.26046675803771,-1.83528450852586,-22306.7073129588
2.26020125958038,-0.0814323381227354,-0.000899235795326906,-0.00590623603336892,2.52985478593568,0.344297000369548,0.327429149177103,-2.11067442186455,-1.95345388422413,-1.37039132820515,3.7786434756697,0.15806076245249,-7.95988940627104,-7.90122348203281,-7.91127079370226,-7.88038784840412,-7.40354861817469,-7.96768917002354,-7.64257925519828,-7.7587668129381,-7.89313439286622,-7.72449687665866,-7.7401907245004,-7.7355680173513,-7.76038657043507,-7.71882555216568,-8.62702626675266,-7.1061684006825,-6.95337913871473,-0.0144349287249155,0.143207411083072,-2.1603593800787,-2.15430843693948,-2.36063556883743,-4.58343173007623,-1.4610946598673,-18244.4153509881
1.9364367052588,-0.0907172129690499,-0.000995519290965471,-0.00492672063985984,2.58585570333559,0.386485642812207,0.305877762165293,-2.22511563148063,-1.91218604013982,-1.05994778292134,3.73088525395333,0.200800536389374,-7.88509066761349,-7.8508746011025,-7.86184622806145,-7.8378535401644,-7.24131045752348,-7.90176101906464,-7.52947909375961,-7.72468770990344,-7.83812604956519,-7.6561385367436,-7.66565411988915,-7.66885989777345,-7.71010494340084,-7.54660249960317,-8.74533066572152,-6.79588004681204,-6.6078269399833,0.00847897837458409,0.190029341583829,-2.11435718756049,-2.10519461594465,-2.56803232800951,-3.78715071275789,-1.14356719381066,-14946.7870229547
1.31092761262777,-0.106003243840971,-0.00117695304247486,-0.00326912632767743,2.6887274338855,0.437480347935223,0.272851933194421,-2.47485932030566,-1.81674535467625,-0.610710350206058,3.61356964588181,0.296420168871305,-7.71988306057247,-7.7631367629652,-7.79741660751684,-7.77504156967083,-6.91906956452507,-7.77607452380649,-7.18274903557665,-7.61040187460104,-7.7121034212179,-7.43539714311642,-7.43971649709043,-7.52170080418889,-7.61624909115505,-7.06241165449131,-9.02435347831788,-6.0748561400096,-5.74532215273585,0.0239632218309196,0.329286947020886,-2.08014847843528,-1.84143742600168,-2.73461234430235,-9.2474441121948,-0.475138381375037,-10417.2619908763
1.19653923533839,-0.105147202903043,-0.00122250329362342,-0.00267427584244387,2.71848857375919,0.462826829120221,0.276101124027294,-2.53003208188543,-1.78936122349226,-0.648124394626983,3.5890008717282,0.30278341963345,-7.68665114261211,-7.73263867120691,-7.79187898908143,-7.75648129592004,-6.88479229738853,-7.74639939582566,-7.14556673428571,-7.59872750446287,-7.68445591009909,-7.40785693049735,-7.40844122686997,-7.48938489498999,-7.5893854056657,-7.01410708087667,-9.0865038686866,-6.03013333996317,-5.68687050890704,0.0396382325771943,0.353580784381324,-2.08647260300739,-1.81063307323897,-2.79604695771513,-9.12044758103357,-0.424600602427793,-9638.51535477506
0.714546149440554,-0.0807832531026128,-0.00107605509200797,0.00122020193491966,2.79139472418906,0.536636219479846,0.312770929436735,-2.83557209806925,-1.58999268746208,-1.62494507129875,3.36192761084052,0.31763504884637,-7.42729972683671,-7.53846698503839,-7.90656872724353,-7.77197674750218,-6.62767759179062,-7.52591872038447,-6.73675092447289,-7.35854338795483,-7.43060007654121,-6.89038871462956,-6.81976635980267,-6.84335496600148,-7.18213737309865,-6.48330404968059,-9.66340272394203,-5.70932820839262,-5.19141003898301,-0.0586195766852587,0.77916327549324,-3.13039636506193,-1.74686086778906,-3.27404440673213,-13.8221522650955,-0.183502244443055,-6476.29828671553
1.25380906627448,-0.057437486587084,-0.000533067595658446,0.000946501079883557,2.3588343526401,0.390055294806261,0.366375247983106,-2.68861691302807,-1.50443580262781,-2.20080875058823,3.06268754371245,0.129788626724561,-7.28064558790089,-7.35675003635787,-7.9111458997601,-7.63984744526626,-7.02036050968349,-7.41394393440122,-7.07956109619561,-6.89228912782046,-7.23274258209794,-6.59317671193009,-6.492789590541,-6.20762207049277,-6.7062858119644,-5.95586679425502,-10.6151940520977,-4.90778508730155,-4.52132592131054,-0.276317459171476,0.948563890080604,-3.57601045437894,-1.49500797621795,-2.78229860787522,-21.2099989440285,-0.385191191742815,-5384.4568181515
2.13875554860922,-0.0337759922091834,-0.000308191098485795,-0.000216368923030144,1.57905837823495,0.212098752848614,0.368370528628801,-1.96929105824793,-1.29940500337165,-2.56437597361768,1.92291885682449,-0.0592256373350851,-5.94850046212617,-5.85421533196234,-6.36779250276057,-6.05578480324219,-5.94667649491528,-6.19838346302889,-6.16840850953111,-5.40914155699898,-5.53269942466374,-5.33615610506158,-5.2690630119466,-4.72540737863264,-5.51080519014744,-5.50401626424853,-9.06945212100774,-4.53447463566373,-4.06279704219379,-0.73705934562504,0.903058652654643,-3.36044653941299,-1.1630581119798,-1.66416524286892,-36.5684378295935,-0.454867025078806,-4701.36223003694
2.4151153308419,-0.0342335956228885,-0.000382567261313578,-0.000623311804327571,1.63473277679216,0.268161142349737,0.370771590558816,-1.9724493398538,-1.40052113568257,-2.36886193449197,1.8056144747623,-0.069786276312135,-5.98376069764943,-5.86753160063365,-6.34808193220316,-6.04465532399534,-5.99945322601889,-6.28085249126373,-6.1396570519951,-5.53025820666394,-5.27327357858947,-5.33332739837075,-5.25416894520496,-4.96005901637514,-5.72564107484723,-5.80210419526931,-9.36247246714291,-4.78261213839869,-4.2993900199664,-0.65192050050858,0.692564098232448,-3.14716780060789,-0.898210549153381,-1.41188960797649,-35.5986947486456,-0.582351451306949,-4461.51231251866
