"B_mean_avail_psdn","B_mean_avail_nanc","B_mean_avail_othr","B_mean_avail_cmck","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_d","B_d_cd","c_dcrb","B_mean_price_part","B_mean_price_othr","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_nanc","theta_psdn","asc_no_participation","logLike"
1.816131,2.513599,10.519578,4.998825,-0.050113,-0.004826,-0.021126,2.149773,0.281181,0.297177,-1.058378,-8.130186,-0.332205,3.794151,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1888.89786809718
1.816131,2.513599,10.519578,4.998825,-0.050113,-0.004826,-0.021126,2.149773,0.281181,0.297177,-1.058378,-8.130186,-0.332205,3.794151,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1888.89786809718
1.81613064186922,2.5135985350878,10.5195779965853,4.99882497782568,-0.0501208617267543,-0.00486641784838773,-0.0211195067258077,2.14977248738923,0.281180369503721,0.297177,-1.058378,-8.130186,-0.332205,3.79415077992724,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1888.88488135676
1.81612168389495,2.51358670285517,10.519578347257,4.99882440276623,-0.0502811565611234,-0.00486421492031254,-0.0209210633690739,2.14976222317261,0.281165251606718,0.297177,-1.058378,-8.130186,-0.332205,3.79414605757863,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1888.86706858845
1.81605154593132,2.51350844675268,10.5195814243276,4.99882074204608,-0.0513152966158285,-0.00481607708150679,-0.0209929286109081,2.14969139424467,0.281059943975348,0.297177,-1.058378,-8.130186,-0.332205,3.79411729027797,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1888.86133657342
1.78930383755295,2.48703221865676,10.5214599199998,4.99738617675225,-0.049419271409697,-0.00483431744635691,-0.0208887146128775,2.14698024051224,0.257186260228838,0.297177,-1.058378,-8.130186,-0.332205,3.79127585119088,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1888.728083694
1.43828761447992,2.16750036632294,10.5362609485731,4.97401701714745,-0.0501296094414165,-0.00490152490855975,-0.0204292034903477,2.26936978803784,0.255933105381577,0.297177,-1.058378,-8.130186,-0.332205,3.79584089329304,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1887.83586028315
1.36786903835595,2.10565324650351,10.5272840718153,4.96514068126007,-0.0484738523109585,-0.00488436382135328,-0.0202129611278285,2.24437470935055,0.278038620769702,0.297177,-1.058378,-8.130186,-0.332205,3.80645333080188,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1887.56096361698
1.27549580768887,2.05758464160384,10.4498182343989,4.92625562089932,-0.0489116484374099,-0.00487617553596415,-0.0197052430154911,2.23930047097857,0.273332838663426,0.297177,-1.058378,-8.130186,-0.332205,3.91783664959757,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1887.42071436695
1.26941570205807,1.87225412907232,10.1276542176595,4.72460392861866,-0.0467443144867523,-0.00481037219915441,-0.0203551362613154,2.25750197114952,0.276903625164905,0.297177,-1.058378,-8.130186,-0.332205,3.91329450936962,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1887.38157455647
1.232251336751,1.88507750371673,10.0731565712528,4.66132007631146,-0.046141160682659,-0.00478710550848227,-0.0202068308994129,2.25912265863036,0.277328205711545,0.297177,-1.058378,-8.130186,-0.332205,3.88584906422613,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1887.27268530072
1.14995754837314,1.92077254084817,10.3550303529125,3.40766958821217,-0.0433377385827204,-0.00491980164263493,-0.0195764983361438,2.20305125044029,0.301528327610642,0.297177,-1.058378,-8.130186,-0.332205,3.87067359229069,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1887.03371028037
1.15655264956028,1.92529557386143,10.2117129054957,3.84784044149894,-0.0446193379748384,-0.0048434226702819,-0.0197739445713481,2.23561126447703,0.287138387959993,0.297177,-1.058378,-8.130186,-0.332205,3.85942183481859,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1886.7891906771
1.15717536516011,1.92209310505923,10.2128823536542,3.89362256644736,-0.0446195676741854,-0.00484153170754612,-0.0197914461740521,2.2360461849849,0.287020027424157,0.297177,-1.058378,-8.130186,-0.332205,3.86077095703256,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1886.7880380175
1.15712981841753,1.92238127468656,10.2136530649103,3.8955473987747,-0.0446110940833218,-0.00484201819615076,-0.0197884386141414,2.2357829042717,0.287129706758579,0.297177,-1.058378,-8.130186,-0.332205,3.86067517089949,0,-3.419444,-4.292549,-4.344046,-4.041828,-5.627777,-8.62562,-4.833813,-5.354638,-9.372014,-8.437834,0.009707,13.344607,1.034474,0,-1886.78802765984
