"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_msqd","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_nanc","theta_tuna","B_mean_avail_nanc","B_mean_avail_cmck","B_mean_avail_msqd","B_mean_avail_ytna","B_mean_avail_btna","B_mean_avail_psdn","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","asc_no_participation","B_dist_to_cog","logLike"
-4.897334,-5.28047,-4.176291,-3.220271,-5.860792,-3.697772,-3.210438,-7.265418,-3.748681,-4.484919,-4.600359,-4.334389,-4.774108,-4.518065,-1.317069,-3.629525,3.757583,12,1.356727,0.539975,0.021872,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.255586,-0.050706,-2.24915,-2.29044,-0.010698,2.631406,0.261214,0.196018,0,-0.002598,-18397.6201815004
-4.897334,-5.28047,-4.176291,-3.220271,-5.860792,-3.697772,-3.210438,-7.265418,-3.748681,-4.484919,-4.600359,-4.334389,-4.774108,-4.518065,-1.317069,-3.629525,3.757583,12,1.356727,0.539975,0.021872,12,1.353373,-3.943998,2.448324,1.601632,3.347774,-1.776611,0.255586,-0.050706,-2.24915,-2.29044,-0.010698,2.631406,0.261214,0.196018,0,-0.002598,-18397.6201815004
-4.89733402589039,-5.28046998622534,-4.1762909702101,-3.220271164345,-5.86079206034227,-3.69777168829106,-3.21043919688459,-7.26541802625234,-3.74868094672506,-4.48491899747638,-4.60035897803523,-4.3343889503507,-4.77410799222371,-4.51806489554507,-1.3170689957426,-3.62952497973992,3.75758298405056,12,1.35672691290584,0.539974999132469,0.021871998991549,12,1.35337307556535,-3.94399800237854,2.44832402825282,1.60163196138206,3.34777398067093,-1.77661099028717,0.25558480314368,-0.0507157653713375,-2.24914999820416,-2.29044000552598,-0.0107694599207193,2.63140523679222,0.261213555238336,0.196013984357461,0,-0.00273654585202038,-18393.0577332942
-4.89733453907678,-5.28046951256175,-4.17628943803123,-3.22027320849326,-5.86079346012485,-3.69776046437223,-3.21046629009538,-7.26541860994982,-3.74867667433728,-4.48491861036785,-4.60035825116944,-4.33438752553869,-4.774107570335,-4.51806085966436,-1.31706884820372,-3.6295239065873,3.75758299686811,12,1.35672685098718,0.539974983056943,0.0218720729436409,12,1.3533756324332,-3.94399795201548,2.44832751152492,1.6016310396872,3.34777354008428,-1.77661060817595,0.255565669381369,-0.050756104071216,-2.24914974732877,-2.29044013730488,-0.0119278535919322,2.63139694625977,0.261206323077455,0.19602491822233,0,-0.00250802991798581,-18386.6425034085
-4.89734789997826,-5.2804556638901,-4.17623886618017,-3.22019405895974,-5.86081625105754,-3.69750683368493,-3.21091419246346,-7.26542586365295,-3.74857676661837,-4.48490797288918,-4.60033856183049,-4.33435167966489,-4.7740914850579,-4.51795964419984,-1.31706520577634,-3.62948448904924,3.7575853505408,12,1.35672984422976,0.539974707621411,0.0218724873995576,12,1.35343854602612,-3.94399449658303,2.44844819757423,1.60161577990005,3.34776832039316,-1.77659984787008,0.255429905458628,-0.0467137729140701,-2.24915190646907,-2.2904438329283,-0.0129799130431416,2.63157190763097,0.261273922730543,0.198832535572979,0,-0.00261444312205904,-18380.3062713422
-4.89766051464397,-5.28034095993295,-4.17537213007438,-3.21753460945577,-5.86120356976796,-3.69538726162802,-3.22254006034867,-7.26548217764241,-3.74530485650036,-4.48494228902765,-4.59986067539655,-4.33364738053288,-4.77390861061754,-4.5170317221629,-1.3170049424763,-3.62864946416565,3.75762797878797,12,1.35719721842483,0.539932973687569,0.0218603428527586,12,1.35443216929364,-3.94396804559751,2.45062418786753,1.60135921350664,3.34774213196388,-1.77644385160924,0.249440078696088,-0.0570369691821261,-2.24956099818838,-2.29056237748709,-0.0133212723606823,2.63025881203001,0.260361230644043,0.224255007162533,0,-0.00269766963473622,-18373.6771583717
-4.89924515320494,-5.27983396114077,-4.17208660095368,-3.20743516276842,-5.86308787855816,-3.69024506923168,-3.27846664828402,-7.26546657086434,-3.72828439807992,-4.48646481929176,-4.59713871437449,-4.33043297821808,-4.77407623317431,-4.51705148578292,-1.316677912847,-3.62447867464677,3.75764539072983,12,1.36004153327401,0.539639251856761,0.0217994326230631,12,1.35822724190492,-3.9439866674513,2.46378444809757,1.60008658089581,3.34783218865781,-1.77611098877318,0.214264784531434,-0.0542888406619702,-2.25241883778723,-2.29128569486191,-0.012553820615481,2.61215566102617,0.250577706038195,0.222423400041683,0,-0.00272026919153687,-18363.6245809269
-4.90491719077221,-5.28290377010179,-4.17539111409724,-3.29094905205972,-5.87452279222253,-3.67110100154178,-3.29430618794294,-7.26348555323732,-3.68051945214268,-4.4995470495991,-4.58820348868443,-4.32435045950277,-4.78426410013737,-4.54701145394388,-1.31572808685082,-3.6003324814956,3.75105502091798,12,1.34638882284747,0.537182862131111,0.0216642150837915,12,1.36757496110575,-3.94782408920709,2.54520824003566,1.59201168224176,3.34887981806487,-1.77746733553409,0.090142727879481,-0.053378203337367,-2.26436182161823,-2.29433396018101,-0.0111096119748993,2.58632255953115,0.282912784471304,0.226264865146339,0,-0.0027276769347489,-18353.7877354666
-4.90352397894647,-5.29454633881361,-4.20857824517975,-3.28460719258349,-5.87969511088589,-3.63227765104792,-3.29950614560583,-7.25067444238477,-3.69508947982124,-4.5203122933415,-4.58376441832308,-4.31596058974389,-4.8153809842822,-4.60416098352502,-1.31547042603627,-3.57513723305599,3.7389434921914,12,1.31619620524764,0.533348512882653,0.0240541936493143,12,1.37212905178284,-3.95747632520555,2.63855384653493,1.5860382765791,3.35594101217696,-1.78394561930483,0.0388887961016393,-0.0540464555341005,-2.26969856705719,-2.29606080411536,-0.0105870252558609,2.59564253654149,0.281039725413753,0.226649790346977,0,-0.00269489022790293,-18348.121125318
-4.89487944544122,-5.32407909212992,-4.27040184532587,-3.24933163541105,-5.88080885121992,-3.68566624487488,-3.27977696037261,-7.2134044292942,-3.73216031737251,-4.56420164231225,-4.57854662768802,-4.2911451246652,-4.88518273788343,-4.66640947160849,-1.31467750996859,-3.53632289141532,3.71554174214327,12,1.2547977481653,0.52543010464581,0.0313891342612735,12,1.40262974698529,-3.97766531780107,2.8129802381102,1.57773059571328,3.37662096124492,-1.79791436220671,-0.0717048425969264,-0.0528529995107422,-2.27055708020863,-2.29804340681405,-0.0105690707858759,2.58239055377327,0.249982654571003,0.237194295941005,0,-0.0026731439964978,-18340.2367884431
