"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",1.56381784955258,NA,NA,NA,NA,NA,NA
"B_mean_avail_psdn",7.01060746925539,NA,NA,NA,NA,NA,NA
"B_mean_avail_cmck",-3.69511793672375,NA,NA,NA,NA,NA,NA
"B_mean_avail_nanc",9.99959131198521,NA,NA,NA,NA,NA,NA
"B_mean_avail_albc",-1.05845381697238,NA,NA,NA,NA,NA,NA
"B_mean_avail_dcrb",5.31078162104574,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0666861887212424,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.000793101132842148,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00427093141430433,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",3.30640248884371,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.466841453871946,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.302474164202344,NA,NA,NA,NA,NA,NA
"B_d_d",-0.874143943677642,NA,NA,NA,NA,NA,NA
"c_psdn",-2.56616776990352,NA,NA,NA,NA,NA,NA
"c_dcrb",-1.30127133001865,NA,NA,NA,NA,NA,NA
"B_mean_price_part",3.55081905526263,NA,NA,NA,NA,NA,NA
"B_mean_price_crab",-0.0283274680456127,NA,NA,NA,NA,NA,NA
"asc_msqd",-7.88300498796875,NA,NA,NA,NA,NA,NA
"asc_psdn",-7.42563709540011,NA,NA,NA,NA,NA,NA
"asc_cmck",-7.58503996632281,NA,NA,NA,NA,NA,NA
"asc_nanc",-11.4783250449427,NA,NA,NA,NA,NA,NA
"asc_albc",-16.3694949142959,NA,NA,NA,NA,NA,NA
"asc_dcrb",-7.77194904328384,NA,NA,NA,NA,NA,NA
"lambda_part",1,NA,NA,NA,NA,NA,NA
"lambda_cmck",1,NA,NA,NA,NA,NA,NA
"lambda_msqd",0.73377339369561,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.378720179696538,NA,NA,NA,NA,NA,NA
"lambda_part_crab",1,NA,NA,NA,NA,NA,NA
"w_msqd",-3.96438725407619,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
