"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","c_psdn","w_nanc","w_cmck","w_msqd","w_tuna","w_psdn","theta_part","theta_msqd","theta_psdn","theta_nanc","B_mean_avail","B_mean_price","B_wind_max_220_mh","B_d_d","B_d_cd","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate_part","B_dist_to_cog","logLike"
-2.55043412839647,-2.76943767397909,-2.38663900925453,-1.90810755215835,-2.97207659932027,-2.13406832962956,-1.90736752971443,-3.14874119322694,-2.12345080238931,-2.57986020614482,-2.39985886955534,-2.46660998281567,-2.60978712572153,-2.33635971351679,-0.459993084409984,-4.68919736832639,-3.74417407742706,-3.73844479099175,-2.98393368581843,-4.01940034883613,-0.520749814874488,4.68715156242806,2.46897822037189,0.654834282360457,1.08371901051352,0.195223278939648,-0.0417046574016666,-1.00397649888326,-0.862768828374188,-0.00431293393440836,1.21838066095092,0.152284909609806,0.186785241803917,-0.00153006705503279,-22475.6133867302
-2.56056915278564,-2.77596393836638,-2.38920909250738,-1.9083773737714,-2.98312287600199,-2.13366774151697,-1.90476996943847,-3.15877790537958,-2.12175445046,-2.58441874698535,-2.39723259214988,-2.46039858777413,-2.60766004254021,-2.34447038350891,-0.463598372646653,-4.68155636476011,-3.74396667702302,-3.73787083264904,-2.9925411473199,-4.02001541791899,-0.524937025875895,4.91909468509545,2.54926705047211,0.644061812971837,1.10130490914177,0.194478206980125,-0.0417489513081672,-1.00587869789514,-0.845164080352335,-0.00430328056990137,1.21946029283792,0.154037053595467,0.187139225650553,-0.00152840291330587,-22475.0758214332
-2.56578980423303,-2.78297676384862,-2.39190725957429,-1.90756228457449,-2.99361586433139,-2.13579610223752,-1.90474774297554,-3.1651279851928,-2.12627238745011,-2.59050345402844,-2.39892334666895,-2.4597958575332,-2.61089272597202,-2.35201197474646,-0.464627202560054,-4.6844591619447,-3.74540544920508,-3.7383263930847,-2.98091969461988,-4.01887000567576,-0.525106869870599,4.88000064732125,2.6519209288771,0.643613622291516,1.12144218003487,0.192038309825714,-0.0419831128745704,-1.00990609039781,-0.827070119068822,-0.00431178651760908,1.21861791965133,0.154514580663397,0.187632985483995,-0.00152087524694281,-22474.983160954
-2.573060758071,-2.7898444971207,-2.39758107785105,-1.91142363399274,-3.00171686718557,-2.14110095298317,-1.90873583502347,-3.1717332184517,-2.13138867708662,-2.59801045434241,-2.4041464055653,-2.46533516961871,-2.61707209472023,-2.35919583614877,-0.467864087271605,-4.68484850176708,-3.74422042065471,-3.73781230223723,-2.98552824499579,-4.01833442940973,-0.522055984065769,4.95882002032345,2.718810927546,0.644965776721344,1.12645238250121,0.192051276418366,-0.0420867121641336,-1.01423301510826,-0.826380805930092,-0.0043269492923314,1.22166703743721,0.154894667958564,0.188093025812527,-0.00152816293471839,-22474.9553069796
-2.61711139221875,-2.81638766012654,-2.42710018155506,-1.94547511888283,-3.05545661375797,-2.17559208169588,-1.94279617794022,-3.24772915086201,-2.16690889746976,-2.62608434807929,-2.43132721779763,-2.50225227913649,-2.64601199672845,-2.38359527257527,-0.468963972622653,-4.69418682070111,-3.74768884034233,-3.73912107070392,-2.97931019813763,-4.02204945448231,-0.512752158030184,4.87540329593497,2.70509644122946,0.64535220732014,1.13720055266677,0.208780642960358,-0.0421753329016485,-1.01963596055534,-0.827756360302539,-0.00434836250754621,1.228094936514,0.156003808861498,0.189949156066209,-0.00153150094796465,-22474.8651840963
-2.66348886614847,-2.84869151825868,-2.45900217032246,-1.9808042143707,-3.11128186993614,-2.21177709924436,-1.97816636127178,-3.32408025068726,-2.2042500185481,-2.65819752957446,-2.46055971739614,-2.54120175187368,-2.67794333679701,-2.41239519805542,-0.470012286321486,-4.69892546914205,-3.74794074646926,-3.73899570890106,-2.97954009322688,-4.02514523080308,-0.502358409035996,4.93655174350298,2.73666253876178,0.648337365547078,1.15059109218239,0.223168687460023,-0.0422482276068037,-1.02632674227109,-0.832588323413065,-0.00436448907697272,1.23687547700577,0.157259151619012,0.191901804945936,-0.00154126704767223,-22474.8315351866
-2.66289372727249,-2.85175319455295,-2.46045564730867,-1.98062629641191,-3.11366286916457,-2.2114571814541,-1.97814354586334,-3.32384092402875,-2.20454691955489,-2.6598803067218,-2.46224841340491,-2.54098766924853,-2.68038331065607,-2.4138719521317,-0.471498611359257,-4.6976536447617,-3.74719598220041,-3.73929636253059,-2.97462842374958,-4.02281893308278,-0.501064303957945,4.92640130342541,2.74004940697557,0.647753923656971,1.1537799101887,0.221217730312395,-0.0423534675141412,-1.02756530275254,-0.833062751609184,-0.00436329425439984,1.23786024094922,0.157281749263394,0.192083446409254,-0.00153962137013315,-22474.8253517776
-2.6632051491549,-2.85115425313592,-2.4597045742576,-1.98055657635217,-3.11390794057401,-2.2115948732539,-1.97824450169576,-3.32503411491811,-2.2048167505959,-2.65953514973967,-2.46130771885115,-2.54086515453457,-2.6796050209696,-2.41346704901341,-0.470715404642985,-4.6955173137359,-3.74672196402386,-3.7390399624688,-2.97431060827492,-4.02100238268575,-0.501823932217858,4.95531683480941,2.75533495586415,0.648488224671873,1.15402965774372,0.221917777159507,-0.042361788878665,-1.0273190770946,-0.833075037479456,-0.00436509580936044,1.23761119750085,0.157224226397254,0.19205891399589,-0.00153924337802644,-22474.824960607
-2.66314165857085,-2.85107185577549,-2.45976130974879,-1.9805755738804,-3.11393993242092,-2.21161935514399,-1.97825056157464,-3.32503920865777,-2.20479888654449,-2.65959440947194,-2.46138710133438,-2.54090710942207,-2.67974196830782,-2.41345711635552,-0.470771178015253,-4.6951396988548,-3.74670324852386,-3.73905958265146,-2.9742527331361,-4.02028199723418,-0.501643573991499,4.9527141086929,2.75394608777118,0.648229787814964,1.15389510302723,0.221896403593718,-0.0423573080533362,-1.02748588436436,-0.833403599729159,-0.00436545159236847,1.2377584136843,0.15722406108201,0.192039722477039,-0.00153936019785152,-22474.8249156476
-2.66312484363694,-2.85109928567323,-2.45980090959594,-1.98062384036461,-3.11394997689511,-2.21163605013878,-1.97828468194189,-3.32507153545452,-2.20480370982801,-2.65958456820198,-2.46140905569242,-2.54094044645815,-2.67977414002147,-2.41344916191392,-0.470806711265722,-4.69485742186923,-3.74677941122679,-3.73912605887439,-2.97436625252265,-4.01999050420158,-0.501659929309844,4.95378643117807,2.75254338749895,0.648200647879828,1.15381371567858,0.221914395252873,-0.0423570368279662,-1.02746382533157,-0.833395789834429,-0.004365259427495,1.23774820517733,0.157220217166433,0.192043859748246,-0.00153935184273879,-22474.8249097793
