"Port","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7"
"CLO","0.0%","0.0%","6.3%","4.7%","60.1%","28.9%","0.0%"
"CLW","0.0%","0.0%","2.3%","0.4%","45.3%","52.0%","0.0%"
"CWA","0.0%","0.0%","35.2%","0.0%","25.3%","39.5%","0.0%"
"LAA","2.1%","0.0%","0.0%","83.6%","1.9%","0.0%","12.5%"
"MNA","0.2%","0.0%","0.0%","78.2%","5.2%","0.0%","16.5%"
"SBA","10.5%","0.0%","0.0%","73.7%","10.7%","0.0%","5.1%"
"SDA","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","99.9%"
"SFA","0.0%","67.7%","0.0%","32.3%","0.0%","0.0%","0.0%"
