LANDING_YEAR,PORT_NAME,SDM_90,AGENCY_CODE
2002,BODEGA BAY,0.863713013,C
2002,CATALINA ISLAND,4.422186958,C
2002,CHARLESTON (COOS BAY),0.89364299,O
2002,CHINOOK,NA,W
2002,CRESCENT CITY,0.828816331,C
2002,DANA POINT,4.535134436,C
2002,DILLON BEACH,0.990306361,C
2002,EMERYVILLE,2.210545585,C
2002,EUREKA,0.465794847,C
2002,FIELDS LANDING,0.377129236,C
2002,FORT BRAGG,0.277287737,C
2002,GARIBALDI (TILLAMOOK),NA,O
2002,GAVIOTA,3.328679626,C
2002,GOLETA,3.964492128,C
2002,GUADALUPE,2.28512115,C
2002,HUMBOLDT,0.581720949,C
2002,HUNTINGTON BEACH,4.705992663,C
2002,ILWACO,NA,W
2002,LACONNER,NA,W
2002,LONG BEACH,4.722180388,C
2002,LOS ANGELES,4.981348096,C
2002,MISSION BAY,3.793558225,C
2002,MONTEREY,1.094564039,C
2002,MORRO BAY,1.497852899,C
2002,MOSS LANDING,1.442812273,C
2002,NASELLE,NA,W
2002,NATIONAL CITY,3.851499286,C
2002,NEAH BAY,NA,W
2002,NEWPORT,NA,O
2002,NEWPORT BEACH,4.683487968,C
2002,OCEANSIDE,4.191022252,C
2002,OXNARD,4.664702411,C
2002,PLAYA DEL REY,4.722180388,C
2002,POINT LOMA,3.773431551,C
2002,PORT HUENEME,4.619058745,C
2002,PORT ORFORD,0.639516614,O
2002,PRINCETON / HALF MOON BAY,1.674515242,C
2002,REDONDO BEACH,4.727668451,C
2002,RICHMOND,2.003051822,C
2002,SAN DIEGO,3.648988422,C
2002,SAN FRANCISCO,1.889626393,C
2002,SAN PEDRO,4.683805925,C
2002,SAN SIMEON,1.088064358,C
2002,SANTA BARBARA,4.36351117,C
2002,SANTA CRUZ,1.593012666,C
2002,SANTA MONICA,4.862984344,C
2002,SAUSALITO,1.329254377,C
2002,SEAL BEACH,4.764968529,C
2002,SHELTER COVE,0.271440573,C
2002,SOUTH SAN FRANCISCO,1.775240152,C
2002,TACOMA,NA,W
2002,TERMINAL ISLAND,4.707884697,C
2002,THE DALLES,NA,W
2002,VALLEJO,2.393941732,C
2002,VENTURA,4.685346221,C
2002,WESTPORT,NA,W
2002,WHIDBY ISLAND,NA,W
2002,WILLOW CREEK,0.98814419,C
2002,WILMINGTON,4.722180388,C
2002,WINCHESTER BAY,2.072361222,O
2003,ABERDEEN,NA,W
2003,ALAMEDA,1.219748244,C
2003,ANACORTES,NA,W
2003,ASTORIA,NA,O
2003,AVALON,4.083517032,C
2003,AVILA,1.927102121,C
2003,BELLINGHAM BAY,NA,W
2003,BERKELEY,1.254185963,C
2003,BODEGA BAY,0.460488256,C
2003,CATALINA ISLAND,4.088001281,C
2003,CHARLESTON (COOS BAY),1.54905922,O
2003,CHINOOK,NA,W
2003,CRESCENT CITY,1.225410512,C
2003,DANA POINT,4.235149979,C
2003,DILLON BEACH,0.526010588,C
2003,EMERYVILLE,1.225194721,C
2003,EUREKA,0.677659308,C
2003,FIELDS LANDING,0.551731433,C
2003,FORT BRAGG,0.254105631,C
2003,GARIBALDI (TILLAMOOK),NA,O
2003,GAVIOTA,3.166832879,C
2003,GOLETA,3.729636603,C
2003,GUADALUPE,2.355354931,C
2003,HUMBOLDT,0.861064458,C
2003,HUNTINGTON BEACH,4.401498996,C
2003,ILWACO,NA,W
2003,LACONNER,NA,W
2003,LONG BEACH,4.411573182,C
2003,LOS ANGELES,4.709955444,C
2003,MISSION BAY,3.532658628,C
2003,MONTEREY,0.910876785,C
2003,MORRO BAY,1.78556019,C
2003,MOSS LANDING,1.038209375,C
2003,NASELLE,NA,W
2003,NATIONAL CITY,3.645476785,C
2003,NEAH BAY,NA,W
2003,NEWPORT,NA,O
2003,NEWPORT BEACH,4.388227706,C
2003,OCEANSIDE,3.921277439,C
2003,OXNARD,4.392170011,C
2003,PLAYA DEL REY,4.411573182,C
2003,POINT LOMA,3.515401319,C
2003,PORT HUENEME,4.341856668,C
2003,PORT ORFORD,1.057967874,O
2003,PRINCETON / HALF MOON BAY,0.885697564,C
2003,REDONDO BEACH,4.419674261,C
2003,RICHMOND,1.085437901,C
2003,SAN DIEGO,3.407259099,C
2003,SAN FRANCISCO,1.016875804,C
2003,SAN PEDRO,4.367636887,C
2003,SAN SIMEON,1.423661559,C
2003,SANTA BARBARA,4.113861914,C
2003,SANTA CRUZ,0.963500812,C
2003,SANTA MONICA,4.57545203,C
2003,SAUSALITO,0.707328946,C
2003,SEAL BEACH,4.465242047,C
2003,SHELTER COVE,0.301202772,C
2003,SOUTH SAN FRANCISCO,0.944670781,C
2003,TACOMA,NA,W
2003,TERMINAL ISLAND,4.393764197,C
2003,THE DALLES,NA,W
2003,VALLEJO,1.354945036,C
2003,VENTURA,4.4246918,C
2003,WESTPORT,NA,W
2003,WHIDBY ISLAND,NA,W
2003,WILLOW CREEK,1.456610592,C
2003,WILMINGTON,4.411573182,C
2003,WINCHESTER BAY,3.262029659,O
2004,ABERDEEN,NA,W
2004,ALAMEDA,1.272024109,C
2004,ANACORTES,NA,W
2004,ASTORIA,NA,O
2004,AVALON,2.666306995,C
2004,AVILA,1.56908877,C
2004,BELLINGHAM BAY,NA,W
2004,BERKELEY,1.318132451,C
2004,BODEGA BAY,0.582397868,C
2004,CATALINA ISLAND,2.669860827,C
2004,CHARLESTON (COOS BAY),1.416827557,O
2004,CHINOOK,NA,W
2004,CRESCENT CITY,1.130250113,C
2004,DANA POINT,2.811569866,C
2004,DILLON BEACH,0.640930062,C
2004,EMERYVILLE,1.28329888,C
2004,EUREKA,0.646633834,C
2004,FIELDS LANDING,0.531293211,C
2004,FORT BRAGG,0.30906599,C
2004,GARIBALDI (TILLAMOOK),NA,O
2004,GAVIOTA,1.881284599,C
2004,GOLETA,2.196744586,C
2004,GUADALUPE,1.7149193,C
2004,HUMBOLDT,0.841000124,C
