LANDING_YEAR,LANDING_MONTH,PORT_NAME,AGENCY_CODE,SDM_SPAWN_90,SDM_SPAWN_100,SDM_SPAWN_200,SDM_SPAWN_300,SDM_SPAWN_5_100
2000,2,ABERDEEN,W,0.15110551036773973,0.14064106158302964,0.06342123056118999,0.04270876609887827,0.1410232383808096
2000,2,ALAMEDA,C,0.06150978564771668,0.05377155172413793,0.02489081799426627,0.01507351623807078,0.05394011458220733
2000,2,ANACORTES,W,0,0,0.049279957722288284,0.047812660833762226,0
2000,2,ASTORIA,O,0.13687183711898318,0.12504736642667677,0.06701055210099868,0.03852452352469774,0.12539184952978055
2000,2,AVALON,C,0.060555088309503784,0.055398530243075186,0.03510611169353696,0.023810741034227142,0.05558076225045372
2000,2,AVILA,C,0.04365079365079365,0.035706340378198,0.01935483870967742,0.016056574432898083,0.03258564892311126
2000,2,BELLINGHAM BAY,W,0,0,0.03197932649600258,0.0467816091954023,0
2000,2,BERKELEY,C,0.06206896551724138,0.05308386816055695,0.025627992830582383,0.015451616752177544,0.05325185508511567
2000,2,BIG CREEK,C,0,0,0,0.007986240573469805,0
2000,2,BLAINE,W,NA,NA,0.023537719195010003,0.04994415747591791,NA
2000,2,BODEGA BAY,C,0.06220159151193634,0.05885483184333759,0.028633717065908063,0.019777224789667022,0.05885483184333759
2000,2,BOLINAS,C,0.06483823725203036,0.05408010280573999,0.02508081896551724,0.016483975238254272,0.05424857664625631
2000,2,BROOKINGS,O,0.11153989792107556,0.10475902399677355,0.04781710022181891,0.03208532186148641,0.10475902399677355
2000,2,CATALINA ISLAND,C,0.06105144149236857,0.056134723336006415,0.035986944799205334,0.02383724649734502,0.05632183908045977
2000,2,CHARLESTON (COOS BAY),O,0.09248202753746801,0.08586305138029277,0.05174887448671647,0.034328964858125255,0.08610837438423645
2000,2,CHINOOK,W,0.14751607247223847,0.13381926922717502,0.06651759444509826,0.03915758656105019,0.13418290854572715
2000,2,CRESCENT CITY,C,0.10332333833083458,0.09242592779856407,0.04956896551724138,0.029056480574600065,0.08975659229208925
2000,2,DANA POINT,C,0.05578917858144099,0.05465404552625648,0.032050012729484316,0.02428676746741595,0.054833239118145846
2000,2,DILLON BEACH,C,0.06259946949602122,0.05257556406981694,0.026914672493737676,0.018855162920948337,0.05257556406981694
2000,2,EMERYVILLE,C,0.061595156620163204,0.0519369944657301,0.02489081799426627,0.015425239563170597,0.05209779011423081
2000,2,EUREKA,C,0.10470219435736677,0.1006690684508492,0.043849716932578484,0.028367983724412238,0.1006690684508492
2000,2,FIELDS LANDING,C,0.10703755928727086,0.10127368748058403,0.04310344827586207,0.02871847658260422,0.10157872870793519
2000,2,FORT BRAGG,C,0.0705211304122375,0.06309611151870873,0.03474438804876773,0.02397938961553706,0.06309611151870873
2000,2,GARIBALDI (TILLAMOOK),O,0.12760966455547737,0.11697466184035055,0.0646343494919207,0.039122607745226204,0.11729869137453434
2000,2,GAVIOTA,C,0.05986206896551724,0.058140832496373175,0.02467856242471778,0.017782309710633323,0.05832960143304971
2000,2,GOLETA,C,0.049379310344827586,0.04631179555853141,0.030218007351084424,0.01766007174013573,0.04631179555853141
2000,2,GUADALUPE,C,0.03667214012041598,0.036262513904338156,0.018634059383878337,0.017061846096700303,0.036379868318268054
2000,2,HUMBOLDT,C,0.10624761420027994,0.10036945812807882,0.041610910962429234,0.028699438812247836,0.10036945812807882
2000,2,HUNTINGTON BEACH,C,0.055649004765909726,0.0516114491773721,0.03363551639413708,0.023857334734098436,0.048501978518937255
2000,2,ILWACO,W,0.14704850964348334,0.1345577211394303,0.065790092675354,0.03909631391200951,0.13492436343136333
2000,2,LACONNER,W,0,0,0.046315663658638616,0.04583212595382981,0
2000,2,LONG BEACH,C,0.04513596860106532,0.053322676410139304,0.03507631430186546,0.022197873026103772,0.05349982815901019
2000,2,LOS ANGELES,C,0.040625436269719394,0.039328375028172186,0.03003155285102547,0.021347703308375866,0.039328375028172186
2000,2,MARCONI,C,0.054488023163990526,0.05299344192934208,0.026182342265399807,0.018107601395448182,0.05299344192934208
2000,2,MILL CREEK,C,0,0,0,0.020004383890356595,0
2000,2,MISSION BAY,C,0.05414648047876888,0.048935928075566175,0.03397740784780024,0.03187111860186155,0.04909796757250514
2000,2,MONTEREY,C,0.03790366721401204,0.033286196018709885,0.018731712652793348,0.013615770487422721,0.03022697512003492
2000,2,MORRO BAY,C,0.039956212370005476,0.03259784898547511,0.019803351336380004,0.015519700919868169,0.029922135706340378
2000,2,MOSS LANDING,C,0.04083840432724814,0.03546176438594583,0.018657732745001907,0.014178128632313058,0.03360977738978612
2000,2,"NASELLE",W,0.1450813055010956,0.13071589205397302,0.06473783656117146,0.039546323803567346,0.13107206614676312
2000,2,"NATIONAL CITY",C,0.04616699914505557,0.043388901575702216,0.033415281102413145,0.0327958322996775,0.043533050750372324
2000,2,NEAH BAY,W,0.1417157275021026,0.13448275862068965,0.07797608733321781,0.04863559983906468,0.13448275862068965
2000,2,NEWPORT,O,0.1272377748408026,0.10946604260196771,0.05442226255293406,0.040483487280598356,0.10946604260196771
2000,2,NEWPORT BEACH,C,0.05961189445762948,0.047961361338874534,0.031229668184775537,0.0239880059970015,0.047961361338874534
2000,2,OCEANSIDE,C,0.05249824067558058,0.051955565841240454,0.028902928672649975,0.02946187597062859,0.052130500406362475
2000,2,OXNARD,C,0.039052762775238885,0.03493204537796248,0.034988618160357476,0.01954022988505747,0.03177822853279243
2000,2,PINOLE,C,0.05790997630955515,0.05183056619838229,0.025100428675419912,0.015803105716093148,0.051991032347603286
