LANDING_YEAR,PORT_NAME,SDM_90_JS_prob
2002,BERKELEY,0.7430767524427099
2002,BODEGA BAY,0.3865605372912601
2002,CATALINA ISLAND,0.9849205651116739
2002,CHARLESTON (COOS BAY),0.22879027868824323
2002,CHINOOK,NA
2002,CRESCENT CITY,0.2814992530783572
2002,DANA POINT,0.9939422517850114
2002,DILLON BEACH,0.4244027235240499
2002,EMERYVILLE,0.7235864799514409
2002,EUREKA,0.22756272163625685
2002,FIELDS LANDING,0.20290598437625093
2002,FORT BRAGG,0.21974703472787244
2002,GARIBALDI (TILLAMOOK),NA
2002,GAVIOTA,0.831797236051099
2002,GOLETA,0.9264442961590312
2002,GUADALUPE,0.6585712334879269
2002,HUMBOLDT,0.2889230118933884
2002,HUNTINGTON BEACH,0.9918257246706186
2002,ILWACO,NA
2002,LACONNER,NA
2002,LONG BEACH,0.9903771446147897
2002,LOS ANGELES,0.9920619800497046
2002,MISSION BAY,0.9979188307192682
2002,MONTEREY,0.37714164761131147
2002,MORRO BAY,0.5012375378813215
2002,MOSS LANDING,0.4812757263927703
2002,"NASELLE",NA
2002,"NATIONAL CITY",0.9983028366336373
2002,NEAH BAY,NA
2002,NEWPORT,NA
2002,NEWPORT BEACH,0.9937092612499507
2002,OCEANSIDE,0.996651877139832
2002,OXNARD,0.9873748004100319
2002,PLAYA DEL REY,0.9903771446147897
2002,POINT LOMA,0.9980776730158547
2002,PORT HUENEME,0.9859826908778185
2002,PORT ORFORD,0.18694535725284625
2002,PRINCETON / HALF MOON BAY,0.5699962508933027
2002,REDONDO BEACH,0.9897756808861451
2002,RICHMOND,0.6871365631298361
2002,SAN DIEGO,0.9987291590699745
2002,SAN FRANCISCO,0.6536790213247957
2002,SAN PEDRO,0.9899665026148228
2002,SAN SIMEON,0.37428762201587373
2002,SANTA BARBARA,0.9752434077646785
2002,SANTA CRUZ,0.5282460657671759
2002,SANTA MONICA,0.9911040851319446
2002,SAUSALITO,0.5173654822395314
2002,SEAL BEACH,0.9915049552710564
2002,SHELTER COVE,0.22145533583274532
2002,SOUTH SAN FRANCISCO,0.6137764474943085
2002,TACOMA,NA
2002,TERMINAL ISLAND,0.99036801851130285
2002,THE DALLES,NA
2002,VALLEJO,0.7690832121178232
2002,VENTURA,0.9885032434621375
2002,WESTPORT,NA
2002,WHIDBY ISLAND,NA
2002,WILLOW CREEK,0.40052653865157933
2002,WILMINGTON,0.9903771446147897
2002,WINCHESTER BAY,0.45588616184696634
2003,ABERDEEN,NA
2003,ALAMEDA,0.48897027492025186
2003,ANACORTES,NA
2003,ASTORIA,NA
2003,AVALON,0.9758747082438375
2003,AVILA,0.6122680189700717
2003,BELLINGHAM BAY,NA
2003,BERKELEY,0.503675285828446
2003,BODEGA BAY,0.238321209452063
2003,CATALINA ISLAND,0.9761450624806943
2003,CHARLESTON (COOS BAY),0.366473375724301
2003,CHINOOK,NA
2003,CRESCENT CITY,0.3785904939526417
2003,DANA POINT,0.9910351945663356
2003,DILLON BEACH,0.2618420646107346
2003,EMERYVILLE,0.4899406441556916
2003,EUREKA,0.3072746466776632
2003,FIELDS LANDING,0.2740070576693234
2003,FORT BRAGG,0.2222056994277049
2003,GARIBALDI (TILLAMOOK),NA
2003,GAVIOTA,0.8243402636915903
2003,GOLETA,0.92208384334928994
2003,GUADALUPE,0.687132676800491
2003,HUMBOLDT,0.3983215539317965
2003,HUNTINGTON BEACH,0.9877603793748474
2003,ILWACO,NA
2003,LACONNER,NA
2003,LONG BEACH,0.9852288624705027
2003,LOS ANGELES,0.9878926097926881
2003,MISSION BAY,0.9966170887581265
2003,MONTEREY,0.37925489426855374
2003,MORRO BAY,0.5889715284813415
2003,MOSS LANDING,0.4201512208262446
2003,"NASELLE",NA
2003,"NATIONAL CITY",0.9973375495038382
2003,NEAH BAY,NA
2003,NEWPORT,NA
2003,NEWPORT BEACH,0.9906973627979635
2003,OCEANSIDE,0.9948888779962642
2003,OXNARD,0.9817528468153847
2003,PLAYA DEL REY,0.9852288624705027
2003,POINT LOMA,0.9968104393716746
2003,PORT HUENEME,0.979878299405053
2003,PORT ORFORD,0.27461336800450414
2003,PRINCETON / HALF MOON BAY,0.3639882540053124
2003,REDONDO BEACH,0.9842176071662272
2003,RICHMOND,0.4519065574571575
2003,SAN DIEGO,0.9979334530725857
2003,SAN FRANCISCO,0.4246402459044491
2003,SAN PEDRO,0.9845252198223685
2003,SAN SIMEON,0.4966720500225703
2003,SANTA BARBARA,0.9686074736229495
2003,SANTA CRUZ,0.39307900756637204
2003,SANTA MONICA,0.9862980115179002
2003,SAUSALITO,0.3237177464858765
2003,SEAL BEACH,0.9872059695830324
2003,SHELTER COVE,0.25662460755504407
2003,SOUTH SAN FRANCISCO,0.3925876854496984
2003,TACOMA,NA
2003,TERMINAL ISLAND,0.9852458088779447
2003,THE DALLES,NA
2003,VALLEJO,0.5382051737317965
2003,VENTURA,0.9834117328193515
2003,WESTPORT,NA
2003,WHIDBY ISLAND,NA
2003,WILLOW CREEK,0.5449151249432984
2003,WILMINGTON,0.9852288624705027
2003,WINCHESTER BAY,0.6704149641717566
2004,ABERDEEN,NA
2004,ALAMEDA,0.5386077403125288
2004,ANACORTES,NA
2004,ASTORIA,NA
2004,AVALON,0.9170162069524754
2004,AVILA,0.5568040823449386
2004,BELLINGHAM BAY,NA
2004,BERKELEY,0.557930811460956
2004,BODEGA BAY,0.3376741603079877
2004,CATALINA ISLAND,0.9175109435721316
2004,CHARLESTON (COOS BAY),0.3416334971837474
2004,CHINOOK,NA
2004,CRESCENT CITY,0.3588064462040934
2004,DANA POINT,0.9591592086256502
2004,DILLON BEACH,0.35357015095046446
2004,EMERYVILLE,0.5420327884070157
2004,EUREKA,0.2921685693121625
2004,FIELDS LANDING,0.2601491034298878
2004,FORT BRAGG,0.2529194602310477
2004,GARIBALDI (TILLAMOOK),NA
2004,GAVIOTA,0.6644641225179492
2004,GOLETA,0.7651202508760376
2004,GUADALUPE,0.6049733728463973
2004,HUMBOLDT,0.38684337241380407
2004,HUNTINGTON BEACH,0.9459313952148355
2004,ILWACO,NA
2004,LACONNER,NA
2004,LONG BEACH,0.9359404048351045
2004,LOS ANGELES,0.9441445928376392
2004,MISSION BAY,0.983723480253564
2004,MONTEREY,0.3140635377143411
2004,MORRO BAY,0.5429836032994906
2004,MOSS LANDING,0.38391137155547783
2004,"NASELLE",NA
2004,"NATIONAL CITY",0.9854461951976041
2004,NEAH BAY,NA
2004,NEWPORT,NA
2004,NEWPORT BEACH,0.9567722251555345
2004,OCEANSIDE,0.9747377083355765
2004,OXNARD,0.9138141238469983
2004,PLAYA DEL REY,0.9359404048351045
2004,POINT LOMA,0.9847379315902421
2004,PORT HUENEME,0.9063806519567316
2004,PORT ORFORD,0.2601185736412537
2004,PRINCETON / HALF MOON BAY,0.4100749829866752
2004,REDONDO BEACH,0.9320663357182614
2004,RICHMOND,0.5138276687132044
2004,SAN DIEGO,0.9889752821410576
2004,SAN FRANCISCO,0.48223242778009745
2004,SAN PEDRO,0.9347742582445066
2004,SAN SIMEON,0.4210352372614371
2004,SANTA BARBARA,0.8719230551457786
2004,SANTA CRUZ,0.3917025674892302
2004,SANTA MONICA,0.9371899082451367
2004,SAUSALITO,0.40025885530051647
2004,SEAL BEACH,0.943202118795628
2004,SHELTER COVE,0.23406328258919445
2004,SOUTH SAN FRANCISCO,0.4437378812374912
2004,TACOMA,NA
2004,TERMINAL ISLAND,0.9370097448748137
2004,THE DALLES,NA
2004,VALLEJO,0.6019238470442339
2004,VENTURA,0.9200834858573695
2004,WESTPORT,NA
2004,WHIDBY ISLAND,NA
2004,WILLOW CREEK,0.5399957221744023
2004,WILMINGTON,0.9359404048351045
2004,WINCHESTER BAY,0.6469238301038234
2005,ABERDEEN,NA
2005,ALAMEDA,0.6349107156693724
2005,ANACORTES,NA
2005,ASTORIA,NA
2005,AVALON,0.9380766015102804
2005,AVILA,0.6621076343502073
2005,BELLINGHAM BAY,NA
2005,BERKELEY,0.6468414637480678
2005,BODEGA BAY,0.2822786877260414
2005,CATALINA ISLAND,0.93855153015361
2005,CHARLESTON (COOS BAY),0.3847615566593505
2005,CHINOOK,NA
2005,CRESCENT CITY,0.43733269883200204
2005,DANA POINT,0.9759927640828195
2005,DILLON BEACH,0.32021354307122696
2005,EMERYVILLE,0.6314966573977749
2005,EUREKA,0.31264219294860895
2005,FIELDS LANDING,0.2727615744381617
2005,FORT BRAGG,0.10024430592770271
2005,GARIBALDI (TILLAMOOK),NA
2005,GAVIOTA,0.7644644843217148
2005,GOLETA,0.8532809308149907
2005,GUADALUPE,0.7030580762836172
2005,HUMBOLDT,0.39855795955605205
2005,HUNTINGTON BEACH,0.9675498844444854
2005,ILWACO,NA
2005,LACONNER,NA
2005,LONG BEACH,0.9605085634415175
2005,LOS ANGELES,0.9698889731065088
2005,MISSION BAY,0.9908130308659251
2005,MONTEREY,0.4838499643653153
2005,MORRO BAY,0.6555029386078561
2005,MOSS LANDING,0.5332526120949157
2005,"NASELLE",NA
2005,"NATIONAL CITY",0.9936135891560482
2005,NEAH BAY,NA
2005,NEWPORT,NA
2005,NEWPORT BEACH,0.9760560910512445
2005,OCEANSIDE,0.987056155551634
2005,OXNARD,0.9514452876997807
2005,PLAYA DEL REY,0.9605085634415175
2005,POINT LOMA,0.9912758708231608
2005,PORT HUENEME,0.9458427092406994
2005,PORT ORFORD,0.300136722969866
2005,PRINCETON / HALF MOON BAY,0.5060793875732156
2005,REDONDO BEACH,0.9577714887050293
2005,RICHMOND,0.5861719811474053
2005,SAN DIEGO,0.9944084611663345
2005,SAN FRANCISCO,0.5631500827420671
2005,SAN PEDRO,0.9585095696388541
2005,SAN SIMEON,0.5543654440828125
2005,SANTA BARBARA,0.9311423745088427
2005,SANTA CRUZ,0.5192540412785146
2005,SANTA MONICA,0.9641416976598126
2005,SAUSALITO,0.4134622476670351
2005,SEAL BEACH,0.9665412517479229
2005,SHELTER COVE,0.14200103904560313
2005,SOUTH SAN FRANCISCO,0.5350068202779886
2005,TACOMA,NA
2005,TERMINAL ISLAND,0.9603048222657471
2005,THE DALLES,NA
2005,VALLEJO,0.6680816687932286
2005,VENTURA,0.9566954272475077
2005,WESTPORT,NA
2005,WHIDBY ISLAND,NA
2005,WILLOW CREEK,0.5878815609916591
2005,WILMINGTON,0.9605085634415175
2005,WINCHESTER BAY,0.7078698562633217
2006,ABERDEEN,NA
2006,ALAMEDA,0.5215735641155259
2006,ANACORTES,NA
2006,ASTORIA,NA
2006,AVALON,0.9655962875574509
2006,AVILA,0.6226054646820087
2006,BELLINGHAM BAY,NA
2006,BERKELEY,0.5364146732711561
2006,BODEGA BAY,0.2738241554653118
2006,CATALINA ISLAND,0.965808648486836
2006,CHARLESTON (COOS BAY),0.3265514384987951
2006,CHINOOK,NA
2006,CRESCENT CITY,0.3556610916189805
2006,DANA POINT,0.9829705386981412
2006,DILLON BEACH,0.2981378513709728
2006,EMERYVILLE,0.522565135552027
2006,EUREKA,0.26077688558207346
2006,FIELDS LANDING,0.22824692230352975
2006,FORT BRAGG,0.2018013240849678
2006,GARIBALDI (TILLAMOOK),NA
2006,GAVIOTA,0.7870325016013534
2006,GOLETA,0.8833657020133291
2006,GUADALUPE,0.6915176477045627
2006,HUMBOLDT,0.3375233516105942
2006,HUNTINGTON BEACH,0.976789075732278
2006,ILWACO,NA
2006,LACONNER,NA
2006,LONG BEACH,0.9729155456171419
2006,LOS ANGELES,0.9755812584118552
2006,MISSION BAY,0.9937528180751414
2006,MONTEREY,0.35096435964342176
2006,MORRO BAY,0.5931479020762462
2006,MOSS LANDING,0.4140324664480644
2006,"NASELLE",NA
2006,"NATIONAL CITY",0.9946721740620922
2006,NEAH BAY,NA
2006,NEWPORT,NA
2006,NEWPORT BEACH,0.9819047266869104
2006,OCEANSIDE,0.990079282235778
2006,OXNARD,0.9637364100531718
2006,PLAYA DEL REY,0.9729155456171419
2006,POINT LOMA,0.9941885317891437
2006,PORT HUENEME,0.961073939702476
2006,PORT ORFORD,0.2530674836777085
2006,PRINCETON / HALF MOON BAY,0.39856618822725753
2006,REDONDO BEACH,0.9714456075671114
2006,RICHMOND,0.48937725281946354
2006,SAN DIEGO,0.9960161534294116
2006,SAN FRANCISCO,0.4631638002301515
2006,SAN PEDRO,0.9725633371583721
2006,SAN SIMEON,0.4646018882615675
2006,SANTA BARBARA,0.9471138996317525
2006,SANTA CRUZ,0.4007313706190404
2006,SANTA MONICA,0.9733110425643651
2006,SAUSALITO,0.36275552458495486
2006,SEAL BEACH,0.9755748671501688
2006,SHELTER COVE,0.18468725702735353
2006,SOUTH SAN FRANCISCO,0.42970184502828007
2006,TACOMA,NA
2006,TERMINAL ISLAND,0.9733410233107391
2006,THE DALLES,NA
2006,VALLEJO,0.5651020613427039
2006,VENTURA,0.9665239952875642
2006,WESTPORT,NA
2006,WHIDBY ISLAND,NA
2006,WILLOW CREEK,0.4934457338555535
2006,WILMINGTON,0.9729155456171419
2006,WINCHESTER BAY,0.6054697511191743
2007,ABERDEEN,NA
2007,ALAMEDA,0.44704139575346336
2007,ANACORTES,NA
2007,ASTORIA,NA
2007,AVALON,0.930190953261357
2007,AVILA,0.3968036147484392
2007,BELLINGHAM BAY,NA
2007,BERKELEY,0.45747314368675623
2007,BODEGA BAY,0.17489594156981075
2007,CATALINA ISLAND,0.9308534836188329
2007,CHARLESTON (COOS BAY),0.3164579103330215
2007,CHINOOK,NA
2007,CRESCENT CITY,0.35236356053605977
2007,DANA POINT,0.9734416169796396
2007,DILLON BEACH,0.20120326801649255
2007,EMERYVILLE,0.44600885162346626
2007,EUREKA,0.24772737315868662
2007,FIELDS LANDING,0.2112771616575053
2007,FORT BRAGG,0.06310458118832833
2007,GARIBALDI (TILLAMOOK),NA
2007,GAVIOTA,0.6652961262325505
2007,GOLETA,0.7999111934920874
2007,GUADALUPE,0.4892196043330952
2007,HUMBOLDT,0.32278201204283247
2007,HUNTINGTON BEACH,0.9624770191520999
2007,ILWACO,NA
2007,LACONNER,NA
2007,LONG BEACH,0.9532982180043382
2007,LOS ANGELES,0.9632784433478849
2007,MISSION BAY,0.9908316863997306
2007,MONTEREY,0.23109922705366268
2007,MORRO BAY,0.3659415185866113
2007,MOSS LANDING,0.29229044884060384
2007,"NASELLE",NA
2007,"NATIONAL CITY",0.9923750341060015
2007,NEAH BAY,NA
2007,NEWPORT,NA
2007,NEWPORT BEACH,0.9724251152207714
2007,OCEANSIDE,0.9856360435978044
2007,OXNARD,0.9370166210001731
2007,PLAYA DEL REY,0.9532982180043382
2007,POINT LOMA,0.9914217726148334
2007,PORT HUENEME,0.9305527878569028
2007,PORT ORFORD,0.2467237803299063
2007,PRINCETON / HALF MOON BAY,0.337743099059714
2007,REDONDO BEACH,0.949784440376738
2007,RICHMOND,0.4045893847914585
2007,SAN DIEGO,0.9942318544681108
2007,SAN FRANCISCO,0.3844433468713672
2007,SAN PEDRO,0.9517637805084315
2007,SAN SIMEON,0.27010370962396796
2007,SANTA BARBARA,0.9059848936018189
2007,SANTA CRUZ,0.32100884052253575
2007,SANTA MONICA,0.9555572112212853
2007,SAUSALITO,0.2684758539754286
2007,SEAL BEACH,0.9603543319702637
2007,SHELTER COVE,0.09637625395306958
2007,SOUTH SAN FRANCISCO,0.35942229411580345
2007,TACOMA,NA
2007,TERMINAL ISLAND,0.953761054548786
2007,THE DALLES,NA
2007,VALLEJO,0.472722350019868
2007,VENTURA,0.9443228934918918
2007,WESTPORT,NA
2007,WHIDBY ISLAND,NA
2007,WILLOW CREEK,0.5043678965856464
2007,WILMINGTON,0.9532982180043382
2007,WINCHESTER BAY,0.593644312049643
2008,ABERDEEN,NA
2008,ALAMEDA,0.4714937638508929
2008,ANACORTES,NA
2008,ASTORIA,NA
2008,AVALON,0.9842704511235536
2008,AVILA,0.5376033844860968
2008,BELLINGHAM BAY,NA
2008,BERKELEY,0.48810392626575533
