PORT_NAME,AGENCY_CODE,LANDING_YEAR,Model_Predictions
CATALINA ISLAND,C,2016,3.26467668565444
CATALINA ISLAND,C,2018,5.58225053495271
CATALINA ISLAND,C,2017,5.33829988383299
CRESCENT CITY,C,2001,1.51314506471244
CRESCENT CITY,C,2000,1.21429394054133
CRESCENT CITY,C,2002,0.704025729358187
CRESCENT CITY,C,2003,1.06854515654271
CRESCENT CITY,C,1998,0.495421261453621
CRESCENT CITY,C,2006,1.15995054282528
CRESCENT CITY,C,2014,1.63481816354843
CRESCENT CITY,C,2009,0.565228057546433
CRESCENT CITY,C,2004,1.16185937923001
CRESCENT CITY,C,1999,0.495039508614593
CRESCENT CITY,C,2007,1.15197763969238
CRESCENT CITY,C,2015,1.08795856739371
CRESCENT CITY,C,2010,0.906025779448066
CRESCENT CITY,C,2005,1.44898945549412
CRESCENT CITY,C,2013,1.33439496094272
CRESCENT CITY,C,2008,1.64084855627552
CRESCENT CITY,C,2016,0.760234587637718
CRESCENT CITY,C,2011,0.745268344323044
CRESCENT CITY,C,2019,0.433253255846048
CRESCENT CITY,C,2021,0.970626340638036
CRESCENT CITY,C,2017,1.35962347574582
CRESCENT CITY,C,2012,0.722218345239352
CRESCENT CITY,C,2018,1.14899478202326
DANA POINT,C,2000,2.38610591566333
DANA POINT,C,2006,2.48932743389933
DANA POINT,C,2001,2.63510074877246
DANA POINT,C,1998,2.77763981404465
DANA POINT,C,1999,2.47346194563796
DANA POINT,C,2007,2.36262068458647
DANA POINT,C,2002,3.47156583004833
DANA POINT,C,2010,1.60300998066312
DANA POINT,C,2005,2.49246742709297
DANA POINT,C,2013,5.19657930247779
DANA POINT,C,2008,3.12751241877652
DANA POINT,C,2003,3.00543918626079
DANA POINT,C,2011,1.96593386162621
DANA POINT,C,2019,2.82899812918157
DANA POINT,C,2014,7.39972236205326
DANA POINT,C,2009,3.09668718797633
DANA POINT,C,2004,1.80342582028881
DANA POINT,C,2012,6.57090080287144
DANA POINT,C,2021,2.68390412011788
DANA POINT,C,2015,3.56973558978937
DANA POINT,C,2016,3.26467668565444
DANA POINT,C,2018,5.58225053495271
DANA POINT,C,2017,5.33829988383299
DILLON BEACH,C,1998,0.574709470332484
DILLON BEACH,C,2006,0.967116879769868
DILLON BEACH,C,2001,1.51659320980842
DILLON BEACH,C,2009,1.29669949187802
DILLON BEACH,C,2004,0.90153255230997
DILLON BEACH,C,1999,0.830507237803677
DILLON BEACH,C,2007,0.744933230208952
DILLON BEACH,C,2002,1.78806907748558
DILLON BEACH,C,2010,0.478957087082936
DILLON BEACH,C,2005,1.31973096706881
DILLON BEACH,C,2000,1.47923375891182
DILLON BEACH,C,2008,0.520479530553433
DILLON BEACH,C,2003,0.920584695145975
DILLON BEACH,C,2011,0.963823508210615
DILLON BEACH,C,2019,1.19891207125343
DILLON BEACH,C,2014,2.53439460979448
DILLON BEACH,C,2015,3.61548329784928
DILLON BEACH,C,2017,2.61537041513105
DILLON BEACH,C,2012,1.50159246514854
DILLON BEACH,C,2021,1.76878622368137
DILLON BEACH,C,2016,0.865323273363103
DILLON BEACH,C,2018,2.94422870303162
DILLON BEACH,C,2013,1.77657585958392
EUREKA,C,2001,1.51314506471244
EUREKA,C,2000,1.21429394054133
EUREKA,C,2002,0.704025729358187
EUREKA,C,2003,1.06854515654271
EUREKA,C,1998,0.495421261453621
EUREKA,C,2006,1.15995054282528
EUREKA,C,2014,1.63481816354843
EUREKA,C,2009,0.565228057546433
EUREKA,C,2004,1.16185937923001
EUREKA,C,1999,0.495039508614593
EUREKA,C,2007,1.15197763969238
EUREKA,C,2015,1.08795856739371
EUREKA,C,2010,0.906025779448066
EUREKA,C,2005,1.44898945549412
EUREKA,C,2013,1.33439496094272
EUREKA,C,2008,1.64084855627552
EUREKA,C,2016,0.760234587637718
EUREKA,C,2011,0.745268344323044
EUREKA,C,2019,0.433253255846048
EUREKA,C,2021,0.970626340638036
EUREKA,C,2017,1.35962347574582
EUREKA,C,2012,0.722218345239352
EUREKA,C,2018,1.14899478202326
FORT BRAGG,C,2001,0.758400082144898
FORT BRAGG,C,2006,0.990206245471227
FORT BRAGG,C,2007,0.394185544877179
FORT BRAGG,C,2002,1.17594167210581
FORT BRAGG,C,2005,0.945835242584961
FORT BRAGG,C,2000,0.91770041861151
FORT BRAGG,C,2008,0.655341032937497
FORT BRAGG,C,2003,1.02429547253043
FORT BRAGG,C,1998,0.482924387857478
FORT BRAGG,C,2019,0.535456918750541
FORT BRAGG,C,2014,1.1636284081429
FORT BRAGG,C,2009,0.946640817303299
FORT BRAGG,C,2004,1.16652504036796
FORT BRAGG,C,1999,0.47046428729241
FORT BRAGG,C,2021,0.72222308156318
FORT BRAGG,C,2015,1.15917482333625
FORT BRAGG,C,2010,0.48277320477515
FORT BRAGG,C,2018,1.57610062371651
FORT BRAGG,C,2013,1.46577091342964
FORT BRAGG,C,2016,0.659721007344342
FORT BRAGG,C,2011,0.738032386281379
FORT BRAGG,C,2012,1.73516746281315
FORT BRAGG,C,2017,1.48116873751708
GAVIOTA,C,2000,2.38610591566333
GAVIOTA,C,2006,2.48932743389933
GAVIOTA,C,2001,2.63510074877246
GAVIOTA,C,1998,2.77763981404465
GAVIOTA,C,1999,2.47346194563796
GAVIOTA,C,2007,2.36262068458647
GAVIOTA,C,2002,3.47156583004833
GAVIOTA,C,2010,1.60300998066312
GAVIOTA,C,2005,2.49246742709297
GAVIOTA,C,2013,5.19657930247779
GAVIOTA,C,2008,3.12751241877652
GAVIOTA,C,2003,3.00543918626079
GAVIOTA,C,2011,1.96593386162621
GAVIOTA,C,2019,2.82899812918157
GAVIOTA,C,2014,7.39972236205326
GAVIOTA,C,2009,3.09668718797633
GAVIOTA,C,2004,1.80342582028881
GAVIOTA,C,2012,6.57090080287144
GAVIOTA,C,2021,2.68390412011788
GAVIOTA,C,2015,3.56973558978937
GAVIOTA,C,2016,3.26467668565444
GAVIOTA,C,2018,5.58225053495271
GAVIOTA,C,2017,5.33829988383299
