LANDING_YEAR,PORT_NAME,SDM_90_JS_prob,AGENCY_CODE
2002,LOS ANGELES,0.99206198,C
2002,MISSION BAY,0.997918831,C
2002,MONTEREY,0.377141648,C
2002,MORRO BAY,0.501237538,C
2002,MOSS LANDING,0.481275726,C
2002,NASELLE,NA,W
2002,NATIONAL CITY,0.998302837,C
2002,NEAH BAY,NA,W
2002,NEWPORT,NA,O
2002,NEWPORT BEACH,0.993709261,C
2002,OCEANSIDE,0.996651877,C
2002,OXNARD,0.9873748,C
2002,PLAYA DEL REY,0.990377145,C
2002,POINT LOMA,0.998077673,C
2002,PORT HUENEME,0.985982691,C
2002,PORT ORFORD,0.186945357,O
2002,PRINCETON / HALF MOON BAY,0.569996251,C
2002,REDONDO BEACH,0.989775681,C
2002,RICHMOND,0.687136563,C
2002,SAN DIEGO,0.998729159,C
2002,SAN FRANCISCO,0.653679021,C
2002,SAN PEDRO,0.989966503,C
2002,SAN SIMEON,0.374287622,C
2002,SANTA BARBARA,0.975243408,C
2002,SANTA CRUZ,0.528246066,C
2002,SANTA MONICA,0.991104085,C
2002,SAUSALITO,0.517365482,C
2002,SEAL BEACH,0.991504955,C
2002,SHELTER COVE,0.221455336,C
2002,SOUTH SAN FRANCISCO,0.613776447,C
2002,TACOMA,NA,W
2002,TERMINAL ISLAND,0.990368019,C
2002,THE DALLES,NA,W
2002,VALLEJO,0.769083212,C
2002,VENTURA,0.988503243,C
2002,WESTPORT,NA,W
2002,WHIDBY ISLAND,NA,W
2002,WILLOW CREEK,0.400526539,C
2002,WILMINGTON,0.990377145,C
2002,WINCHESTER BAY,0.455886162,O
2003,ABERDEEN,NA,W
2003,ALAMEDA,0.488970275,C
2003,ANACORTES,NA,W
2003,ASTORIA,NA,O
2003,AVALON,0.975874708,C
2003,AVILA,0.612268019,C
2003,BELLINGHAM BAY,NA,W
2003,BERKELEY,0.503675286,C
2003,BODEGA BAY,0.238321209,C
2003,CATALINA ISLAND,0.976145062,C
2003,CHARLESTON (COOS BAY),0.366473376,O
2003,CHINOOK,NA,W
2003,CRESCENT CITY,0.378590494,C
2003,DANA POINT,0.991035195,C
2003,DILLON BEACH,0.261842065,C
2003,EMERYVILLE,0.489940644,C
2003,EUREKA,0.307274647,C
2003,FIELDS LANDING,0.274007058,C
2003,FORT BRAGG,0.222205699,C
2003,GARIBALDI (TILLAMOOK),NA,O
2003,GAVIOTA,0.824340264,C
2003,GOLETA,0.922083843,C
2003,GUADALUPE,0.687132677,C
2003,HUMBOLDT,0.398321554,C
2003,HUNTINGTON BEACH,0.987760379,C
2003,ILWACO,NA,W
2003,LACONNER,NA,W
2003,LONG BEACH,0.985228862,C
2003,LOS ANGELES,0.98789261,C
2003,MISSION BAY,0.996617089,C
2003,MONTEREY,0.379254894,C
2003,MORRO BAY,0.588971528,C
2003,MOSS LANDING,0.420151221,C
2003,NASELLE,NA,W
2003,NATIONAL CITY,0.99733755,C
2003,NEAH BAY,NA,W
2003,NEWPORT,NA,O
2003,NEWPORT BEACH,0.990697363,C
2003,OCEANSIDE,0.994888878,C
2003,OXNARD,0.981752847,C
2003,PLAYA DEL REY,0.985228862,C
2003,POINT LOMA,0.996810439,C
2003,PORT HUENEME,0.979878299,C
2003,PORT ORFORD,0.274613368,O
2003,PRINCETON / HALF MOON BAY,0.363988254,C
2003,REDONDO BEACH,0.984217607,C
2003,RICHMOND,0.451906557,C
2003,SAN DIEGO,0.997933453,C
