LANDING_YEAR,LANDING_MONTH,PORT_NAME,SDM_60,AGENCY_CODE
2000,2,PRINCETON / HALF MOON BAY,0.307349379,C
2000,2,REDONDO BEACH,0.314660977,C
2000,2,RICHMOND,0.297408856,C
2000,2,SAN DIEGO,0.3122743,C
2000,2,SAN FRANCISCO,0.291292154,C
2000,2,SAN PEDRO,0.307437519,C
2000,2,SAN SIMEON,0.348285025,C
2000,2,SANTA BARBARA,0.378317238,C
2000,2,SANTA CRUZ,0.315575956,C
2000,2,SANTA MONICA,0.330000194,C
2000,2,SAUSALITO,0.300154985,C
2000,2,SEAL BEACH,0.310875395,C
2000,2,SHELTER COVE,0.185631942,C
2000,2,SOUTH SAN FRANCISCO,0.298688295,C
2000,2,TACOMA,NA,W
2000,2,TERMINAL ISLAND,0.308587189,C
2000,2,THE DALLES,NA,W
2000,2,TRINIDAD,0.191834104,C
2000,2,VALLEJO,0.335776594,C
2000,2,VENTURA,0.368214344,C
2000,2,WESTPORT,0.042641154,W
2000,2,WHIDBY ISLAND,NA,W
2000,2,WILLOW CREEK,0.227855165,C
2000,2,WILMINGTON,0.311125505,C
2000,2,WINCHESTER BAY,0.114806446,O
2000,3,ABERDEEN,0.083694863,W
2000,3,ALAMEDA,0.381135457,C
2000,3,ANACORTES,NA,W
2000,3,ASTORIA,0.094171005,O
2000,3,AVALON,0.330391029,C
2000,3,AVILA,0.371472101,C
2000,3,BELLINGHAM BAY,NA,W
2000,3,BERKELEY,0.378180222,C
2000,3,BIG CREEK,NA,C
2000,3,BLAINE,NA,W
2000,3,BODEGA BAY,0.250109301,C
2000,3,BOLINAS,0.332592107,C
2000,3,BROOKINGS,0.149270925,O
2000,3,CATALINA ISLAND,0.333121275,C
2000,3,CHARLESTON (COOS BAY),0.136763909,O
2000,3,CHINOOK,0.093843434,W
2000,3,CRESCENT CITY,0.16418316,C
2000,3,DANA POINT,0.337655814,C
2000,3,DILLON BEACH,0.265196616,C
2000,3,EMERYVILLE,0.379936305,C
2000,3,EUREKA,0.186823264,C
2000,3,FIELDS LANDING,0.187101694,C
2000,3,FORT BRAGG,0.192144945,C
2000,3,GARIBALDI (TILLAMOOK),0.103773901,O
2000,3,GAVIOTA,0.415124579,C
2000,3,GOLETA,0.416628598,C
2000,3,GUADALUPE,0.377197655,C
2000,3,HUMBOLDT,0.187159587,C
2000,3,HUNTINGTON BEACH,0.349219694,C
2000,3,ILWACO,0.093933198,W
2000,3,LACONNER,NA,W
2000,3,LONG BEACH,0.360455594,C
2000,3,LOS ANGELES,0.388208567,C
2000,3,MARCONI,0.282803552,C
2000,3,MILL CREEK,NA,C
2000,3,MISSION BAY,0.324695626,C
2000,3,MONTEREY,0.389299337,C
2000,3,MORRO BAY,0.366548422,C
2000,3,MOSS LANDING,0.395970215,C
2000,3,NASELLE,0.090732633,W
2000,3,NATIONAL CITY,0.337917331,C
2000,3,NEAH BAY,0.052332614,W
2000,3,NEWPORT,0.123224699,O
2000,3,NEWPORT BEACH,0.353346111,C
2000,3,OCEANSIDE,0.320301861,C
2000,3,OXNARD,0.399198579,C
2000,3,PINOLE,0.370927284,C
2000,3,PLAYA DEL REY,0.360455594,C
2000,3,POINT ARENA,0.21562323,C
2000,3,POINT LOMA,0.327533767,C
2000,3,PORT HUENEME,0.399284987,C
2000,3,PORT ORFORD,0.139239008,O
2000,3,PRINCETON / HALF MOON BAY,0.385696046,C
2000,3,REDONDO BEACH,0.363218235,C
2000,3,RICHMOND,0.358943486,C
2000,3,SAN DIEGO,0.337975022,C
2000,3,SAN FRANCISCO,0.370768694,C
2000,3,SAN PEDRO,0.357005655,C
2000,3,SAN SIMEON,0.359240103,C
2000,3,SANTA BARBARA,0.43516271,C
2000,3,SANTA CRUZ,0.399711732,C
2000,3,SANTA MONICA,0.375403326,C
2000,3,SAUSALITO,0.300740731,C
2000,3,SEAL BEACH,0.35970106,C
2000,3,SHELTER COVE,0.175390563,C
2000,3,SOUTH SAN FRANCISCO,0.373550576,C
2000,3,TACOMA,NA,W
2000,3,TERMINAL ISLAND,0.358754604,C
2000,3,THE DALLES,NA,W
2000,3,TRINIDAD,0.190359597,C
2000,3,VALLEJO,0.363444741,C
2000,3,VENTURA,0.407689106,C
2000,3,WESTPORT,0.088174181,W
2000,3,WHIDBY ISLAND,NA,W
2000,3,WILLOW CREEK,0.203476728,C
2000,3,WILMINGTON,0.360455594,C
2000,3,WINCHESTER BAY,0.138897992,O
2000,4,ABERDEEN,0.208409615,W
2000,4,ALAMEDA,0.440911936,C
2000,4,ANACORTES,NA,W
2000,4,ASTORIA,0.21281284,O
2000,4,AVALON,0.333040975,C
2000,4,AVILA,0.368045901,C
2000,4,BELLINGHAM BAY,NA,W
2000,4,BERKELEY,0.430904044,C
2000,4,BIG CREEK,NA,C
2000,4,BLAINE,NA,W
2000,4,BODEGA BAY,0.320543413,C
2000,4,BOLINAS,0.403452273,C
2000,4,BROOKINGS,0.206312067,O
2000,4,CATALINA ISLAND,0.337102086,C
2000,4,CHARLESTON (COOS BAY),0.177090576,O
2000,4,CHINOOK,0.215238154,W
2000,4,CRESCENT CITY,0.219122772,C
2000,4,DANA POINT,0.33281883,C
2000,4,DILLON BEACH,0.332306856,C
2000,4,EMERYVILLE,0.435472475,C
2000,4,EUREKA,0.257590661,C
2000,4,FIELDS LANDING,0.261821606,C
2000,4,FORT BRAGG,0.310772561,C
2000,4,GARIBALDI (TILLAMOOK),0.205096624,O
2000,4,GAVIOTA,0.473551653,C
2000,4,GOLETA,0.487068974,C
2000,4,GUADALUPE,0.377888698,C
2000,4,HUMBOLDT,0.257033994,C
2000,4,HUNTINGTON BEACH,0.352464991,C
2000,4,ILWACO,0.215018539,W
2000,4,LACONNER,NA,W
2000,4,LONG BEACH,0.38041474,C
2000,4,LOS ANGELES,0.428877482,C
2000,4,MARCONI,0.352421102,C
2000,4,MILL CREEK,NA,C
2000,4,MISSION BAY,0.325814763,C
2000,4,MONTEREY,0.395463057,C
2000,4,MORRO BAY,0.368323239,C
2000,4,MOSS LANDING,0.39177109,C
2000,4,NASELLE,0.213838972,W
2000,4,NATIONAL CITY,0.3369122,C
2000,4,NEAH BAY,0.110787091,W
2000,4,NEWPORT,0.191232778,O
2000,4,NEWPORT BEACH,0.353479123,C
2000,4,OCEANSIDE,0.314526047,C
2000,4,OXNARD,0.464952426,C
2000,4,PINOLE,0.420484484,C
2000,4,PLAYA DEL REY,0.38041474,C
2000,4,POINT ARENA,0.321843017,C
2000,4,POINT LOMA,0.331891083,C
2000,4,PORT HUENEME,0.46379369,C
2000,4,PORT ORFORD,0.180615671,O
2000,4,PRINCETON / HALF MOON BAY,0.425891698,C
2000,4,REDONDO BEACH,0.388647438,C
2000,4,RICHMOND,0.418810376,C
2000,4,SAN DIEGO,0.34368844,C
2000,4,SAN FRANCISCO,0.440772779,C
