LANDING_YEAR,PORT_NAME,AGENCY_CODE,SDM_90_JS_CPUE
2002,DILLON BEACH,C,1.06742626188528
2002,EUREKA,C,0.5085289067501992
2002,FORT BRAGG,C,0.26297939928508396
2002,GARIBALDI (TILLAMOOK),O,NA
2002,GAVIOTA,C,3.3862546835765857
2002,GOLETA,C,3.961981664510362
2002,GUADALUPE,C,2.3828817577083914
2002,HUMBOLDT,C,0.6439761277295177
2002,HUNTINGTON BEACH,C,4.552878855364101
2002,ILWACO,W,NA
2002,LACONNER,W,NA
2002,LONG BEACH,C,4.591052551822259
2002,LOS ANGELES,C,4.787216169568085
2002,MISSION BAY,C,3.6409062309552183
2002,MONTEREY,C,1.224194887207582
2002,MORRO BAY,C,1.611845825405887
2002,MOSS LANDING,C,1.6461606094543955
2002,"NASELLE",W,NA
2002,"NATIONAL CITY",C,3.7899956371359567
2002,NEAH BAY,W,NA
2002,NEWPORT,O,NA
2002,NEWPORT BEACH,C,4.500387263798515
2002,OCEANSIDE,C,4.056751197669504
2002,OXNARD,C,4.5678602857815305
2002,PLAYA DEL REY,C,4.591052551822259
2002,POINT LOMA,C,3.6033559037572207
2002,PORT HUENEME,C,4.527330234500362
2002,PRINCETON / HALF MOON BAY,C,1.8244465933548177
2002,REDONDO BEACH,C,4.5979763747066675
2002,SAN DIEGO,C,3.513702521526622
2002,SAN FRANCISCO,C,2.042666194257332
2002,SAN PEDRO,C,4.553979602921744
2002,SAN SIMEON,C,1.2057421180945764
2002,SANTA BARBARA,C,4.281989164143584
2002,SANTA CRUZ,C,1.7698998851719052
2002,SANTA MONICA,C,4.704900785917581
2002,SEAL BEACH,C,4.603421653512591
2002,TACOMA,W,NA
2002,TERMINAL ISLAND,C,4.571163361381585
2002,VALLEJO,C,2.5344869139579393
2002,VENTURA,C,4.584473081954299
2002,WESTPORT,W,NA
2002,WILLOW CREEK,C,1.0613212731067883
2002,WILMINGTON,C,4.591052551822259
2002,WINCHESTER BAY,O,1.8422416390685967
2003,ABERDEEN,W,NA
2003,ALAMEDA,C,1.1627055433090985
2003,ANACORTES,W,NA
2003,ASTORIA,O,NA
2003,AVALON,C,4.0393945021114455
2003,AVILA,C,1.9512282200483078
2003,BELLINGHAM BAY,W,NA
2003,BERKELEY,C,1.218501907146218
2003,BODEGA BAY,C,0.5122983648639785
2003,CATALINA ISLAND,C,4.048768547693522
2003,CHARLESTON (COOS BAY),O,1.3759040522163335
2003,CRESCENT CITY,C,1.305566124831261
2003,DANA POINT,C,4.174825996445417
2003,DILLON BEACH,C,0.5679911544921431
2003,EUREKA,C,0.7360062526113188
2003,FORT BRAGG,C,0.24684030164638315
2003,GARIBALDI (TILLAMOOK),O,NA
2003,GAVIOTA,C,3.1331480201421296
2003,GOLETA,C,3.6413802404122975
2003,GUADALUPE,C,2.3788514304150197
2003,HUMBOLDT,C,0.9324160972702773
2003,HUNTINGTON BEACH,C,4.321961517573209
2003,ILWACO,W,NA
2003,LACONNER,W,NA
2003,LONG BEACH,C,4.328000796859346
2003,LOS ANGELES,C,4.563510599894288
2003,MISSION BAY,C,3.4858532672932183
2003,MONTEREY,C,0.7878545559516308
2003,MORRO BAY,C,1.7789547361429743
2003,MOSS LANDING,C,0.9923772215014172
2003,"NASELLE",W,NA
2003,"NATIONAL CITY",C,3.6944525133464063
2003,NEAH BAY,W,NA
2003,NEWPORT,O,NA
2003,NEWPORT BEACH,C,4.297012137114607
2003,OCEANSIDE,C,3.8962864290269907
2003,OXNARD,C,4.276669717990623
2003,PLAYA DEL REY,C,4.328000796859346
2003,POINT LOMA,C,3.4498418021567376
2003,PORT HUENEME,C,4.2326525181251995
2003,PRINCETON / HALF MOON BAY,C,0.892293991021806
2003,REDONDO BEACH,C,4.326926205913605
2003,SAN DIEGO,C,3.37868995935393
2003,SAN FRANCISCO,C,0.9916128035119757
2003,SAN PEDRO,C,4.287995473335696
2003,SAN SIMEON,C,1.3584726601857189
2003,SANTA BARBARA,C,3.9938763414427974
2003,SANTA CRUZ,C,0.9375500533829274
2003,SANTA MONICA,C,4.4400475428906265
2003,SEAL BEACH,C,4.370913725638134
2003,TACOMA,W,NA
2003,TERMINAL ISLAND,C,4.310486220071307
2003,VALLEJO,C,1.3080688210092333
2003,VENTURA,C,4.302344242275633
2003,WESTPORT,W,NA
2003,WILLOW CREEK,C,1.5355396694887304
2003,WILMINGTON,C,4.328000796859346
2003,WINCHESTER BAY,O,2.646297388163385
2004,ABERDEEN,W,NA
2004,ALAMEDA,C,1.169255251585091
2004,ANACORTES,W,NA
2004,ASTORIA,O,NA
2004,AVALON,C,2.0938596181328553
2004,AVILA,C,1.5145481466974828
2004,BELLINGHAM BAY,W,NA
2004,BERKELEY,C,1.216089394270761
2004,BODEGA BAY,C,0.5493189930003626
2004,CATALINA ISLAND,C,2.102078722837325
2004,CHARLESTON (COOS BAY),O,1.2740699432864766
2004,CRESCENT CITY,C,1.1844196822223394
2004,DANA POINT,C,2.276987466568756
2004,DILLON BEACH,C,0.6049528214816352
2004,EUREKA,C,0.6949587399273406
2004,FORT BRAGG,C,0.28621843303258593
2004,GARIBALDI (TILLAMOOK),O,NA
2004,GAVIOTA,C,1.8190099167828888
2004,GOLETA,C,1.9849275909220083
2004,GUADALUPE,C,1.6336023226185314
2004,HUMBOLDT,C,0.8654949589729678
2004,HUNTINGTON BEACH,C,2.286479417046689
