"","VESSEL_NUM","group","min_year","max_year"
"1","1022047",1,2009,2014
"2","1026089",1,2009,2014
"3","1026090",2,2009,2014
"4","1027754",1,2009,2014
"5","1038717",3,2009,2014
"6","1060787",1,2009,2014
"7","1061827",4,2009,2014
"8","1061828",1,2009,2014
"9","1061917",4,2009,2014
"10","1065761",1,2009,2014
"11","1074921",1,2009,2014
"12","1096695",2,2009,2014
"13","1131965",3,2009,2014
"14","1186583",4,2009,2014
"15","1187928",3,2009,2014
"16","1209539",1,2009,2014
"17","1210115",1,2009,2014
"18","1211776",4,2009,2014
"19","1218674",1,2009,2014
"20","1225596",1,2009,2014
"21","1230071",3,2009,2014
"22","1239174",3,2009,2014
"23","1240646",3,2009,2014
"24","1244073",4,2009,2014
"25","1244677",3,2009,2014
"26","1244893",3,2009,2014
"27","236505",4,2009,2014
"28","236760",4,2009,2014
"29","236806",1,2009,2014
"30","238918",4,2009,2014
"31","246212",4,2009,2014
"32","246518",4,2009,2014
"33","246530",3,2009,2014
"34","248217",4,2009,2014
"35","248555",3,2009,2014
"36","252749",4,2009,2014
"37","253321",1,2009,2014
"38","266881",1,2009,2014
"39","273533",1,2009,2014
"40","276920",4,2009,2014
"41","280452",4,2009,2014
"42","284470",1,2009,2014
"43","288532",1,2009,2014
"44","291085",1,2009,2014
"45","295673",1,2009,2014
"46","501177",1,2009,2014
"47","503304",4,2009,2014
"48","507630",1,2009,2014
"49","507798",4,2009,2014
"50","509632",4,2009,2014
"51","519966",1,2009,2014
"52","532023",1,2009,2014
"53","538663",1,2009,2014
"54","542076",3,2009,2014
"55","542513",4,2009,2014
"56","547850",1,2009,2014
"57","549506",4,2009,2014
"58","553607",2,2009,2014
"59","553750",1,2009,2014
"60","557621",1,2009,2014
"61","558684",1,2009,2014
"62","561951",1,2009,2014
"63","563112",2,2009,2014
"64","563321",1,2009,2014
"65","564301",1,2009,2014
"66","566145",3,2009,2014
"67","566847",2,2009,2014
"68","572344",4,2009,2014
"69","578511",1,2009,2014
"70","582022",1,2009,2014
"71","582716",1,2009,2014
"72","584336",4,2009,2014
"73","584928",4,2009,2014
"74","593871",4,2009,2014
"75","596167",1,2009,2014
"76","596222",4,2009,2014
"77","596580",1,2009,2014
"78","597788",1,2009,2014
"79","598813",4,2009,2014
"80","602150",1,2009,2014
"81","602204",3,2009,2014
"82","602429",4,2009,2014
"83","602455",4,2009,2014
"84","604313",1,2009,2014
"85","605599",4,2009,2014
"86","606156",1,2009,2014
"87","606699",3,2009,2014
"88","607367",4,2009,2014
"89","607603",2,2009,2014
"90","608579",1,2009,2014
"91","611694",1,2009,2014
"92","613302",4,2009,2014
"93","614780",1,2009,2014
"94","615795",1,2009,2014
"95","621541",3,2009,2014
"96","621542",1,2009,2014
"97","622522",4,2009,2014
"98","623332",1,2009,2014
"99","623983",1,2009,2014
"100","625449",4,2009,2014
"101","625595",4,2009,2014
"102","626289",4,2009,2014
"103","629721",1,2009,2014
"104","633570",4,2009,2014
"105","636853",4,2009,2014
"106","640372",1,2009,2014
"107","643138",4,2009,2014
"108","643275",1,2009,2014
"109","643518",4,2009,2014
"110","647246",4,2009,2014
"111","647528",4,2009,2014
"112","648720",4,2009,2014
"113","649333",4,2009,2014
"114","655523",4,2009,2014
"115","661936",1,2009,2014
"116","675015",2,2009,2014
"117","685870",4,2009,2014
"118","690849",4,2009,2014
"119","693271",4,2009,2014
"120","927890",2,2009,2014
"121","939449",4,2009,2014
"122","942575",1,2009,2014
"123","943301",3,2009,2014
"124","947935",1,2009,2014
"125","950788",2,2009,2014
"126","951443",4,2009,2014
"127","955501",1,2009,2014
"128","958223",1,2009,2014
"129","969797",2,2009,2014
"130","971540",4,2009,2014
"131","972638",4,2009,2014
"132","974306",3,2009,2014
"133","975597",3,2009,2014
"134","976542",3,2009,2014
"135","978423",3,2009,2014
"136","984694",4,2009,2014
"137","986786",3,2009,2014
"138","986920",3,2009,2014
"139","988037",1,2009,2014
"140","993903",1,2009,2014
"141","AK1795AN",1,2009,2014
"142","AK3565AN",1,2009,2014
"143","AK8806AM",1,2009,2014
"144","AK9671AF",4,2009,2014
"145","CF0163TF",4,2009,2014
"146","CF0500SK",2,2009,2014
"147","CF0635HS",2,2009,2014
"148","CF1212TR",2,2009,2014
"149","CF1220HA",1,2009,2014
"150","CF1263HU",1,2009,2014
"151","CF1822ST",2,2009,2014
"152","CF1855SZ",2,2009,2014
"153","CF1890HT",2,2009,2014
"154","CF1931ZM",4,2009,2014
"155","CF1983KF",1,2009,2014
"156","CF2009TK",1,2009,2014
"157","CF2017ER",2,2009,2014
"158","CF2036TJ",2,2009,2014
"159","CF2212HN",1,2009,2014
"160","CF2297UN",1,2009,2014
"161","CF2649SS",1,2009,2014
"162","CF2804KR",2,2009,2014
"163","CF2854EU",2,2009,2014
"164","CF3101KK",1,2009,2014
"165","CF3501HL",2,2009,2014
"166","CF3528KL",1,2009,2014
"167","CF3910KC",1,2009,2014
"168","CF4042GY",1,2009,2014
"169","CF5095TS",2,2009,2014
"170","CF5334SF",2,2009,2014
"171","CF5838EX",1,2009,2014
"172","CF7218UH",4,2009,2014
"173","CF7321UH",4,2009,2014
"174","CF7329UH",1,2009,2014
"175","CF7336UH",1,2009,2014
"176","CF8480HE",1,2009,2014
"177","CF8507SZ",2,2009,2014
"178","CF8815BB",2,2009,2014
"179","CF9116HY",1,2009,2014
"180","CF9280TE",4,2009,2014
"181","CF9820KG",2,2009,2014
"182","CF9841JB",2,2009,2014
"183","OR018ADR",3,2009,2014
"184","OR072ACX",3,2009,2014
"185","OR108ADL",4,2009,2014
"186","OR108ADR",1,2009,2014
"187","OR155ABZ",4,2009,2014
"188","OR18ADR",3,2009,2014
"189","OR588ADB",1,2009,2014
"190","OR661ZK",4,2009,2014
"191","OR761ABL",3,2009,2014
"192","OR868ADK",4,2009,2014
"193","OR873ABY",4,2009,2014
"194","WN0416RK",1,2009,2014
"195","WN1924RR",4,2009,2014
"196","WN3306SF",1,2009,2014
