PACFIN_PORT_CODE,PORT_NAME,PORT_GROUP
TLA,TILLAMOOK AREA PORTS                                      ,TILLAMOOK AREA PORTS                                      
NHL,NEHALEM BAY                                               ,TILLAMOOK AREA PORTS                                      
NTR,NETARTS BAY                                               ,TILLAMOOK AREA PORTS                                      
PCC,PACIFIC CITY                                              ,TILLAMOOK AREA PORTS                                      
SRV,SALMON RIVER                                              ,TILLAMOOK AREA PORTS                                      
TLL,TILLAMOOK/GARIBALDI                                       ,TILLAMOOK AREA PORTS                                      
CLW,COLUMBIA RIVER PORTS (WASHINGTON)                         ,COLUMBIA RIVER PORTS (WASHINGTON)                         
LWC,ILWACO/CHINOOK                                            ,COLUMBIA RIVER PORTS (WASHINGTON)                         
OCR,OTHER COLUMBIA RIVER PORTS                                ,COLUMBIA RIVER PORTS (WASHINGTON)                         
CWA,WASHINGTON COASTAL PORTS                                  ,WASHINGTON COASTAL PORTS                                  
CPL,COPALIS BEACH                                             ,WASHINGTON COASTAL PORTS                                  
GRH,GRAYS HARBOR                                              ,WASHINGTON COASTAL PORTS                                  
LAP,LA PUSH                                                   ,WASHINGTON COASTAL PORTS                                  
OWC,OTHER WASHINGTION COASTAL PORTS                           ,WASHINGTON COASTAL PORTS                                  
WLB,WILLAPA BAY                                               ,WASHINGTON COASTAL PORTS                                  
WPT,WESTPORT                                                  ,WASHINGTON COASTAL PORTS                                  
NPS,NORTH PUGET SOUND PORTS                                   ,NORTH PUGET SOUND PORTS                                   
ANA,ANACORTES                                                 ,NORTH PUGET SOUND PORTS                                   
BLL,BELLINGHAM BAY                                            ,NORTH PUGET SOUND PORTS                                   
BLN,BLAINE                                                    ,NORTH PUGET SOUND PORTS                                   
FRI,FRIDAY HARBOR                                             ,NORTH PUGET SOUND PORTS                                   
LAC,LA CONNER                                                 ,NORTH PUGET SOUND PORTS                                   
NEA,NEAH BAY                                                  ,NORTH PUGET SOUND PORTS                                   
ONP,OTHER NORTH PUGET SOUND PORTS                             ,NORTH PUGET SOUND PORTS                                   
PAG,PORT ANGELES                                              ,NORTH PUGET SOUND PORTS                                   
SEQ,SEQUIM                                                    ,NORTH PUGET SOUND PORTS                                   
TNS,PORT TOWNSEND                                             ,NORTH PUGET SOUND PORTS                                   
SPS,SOUTH PUGET SOUND PORTS                                   ,SOUTH PUGET SOUND PORTS                                   
EVR,EVERETT                                                   ,SOUTH PUGET SOUND PORTS                                   
OLY,OLYMPIA                                                   ,SOUTH PUGET SOUND PORTS                                   
OSP,OTHER SOUTH PUGET SOUND PORTS                             ,SOUTH PUGET SOUND PORTS                                   
SEA,SEATTLE                                                   ,SOUTH PUGET SOUND PORTS                                   
SHL,SHELTON                                                   ,SOUTH PUGET SOUND PORTS                                   
TAC,TACOMA                                                    ,SOUTH PUGET SOUND PORTS                                   
WA5,OTHER OR UNKNOWN WASHINGTON PORTS                         ,OTHER OR UNKNOWN WASHINGTON PORTS                         
OWA,OTHER OR UNKNOWN WASHINGTON PORTS                         ,OTHER OR UNKNOWN WASHINGTON PORTS                         
