"AVG_REVENUE","LAT","DISTANCE_A","Percentage","diversity"
209193.78635,45.1772654047533,300590.827118712,0.0704303901997804,1
83483.4308556667,32.6775928464293,6112.21403717288,0.0441851100934114,1
596814.4210375,34.9996053289227,349649.319085557,1,1.00077886889522
20649.425292,33.0666240401834,212883.57082068,0.121009087888178,1
1291638.3683625,36.2816066906809,550095.976331615,0.999879126384115,1.00020765436397
379554.2143016,41.5561310320331,1119390.78380328,0.598974949943117,1.00004273452369
820093.68445,46.187,0,1,1
1282121.252975,37.3552496856645,1024731.09020675,0.752130031536211,1.00000897824171
573104.011205833,43.7484951787892,156884.116334137,0.0883060578890691,2.04868179882714
253631.06025,46.6406272144852,126541.521382744,0.458989639854254,1
7911.5552,37.010322,0,0.0858473776011405,1.35524839976641
207529.0001,34.3404780321543,441143.225768378,0.844307467465122,1.1855232586366
124570.0650175,42.1036815035852,1312934.22999353,0.00227470379790034,1
309357.982476167,45.2001129929501,1178900.16594709,0.184554491023675,1.00034401199873
316095.375833333,41.9501306309838,1115195.14930075,0.567962960103516,1.0001856867455
91944.66834,40.9368894528785,1199005.16616985,0.292795470210948,1
17247.4710116667,36.812905,0,0.00719905543925895,1
187966.301387907,33.7422950722314,16912.7788603455,0.41300180942076,1
1015457.2772905,44.0369563169903,202953.247957644,0.159061351585015,1
40706.7121333333,33.7572099878253,15003.5880811132,0.564801948583477,1
20344.7918375,38.7408616151873,318839.103318979,0.182260350934888,1.01709323839331
519448.361316,44.5061520665885,125713.453380336,0.0595359660422273,1
365456.826408833,47.7298089683062,262572.239265314,0.0157545285350862,1
644529.766013333,39.8395283019695,1020034.05751559,1,1.00004335057894
43134,44.636,0,1,1
81105.1343333333,40.0020715891436,1592884.80430048,0.602162216997006,1
16972,32.6994111383455,5845.30206511876,0.0724723073297195,1
5261.6191824,37.2955703015541,199703.838789857,0.0363209524245405,1
15791.554,33.732368,0,1,1
233935.2005,33.8797359359185,156301.11597948,0.950681054089592,1.00023823220534
16009.873,36.812905,0,0.072738326843692,1
474871.8894,34.5233383729922,387034.302239475,0.910983951396008,1.02698983959971
167027.392395833,32.774591836663,9625.01159682157,0.00399923384074015,1
23635.2427666667,34.4981496957876,37708.0923432432,0.0324141822544399,1.36758589174112
3952.02482,33.742,0,0.09826608325805,1
379583.098296667,34.4973729314153,266296.195442021,1,1
20188.9581,33.6623151539421,34005.9894224927,0.100346263039696,1.01186289237482
4311.71865,37.463,0,0.589984320985322,1
12075.1168333333,32.677286,0,0.110626534862651,1
39427.5972369667,32.7805,0,0.000666274855877769,1
633.422,33.7364612791472,2778.53219934798,1,1
4708.2757285,34.439579,0,0.0995409346631401,1.57798444415669
6656.95247405,32.7805,0,0.0404346113404412,1
99807.8412158333,34.2109542241339,324891.649674171,0.00640757605357243,1
192.9625,33.742,0,1,1
52961.4753847333,37.9402731378154,130653.221014305,0.00518019462273297,1
5048.75,32.7805,0,0.838177766773954,1
244.648813333333,34.439579,0,0.0359736740462969,1
9118.5067,36.8598335855202,24158.7592717619,0.0557766766788689,1
455272.924712,35.736015225923,565693.814431253,1,1.01307352844635
16144.30161225,34.4938225179798,33130.7897875023,0.0344921896204832,1.87733380260319
1673.0916,33.828815,0,1,1
5954.243,37.6392003779805,47802.0796071617,0.803975333220361,1.99408221894126
144632.825488833,33.9856301851126,211573.50119487,0.0826173401020634,1
11464.5574881667,33.7595015640499,16330.7563740418,0.683332967546816,1
11125.136,37.010322,0,0.0642896410434893,1
8516.79105,33.7780380644045,4432.91661015788,1,1.01528734907978
18062.6943455,36.7306796874042,320473.935977146,0.127915123890452,1
36071.5471175,37.7218689495887,125926.672995031,0.0105414118250797,1
13380.3932,33.7454741087113,79264.6929864406,0.876815466080623,1.13087697139502
