,PORT_NAME,AGENCY_CODE,AFI_EXVESSEL_REVENUE,Latitude,Longitude
106,GRAYLAND,W,7887.0324,46.781978,-124.08111
97,BAY CITY,W,14241.0112,46.8645,-124.0593
7,WESTPORT,W,111683014.2,46.887187,-124.10735
45,ABERDEEN,W,786575.9669,46.972965,-123.81923
96,THE DALLES,W,14434.56,47.0518,-121.5715
48,OLYMPIA,W,478027.9769,47.085046,-122.78376
58,COPALIS BEACH,W,261192.6918,47.118566,-124.16027
38,TACOMA,W,1447512.06,47.208987,-122.48053
85,SHELTON,W,29867.11,47.224044,-123.10538
84,TAHOLAH,W,35178.02655,47.32251,-124.25814
77,BREMERTON,W,47537.637,47.629717,-122.63493
26,SEATTLE,W,8009602.208,47.733852,-122.34461
75,POULSBO,W,56805.8752,47.743302,-122.63041
54,LAPUSH,W,344171.2269,47.9081,-124.635
47,EVERETT,W,663104.2175,47.943468,-122.21792
89,WHIDBY ISLAND,W,25884.12,47.9983,-122.4395
118,SEQUIM,W,2475.94425,48.079979,-123.09916
63,PORT TOWNSEND,W,182431.6456,48.100255,-122.79736
55,PORT ANGELES,W,334070.586,48.102836,-123.63765
59,NEAH BAY,W,245014.0044,48.35306,-124.64076
43,LACONNER,W,962167.2751,48.3887,-122.4963
32,ANACORTES,W,5473909.797,48.495234,-122.61976
136,FRIDAY HARBOR,W,179.837,48.55113,-123.07563
15,BELLINGHAM BAY,W,21513551.56,48.682,-122.5617
93,MARIETTA,W,19209.6464,48.7871,-122.5805
20,BLAINE,W,10084250.65,48.961443,-122.73714
