"","VESSEL_NUM","group","min_year","max_year"
"1","1022047",1,2015,2020
"2","1024362",2,2015,2020
"3","1026089",1,2015,2020
"4","1038717",2,2015,2020
"5","1060787",1,2015,2020
"6","1061827",3,2015,2020
"7","1061828",1,2015,2020
"8","1061917",3,2015,2020
"9","1065761",1,2015,2020
"10","1081230",4,2015,2020
"11","1104597",5,2015,2020
"12","1115186",4,2015,2020
"13","1186583",2,2015,2020
"14","1187928",2,2015,2020
"15","1192587",4,2015,2020
"16","1211776",5,2015,2020
"17","1225561",3,2015,2020
"18","1225596",5,2015,2020
"19","1233421",2,2015,2020
"20","1238032",3,2015,2020
"21","1240646",2,2015,2020
"22","1244073",3,2015,2020
"23","1244552",3,2015,2020
"24","1244893",2,2015,2020
"25","1246619",2,2015,2020
"26","1259418",2,2015,2020
"27","1287540",4,2015,2020
"28","1293821",5,2015,2020
"29","238918",5,2015,2020
"30","246212",5,2015,2020
"31","252749",3,2015,2020
"32","253321",1,2015,2020
"33","273533",1,2015,2020
"34","280452",5,2015,2020
"35","288532",4,2015,2020
"36","503304",5,2015,2020
"37","504605",1,2015,2020
"38","507798",3,2015,2020
"39","509632",5,2015,2020
"40","532023",3,2015,2020
"41","542076",2,2015,2020
"42","542513",5,2015,2020
"43","549506",3,2015,2020
"44","558005",2,2015,2020
"45","558684",2,2015,2020
"46","561951",1,2015,2020
"47","563112",4,2015,2020
"48","564301",3,2015,2020
"49","572344",3,2015,2020
"50","582716",1,2015,2020
"51","584187",2,2015,2020
"52","584336",3,2015,2020
"53","589002",2,2015,2020
"54","592017",4,2015,2020
"55","593871",4,2015,2020
"56","598813",3,2015,2020
"57","602150",1,2015,2020
"58","602204",2,2015,2020
"59","602455",3,2015,2020
"60","604313",1,2015,2020
"61","606156",4,2015,2020
"62","607367",5,2015,2020
"63","607945",2,2015,2020
"64","608579",5,2015,2020
"65","611694",1,2015,2020
"66","613302",5,2015,2020
"67","620240",4,2015,2020
"68","621541",2,2015,2020
"69","621542",5,2015,2020
"70","622522",3,2015,2020
"71","623332",2,2015,2020
"72","623983",2,2015,2020
"73","625449",3,2015,2020
"74","625595",2,2015,2020
"75","626289",3,2015,2020
"76","629721",1,2015,2020
"77","633570",3,2015,2020
"78","643138",5,2015,2020
"79","643518",3,2015,2020
"80","647246",2,2015,2020
"81","647528",5,2015,2020
"82","648720",3,2015,2020
"83","653548",4,2015,2020
"84","655523",5,2015,2020
"85","661936",1,2015,2020
"86","685870",3,2015,2020
"87","690849",3,2015,2020
"88","693271",5,2015,2020
"89","695648",4,2015,2020
"90","928104",4,2015,2020
"91","946074",2,2015,2020
"92","951443",3,2015,2020
"93","955501",1,2015,2020
"94","971540",5,2015,2020
