"VESSEL_NUM","AVG_REVENUE","LAT","DISTANCE_A","Percentage","diversity","group_all"
"1022047",67986.4028825,33.7323434868496,2169.58999363539,0.993275233125804,1.00030530115997,1
"1026089",18392.86669,33.7756174936119,64003.9636181847,0.996615855426504,1,1
"1026090",6930.73065555556,37.4074799838226,478272.987966282,0.273420053183779,1,2
"1027754",24733.6388,33.7704308999821,13493.5990186226,1,1,1
"1036317",4766.882125,33.7242538658407,14056.3258602343,1,1,1
"1037553",57364.78935,33.9079483566287,101277.203605493,1,1.00136413123629,1
"1038717",752256.0895678,46.5011412444127,256143.639941409,0.497849478373476,1.05670524223613,3
"1060787",28430.441375,33.770602169258,90492.1998750252,0.854519824307511,1,1
"1061827",2351949.8769423,35.7785759311622,406359.091468056,0.995926478989656,1.99499660355899,4
"1061828",23524.5119809,34.2516690267912,347963.41308175,0.814519752097613,1,1
"1061917",1182840.2290529,37.4295625116559,1276813.59173827,0.942676762956996,1.76449731691499,5
"1065761",176046.4218325,33.9475159578695,313538.840724996,0.949856390274157,1.01950523252226,1
"1074921",12974.7557428571,33.7527442682816,41115.5817859828,0.949590485106649,1,1
"1096695",70258.50179725,34.3227155711994,59310.674646403,0.0000669999342369161,1,2
"1131965",647760.448483333,45.8537727044776,233662.674057311,0.455926378850459,1.01574053250777,3
"1186583",496334.99499025,36.504569213226,974019.526375822,0.64283174717565,1.96879392003756,5
"1187928",1255224.871278,46.7677932192463,105649.397257716,0.700209984798552,1.11794567357073,6
"1209539",27272.20288,33.7519960715055,78236.3783279968,0.987460536227868,1,1
"1210115",505682.271893667,34.2989966074102,365747.766364483,1,1.03334802093541,4
"1211776",1254852.47576529,34.5306939718704,438658.132330203,1,1.12120508697037,4
"1218674",5409.0064,33.732368,0,1,1,1
"1225596",1333895.082565,36.1415840876346,556189.233310059,1,1.00016499613551,4
"1230071",135524.9455875,46.8244592377188,90065.9636721872,0.108906316368677,1,3
"1239174",162115.44615,46.2967884292455,13723.3887140318,1,1.02598786026708,6
"1240646",505344.935797333,47.2265027555944,211817.833396677,0.22749265231931,1.02674105791975,3
"1244073",2440557.432625,36.5587995288916,546433.47912323,1,1,4
"1244677",769790.725896,46.9076549722109,50376.9463034758,0.441289218719289,1.21139460556478,3
"1244893",1580525.254256,45.8482797603802,179734.258016822,0.281888475199167,1.25710649336063,3
"236505",527188.681886778,43.3283076664941,1300356.19220913,0.999859292127818,1.62455615628263,5
"236760",819649.492412333,33.8122034918146,78363.6685011612,0.99917393287464,1.81469146647853,7
"236806",550533.612727714,33.7576969290044,45359.7670164761,0.997629831087296,1.10237419125867,1
"236947",66613.7592075,33.7633746961802,43158.8247779897,1,1.00323256190345,1
"237432",7514.5323604,37.4644466090009,6289.37270299189,0.00244498248444857,2.38550115086352,7
"238918",634654.440933,41.186169212024,1404775.71892265,0.909655388173589,2.03010698284715,5
"246212",761203.308824875,35.0387746398005,444085.876866039,1,1.09525246789346,4
"246518",949126.73842875,33.7354898281589,11726.031340092,0.987540080941058,1.36336094178488,4
"246530",457667.639128667,46.6810028542072,234198.8350451,0.802002864045209,1.11417995219819,6
"246533",4149.01899,33.7339828175366,2099.70501137457,1,1.72322622923893,7
"247128",81764.657391,34.0471370291111,82921.7781146966,1,1.02352854296292,1
"248084",4985.789325,33.7403078266103,2138.87996303834,1,1,1
"248217",479014.2697826,44.6722858128576,1123019.97928551,0.980025263644562,1.44047193606769,5
"248555",298241.6895935,46.199097115552,40214.3227277795,0.994705689864646,1.03189594519081,6
"252749",2203553.3863769,33.8084046089359,73279.9614830237,0.958107206079186,1.42082779148559,4
"253321",97219.4277056,34.1586691754977,23770.7231452186,0.999050297591963,1.55437706247068,7
"253402",27923.51929125,36.5727325236265,209464.91880801,1,1.98781040156581,7
"266881",3931.92826,33.828815,0,0.903939117139436,1.93795099492358,7
"271529",3563.986125,33.828815,0,1,1,1
"273533",94134.208114,33.7387691580526,2653.70242121889,1,1,1
"276600",6027.85508222222,33.7343648326822,12396.4544504866,0.234526898253563,1.00614202642405,2
"276920",746256.297195857,33.7960883321434,69856.9703142159,1,1.57712917402209,7
"280451",357697.78756,34.2029610085377,89841.1045758667,1,1.0001808545972,1
"280452",544777.2371073,34.2616347410938,343794.440267727,0.995822422511476,2.08645734292823,7
"284470",44154.7647362222,33.734763782573,2885.70810711826,0.999595490993855,1.0255200244306,1
"288532",102102.511575,33.7354782893109,3199.62256236018,0.999675823841261,1.03445539939188,1
"291085",59894.9719166667,34.7373065180358,712159.936325831,0.941577524990436,1,1
"295673",278066.1991415,34.5657387551066,514261.312355792,1,1.01930123032029,1
"501177",11931.3247377,36.9997087745982,33195.8369484948,0.0181369013715836,1.17809182390201,2
"503304",590066.860982,34.4144500223031,260462.630913864,0.998236707958369,1.00033423078921,4
"504605",8389.12872877778,33.7308075420485,19914.5599974535,0.306020516498807,1.15245761071184,2
"507630",15485.82525,34.154072,0,1,1,1
"507798",1489980.2804652,33.8053405909933,100847.076012515,0.948287601904675,1.32757744536689,4
"509632",894628.5168402,33.9005901791228,195983.977415472,0.972624057853082,1.87090915742856,7
"519966",468522.5823145,34.0742704572977,309583.994350813,0.989129137266256,1.00133391094069,1
"520319",10334.8574625,33.7415416074276,1905.36667871453,0.983188810234643,1,1
"524626",317933.4951525,33.7342376380282,2024.73361294854,1,1.70567097169032,7
"524627",27033.3232644,47.2121316981094,16573.3825317594,0.0264160257403651,1,3
"531019",227626.18565,34.3153152477516,294072.523979292,1,1.00035942568574,1
