year,port,SDM_mean
1980,NPS,0.19478318219383559
1980,SPS,0.20975722796445542
1980,CWA,0.18205436546839573
1980,CLW,0.18370236075115812
1980,WA5,NaN
1980,CLO,0.18442230258981407
1980,TLA,0.1848381887046747
1980,NPA,0.18304807931576636
1980,CBA,0.18916307027576162
1980,BRA,0.19852947603011267
1980,OR1,NaN
1980,CCA,0.20175852092530885
1980,ERA,0.20756935854867772
1980,BGA,0.21022627666430224
1980,BDA,0.20616169547247704
1980,SFA,0.20516064891004956
1980,MNA,0.187107295928739
1980,MRA,0.16938223781047296
1980,SBA,0.1526344312285299
1980,LAA,0.13293316593587745
1980,SDA,0.10862503635095815
1980,CA2,NaN
1981,NPS,0.20938567994561744
1981,SPS,0.2151032267531412
1981,CWA,0.1812124264064033
1981,CLW,0.18358606703116706
1981,WA5,NaN
1981,CLO,0.18454709920017376
1981,TLA,0.18857476860237565
1981,NPA,0.19394804261457277
1981,CBA,0.2033764116167619
1981,BRA,0.21470879440318763
1981,OR1,NaN
1981,CCA,0.21820707586175858
1981,ERA,0.21900973316767888
1981,BGA,0.22265231627314774
1981,BDA,0.22801401911051328
1981,SFA,0.22836402357619295
1981,MNA,0.22687475981543306
1981,MRA,0.21372826089181376
1981,SBA,0.17581959566996352
1981,LAA,0.13854532395735586
1981,SDA,0.1131672480987075
1981,CA2,NaN
1982,NPS,0.18718782184366187
1982,SPS,0.19436302300736946
1982,CWA,0.1810198096860632
1982,CLW,0.17985373378626926
1982,WA5,NaN
1982,CLO,0.18000679017783752
1982,TLA,0.17867054215584222
1982,NPA,0.17305979519588047
1982,CBA,0.1731307207831378
1982,BRA,0.17533508601932957
1982,OR1,NaN
1982,CCA,0.17545847129938114
1982,ERA,0.17656966454257134
1982,BGA,0.18444585246246772
1982,BDA,0.21228964110956355
1982,SFA,0.22833959825142724
1982,MNA,0.2328573323960287
1982,MRA,0.21654200936591547
1982,SBA,0.1838804590293298
1982,LAA,0.15265361125252572
1982,SDA,0.13149068890635418
1982,CA2,NaN
1983,NPS,0.21335193416273715
1983,SPS,0.2107443529315547
1983,CWA,0.18076761502941963
1983,CLW,0.1802973081914382
1983,WA5,NaN
1983,CLO,0.17976430779542288
1983,TLA,0.17614196765233464
1983,NPA,0.17162116056377477
1983,CBA,0.17231408670118764
1983,BRA,0.1777637171344046
1983,OR1,NaN
1983,CCA,0.18072072377615592
1983,ERA,0.1840137999568156
1983,BGA,0.1883313248085538
1983,BDA,0.199399789116759
1983,SFA,0.1948165896354319
1983,MNA,0.17129206886678983
1983,MRA,0.15880316072954648
1983,SBA,0.1441963596834574
1983,LAA,0.1245003663328454
1983,SDA,0.10633128678752791
1983,CA2,NaN
1984,NPS,0.19637039217765606
1984,SPS,0.195413500459408
1984,CWA,0.17829625454509573
1984,CLW,0.17807043382007223
1984,WA5,NaN
1984,CLO,0.17795555360930654
1984,TLA,0.17542722111718895
1984,NPA,0.1733543934105472
1984,CBA,0.17141468538001636
1984,BRA,0.1768697847032963
1984,OR1,NaN
1984,CCA,0.18034451143800528
1984,ERA,0.18746940307456483
1984,BGA,0.2026082054439441
1984,BDA,0.21955389737640846
1984,SFA,0.22250069875532394
1984,MNA,0.21223697101085676
1984,MRA,0.1957279879118598
1984,SBA,0.1712549421404173
1984,LAA,0.1434965560819635
1984,SDA,0.12555353427284896
1984,CA2,NaN
1985,NPS,0.20512040205879092
1985,SPS,0.20786067850641304
1985,CWA,0.1838575740950987
1985,CLW,0.1805537056702676
1985,WA5,NaN
1985,CLO,0.18028795435758527
1985,TLA,0.17610385490474886
1985,NPA,0.17146984550967845
1985,CBA,0.17052876305256134
1985,BRA,0.17127244192756763
1985,OR1,NaN
1985,CCA,0.17232239784148282
1985,ERA,0.17440638045492063
1985,BGA,0.17693495214637678
1985,BDA,0.18400467335506154
1985,SFA,0.18721909223188346
1985,MNA,0.19374982074256758
1985,MRA,0.20006107502237785
1985,SBA,0.18647534141193706
1985,LAA,0.166965419511401
1985,SDA,0.1420727066683788
1985,CA2,NaN
1986,NPS,0.20225151548554116
1986,SPS,0.21764908870212524
1986,CWA,0.19945957003167858
1986,CLW,0.20061843252050063
1986,WA5,NaN
1986,CLO,0.20107161691546369
1986,TLA,0.19925254929746802
1986,NPA,0.1954000435076783
1986,CBA,0.19918598425460995
1986,BRA,0.21614167212213506
1986,OR1,NaN
1986,CCA,0.2246183386528793
1986,ERA,0.24014650055804515
1986,BGA,0.260621557464906
1986,BDA,0.2781121178996031
1986,SFA,0.2767653130444464
1986,MNA,0.25645433945785007
1986,MRA,0.22180655820439263
1986,SBA,0.18507576417705596
1986,LAA,0.14930339411117743
1986,SDA,0.12133399591451244
1986,CA2,NaN
1987,NPS,0.20768951520885762
1987,SPS,0.2252250356866246
1987,CWA,0.20198975669014763
1987,CLW,0.20252471182361606
1987,WA5,NaN
1987,CLO,0.20309010447562517
1987,TLA,0.20036525523679674
1987,NPA,0.19680835098935914
1987,CBA,0.20363446407419422
1987,BRA,0.22263675224255552
1987,OR1,NaN
1987,CCA,0.23091345926921372
1987,ERA,0.24256958260506578
1987,BGA,0.2568542275985008
1987,BDA,0.2713829330205954
1987,SFA,0.27708742999596575
1987,MNA,0.2604668110468869
1987,MRA,0.22590195274498506
1987,SBA,0.1928676583422724
1987,LAA,0.15915753238922367
1987,SDA,0.125382205866659
1987,CA2,NaN
1988,NPS,0.2248748719117746
1988,SPS,0.24076084886677454
1988,CWA,0.21076304100374613
1988,CLW,0.21483850402168728
1988,WA5,NaN
1988,CLO,0.21585012044204363
