LANDING_YEAR,LANDING_MONTH,LANDING_DAY,PORT_AREA_CODE,PSDN_SDM_30,PSDN_SDM_60,PSDN_SDM_90,PSDN_SDM_220
2000,1,1,NPS,NA,NA,NA,0.06870377482241624
2000,1,2,NPS,NA,NA,NA,0.07063166085969318
2000,1,3,NPS,NA,NA,NA,0.06509054718273026
2000,1,4,NPS,NA,NA,NA,0.06467320370887007
2000,1,5,NPS,NA,NA,NA,0.06739339607392812
2000,1,6,NPS,NA,NA,NA,0.06595974038173626
2000,1,7,NPS,NA,NA,NA,0.06554794340551674
2000,1,8,NPS,NA,NA,NA,0.06591097502545877
2000,1,9,NPS,NA,NA,NA,0.0638990139999947
2000,1,10,NPS,NA,NA,NA,0.0588905086813422
2000,1,11,NPS,NA,NA,NA,0.056543153674378024
2000,1,12,NPS,NA,NA,NA,0.05282419005578214
2000,1,13,NPS,NA,NA,NA,0.04924106810774122
2000,1,14,NPS,NA,NA,NA,0.05290839847709451
2000,1,15,NPS,NA,NA,NA,0.049565368331968784
2000,1,16,NPS,NA,NA,NA,0.043552051068513425
2000,1,17,NPS,NA,NA,NA,0.020229927853790002
2000,1,18,NPS,NA,NA,NA,0.05355063251328546
2000,1,19,NPS,NA,NA,NA,0.05188372280061632
2000,1,20,NPS,NA,NA,NA,0.04803579131310636
2000,1,21,NPS,NA,NA,NA,0.04321660469104717
2000,1,22,NPS,NA,NA,NA,0.029873022483057017
2000,1,23,NPS,NA,NA,NA,0.03348492452415166
2000,1,24,NPS,NA,NA,NA,0.03361036641789334
2000,1,25,NPS,NA,NA,NA,0.033586846410550854
2000,1,26,NPS,NA,NA,NA,0.03316338224844499
2000,1,27,NPS,NA,NA,NA,0.034267117450763655
2000,1,28,NPS,NA,NA,NA,0.03609234191380538
2000,1,29,NPS,NA,NA,NA,0.035341189762988647
2000,1,30,NPS,NA,NA,NA,0.03744403151916219
2000,1,31,NPS,NA,NA,NA,0.036780118264935234
2000,1,1,SPS,NA,NA,NA,0.07417099419881634
2000,1,2,SPS,NA,NA,NA,0.07279683767075845
2000,1,3,SPS,NA,NA,NA,0.06834812767126343
2000,1,4,SPS,NA,NA,NA,0.06929417037190919
2000,1,5,SPS,NA,NA,NA,0.0696429999017301
2000,1,6,SPS,NA,NA,NA,0.07322501054501789
2000,1,7,SPS,NA,NA,NA,0.07343251013102378
2000,1,8,SPS,NA,NA,NA,0.07291211373107956
2000,1,9,SPS,NA,NA,NA,0.06983636002888016
2000,1,10,SPS,NA,NA,NA,0.06730324142478047
2000,1,11,SPS,NA,NA,NA,0.06475924964456316
2000,1,12,SPS,NA,NA,NA,0.06044783885466224
2000,1,13,SPS,NA,NA,NA,0.05848057741388918
2000,1,14,SPS,NA,NA,NA,0.060481110921398525
2000,1,15,SPS,NA,NA,NA,0.05780357215553522
2000,1,16,SPS,NA,NA,NA,0.04912869345376836
2000,1,17,SPS,NA,NA,NA,0.0339177609558272
2000,1,18,SPS,NA,NA,NA,0.058978701991472336
2000,1,19,SPS,NA,NA,NA,0.05668720086528496
2000,1,20,SPS,NA,NA,NA,0.05466836995699189
2000,1,21,SPS,NA,NA,NA,0.05065028142323468
2000,1,22,SPS,NA,NA,NA,0.03938034460705551
2000,1,23,SPS,NA,NA,NA,0.04188253058688367
2000,1,24,SPS,NA,NA,NA,0.040099233603055146
2000,1,25,SPS,NA,NA,NA,0.039332799384380404
2000,1,26,SPS,NA,NA,NA,0.037822556084290866
2000,1,27,SPS,NA,NA,NA,0.040165079050363706
2000,1,28,SPS,NA,NA,NA,0.04128780656240203
2000,1,29,SPS,NA,NA,NA,0.04036876315221111
2000,1,30,SPS,NA,NA,NA,0.043390996056922614
2000,1,31,SPS,NA,NA,NA,0.04189107810610278
2000,1,1,CWA,0.053628867403382345,0.06041266113519669,0.08440652442521152,0.14644095670971038
2000,1,2,CWA,0.07249657827473822,0.07230974649389585,0.08146133673963724,0.12073512848858771
2000,1,3,CWA,0.06391800425591923,0.06734904915094375,0.07679332029304387,0.11501573843293283
2000,1,4,CWA,0.06050125349845205,0.07055623983343443,0.0798852461286717,0.11670155195568345
2000,1,5,CWA,0.06377331096501578,0.07197151258587837,0.07848247298165972,0.11359483280317172
2000,1,6,CWA,0.07567890733480453,0.08166935195525488,0.0825979657655145,0.10491622356992018
2000,1,7,CWA,0.07625132976543336,0.08148463482658068,0.0829607020649645,0.10307303633246767
2000,1,8,CWA,0.07580973846571785,0.08123602241277694,0.08330823832915889,0.1024840708674961
2000,1,9,CWA,0.07061361308608737,0.07678053180376689,0.08004223497837414,0.09867250691413094
2000,1,10,CWA,0.05718590620727766,0.06572467063864072,0.07557994595234409,0.10795091801126928
2000,1,11,CWA,0.05421380113278117,0.06303430929780006,0.07330954491080326,0.10187801894927888
2000,1,12,CWA,0.047345444914840516,0.05839573641618093,0.06940519417647595,0.09509722991895518
2000,1,13,CWA,0.04403686736311231,0.05664713417490323,0.06802277798178019,0.09046381971259651
2000,1,14,CWA,0.03995232656598091,0.060094801870485146,0.07180704549529854,0.09432849682450882
2000,1,15,CWA,0.03788318391889334,0.0562772661820054,0.06861627694610277,0.08984647089934075
2000,1,16,CWA,0.02980929963468086,0.04546321362257004,0.05909839251803027,0.0842802598753846
2000,1,17,CWA,0.012759092208441524,0.026610928907369574,0.04483629638806307,0.07794937457135682
2000,1,18,CWA,0.03220031210886581,0.05014405286560456,0.06644242410375564,0.08701300832173346
2000,1,19,CWA,0.030246199374752387,0.04821321660031875,0.06407379937921594,0.08643533747618724
