DATE,PFISHUSDM
1/1/2018,1449.607464
2/1/2018,1490.6
3/1/2018,1490.562424
4/1/2018,1478.930873
5/1/2018,1344.987971
6/1/2018,1307.020913
7/1/2018,1294.909205
8/1/2018,1266.345217
9/1/2018,1284.139917
10/1/2018,1279.652283
11/1/2018,1267.847424
12/1/2018,1246.57869
1/1/2019,1266.924529
2/1/2019,1271.361053
3/1/2019,1279.385754
4/1/2019,1305.906318
5/1/2019,1305.579022
6/1/2019,1288.820708
7/1/2019,1254.726159
8/1/2019,1199.462379
9/1/2019,1177.595921
10/1/2019,1204.366725
11/1/2019,1228.204302
12/1/2019,1230.051667
1/1/2020,1250.487623
2/1/2020,1339.701167
3/1/2020,1279.372348
4/1/2020,1282.566288
5/1/2020,1271.115635
6/1/2020,1303.349659
7/1/2020,1330.13087
8/1/2020,1289.738135
9/1/2020,1255.018939
10/1/2020,1255.162182
11/1/2020,1294.93
12/1/2020,1328.985536
