"CRAB_YEAR","AGENCY_CODE","PACFIN_GROUP_PORT_CODE","PORT_DESCRIPTION","NOV_ROUND_WEIGHT_MTONS","NOV_ROUND_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_ROUND_WEIGHT_MTONS","DEC_ROUND_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","JAN_ROUND_WEIGHT_MTONS","JAN_ROUND_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_ROUND_WEIGHT_MTONS","FEB_ROUND_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_ROUND_WEIGHT_MTONS","MAR_ROUND_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_ROUND_WEIGHT_MTONS","APR_ROUND_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_ROUND_WEIGHT_MTONS","MAY_ROUND_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_ROUND_WEIGHT_MTONS","JUN_ROUND_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_ROUND_WEIGHT_MTONS","JUL_ROUND_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_ROUND_WEIGHT_MTONS","AUG_ROUND_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_ROUND_WEIGHT_MTONS","SEP_ROUND_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_ROUND_WEIGHT_MTONS","OCT_ROUND_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2000","O","CLO","COLUMBIA RIVER PORTS (OREGON)",0,0,0,"",1261.76,1.77,4910479,"",385.14,2.21,1878741,"",165.91,2.36,865003,"",84.89,2.42,453499,"",49.76,2.69,294979,"",32.8,2.96,213690,"",9.94,2.64,57904,"",6.62,2.2,32072,"",4.94,2.16,23525,"",0,0,0,"",0,0,0,"",2001.74,1.98,8729891,""
"2000","O","NPA","NEWPORT AREA PORTS",.98,3.13,6793,"",1157.89,1.76,4490617,"",639.64,2.18,3074023,"",218.61,2.36,1136897,"",93.93,2.57,532299,"",38,2.84,238193,"",39.79,3.09,271417,"",30.55,2.73,183874,"",22.4,2.45,121064,"",5.46,2.6,31261,"",1.3,3.37,9637,"",2.41,2.49,13231,"",2250.95,2.04,10109304,""
"2000","O","TLA","TILLAMOOK AREA PORTS",,,,"*",156.09,1.75,602378,"",65.83,2.26,328673,"",37.13,2.35,192397,"",21.29,2.36,111010,"",15.78,2.63,91635,"",11.27,2.92,72642,"",6.73,2.33,34573,"",4.78,2.42,25504,"",4.38,2.43,23470,"",,,,"*",,,,"*",323.3,2.08,1482280,"*"
"2000","O","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"*"
"2000","W","CLW","COLUMBIA RIVER PORTS (WASHINGTON)",15.82,2.65,92318,"",584.47,1.76,2272824,"",178.48,2.21,868571,"",78.24,2.36,406849,"",60.22,2.39,317075,"",24.06,2.57,136357,"",29.07,2.92,187252,"",15.23,2.57,86240,"",9.26,1.98,40499,"",22.12,1.6,77942,"",44.23,1.63,159322,"",,,,"*",1061.18,1.99,4645248,"*"
"2000","W","CWA","WASHINGTON COASTAL PORTS",,,,"*",3083.6,1.75,11923668,"",1281.18,2.19,6194129,"",518.36,2.36,2701509,"",238.76,2.5,1317985,"",132.03,2.87,834031,"",122.19,3.15,849873,"",83.47,2.37,436829,"",99.42,1.82,398896,"",94.54,1.77,369008,"",75.82,1.73,289355,"",52.49,1.97,228125,"",5781.86,2,25543409,"*"
"2000","W","NPS","NORTH PUGET SOUND PORTS",193.96,2.47,1054759,"",164.82,2.05,743401,"",215.66,2.38,1129266,"",129.77,2.56,731258,"",107.98,2.75,655390,"",72.13,3.12,496474,"",114.9,3.36,850847,"",291.65,2.28,1462806,"",162.25,2.17,774556,"",200.99,2.09,925574,"",477.7,1.97,2072799,"",741.81,1.67,2725933,"",2873.62,2.15,13623065,""
"2000","W","SPS","SOUTH PUGET SOUND PORTS",32.05,2.49,176142,"",181.35,1.85,737866,"",110.2,2.22,540462,"",88,2.46,477742,"",34.01,2.75,206450,"",28.37,3.12,195312,"",11.36,3.31,82946,"",60.9,2.27,304915,"",46.59,2.16,221374,"",22.81,2.28,114616,"",31.55,2.16,150194,"",61.31,1.79,241824,"",708.51,2.21,3449844,""
"2000","W","WA5","OTHER OR UNKNOWN WASHINGTON PORTS",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"*"
"2000","W","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",,,,"*",0,0,0,"*"
"2001","C","BDA","BODEGA BAY AREA PORTS",113.77,2.58,646358,"",62.6,2.3,317397,"",41.68,2.82,258845,"",27.76,3.49,213545,"",10.69,3.6,84824,"",6.92,4.18,63773,"",11.55,4.16,105842,"",4.91,3.37,36455,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",279.88,2.8,1727038,"*"
"2001","C","BGA","FORT BRAGG AREA PORTS",2.71,2.6,15566,"",109.92,1.82,442042,"",23.58,2.76,143390,"",8.38,3.28,60601,"",3.94,3.4,29531,"",2.87,3.63,22965,"",2.4,3.85,20392,"",2.27,3.11,15595,"",4.12,2.98,27078,"",0,0,0,"",0,0,0,"",0,0,0,"",160.19,2.2,777159,""
"2001","C","CA2","OTHER OR UNKNOWN CALIFORNIA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"2001","C","CCA","CRESCENT CITY AREA PORTS",0,0,0,"",981.1,1.67,3611345,"",88.52,2.67,521177,"",50.86,3.3,369929,"",20.92,3.52,162192,"",5.63,4.05,50234,"",4.9,4.5,48558,"",1.83,3.09,12446,"",1.59,2.52,8831,"",0,0,0,"",0,0,0,"",0,0,0,"",1155.35,1.88,4784712,""
"2001","C","ERA","EUREKA AREA PORTS",0,0,0,"",394.21,1.73,1501011,"",49.61,2.7,295049,"",26.08,3.29,189017,"",18.36,3.6,145551,"",11.47,3.99,101052,"",6.69,4.17,61595,"",3.46,3.11,23711,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",509.88,2.06,2316987,"*"
"2001","C","LAA","LOS ANGELES AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"2001","C","MNA","MONTEREY AREA PORTS",2.26,3.01,15015,"",3.58,2.94,23195,"",1.23,2.46,6672,"",1.27,3.46,9702,"",1.14,3.72,9337,"",1.24,4.12,11296,"",,,,"*",,,,"*",,,,"*",0,0,0,"",0,0,0,"",,,,"*",10.72,3.18,75217,"*"
"2001","C","MRA","MORRO BAY AREA PORTS",,,,"*",,,,"*",,,,"*",,,,"*",.55,3.66,4455,"",1.04,4.26,9800,"",1.51,4.37,14560,"",.67,4.06,5977,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",3.77,4.18,34792,"*"
"2001","C","SFA","SAN FRANCISCO AREA PORTS",192.05,2.57,1088807,"",79.3,2.35,410157,"",28.52,2.9,182567,"",20.79,3.31,151709,"",29.55,3.58,233035,"",31.56,3.99,277631,"",47.1,4.08,423384,"",33.39,2.7,198587,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",462.25,2.91,2965877,"*"
"2001","C","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",,,,"*",1.23,3.18,8641,"",0,0,0,"",0,0,0,"",,,,"*",1.23,3.18,8641,"*"
"2001","O","BRA","BROOKINGS AREA PORTS",0,0,0,"",344.32,1.7,1290674,"",45.26,2.57,255943,"",24.96,3.06,168337,"",13.84,3.31,100930,"",12.66,3.86,107676,"",9.48,3.96,82655,"",8.28,2.76,50394,"",12.1,2.15,57457,"",13.04,2,57403,"",0,0,0,"",0,0,0,"",483.94,2.04,2171468,""
"2001","O","CBA","COOS BAY AREA PORTS",.55,1.89,2297,"",350.79,1.7,1314266,"",82.32,2.66,483216,"",41.57,3.05,279218,"",20.05,3.32,146912,"",11.1,3.87,94677,"",13.24,3.87,112830,"",19.39,2.62,111916,"",34.19,2.03,153059,"",25.11,1.87,103229,"",.77,3.19,5444,"",.51,2.6,2918,"",599.59,2.13,2809982,""
"2001","O","CLO","COLUMBIA RIVER PORTS (OREGON)",0,0,0,"",561.38,1.82,2255161,"",426.03,2.23,2090942,"",111.13,2.94,719326,"",34.16,3.09,232774,"",28.55,3.33,209388,"",17.55,3.55,137480,"",11.96,2.7,71297,"",6.21,1.81,24792,"",3.86,1.23,10503,"",0,0,0,"",0,0,0,"",1200.85,2.17,5751662,""
"2001","O","NPA","NEWPORT AREA PORTS",1.43,2.96,9296,"",615.15,1.68,2275194,"",142.38,2.59,813012,"",48.58,3.05,326359,"",23.57,3.31,171892,"",18.5,3.81,155351,"",17.96,3.91,154865,"",18.58,2.71,111052,"",17.71,2.3,89666,"",11.1,2.4,58635,"",2.38,2.29,12013,"",1.98,2.54,11086,"",919.3,2.07,4188421,""
"2001","O","TLA","TILLAMOOK AREA PORTS",,,,"*",79.33,1.74,303905,"",31.91,2.36,165722,"",13.27,2.89,84618,"",7.27,3.14,50253,"",3.6,3.31,26254,"",5.33,3.46,40638,"",5.33,2.89,33948,"",4.35,2.7,25960,"",5.44,2.23,26699,"",,,,"*",,,,"*",155.83,2.21,757998,"*"
"2001","O","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"*"
"2001","W","CLW","COLUMBIA RIVER PORTS (WASHINGTON)",,,,"*",301.49,1.76,1170823,"",139.82,2.25,693117,"",57.78,2.93,372892,"",21.3,3,140782,"",17.28,3.13,119296,"",8.26,3.49,63579,"",4.79,2.87,30311,"",11.22,1.87,46157,"",47.42,1.54,161074,"",52.7,1.51,175145,"",0,0,0,"",662.06,2.04,2973175,"*"
"2001","W","CWA","WASHINGTON COASTAL PORTS",176.59,2.45,952274,"",874.94,1.8,3464509,"",937.34,2.22,4594949,"",207.44,3.04,1388103,"",87.74,3.22,623699,"",70,3.56,549834,"",59.05,3.78,491654,"",102.77,2.36,534622,"",168.83,1.6,596714,"",237.09,1.43,749929,"",160.65,1.51,535678,"",52.78,1.67,193864,"",3135.21,2.12,14675828,""
"2001","W","NPS","NORTH PUGET SOUND PORTS",216.83,2.2,1049373,"",135.23,1.99,592492,"",198.95,2.57,1128858,"",147.84,3.15,1026334,"",74.8,3.4,560769,"",45.12,3.97,395367,"",47.95,3.31,350395,"",314.1,2.26,1563113,"",142.62,1.69,530000,"",269.09,1.9,1128404,"",121.38,1.91,511605,"",1178.85,1.55,4031499,"",2892.75,2.02,12868208,""
"2001","W","SPS","SOUTH PUGET SOUND PORTS",37.2,2.27,186120,"",94.1,1.82,377602,"",113.19,2.29,571275,"",57.25,3.04,384004,"",14.13,3.29,102540,"",27.51,4.05,245374,"",7.14,3.88,61051,"",40.27,2.26,200426,"",19.87,1.75,76712,"",30.94,1.73,118210,"",17.07,1.98,74468,"",38.2,1.69,142632,"",496.88,2.32,2540413,""
"2001","W","XXX","WITHHELD FOR CONFIDENTIALITY**",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
"2002","C","BDA","BODEGA BAY AREA PORTS",0,0,0,"",82.01,2.22,400652,"",47.55,1.94,203143,"",22.49,2.36,117138,"",6.61,2.81,40922,"",4.32,2.98,28348,"",3.98,3.55,31140,"",4.25,3.14,29421,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",171.2,2.25,850764,""
"2002","C","BGA","FORT BRAGG AREA PORTS",0,0,0,"",92.74,1.96,399829,"",27.37,1.77,106582,"",8.61,2.14,40659,"",3.52,2.63,20459,"",.59,2.75,3549,"",1.66,2.96,10821,"",1.75,2.41,9298,"",9.46,2.04,42455,"",0,0,0,"",0,0,0,"",0,0,0,"",145.7,1.97,633652,""
"2002","C","CCA","CRESCENT CITY AREA PORTS",0,0,0,"",330.73,1.94,1412934,"",97.51,1.75,376402,"",15.08,2.27,75518,"",6.75,2.73,40695,"",4.02,3.14,27824,"",3.35,3.25,23981,"",3.73,2.18,17976,"",9.68,1.89,40282,"",0,0,0,"",0,0,0,"",0,0,0,"",470.85,1.94,2015612,""
"2002","C","ERA","EUREKA AREA PORTS",0,0,0,"",141.84,1.97,617024,"",56.88,1.85,232370,"",14.2,2.26,70794,"",9.53,2.69,56618,"",12.32,3.05,82803,"",7.07,3.24,50580,"",1.42,2.22,6975,"",1.22,1.97,5298,"",0,0,0,"",0,0,0,"",0,0,0,"",244.5,2.08,1122462,""
"2002","C","LAA","LOS ANGELES AREA PORTS",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"*"
"2002","C","MNA","MONTEREY AREA PORTS",,,,"*",4.79,2.57,27207,"",7.45,2.18,35804,"",8.49,2.33,43654,"",4.19,2.74,25310,"",3.39,2.91,21752,"",3.53,2.85,22199,"",.73,3.11,5010,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",32.58,2.52,180937,"*"
"2002","C","MRA","MORRO BAY AREA PORTS",0,0,0,"",0,0,0,"",,,,"*",4.06,2.95,26388,"",2.26,4.02,20045,"",3.86,4.44,37752,"",2.33,4.48,23014,"",.56,4.51,5600,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",13.07,3.91,112798,"*"
"2002","C","SBA","SANTA BARBARA AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"*"
