"LANDING_YEAR","PORT_AREA_CODE","ROUND_WEIGHT_MTONS","LANDING_MONTH"
2010,"ERA",0,11
2010,"LAA",0,11
2010,"MNA",16.85,11
2010,"MRA",0,11
2010,"SFA",513.95,11
2010,"XXX",0,11
2010,"BRA",0,11
2010,"CBA",2.76,11
2010,"CLO",0,11
2010,"NPA",2.47,11
2010,"TLA",0,11
2010,"XXX",0,11
2010,"CLW",0,11
2010,"CWA",302.33,11
2010,"NPS",400.95,11
2010,"SPS",26.26,11
2010,"WA5",0,11
2010,"XXX",0,11
2011,"BDA",908.38,11
2011,"BGA",0,11
2011,"CCA",0,11
2011,"ERA",0,11
2011,"MNA",31.04,11
2011,"MRA",0,11
2011,"SBA",0,11
2011,"SFA",2254.25,11
2011,"XXX",8.73,11
2011,"BRA",0,11
2011,"CBA",3.6,11
2011,"CLO",0,11
2011,"NPA",2.01,11
2011,"TLA",0,11
2011,"XXX",0,11
2011,"CLW",0,11
2011,"CWA",200.13,11
2011,"NPS",330.21,11
2011,"SPS",37.35,11
2011,"WA5",0,11
2011,"XXX",0,11
2012,"BDA",69.51,11
2012,"BGA",0,11
2012,"CCA",0,11
2012,"ERA",0,11
2012,"MNA",24.48,11
2012,"MRA",0,11
2012,"SBA",0,11
2012,"SFA",167.77,11
2012,"XXX",0,11
2012,"BRA",0,11
2012,"CBA",3.94,11
2012,"CLO",0.98,11
2012,"NPA",2.68,11
2012,"TLA",0,11
2012,"XXX",0,11
2012,"CLW",0,11
2012,"CWA",6.08,11
2012,"NPS",224.26,11
2012,"SPS",9.91,11
2012,"WA5",0,11
2012,"XXX",0,11
2013,"BDA",401.82,11
2013,"BGA",0,11
2013,"CCA",0,11
2013,"ERA",0,11
2013,"MNA",55.46,11
2013,"MRA",10.69,11
2013,"SBA",0,11
2013,"SFA",1255.68,11
2013,"XXX",0,11
2013,"BRA",0,11
2013,"CBA",2.03,11
2013,"CLO",0,11
2013,"NPA",3.95,11
2013,"TLA",0.71,11
2013,"XXX",0,11
2013,"CLW",0,11
2013,"CWA",105.21,11
2013,"NPS",328.65,11
2013,"SPS",26.14,11
2013,"WA5",0,11
2013,"XXX",0,11
2014,"BDA",694.4,11
2014,"BGA",0,11
2014,"CCA",0,11
2014,"ERA",28.75,11
2014,"MNA",54.07,11
2014,"MRA",10.93,11
2014,"SBA",0,11
2014,"SFA",1981.73,11
2014,"XXX",0,11
2014,"BRA",0,11
2014,"CBA",0.39,11
2014,"CLO",0,11
2014,"NPA",2.41,11
2014,"TLA",0,11
2014,"XXX",1.74,11
2014,"CLW",0,11
2014,"CWA",144.43,11
2014,"NPS",302.8,11
2014,"SPS",30.51,11
2014,"WA5",0,11
2014,"XXX",0,11
2015,"BDA",924.92,11
2015,"BGA",4.83,11
2015,"CCA",0,11
2015,"ERA",0,11
2015,"MNA",141.15,11
2015,"MRA",21.06,11
2015,"SFA",2813.9,11
2015,"XXX",0,11
2015,"BRA",0,11
2015,"CBA",0.48,11
2015,"CLO",0,11
2015,"NPA",0.5,11
2015,"TLA",0,11
2015,"XXX",1,11
2015,"CLW",0,11
2015,"CWA",191.33,11
2015,"NPS",255.6,11
2015,"SPS",21.67,11
2015,"WA5",0,11
2015,"XXX",0,11
2016,"BDA",0,11
2016,"BGA",0,11
2016,"CCA",0,11
2016,"ERA",0,11
2016,"MNA",0,11
2016,"MRA",0,11
2016,"SFA",0,11
2016,"XXX",0,11
2016,"BRA",0,11
