"VESSEL_NUM","LANDING_MONTH","LANDING_YEAR","LAT","DISTANCE_A","LANDED_WEIGHT_LBS","AFI_EXVESSEL_REVENUE","Percentage","diversity"
"CF1931ZM",10,2015,34.154072,0,11090,3853.9968,1,1
"CF1931ZM",10,2016,34.154072,0,53625,28823.4375,1,1
"CF1931ZM",10,2017,34.154072,0,91314,48168.135,1,1
"CF1931ZM",11,2014,34.154072,0,245711,55073.85752,1,1
"CF1931ZM",11,2015,36.7320379874992,128860.658497271,347499,132084.3699,1,1
"CF1931ZM",11,2016,34.1586919408488,3684.29343560641,71985,38691.9375,1,1
"CF1931ZM",11,2017,34.154072,0,222693,117470.5575,1,1
"CF1931ZM",12,2015,34.154072,0,81791,31088.7591,1,1
"CF1931ZM",12,2016,34.121501617462,50849.6548075761,95384,51268.9,1,1
"CF1931ZM",12,2017,34.154072,0,29107,15353.9425,1,1
"CF1931ZM",4,2013,34.154072,0,141609,51400.45284,1,1
"CF1931ZM",4,2017,34.154072,0,4791,2527.2525,1,1
"CF1931ZM",5,2013,34.154072,0,60856,20392.8456,1,1
"CF1931ZM",5,2014,36.6283899695419,15812.5287616075,131328,47498.71104,1,1
"CF1931ZM",5,2016,34.154072,0,14858,7507.0045,1,1
"CF1931ZM",5,2017,34.154072,0,1815,957.4125,1,1
"CF1931ZM",6,2013,34.154072,0,602400,205104.964175,1,1
"CF1931ZM",6,2014,36.6684492140898,23440.0039415651,914233,330659.79144,1,1
"CF1931ZM",6,2016,34.1030179556539,62143.4302183029,351775,184625.95025,1,1
"CF1931ZM",6,2017,34.154072,0,18296,9651.14,1,1
"CF1931ZM",7,2013,34.154072,0,2001914,724968.827775,1,1
"CF1931ZM",7,2014,37.0181765015963,109295.908955202,1682138,601188.07444,1,1
"CF1931ZM",7,2015,36.7439532447965,74044.2269189039,430473,122114.98764,1,1
"CF1931ZM",7,2016,35.1182389971809,376668.035547275,236599,127171.9625,1,1
"CF1931ZM",8,2013,34.154072,0,878966,319086.63215,1,1
"CF1931ZM",8,2014,37.4037325121767,308845.101824818,321119,106656.007,1,1
"CF1931ZM",8,2015,37.7057300344654,76073.243618649,232738,75487.59936,1,1
"CF1931ZM",8,2016,36.4526961739866,178823.715627952,339894,182693.025,1,1
"CF1931ZM",9,2013,34.154072,0,583105,211681.692625,1,1
"CF1931ZM",9,2014,34.2288133261142,127171.654427051,789956,258872.77784,1,1
"CF1931ZM",9,2015,34.154072,0,144529,35225.37654,1,1
"CF1931ZM",9,2016,34.154072,0,34085,18320.6875,1,1
"CF1964UZ",5,2019,36.812905,0,5197.05,27506.46107,5.51870339167553e-07,1
"CF1964UZ",8,2019,36.812905,0,3098.4,18931.484,1.33639813973379e-05,1
"CF1972UF",10,2016,32.677286,0,433,8018.425,0.029494570317737,1
