year,month,port,SDM_20
2000,11,CWA,0.285551563
2000,11,CLW,0.320083988
2000,11,WA5,NA
2000,11,CLO,0.244583702
2000,11,TLA,0.175473571
2000,11,NPA,0.19512416
2000,11,CBA,0.203671421
2000,11,BRA,0.174056831
2000,11,OR1,NA
2000,11,CCA,0.209855064
2000,11,ERA,0.220349627
2000,11,BGA,0.208161489
2000,11,BDA,0.287667395
2000,11,SFA,0.416023834
2000,11,MNA,0.209350629
2000,11,MRA,0.278705624
2000,11,SBA,0.424646504
2000,11,LAA,0.49325635
2000,11,SDA,0.33939393
2000,11,CA2,NA
2000,12,NPS,NA
2000,12,SPS,NA
2000,12,CWA,0.163477512
2000,12,CLW,0.175467498
2000,12,WA5,NA
2000,12,CLO,0.147046112
2000,12,TLA,0.127303871
2000,12,NPA,0.158636817
2000,12,CBA,0.171523678
2000,12,BRA,0.205520274
2000,12,OR1,NA
2000,12,CCA,0.214632588
2000,12,ERA,0.218251441
2000,12,BGA,0.240828967
2000,12,BDA,0.217395559
2000,12,SFA,0.441621558
2000,12,MNA,0.18722317
2000,12,MRA,0.269840549
2000,12,SBA,0.300818082
2000,12,LAA,0.420632017
2000,12,SDA,0.325680826
2000,12,CA2,NA
2001,1,NPS,NA
2001,1,SPS,NA
2001,1,CWA,0.232766899
2001,1,CLW,0.221518569
2001,1,WA5,NA
2001,1,CLO,0.20671751
2001,1,TLA,0.217599201
2001,1,NPA,0.197406271
2001,1,CBA,0.181650819
2001,1,BRA,0.260344231
2001,1,OR1,NA
2001,1,CCA,0.306257924
2001,1,ERA,0.267513246
2001,1,BGA,0.218680647
2001,1,BDA,0.271730511
2001,1,SFA,0.516676981
2001,1,MNA,0.230956262
2001,1,MRA,0.37317433
2001,1,SBA,0.416460791
2001,1,LAA,0.497437209
2001,1,SDA,0.378762628
2001,1,CA2,NA
2001,2,NPS,NA
2001,2,SPS,NA
2001,2,CWA,0.235620111
2001,2,CLW,0.306917433
2001,2,WA5,NA
2001,2,CLO,0.327975866
2001,2,TLA,0.22979501
2001,2,NPA,0.227081422
2001,2,CBA,0.187802028
2001,2,BRA,0.214726218
2001,2,OR1,NA
2001,2,CCA,0.244284143
2001,2,ERA,0.263144054
2001,2,BGA,0.192252146
2001,2,BDA,0.267421595
2001,2,SFA,0.514025922
2001,2,MNA,0.240770398
2001,2,MRA,0.280086198
2001,2,SBA,0.313706357
2001,2,LAA,0.464344662
2001,2,SDA,0.347269171
2001,2,CA2,NA
2001,3,NPS,NA
2001,3,SPS,NA
2001,3,CWA,0.319033916
2001,3,CLW,0.375730169
2001,3,WA5,NA
2001,3,CLO,0.345238203
2001,3,TLA,0.322490282
2001,3,NPA,0.312039172
2001,3,CBA,0.264894393
2001,3,BRA,0.196931848
2001,3,OR1,NA
2001,3,CCA,0.293940673
2001,3,ERA,0.261012691
2001,3,BGA,0.24176876
2001,3,BDA,0.303920317
