year,month,port,SDM_60
1998,1,NPS,NA
1998,1,SPS,NA
1998,1,CWA,0.10655942156104534
1998,1,CLW,0.11523173369432634
1998,1,WA5,NA
1998,1,CLO,0.11538925771114071
1998,1,TLA,0.1413483054299273
1998,1,NPA,0.17856199988769414
1998,1,CBA,0.21428740321116815
1998,1,BRA,0.22935468924711397
1998,1,OR1,NA
1998,1,CCA,0.2352755942312997
1998,1,ERA,0.2585041492536504
1998,1,BGA,0.30662960600788874
1998,1,BDA,0.3310346696414543
1998,1,SFA,0.3161860191505367
1998,1,MNA,0.24638285944538732
1998,1,MRA,0.2146462426717694
1998,1,SBA,0.22060253345958328
1998,1,LAA,0.2024090802229158
1998,1,SDA,0.2042133270848845
1998,1,CA2,NA
1998,2,NPS,NA
1998,2,SPS,NA
1998,2,CWA,0.12183487292515782
1998,2,CLW,0.14147295865277473
1998,2,WA5,NA
1998,2,CLO,0.14551998840814287
1998,2,TLA,0.14050716282778028
1998,2,NPA,0.16691720921513967
1998,2,CBA,0.20774234656079354
1998,2,BRA,0.2703175712548505
1998,2,OR1,NA
1998,2,CCA,0.26840297618675846
1998,2,ERA,0.2955874053146598
1998,2,BGA,0.37472541224921035
1998,2,BDA,0.4457797783589552
1998,2,SFA,0.4562084815081428
1998,2,MNA,0.3685809270079647
1998,2,MRA,0.36267378071523965
1998,2,SBA,0.37292544504938024
1998,2,LAA,0.3294493576022474
1998,2,SDA,0.31379830026127437
1998,2,CA2,NA
1998,3,NPS,NA
1998,3,SPS,NA
1998,3,CWA,0.30514473627972344
1998,3,CLW,0.35520121939690125
1998,3,WA5,NA
1998,3,CLO,0.35471608243401975
1998,3,TLA,0.32041328157274135
1998,3,NPA,0.35267506932379095
1998,3,CBA,0.34197844771684527
1998,3,BRA,0.38074271126604725
1998,3,OR1,NA
1998,3,CCA,0.40470542966342365
1998,3,ERA,0.4192505801247808
1998,3,BGA,0.4586456800821007
1998,3,BDA,0.48885376722937984
1998,3,SFA,0.5579039819213426
1998,3,MNA,0.5047336892628755
1998,3,MRA,0.46215884800487794
1998,3,SBA,0.43360605351226306
1998,3,LAA,0.38792721480596326
1998,3,SDA,0.3465879482607688
1998,3,CA2,NA
1998,4,NPS,NA
1998,4,SPS,NA
1998,4,CWA,0.3148156005654249
1998,4,CLW,0.3883825815412947
1998,4,WA5,NA
1998,4,CLO,0.40195558751171284
1998,4,TLA,0.35819104720985956
1998,4,NPA,0.3000083600255576
1998,4,CBA,0.309850176829825
1998,4,BRA,0.3071580135133318
1998,4,OR1,NA
1998,4,CCA,0.32700469984057173
1998,4,ERA,0.32520756027821834
1998,4,BGA,0.4181136417637269
1998,4,BDA,0.4571756991431301
1998,4,SFA,0.5641791270936236
1998,4,MNA,0.5281740712622801
1998,4,MRA,0.555199385155626
1998,4,SBA,0.5773421318580707
1998,4,LAA,0.47319665985402243
1998,4,SDA,0.4002461782474627
1998,4,CA2,NA
1998,5,NPS,NA
1998,5,SPS,NA
1998,5,CWA,0.5357321653557322
1998,5,CLW,0.5884275690775508
1998,5,WA5,NA
1998,5,CLO,0.5881568517765342
1998,5,TLA,0.527434895115514
1998,5,NPA,0.45793529344997563
1998,5,CBA,0.4492490948528372
1998,5,BRA,0.4616344509167552
1998,5,OR1,NA
1998,5,CCA,0.47396922766342797
1998,5,ERA,0.47235965334268515
1998,5,BGA,0.5228634255227222
1998,5,BDA,0.542405457426143
1998,5,SFA,0.6128359343397097
1998,5,MNA,0.5248858965354724
1998,5,MRA,0.5291129667324169
1998,5,SBA,0.5667030952109765
1998,5,LAA,0.39173516119432
1998,5,SDA,0.36605772402580905
1998,5,CA2,NA
1998,6,NPS,NA
1998,6,SPS,NA
1998,6,CWA,0.5919508657879657
1998,6,CLW,0.6506309511200075
1998,6,WA5,NA
1998,6,CLO,0.6626801055127924
1998,6,TLA,0.6408669474509244
1998,6,NPA,0.5954070613992335
1998,6,CBA,0.5421946804201792
1998,6,BRA,0.4764393110509201
1998,6,OR1,NA
1998,6,CCA,0.5045202926371267
1998,6,ERA,0.5554958323723284
1998,6,BGA,0.5835467732780509
1998,6,BDA,0.5831561750283948
1998,6,SFA,0.6466020139116867
1998,6,MNA,0.49990530771973696
1998,6,MRA,0.455355591291473
1998,6,SBA,0.4918296309394969
1998,6,LAA,0.3384948397115354
1998,6,SDA,0.33483143382031344
1998,6,CA2,NA
1998,7,NPS,NA
1998,7,SPS,NA
1998,7,CWA,0.615242279578835
1998,7,CLW,0.6315499127919809
1998,7,WA5,NA
1998,7,CLO,0.6408508289316079
1998,7,TLA,0.6202023677382124
1998,7,NPA,0.6165511644539129
1998,7,CBA,0.5773755194702642
1998,7,BRA,0.5925556264282762
1998,7,OR1,NA
1998,7,CCA,0.6011189442425414
1998,7,ERA,0.5778757186940103
1998,7,BGA,0.5457080122764393
1998,7,BDA,0.5360406896671371
1998,7,SFA,0.6335939759604167
1998,7,MNA,0.5798828602727311
1998,7,MRA,0.47871069864193966
1998,7,SBA,0.3941527904682262
1998,7,LAA,0.30635651442126355
1998,7,SDA,0.3497019695642262
1998,7,CA2,NA
1998,8,NPS,NA
1998,8,SPS,NA
1998,8,CWA,0.6248886957860762
1998,8,CLW,0.6293318440867764
1998,8,WA5,NA
1998,8,CLO,0.6386681239073453
1998,8,TLA,0.6224362282983719
1998,8,NPA,0.6894715998908059
1998,8,CBA,0.6244839723682135
1998,8,BRA,0.5587534835788883
1998,8,OR1,NA
1998,8,CCA,0.561054178878531
1998,8,ERA,0.5977898072016252
1998,8,BGA,0.5622423359142836
