year,month,port,SDM_60,SDM_90,SDM_120
1998,1,NPS,NA,NA,NA
1998,1,SPS,NA,NA,NA
1998,1,CWA,0.5476847274682618,0.4005277049510324,0.32050942883413647
1998,1,CLW,0.6013263195341666,0.43141426069457683,0.3378096140522724
1998,1,WA5,NA,NA,NA
1998,1,CLO,0.6032347130559145,0.43512152737285764,0.3437737348697031
1998,1,TLA,0.46106866932547036,0.36847241183516843,0.30611687878947647
1998,1,NPA,0.4707567317471389,0.3469410786159551,0.2635666935582802
1998,1,CBA,0.31449319969118417,0.24278757746872162,0.1971999917487977
1998,1,BRA,0.1460987625859473,0.11828951787075309,0.10341994637030087
1998,1,OR1,NA,NA,NA
1998,1,CCA,0.1434824000290023,0.11856133305495688,0.10201127093392598
1998,1,ERA,0.1665120033560986,0.12130133942272536,0.0918580429200718
1998,1,BGA,0.12914408014846906,0.10190501282212824,0.08463699591608068
1998,1,BDA,0.2263835537588956,0.1676503318158095,0.11426711736702659
1998,1,SFA,0.24432251625031629,0.16007158927999998,0.1129603829971544
1998,1,MNA,0.06985846057805714,0.050811433898842094,0.0395437472510152
1998,1,MRA,0.09369317528014909,0.05784652385685888,0.04311114225800036
1998,1,SBA,0.21861596752123366,0.13256237913125737,0.09235905698399494
1998,1,LAA,0.0703190824823235,0.05944663166819088,0.05971622204952607
1998,1,SDA,0.04012416513301059,0.0360220162174765,0.034229138165773804
1998,1,CA2,NA,NA,NA
1998,2,NPS,NA,NA,NA
1998,2,SPS,NA,NA,NA
1998,2,CWA,0.6440046604517775,0.5028619340533339,0.40682496956876657
1998,2,CLW,0.6538226182490999,0.49766232919363584,0.4005484384294017
1998,2,WA5,NA,NA,NA
1998,2,CLO,0.6444990163862512,0.4932443185424028,0.40096612024261424
1998,2,TLA,0.49032958281123945,0.3956502415403708,0.3461063418376614
1998,2,NPA,0.5341860222331857,0.40647907414550905,0.3216882184655362
1998,2,CBA,0.489205536438299,0.379163170830598,0.3090281995272989
1998,2,BRA,0.41216606290985225,0.3238404234247615,0.25318104090363525
1998,2,OR1,NA,NA,NA
1998,2,CCA,0.42708427969593143,0.31949111204901404,0.2604982688333021
1998,2,ERA,0.3955667544158607,0.2951256514311909,0.22646891154700283
1998,2,BGA,0.2902642501828571,0.219693448420743,0.17603912962056284
1998,2,BDA,0.3450637971834531,0.25013368637652883,0.17880423651098115
1998,2,SFA,0.42347920285303053,0.2775208868585261,0.19392283204149782
1998,2,MNA,0.1481982788610612,0.10973484261405653,0.08660340954374413
1998,2,MRA,0.16185945523128933,0.10819604523606938,0.08599523492690496
1998,2,SBA,0.34439678194134365,0.23868893729835874,0.1761806711009235
1998,2,LAA,0.15747791592435148,0.14010969163583858,0.13105686363120453
1998,2,SDA,0.09699445174149068,0.08777370767042468,0.08250184726700278
1998,2,CA2,NA,NA,NA
1998,3,NPS,NA,NA,NA
1998,3,SPS,NA,NA,NA
1998,3,CWA,0.5160187803353032,0.40019627961013743,0.32850246636988273
1998,3,CLW,0.5913740584347349,0.4159412482673282,0.32152228343672684
1998,3,WA5,NA,NA,NA
1998,3,CLO,0.575401520918763,0.416115451307798,0.32331431954779505
1998,3,TLA,0.3868072831492018,0.30972088557024074,0.2765032446287048
1998,3,NPA,0.3998545613941005,0.2946241752649702,0.2302124681529936
1998,3,CBA,0.335354752260648,0.2552993956141712,0.22135376967305395
1998,3,BRA,0.3499993265845835,0.27299016008998866,0.2179819994660582
1998,3,OR1,NA,NA,NA
1998,3,CCA,0.3453905290531488,0.2790674880428919,0.22110401263297688
1998,3,ERA,0.3153274214087889,0.254888629991441,0.19988065599701468
1998,3,BGA,0.22348284650073258,0.18229337779710383,0.14938945685567548
1998,3,BDA,0.2555113735863563,0.21292284950246512,0.16090443234437726
1998,3,SFA,0.34384358462221937,0.23835693778717176,0.1742785688899378
1998,3,MNA,0.18386874281608787,0.14274039797707902,0.10899607581512176
1998,3,MRA,0.18379650644129086,0.13114728113920415,0.10968681629412061
1998,3,SBA,0.23577432894718744,0.22029448528688667,0.19182535570221998
1998,3,LAA,0.16233801362216163,0.14694839117375308,0.13941399295227286
1998,3,SDA,0.10110894026124935,0.08818447475806768,0.08420887168435946
1998,3,CA2,NA,NA,NA
1998,4,NPS,NA,NA,NA
1998,4,SPS,NA,NA,NA
1998,4,CWA,0.37342597475225053,0.27228675298894106,0.22792343870131523
1998,4,CLW,0.47820462857082646,0.3265182796036349,0.24358809564244815
1998,4,WA5,NA,NA,NA
1998,4,CLO,0.4779779596175208,0.3286631616282706,0.2439055163381446
1998,4,TLA,0.28402484868108574,0.22112787289742902,0.1822550324424672
1998,4,NPA,0.1756513497218339,0.13553539790015937,0.11447721404482537
1998,4,CBA,0.16092050953832254,0.12878278154473174,0.11169333496560178
1998,4,BRA,0.25743630771194737,0.19257003736605688,0.15147011541431385
1998,4,OR1,NA,NA,NA
1998,4,CCA,0.28496016031690957,0.205885258486781,0.16189981008541177
1998,4,ERA,0.26867745743700483,0.2276400952503211,0.18388521236708885
1998,4,BGA,0.36499690879550245,0.2882978816709547,0.22607832702026717
1998,4,BDA,0.33130284972534874,0.27856149495612653,0.22124958331455707
1998,4,SFA,0.4977135825683089,0.33784351479262115,0.24933118853980724
1998,4,MNA,0.33111386335006465,0.2563114270160112,0.19961858701151144
1998,4,MRA,0.3562978469671643,0.2818297311206433,0.22878383172771488
1998,4,SBA,0.46799708786937927,0.4127339582744182,0.3418999315788495
1998,4,LAA,0.3012056119179213,0.2561215256260136,0.23916935273264353
1998,4,SDA,0.1670405188650321,0.14252518448743998,0.13354577002702717
1998,4,CA2,NA,NA,NA
1998,5,NPS,NA,NA,NA
1998,5,SPS,NA,NA,NA
1998,5,CWA,0.37016714681930507,0.29610348253303204,0.24685799178980639
1998,5,CLW,0.44442735892273755,0.3211199447222287,0.24791184812968883
1998,5,WA5,NA,NA,NA
1998,5,CLO,0.4452165437321509,0.3226612247544992,0.24806173922579303
1998,5,TLA,0.29061797291970265,0.2350341848281916,0.1959230635754096
1998,5,NPA,0.19345438952138055,0.1511206966500044,0.1260006706555012
1998,5,CBA,0.18119273789196488,0.13922705715192124,0.11417206881244428
1998,5,BRA,0.2455246982442818,0.19436064093047362,0.14827525780974288
1998,5,OR1,NA,NA,NA
1998,5,CCA,0.27351428152493923,0.2072244893246453,0.1593242492240649
1998,5,ERA,0.29294188665816595,0.2341146159315392,0.18093848597081663
1998,5,BGA,0.3128071182417453,0.2453567565435622,0.19299131655541618
1998,5,BDA,0.34614329360950663,0.2599123697439906,0.20688577764245739
1998,5,SFA,0.4136100265231033,0.30707953416118167,0.22033091737416324
1998,5,MNA,0.25435040140548987,0.18881556419238138,0.15019319482958707
1998,5,MRA,0.26476806784300055,0.19976464818857195,0.16476013803141265
1998,5,SBA,0.36057878902522467,0.3342663242206552,0.2865597304997437
1998,5,LAA,0.13829816773758657,0.14991416838488467,0.17381967825853514
1998,5,SDA,0.10244028715290403,0.08743320445413967,0.08397555264629779
1998,5,CA2,NA,NA,NA
1998,6,NPS,NA,NA,NA
1998,6,SPS,NA,NA,NA
1998,6,CWA,0.35985239708611555,0.2834884945868166,0.23374707827576244
1998,6,CLW,0.4434448975749234,0.31646915644162543,0.2397498721149979
1998,6,WA5,NA,NA,NA
1998,6,CLO,0.45391872960961227,0.32378558862063345,0.24231363333883746
1998,6,TLA,0.31993262162991887,0.25036592774750027,0.21415417417487703
1998,6,NPA,0.26534197276476956,0.18820774814130756,0.15598125971015542
1998,6,CBA,0.24742603729227705,0.1893359586640213,0.16192367249415818
1998,6,BRA,0.37721721763091703,0.2993467254866102,0.2379859023404152
1998,6,OR1,NA,NA,NA
1998,6,CCA,0.40668471208646323,0.33393034355619394,0.2678580715501087
1998,6,ERA,0.4926926595212399,0.37490504257479945,0.2911703260301935
1998,6,BGA,0.4325481248853935,0.3186151510680734,0.24147076492196495
1998,6,BDA,0.35820839806563326,0.27626793332880273,0.21336848908770245
1998,6,SFA,0.4233972155726423,0.3211786085567265,0.22983450607256795
1998,6,MNA,0.2259259397899847,0.16562136203881964,0.13530953472040982
1998,6,MRA,0.1724513023508852,0.15578075932169502,0.12896460139702082
1998,6,SBA,0.2407346392257346,0.21417797453263226,0.19890727685467754
1998,6,LAA,0.10045379566889938,0.09669726919382811,0.1086841486777562
1998,6,SDA,0.08728208346185327,0.07460746294171049,0.06707912922603658
1998,6,CA2,NA,NA,NA
1998,7,NPS,NA,NA,NA
1998,7,SPS,NA,NA,NA
1998,7,CWA,0.403370082456336,0.3182078029363296,0.26653042649456965
1998,7,CLW,0.45835106907730566,0.32791660721674454,0.2573860982629784
1998,7,WA5,NA,NA,NA
1998,7,CLO,0.4670074039151093,0.33819432889501894,0.2570542488799013
1998,7,TLA,0.34943421708645483,0.2723687578028816,0.21938080195983758
1998,7,NPA,0.33371933839326673,0.24731086999045498,0.19649151023933917
1998,7,CBA,0.3566319628809574,0.29550031387168096,0.24476767529976826
1998,7,BRA,0.5681438526975982,0.3999695954622122,0.31227247103611444
1998,7,OR1,NA,NA,NA
1998,7,CCA,0.5553152317103415,0.4243335329560059,0.3316969445390522
1998,7,ERA,0.5409219713179235,0.38186108802896745,0.28671379007105596
1998,7,BGA,0.3486428418567264,0.26026683075402207,0.2036300478983345
1998,7,BDA,0.5038378736807596,0.35952599859796214,0.2757912919112949
1998,7,SFA,0.5616689101427058,0.46555338592191753,0.3589659554173048
1998,7,MNA,0.3752033549718105,0.28489437508827076,0.23090262958872412
1998,7,MRA,0.2094213605059496,0.18483710940708775,0.1538693644785044
1998,7,SBA,0.11899847392072921,0.128817103878559,0.14585393203794483
