year,month,port,SDM_60,SDM_90
2009,11,WA5,NA,NA
2009,11,CLO,0.30557272735140506,0.21471167137785202
2009,11,TLA,0.22330702909680664,0.18066182264176328
2009,11,NPA,0.23563661302129427,0.16279651191387629
2009,11,CBA,0.14174918185269075,0.11413924475178612
2009,11,BRA,0.14228929903318163,0.11249652196989143
2009,11,OR1,NA,NA
2009,11,CCA,0.14930970487108486,0.12066134392785338
2009,11,ERA,0.14468167427841616,0.11378025806436973
2009,11,BGA,0.14378951382668068,0.11225638229357586
2009,11,BDA,0.18994436377636445,0.1645452819605545
2009,11,SFA,0.3503105532524048,0.23948700243124255
2009,11,MNA,0.20419029159310423,0.15148351081031358
2009,11,MRA,0.2413335382735648,0.19088830733558898
2009,11,SBA,0.3944790274422202,0.34350712581056786
2009,11,LAA,0.36157320768281975,0.31521868623421573
2009,11,SDA,0.2526125000254519,0.22337378442307002
2009,11,CA2,NA,NA
2009,12,NPS,NA,NA
2009,12,SPS,NA,NA
2009,12,CWA,0.11678420360331544,0.08886769633322456
2009,12,CLW,0.14992723373872321,0.10409401156624683
2009,12,WA5,NA,NA
2009,12,CLO,0.15203258164695102,0.1067730585350817
2009,12,TLA,0.11481887169778475,0.08930639591039463
2009,12,NPA,0.1095192606873489,0.0841094803778524
2009,12,CBA,0.10417881678776501,0.08191530153355048
2009,12,BRA,0.09505483405092784,0.07600147663370775
2009,12,OR1,NA,NA
2009,12,CCA,0.09911150165051931,0.07970108106529003
2009,12,ERA,0.09760254124720509,0.07829322254865062
2009,12,BGA,0.09611892836360557,0.07612717476829499
2009,12,BDA,0.130994247166905,0.10346361214304464
2009,12,SFA,0.17428363896411556,0.12920689332869745
2009,12,MNA,0.15683792568876753,0.12588787822897085
2009,12,MRA,0.23531268775423864,0.17755311050034425
2009,12,SBA,0.2816083280429725,0.23398138421772025
2009,12,LAA,0.25758692724523635,0.21228120969464126
2009,12,SDA,0.21166225867522043,0.16904915376488996
2009,12,CA2,NA,NA
2010,1,NPS,NA,NA
2010,1,SPS,NA,NA
2010,1,CWA,0.16122983497813168,0.13267087850095294
2010,1,CLW,0.22493453450907908,0.15033667206087858
2010,1,WA5,NA,NA
2010,1,CLO,0.23772843359476611,0.15550396813708575
2010,1,TLA,0.16652751572927205,0.12378134675952016
2010,1,NPA,0.15270856212878098,0.1159946155525217
2010,1,CBA,0.1723691370302213,0.13907336165638157
2010,1,BRA,0.22939552400652688,0.17787498805026425
2010,1,OR1,NA,NA
2010,1,CCA,0.23642978725816005,0.19752870002812326
2010,1,ERA,0.2793846561617992,0.20254225098162668
2010,1,BGA,0.21841757713306334,0.17523920855540437
2010,1,BDA,0.26128645178282206,0.2060034951069488
2010,1,SFA,0.30479747496644277,0.23889359112788913
2010,1,MNA,0.2672748922536165,0.2190524316599064
2010,1,MRA,0.32378988974458534,0.25806257262541926
2010,1,SBA,0.37200155772108545,0.32951032323438784
2010,1,LAA,0.358079873358794,0.29947486029479414
2010,1,SDA,0.2794380103537318,0.23783502143641883
2010,1,CA2,NA,NA
2010,2,NPS,NA,NA
2010,2,SPS,NA,NA
2010,2,CWA,0.25922169322901895,0.19192852748584
2010,2,CLW,0.2624197246009141,0.19442154844714507
2010,2,WA5,NA,NA
2010,2,CLO,0.2589170132959392,0.19640054943555818
2010,2,TLA,0.1988248555638568,0.15434227895023453
2010,2,NPA,0.19230897159132204,0.1515265284635398
2010,2,CBA,0.1901796824729615,0.16116003165446913
2010,2,BRA,0.23234683700715414,0.178262563624433
2010,2,OR1,NA,NA
2010,2,CCA,0.23377836099798535,0.18550797546289846
2010,2,ERA,0.2398437116852588,0.17936389167169994
2010,2,BGA,0.20370512280081,0.16176083316100212
2010,2,BDA,0.28300335322797454,0.2241455758608429
2010,2,SFA,0.38809386955401975,0.28710002022839726
2010,2,MNA,0.256761283618669,0.21119017424242295
2010,2,MRA,0.2705642456194228,0.21897914290621684
2010,2,SBA,0.3715307407325045,0.32807320856204886
2010,2,LAA,0.35386633188013106,0.29502416109190616
2010,2,SDA,0.2742070719058364,0.23408631032125352
2010,2,CA2,NA,NA
2010,3,NPS,NA,NA
2010,3,SPS,NA,NA
2010,3,CWA,0.25199642609844924,0.1840138851233978
2010,3,CLW,0.3083253271164372,0.21236076247440794
2010,3,WA5,NA,NA
2010,3,CLO,0.3042624164758945,0.2155944011697613
2010,3,TLA,0.1989410063227228,0.15783477323491155
2010,3,NPA,0.19090690764207993,0.13862753774704445
2010,3,CBA,0.19651866254634692,0.1503726219377992
