"asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_nanc","theta_psdn","asc_no_participation","logLike"
-3.52220306391668,-1.18802130919844,-1.52853922477111,-1.49235463447393,-2.7148745158255,-3.09620676300276,-1.21792419320902,-3.57421367660102,-4.50099294469695,-4.6231710071632,0.564482680083254,10.0053639099991,3.75812382654593,0,-2785.49654264495
-3.015665665237,-1.0928923997358,-1.4200900138964,-1.39982141212909,-2.54555405538142,-2.92853813465545,-1.17587392474205,-3.36382399905809,-4.41717418129639,-4.47655548883434,0.475070473164816,10.0049248330069,3.69538678343454,0,-2778.59984836031
-2.5155549879407,-0.995204645441517,-1.28633727145673,-1.27266911230645,-2.28744782280708,-2.62749069105364,-1.10505581733375,-3.02605414782075,-4.36552407505404,-4.37477360660775,0.128602424588207,10.0047902958203,3.82283764213245,0,-2773.92995073412
-2.11457804392122,-0.936140700341789,-1.17633947256986,-1.18881417412233,-2.03022105262271,-2.30309976698456,-1.03545541069756,-2.71917270307967,-4.36584596192014,-4.35638171630863,-0.166490203727482,10.0045696133399,4.00088674959325,0,-2770.15192088062
-2.11917858389935,-0.939104217523132,-1.17287399216589,-1.19608336800631,-2.02578067684435,-2.29892805666871,-1.01233292162355,-2.72055570400626,-4.36937906871216,-4.36339185481493,-0.176379274225074,10.0045701590367,4.00077504472638,0,-2769.9157248075
-2.14287629093503,-0.914601648936703,-1.1458170396332,-1.20028238563525,-1.98124231624238,-2.2615292247487,-1.00777981728883,-2.72390663619046,-4.39238513702412,-4.40926347378262,-0.215790734465703,10.0045746456458,4.00101759881827,0,-2769.49913437458
-2.15111395672203,-0.917894672529915,-1.13877841789813,-1.18466149197991,-1.95709645778739,-2.23820897006998,-1.00385695758186,-2.72292557735995,-4.40587666247706,-4.43617305421699,-0.233042931997161,10.0045772555695,4.00133279674282,0,-2769.18085156602
-2.14695880317165,-0.911064218409685,-1.14486824505558,-1.17763660878441,-1.95012871463673,-2.22429925652531,-0.999795156080075,-2.71743912237975,-4.41395941687562,-4.45231201618394,-0.242373981827713,10.0045784507801,4.00171687524199,0,-2769.04188510659
-2.0829079344978,-0.904195960054411,-1.12658948220628,-1.16784663382406,-1.93258754311535,-2.14859500218779,-0.990957791451968,-2.66247091155826,-4.4597312231383,-4.54398472975164,-0.282789864111195,10.0045838782219,4.00515352658745,0,-2768.39760576234
-2.00141360590963,-0.891619866053389,-1.10238177524437,-1.13927796544688,-1.88828409921956,-2.12985069908734,-0.980783394327627,-2.58204094859259,-4.50199033640025,-4.62995804457843,-0.362319087885716,10.0045872230328,4.00960424813737,0,-2767.78185386605
-1.92301711159137,-0.880133575483525,-1.09101902572522,-1.13109077842447,-1.795583399958,-2.09637693502218,-0.963628051817985,-2.47807159381556,-4.52771874326817,-4.68483630130139,-0.403187190995268,10.004593276115,4.0136520656753,0,-2767.57586999398
-1.77615731334946,-0.805562732303162,-0.987871024675675,-1.02026001984834,-1.63741790683961,-1.89584985768658,-0.891294345617429,-2.10561932870491,-4.52316807873698,-4.69748653155289,-0.595416796048578,10.0046112372935,4.02549329922995,0,-2766.68917672553
-1.68246492307859,-0.795636534930925,-0.963518134267074,-0.992152925413973,-1.55476797330495,-1.78309598521643,-0.877878086067037,-1.97150865012989,-4.50791657266955,-4.67849493210839,-0.726608446667884,10.0046207898779,4.03113796225338,0,-2765.99154127526
-1.55485810437024,-0.75926697851722,-0.912601926669558,-0.937402976508255,-1.46379338237779,-1.67139955299782,-0.842929934914478,-1.88651820496925,-4.48917101134173,-4.64824765425295,-0.832870259053718,10.0046311866841,4.03818721924899,0,-2765.40608725692
-1.32829856425552,-0.728660497305071,-0.850527247627884,-0.847858163447861,-1.28756411043176,-1.35626419989021,-0.777674436714132,-1.69467435058047,-4.6313993978166,-4.46982513266194,-1.20106620554515,10.0048355963785,4.14926661442593,0,-2765.05405806263
-1.32156633800219,-0.727191247120301,-0.848249146117549,-0.847830389601444,-1.282124966534,-1.36008496765187,-0.77632576302766,-1.69431192019737,-4.39791717246488,-4.59065951787375,-1.21891971095976,10.0049030419541,4.15901554560486,0,-2764.55189197026
-1.33555153039392,-0.72591821351586,-0.847987212971409,-0.858105832256317,-1.28620343414794,-1.40767947149678,-0.783543022591972,-1.6925342698654,-4.46160948610586,-4.579391705623,-1.20723741138267,10.0049864855294,4.15235284213885,0,-2763.79835076085
-1.30768103136026,-0.717257695860486,-0.835092021236247,-0.846324341328505,-1.25854073415206,-1.38130918402329,-0.775046745799143,-1.6370748989254,-4.46038290383858,-4.59858179314292,-1.24378185906057,10.0049975593392,4.15358042611335,0,-2763.61080452013
-1.22327518057728,-0.690678626149085,-0.79629127703213,-0.806843702539338,-1.16764164109919,-1.28685363825681,-0.744838200675668,-1.45494272810293,-4.48976295553179,-4.63222324565059,-1.39988431363904,10.0051688195773,4.20689874848881,0,-2763.48959509797
-1.21840612830394,-0.696142336602964,-0.798358626347103,-0.814285703807073,-1.17276530311537,-1.28984820941459,-0.749654366794306,-1.49092887295864,-4.49309320722464,-4.63077961220724,-1.39828701264224,10.0051683788988,4.20062278185525,0,-2763.40698341744
-1.22126788316623,-0.696676427342484,-0.80040570088543,-0.813714601319436,-1.17496567859447,-1.29176541420822,-0.750389586794593,-1.49440888607649,-4.49342841903932,-4.63062161350087,-1.39722664421924,10.0051765282292,4.20220506243917,0,-2763.38829615492
-1.19624875462043,-0.689740602548796,-0.790641054548447,-0.800908345115512,-1.1493872409295,-1.25593252875436,-0.740034007905066,-1.44607215944074,-4.49163068897264,-4.6278086500509,-1.45411395008286,10.0052692952,4.2371536000056,0,-2763.34229639871
-1.18235142209141,-0.686563723794469,-0.785643231185647,-0.794698628708337,-1.13599321909119,-1.24138499035655,-0.736298983365682,-1.42720159402672,-4.49111424215493,-4.62743274648144,-1.47927952077839,10.005301499384,4.24376971060705,0,-2763.33143489016
-1.13362328984962,-0.675854434228066,-0.768105859356054,-0.776919953242525,-1.09529884021326,-1.19208421182438,-0.723760115621731,-1.36316263272226,-4.49142225507532,-4.62433119130423,-1.57065727378474,10.0054671755986,4.27302413717659,0,-2763.31197929893
-1.12627980112383,-0.674353402279004,-0.764570837918732,-0.773542563125336,-1.08495488140627,-1.18199045345631,-0.720755647410728,-1.35121183545515,-4.49147945975317,-4.62362274874076,-1.5905000064375,10.0054980351455,4.28492148598829,0,-2763.30539796197
-1.125835273035,-0.674485699318414,-0.764763916345806,-0.773740620783171,-1.08477992394203,-1.18198124809132,-0.7206587207902,-1.3514515911003,-4.4915796953094,-4.62369265148097,-1.59148599838603,10.0055029706901,4.2858496358023,0,-2763.30408939559
-1.12619760173324,-0.674553926269969,-0.764608523092163,-0.773820198785362,-1.08474610594086,-1.1815073669346,-0.720708795939573,-1.35181139345802,-4.49144289894332,-4.62412564469617,-1.59289839134099,10.0055087661097,4.28584476509933,0,-2763.30324567956
-1.11888535036881,-0.673583904451603,-0.762370577599028,-0.771708448263556,-1.07873340105031,-1.17406451969752,-0.718614434181531,-1.34322245094732,-4.49157289305135,-4.62533024333109,-1.60767713093765,10.0055396711467,4.28685272316898,0,-2763.30279830201
-1.11887053608957,-0.673447228020483,-0.762377998530347,-0.771707280267872,-1.07852415027391,-1.17387860139756,-0.718594560881624,-1.3431281190671,-4.49149972397331,-4.62531148088264,-1.60792672773092,10.0055395464842,4.2863555051401,0,-2763.3026762975
-1.12159289444568,-0.67370997532423,-0.763082032945348,-0.772292440280589,-1.08080620799771,-1.17714653386526,-0.719416440259903,-1.34618512045851,-4.49142924105634,-4.62470847468798,-1.60279043881909,10.0055331822256,4.27790467232331,0,-2763.30265480534
