"B_mean_avail_mckl","B_mean_avail_msqd","B_mean_avail_psdn","B_mean_avail_nanc","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_psdn","B_d_d","B_unem_rate","w_msqd","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_laa","theta_mna","theta_sba","asc_no_participation","logLike"
-1.923781,1.605385,0.230033,-1.880464,0.718037,-0.040749,-0.003076,-0.006335,3.088275,0.13398,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1688.43325607153
-1.923781,1.605385,0.230033,-1.880464,0.718037,-0.040749,-0.003076,-0.006335,3.088275,0.13398,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1688.43325607153
-1.92495006085168,1.60233765178161,0.229978692252368,-1.87892856921659,0.714588181538962,-0.040749,-0.003076,-0.006335,3.08420506468785,0.132057008422115,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1688.41829427978
-1.96340759566037,1.51035926940451,0.228784117283908,-1.81421974205357,0.711977333674057,-0.040749,-0.003076,-0.006335,3.08489689977226,0.140122889998687,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1688.27791915453
-1.97921312557642,1.48093856942024,0.228029930147275,-1.80100335022699,0.72565456528742,-0.040749,-0.003076,-0.006335,3.08331927201661,0.124746619603583,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1688.22394721861
-2.03554448228394,1.40665204159817,0.226686673037161,-1.82122013775431,0.765776044345423,-0.040749,-0.003076,-0.006335,3.0542736260369,0.133842478823293,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1688.14814869403
-2.13149784254307,1.29142524611208,0.230022115850197,-1.88511565363121,0.775425166120359,-0.040749,-0.003076,-0.006335,3.06716749966893,0.125797677639307,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1688.01716877352
-2.29948883980934,1.27763521183685,0.21765182876683,-1.89057624490502,0.776837027818586,-0.040749,-0.003076,-0.006335,3.07257301665044,0.119845535171571,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1687.93896425868
-2.53780184671025,1.16294081912069,0.0787957661961645,-1.93608197669609,0.788283449197879,-0.040749,-0.003076,-0.006335,3.08872406766338,0.10313231003386,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1687.88980107147
-2.54332287807069,1.17528905599519,0.166966462965034,-1.92884097923927,0.789710490535214,-0.040749,-0.003076,-0.006335,3.08488338167442,0.104223483031884,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1687.88646587319
-2.53182873615221,1.17974555193645,0.141455594786694,-1.92815882996074,0.788003664976999,-0.040749,-0.003076,-0.006335,3.08544038611361,0.105007519808014,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1687.88571686262
-2.53262421677323,1.17875977833814,0.141770731436276,-1.92848795893309,0.788184225199964,-0.040749,-0.003076,-0.006335,3.08548103224089,0.10487971862706,-1.37094,-0.51582,0.088761,-3.95212,-3.913923,-5.338789,-4.176227,-5.113068,-3.692253,-4.633509,-3.710028,-4.12887,-3.607651,-4.06254,-4.83236,-4.579712,-2.896603,-3.952324,0.993484,10.071425,10.029563,0.733464,0,-1687.88571439888
