"B_mean_avail_psdn","B_mean_avail_nanc","B_mean_avail_othr","B_mean_avail_cmck","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_c","B_d_d","B_d_cd","c_dcrb","B_mean_price_part","B_mean_price_othr","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_nanc","theta_psdn","asc_no_participation","logLike"
-1.993196,1.395448,10.216345,2.262217,-0.052962,-0.004738,-0.016642,2.314201,0.300067,0.257505,0,-1.100474,-8.132902,-0.293244,3.386718,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.36037308415
-1.993196,1.395448,10.216345,2.262217,-0.052962,-0.004738,-0.016642,2.314201,0.300067,0.257505,0,-1.100474,-8.132902,-0.293244,3.386718,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.36037308415
-1.9931952499433,1.39544780167195,10.2163450083559,2.26221693608217,-0.0529594420259241,-0.00475801250348985,-0.0166216117417281,2.31420123306347,0.30006711605653,0.257505,0,-1.100474,-8.132902,-0.293244,3.38671783040011,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.35956319778
-1.99318791871721,1.39544596695278,10.2163451876237,2.26221631761201,-0.0529269767441021,-0.00475314686475225,-0.0164288852066868,2.31420401635911,0.300068422337925,0.257505,0,-1.100474,-8.132902,-0.293244,3.38671637283915,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.35867395241
-1.99310885064445,1.39542270913838,10.2163478978231,2.26220892679252,-0.0529667512577975,-0.00475139627543306,-0.0164218893453912,2.31420319907547,0.300059244056586,0.257505,0,-1.100474,-8.132902,-0.293244,3.38669189546683,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.35859490257
-1.93980860579829,1.38021065876459,10.2182052134061,2.25724678813184,-0.0525286954959926,-0.00475660344027543,-0.0167595293706391,2.3153054709177,0.295162776477261,0.257505,0,-1.100474,-8.132902,-0.293244,3.37082549985095,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.33033496334
-1.92467653016654,1.38221335591885,10.2185869568964,2.25525790732267,-0.0532942247972426,-0.004752367345755,-0.0168624732827768,2.32063509750145,0.302049201250811,0.257505,0,-1.100474,-8.132902,-0.293244,3.3707157014265,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.32760154486
-1.89228467057293,1.40894214432357,10.2202953737912,2.24820050943823,-0.0536002453736936,-0.00475172157154135,-0.0169109690930644,2.31537131485526,0.298034755927462,0.257505,0,-1.100474,-8.132902,-0.293244,3.38134137000653,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.30846962342
-1.87321742917688,1.4361029037748,10.2313153832996,2.24145256371221,-0.0533031724406352,-0.00473866695833719,-0.0169113401605754,2.29988283834829,0.305890462057944,0.257505,0,-1.100474,-8.132902,-0.293244,3.36973631959049,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.30522138967
-1.86014702974839,1.46624778509726,10.2501319167459,2.23466206452643,-0.05352120740681,-0.00474602446987052,-0.0169286463435075,2.30486096265621,0.300537494480715,0.257505,0,-1.100474,-8.132902,-0.293244,3.35164894357856,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.29839717937
-1.8593300483897,1.46415942677693,10.2798932963006,2.23017843662781,-0.0536527357483531,-0.00476091749156625,-0.0169164007013902,2.30315692209022,0.299965248538342,0.257505,0,-1.100474,-8.132902,-0.293244,3.36329654368796,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.2939212865
-1.88238109543323,1.45339578726156,10.246653675632,2.22368180646437,-0.0535561697417154,-0.00475888417828148,-0.0168914616337803,2.30634333517679,0.293606476268047,0.257505,0,-1.100474,-8.132902,-0.293244,3.37827165939467,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.29068156433
-1.87381446127456,1.4566313945888,10.2596422050223,2.22268660837867,-0.0535935886116683,-0.0047598637510432,-0.0169018382948847,2.30528068399504,0.296090447047968,0.257505,0,-1.100474,-8.132902,-0.293244,3.37274038111057,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1881.28837494984
