"asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_laa","theta_sba","theta_mna","asc_no_participation","logLike"
-3.42530800911981,-4.45275591238644,-4.75097035846187,-4.62611589880446,-2.49077034443236,-5.04415005873646,-1.93920102973435,-3.93638467675206,-3.14325227236638,-3.58904080250084,-4.62608005337258,-4.88630901814427,-2.03626213530857,-2.98826374599719,2.03705713960005,9.99989597376436,1.7994029386005,9.9991231089682,0,-2410.42002349563
-3.4191656305699,-4.44776896991399,-4.75335764387552,-4.62256646083024,-2.486980378544,-5.05305044138398,-1.97527634984031,-3.94548340626417,-3.13898200339806,-3.58476834434587,-4.62328148404395,-4.8917983401875,-2.08556362639303,-2.98657580314133,2.03154028071105,10.0001495754637,2.34897027169748,9.9992072990552,0,-2410.3322862883
-3.40076144750468,-4.42796029093799,-4.74753900087677,-4.62300975276345,-2.4839622123069,-5.0407375142394,-1.98021480701561,-3.94912647016554,-3.13260224887058,-3.57837207661841,-4.61547381287787,-4.88592379266174,-2.08744439399686,-2.98064941599445,2.02304119220282,10.0003324098853,2.60135763070047,9.99926393083373,0,-2410.26211415336
-3.38434856031522,-4.41105393389119,-4.73214375320503,-4.53839218790517,-2.48304075257197,-5.01199036677455,-1.9953204269958,-3.93736531851935,-3.13593743314372,-3.57463280996801,-4.69287853466544,-4.87040740418862,-2.09587187629551,-2.98293921201752,2.00833151284536,10.0007109290037,3.09853215137072,9.99940719190178,0,-2410.25288267443
-3.3770102748277,-4.40347903933352,-4.72293860172505,-4.57134063328625,-2.48280173319585,-4.99538193025394,-2.00418213714403,-3.92873677013208,-3.138734379501,-3.57298862044162,-4.65620560060124,-4.86102713011875,-2.10078839840415,-2.98499705542441,1.99935807185844,10.0009378425904,3.39067103987743,9.99949546169858,0,-2410.19519259512
-3.37730963927267,-4.40114020675009,-4.7194539128997,-4.61623021310569,-2.47941167668279,-4.99316615047688,-1.99220350707675,-3.92175948674457,-3.12944233811056,-3.56600100448248,-4.58996069645271,-4.85489607805765,-2.08282067916463,-2.97574661921132,1.98195809461558,10.0011485122621,3.53807727927613,9.99956529863382,0,-2410.16089134722
-3.37774459429893,-4.398955837278,-4.71464048083667,-4.62048202592479,-2.47513519226415,-4.99277234782346,-2.0084563335579,-3.91666596288595,-3.12072881168843,-3.55994238316411,-4.56827885973077,-4.84928127326044,-2.1051951468702,-2.96788435549987,1.96410021116658,10.0015157017583,4.05006951766694,9.99969913285637,0,-2410.14000629379
-3.37517939480037,-4.39674299865242,-4.70989611591251,-4.60269864127173,-2.47359104422808,-4.98809797741021,-2.00298706401172,-3.91450652981782,-3.12289294187731,-3.55940669435877,-4.58772890279976,-4.84609921360452,-2.10131332897333,-2.97031201626687,1.95906529060244,10.0015979295449,4.08378384756605,9.99973672552228,0,-2410.12185252293
-3.36911420676739,-4.38781395519087,-4.69881922046519,-4.58120623704818,-2.46919731432578,-4.97531744962887,-1.99861720918636,-3.90569071404073,-3.11730768266955,-3.55264697325994,-4.59044005070184,-4.83448969923939,-2.09970613172362,-2.9651751077435,1.93606819334725,10.0020079824361,4.43906094050751,9.99990380140904,0,-2410.10403381363
-3.35522545146848,-4.3670828346054,-4.67567168556847,-4.55310279809912,-2.45842802984895,-4.95009912914617,-1.99345478819159,-3.88663401269567,-3.10255225985218,-3.53589579334642,-4.57101880592681,-4.80980220205096,-2.09742827475209,-2.95144002209221,1.88602200827647,10.0029117731765,5.22502220401891,10.0002695654334,0,-2410.08090695768
-3.32844807675298,-4.32785350167381,-4.63370830513635,-4.51476490777075,-2.44026376891248,-4.90491655352129,-1.98236570415041,-3.85254155817372,-3.07481919665697,-3.5051648800668,-4.52190804195927,-4.76540145318568,-2.08657010947302,-2.9255647199102,1.80004288119237,10.0044706450738,6.49986253872006,10.0009068231758,0,-2410.05327681393
-3.27017912248985,-4.24541982678517,-4.5449277841635,-4.43419493736352,-2.40142719081698,-4.80947692120539,-1.95626122426997,-3.7808387128285,-3.02064508863549,-3.44167274159236,-4.42568276556817,-4.67278950764804,-2.05755723224618,-2.87529707361469,1.63261001571058,10.007542351785,8.90181887925296,10.0021753558164,0,-2410.01329422575
-3.23968688884927,-4.20219200006079,-4.49785775347533,-4.39005630212609,-2.38146779092853,-4.75846418008617,-1.94179276297792,-3.74288739410941,-2.99245739872494,-3.40862656035125,-4.37833155475922,-4.62360651668094,-2.04149085409599,-2.84906446570099,1.5521226869571,10.0090530613335,10.0549841652068,10.0028045474941,0,-2409.99524638563
-3.20171740647171,-4.14845838572588,-4.43913781357376,-4.33442095399002,-2.35667479230417,-4.69472911972372,-1.92362899342734,-3.69562742524376,-2.9579202272856,-3.36766814832477,-4.3206545549517,-4.56231686198278,-2.02134111477396,-2.81690789215972,1.46010790009688,10.0108275905312,11.3861786446599,10.0035479504959,0,-2409.97238380126
-3.16544331840719,-4.09732219338184,-4.3832371123659,-4.28091320184321,-2.33332092118506,-4.63425009436211,-1.90645593414846,-3.65099610659418,-2.92539472014937,-3.328870313222,-4.26692002218214,-4.50426675655895,-2.00229134399521,-2.78664563835305,1.37909022068477,10.0124354484126,12.5722590912453,10.0042254111966,0,-2409.94997776888
-2.97699487675021,-3.83263168985219,-4.09425099609833,-4.00177591643884,-2.21265903115851,-4.32251942914405,-1.81800074819887,-3.42134993078508,-2.75795324486611,-3.12840348107265,-3.99226214168515,-4.2051778953599,-1.90446308076423,-2.6309900405133,0.989160819631671,10.0204028708864,18.3513012243991,10.0076001858664,0,-2409.91026081918
-2.98253184463946,-3.83766326061224,-4.09844706820447,-4.01016963448239,-2.21718047403434,-4.32456298949314,-1.81646201448578,-3.42442580646495,-2.76265084326933,-3.13384674072793,-3.99514562982369,-4.20743359707273,-1.90021022899716,-2.63458888430878,1.04905014055955,10.0196153959358,17.5369598774912,10.0073035485846,0,-2409.85024097344
-2.98115973000066,-3.8381498730195,-4.09913027334849,-4.00971258065294,-2.21294826049294,-4.32553984137253,-1.82188538960011,-3.42619307836177,-2.76204853949802,-3.1336606144562,-3.99645037273296,-4.2084794941519,-1.91586607434263,-2.63448973119639,1.03877782354654,10.0196159270807,17.5369598774912,10.0073035958783,0,-2409.83492265986
-2.97997264944794,-3.83833710474076,-4.09956598834917,-4.0089872172132,-2.21364433715144,-4.32632803017241,-1.82328197321458,-3.42748378062392,-2.76168056313318,-3.13327110649466,-3.99748526307191,-4.20930883597548,-1.91395195714533,-2.63468020451228,1.0337969263326,10.019616437128,17.5369598800909,10.0073037328695,0,-2409.83265119068
-2.97832341904781,-3.83810999203854,-4.09972151664811,-4.00779277095887,-2.21326948135647,-4.32698386809484,-1.82138534360457,-3.42816801329876,-2.76066345453003,-3.13222588251424,-3.99827751418213,-4.20996166256271,-1.91361232425516,-2.63393925036643,1.03215641437565,10.0196171832055,17.5369598797965,10.0073040405711,0,-2409.83163675239
-2.97558239785736,-3.83727229754586,-4.09963598029622,-4.0053779997378,-2.21152479421218,-4.32787623946474,-1.82146635873581,-3.42845073719804,-2.75862734515135,-3.13003740219559,-3.9992249702291,-4.21078866861505,-1.91260960885578,-2.63207495749485,1.03129881528534,10.0196186597137,17.536959878299,10.0073047406824,0,-2409.83048823822
-2.97417156172562,-3.83297049358399,-4.09734894145825,-3.99810314946108,-2.21254480526685,-4.32854894690079,-1.82088695372211,-3.42382824214819,-2.75700167776411,-3.12572950481106,-3.99877492904498,-4.2108930589982,-1.91199148800243,-2.63027017050766,1.02837165037639,10.0196230255084,17.5369598706628,10.0073074720003,0,-2409.8290883024
-2.97381065274348,-3.83050501172309,-4.09572570691931,-3.99426930863064,-2.21074615242038,-4.32849530678777,-1.82005265030395,-3.42130423967234,-2.75657737325365,-3.12448480088053,-3.99793096199323,-4.21046509915262,-1.91095444583668,-2.62997683569276,1.02622547136589,10.0196257314385,17.5369598702011,10.0073091958821,0,-2409.82814033881
-2.96910232679841,-3.82291905147142,-4.0882087061609,-3.98482666158517,-2.20836478432978,-4.32462262360625,-1.81775007441851,-3.41575896257034,-2.7516220756265,-3.12471606543324,-3.99093086969924,-4.20516956189659,-1.90809958686939,-2.62489534896168,1.01891910879197,10.0196363154063,17.5369598440427,10.0073161160621,0,-2409.8255032453
-2.89799218187202,-3.73617810769872,-3.98480716903922,-3.89072866077933,-2.17379303097788,-4.24728593349729,-1.78759218496469,-3.35939328565399,-2.69999015446679,-3.05718448164159,-3.88487770105807,-4.11307945541617,-1.87050948934214,-2.59009750294803,0.922555225975164,10.019787696504,17.5369594047634,10.0074102447417,0,-2409.81840715643
-2.86414050180429,-3.67929526620383,-3.91548584252158,-3.83110791131898,-2.14456383855916,-4.18421682127211,-1.76332991766121,-3.31263740715258,-2.66481261869158,-3.00150675316022,-3.81540919207421,-4.04436793762328,-1.84073471417551,-2.54048277534735,0.846236384070901,10.0198970330375,17.5369591006603,10.0074773351723,0,-2409.80805116837
-2.84258276146078,-3.65215059881678,-3.88622805575472,-3.80434762737563,-2.12923779143859,-4.14242351171144,-1.75070592808304,-3.27500992652094,-2.6347979054672,-2.97612184984695,-3.78993325150256,-4.00710913390604,-1.82557194748998,-2.5230204384476,0.80589899230532,10.019953603189,17.5369589721711,10.0075114987004,0,-2409.79822698362
-2.81234400130392,-3.6254229802463,-3.86405774204069,-3.77831339906549,-2.11646431254447,-4.09817631392066,-1.74047455159913,-3.24060178354238,-2.6260825480883,-2.95743891394965,-3.77349370382721,-3.97366219864412,-1.81348036646652,-2.50353962623775,0.77196694507268,10.0200036009052,17.5369589356984,10.0075412944182,0,-2409.79410148223
-2.78892035208046,-3.55896305573281,-3.8298606087373,-3.70802182735564,-2.09588758453563,-3.99624326374772,-1.72592168767044,-3.21738972181113,-2.59387703367683,-2.92664359840135,-3.75217950676886,-3.91627615376198,-1.79799029530749,-2.47692834287099,0.719420805708045,10.0200916316108,17.5369592883394,10.0075967219154,0,-2409.79246324151
-2.76802587243005,-3.53958691948217,-3.79475807670804,-3.66982259702343,-2.07939664831288,-3.95415833888179,-1.7168704987522,-3.1814149856752,-2.57048091912171,-2.90517318175132,-3.71001275361209,-3.89213973890385,-1.79096709967623,-2.45581236245036,0.681932265613924,10.0201545072164,17.5369601007821,10.0076331482351,0,-2409.7557563062
-2.75288971402148,-3.50646854947774,-3.76730541001682,-3.6575215568281,-2.06773027312708,-3.94025783809904,-1.71043843313296,-3.15722109770596,-2.55400213040416,-2.88924174998136,-3.68880622655193,-3.86214091408308,-1.78590492974576,-2.44095841857626,0.655588869779725,10.0201991724061,17.5369607138202,10.0076594527448,0,-2409.73244895556
-2.71461888936867,-3.47351718120786,-3.70081404088311,-3.58633631751564,-2.04129343188321,-3.89756657663722,-1.69408960973153,-3.10508187165926,-2.5173714254572,-2.84833801943234,-3.63554815203339,-3.75883952283587,-1.77059510350057,-2.40737411811724,0.59417940744149,10.0203166711074,17.5369621083769,10.0077299678105,0,-2409.71529385612
-2.64344933676704,-3.37501916385094,-3.59591119256207,-3.49500013874334,-1.99477378767685,-3.7859718473116,-1.66373133572444,-3.01264342549582,-2.45292586398552,-2.77181677624304,-3.51056327085692,-3.66288146520525,-1.74029157005336,-2.34809224695829,0.485425941924648,10.0205226179307,17.5369643921205,10.007850297238,0,-2409.66937033975
-2.60443155847985,-3.32548063296352,-3.48644187714095,-3.45107986196225,-1.96955743686731,-3.71190208437024,-1.64764608548447,-2.96292292192486,-2.41831066435944,-2.72985309942904,-3.46601809329173,-3.62313526073565,-1.72443236566974,-2.31591031434953,0.431756268157732,10.020662039191,17.5369664399053,10.0079223501337,0,-2409.66551698382
-2.57626659664718,-3.28182164447721,-3.45886963106047,-3.41638527369314,-1.95182342780764,-3.6669460689103,-1.63629440130269,-2.92767069413458,-2.39396485393054,-2.69954500268538,-3.41174050618158,-3.58283266203469,-1.7131039779006,-2.29304893716446,0.398178121316882,10.0207710353959,17.5369683511626,10.0079817231911,0,-2409.63856978687
-2.50588793913896,-3.17791556174902,-3.3651411211555,-3.31448381606919,-1.90686164077116,-3.55622324727053,-1.60410617170479,-2.8439651915027,-2.33141963727954,-2.62462313504266,-3.29838040524364,-3.47711817629891,-1.67823160480854,-2.2347173036712,0.294221942130714,10.0209950655913,17.5369703440138,10.0081097390231,0,-2409.60638380701
-2.25502811735034,-2.81516254000117,-3.02687213940932,-2.93963588007082,-1.74748427907192,-3.15598783185356,-1.48828006126227,-2.5481264580164,-2.10880644008481,-2.35631525293005,-2.91008152414958,-3.08019165901425,-1.55036632583902,-2.02700984018913,-0.0571832662078788,10.0218906098128,17.5369781901433,10.0086038038374,0,-2409.5350080524
-2.11569177260792,-2.62075413252615,-2.81248009135764,-2.7285038329841,-1.65912080722199,-2.92784851202132,-1.42435168652346,-2.38407530065286,-1.98523756045533,-2.20771115232444,-2.71247589928064,-2.85759989466526,-1.47947032574202,-1.91130562464312,-0.240188493319889,10.0224488795199,17.5369835776939,10.0089138976907,0,-2409.46119554261
-2.0455790067915,-2.52383044570614,-2.70210314738983,-2.6244014795573,-1.61379838701075,-2.8119593137532,-1.39172485187782,-2.29941938451132,-1.92218812204875,-2.13250744776817,-2.61206644496074,-2.74587363926446,-1.44386356862349,-1.85232207482928,-0.335695377002632,10.0227184251765,17.5369860388806,10.0090668907953,0,-2409.43212214178
-1.77486464917954,-2.15068832963004,-2.27408796149313,-2.22280942413579,-1.43876891269613,-2.37083415709686,-1.26539177308654,-1.97416604080605,-1.6789996454305,-1.84306081437579,-2.22469965838267,-2.31920085084805,-1.30574183165699,-1.62485932732609,-0.708310641013871,10.0237469104348,17.536996236304,10.0096610081373,0,-2409.42835164051
-1.95045635017845,-2.40996521687911,-2.51839766299159,-2.48996063133671,-1.54606498052484,-2.65305677749635,-1.33898939326793,-2.18478340954454,-1.83402391741648,-2.02996515937191,-2.50173360196721,-2.59549874693815,-1.38756461097852,-1.76834315233981,-0.467031917690944,10.0231763630474,17.5369883481716,10.0093696811064,0,-2409.42349930698
-1.97184689865784,-2.42257058573886,-2.57824662825103,-2.51179747761766,-1.56525703923028,-2.69443774743506,-1.35607750372206,-2.20725343873531,-1.85334252832088,-2.05408914723179,-2.50839079745545,-2.63108395148352,-1.40482607265886,-1.78949834741014,-0.44053879166643,10.0231371963303,17.5369888256494,10.009302561922,0,-2409.39986695061
-1.89299154955936,-2.319635733015,-2.45413621531315,-2.40437499873872,-1.51296855759309,-2.55831176841135,-1.31824432318439,-2.1173527354195,-1.78542194778927,-1.96825346703304,-2.40051788383968,-2.50311705175479,-1.36441437990992,-1.72255540173685,-0.548709470221672,10.0234771011773,17.536991334177,10.0095097733793,0,-2409.37511187864
-1.8576601870878,-2.27071446727833,-2.3956314115471,-2.3500217642087,-1.489925124624,-2.50240401528639,-1.30111673522382,-2.07365896051485,-1.75290368431963,-1.93081686553129,-2.35070310642323,-2.44858557079662,-1.34558185185628,-1.69287791294379,-0.598645081317478,10.023644630044,17.5369923293461,10.0096056465525,0,-2409.36717158305
-1.77426848584612,-2.1542172958414,-2.26998326531463,-2.22517293928589,-1.43575035732423,-2.368477652397,-1.26217035284778,-1.97277276935661,-1.67633485998609,-1.84192925860919,-2.23005335072222,-2.31771550689004,-1.30276045723443,-1.62182819724195,-0.719117767259098,10.0240903733405,17.5369945412613,10.0098473047534,0,-2409.36314475874
-1.78693939522708,-2.1702197695553,-2.28365651388444,-2.24142365926927,-1.4445023094291,-2.39304584151691,-1.26767588956525,-1.98616694797609,-1.68899187325455,-1.85603956821382,-2.24414206753656,-2.34061297329582,-1.30900246599753,-1.63468207171098,-0.704670595745115,10.0241208235442,17.5369933484239,10.0098566732996,0,-2409.35548978877
-1.79262873996372,-2.1773520523269,-2.29539108817571,-2.24951356744126,-1.44842247910161,-2.39696122990209,-1.27171152509572,-1.99098794266681,-1.69046705819873,-1.86157603063989,-2.25693053475898,-2.34793703811359,-1.31237342607996,-1.63650167245882,-0.704364485929468,10.024251066518,17.5369928106714,10.0099183487608,0,-2409.35234753296
-1.73465349183942,-2.0970930139368,-2.2080106739447,-2.16657940249129,-1.41066657357689,-2.30251230814249,-1.24525946686588,-1.92325352876682,-1.64175680557073,-1.79892972661825,-2.16480699298759,-2.25286555068928,-1.28497134329641,-1.58959301747759,-0.793991296867483,10.0247400886328,17.5369935609245,10.0101742289183,0,-2409.33789738388
-1.70376391678744,-2.05386810246013,-2.16150410338807,-2.12210010859874,-1.39147760762846,-2.25293937524063,-1.23121001665926,-1.88653247108466,-1.61498150698725,-1.76595418797896,-2.11931334297898,-2.20647148572148,-1.26933478946334,-1.5642539226506,-0.841013018235323,10.0249975495812,17.536993943726,10.0103102738271,0,-2409.33361885621
-1.68432036148008,-2.02643491244885,-2.13175296405408,-2.09220455442291,-1.37853837770512,-2.22214276565136,-1.2219661585866,-1.86322926852836,-1.59718370545616,-1.7453790399126,-2.09040804531342,-2.17535455803545,-1.25938808854044,-1.54789003319385,-0.872206929461809,10.0252022027594,17.5369941556681,10.0104160597596,0,-2409.33090986863
-1.66189416747502,-1.99542492565053,-2.09797470655929,-2.05976705681322,-1.36443940767826,-2.18623083938132,-1.21154760776934,-1.83577801655637,-1.57719053712496,-1.72116062846308,-2.05748270587739,-2.14084714270193,-1.24782509377799,-1.52901895585755,-0.908945586474962,10.0254840394343,17.5369942603054,10.0105630686884,0,-2409.32715813254
-1.64086023686904,-1.96529451332161,-2.06587106727342,-2.02873773193339,-1.35081999080151,-2.15169015710331,-1.2020509395212,-1.81144729091597,-1.55835601524162,-1.69945631979641,-2.02764916543647,-2.10992084763227,-1.23725134525648,-1.51168343800792,-0.944215787382415,10.0257935023696,17.5369940050404,10.0107234773121,0,-2409.32336176944
-1.61476132298549,-1.92863488257197,-2.0251117256301,-1.98840612152226,-1.33384830048337,-2.10921869613326,-1.18950548195041,-1.77833949785389,-1.53394046661652,-1.6706265323583,-1.98854257386758,-2.06642537679823,-1.22367478654774,-1.48897319700514,-0.990433211166191,10.0262332720954,17.5369937479976,10.0109494276107,0,-2409.31854342466
-1.53406033628229,-1.82400320189408,-1.90907316227129,-1.87674773168132,-1.28302546438593,-1.98872988580387,-1.15439150843167,-1.68338508024096,-1.4636292182027,-1.58828826159177,-1.87434850949769,-1.94604601455571,-1.1837177133559,-1.42335940968917,-1.12865760464919,10.0277797299645,17.5369913672817,10.0117514337684,0,-2409.31459333693
-1.53467245080932,-1.82389018124304,-1.90907220257248,-1.87673370596335,-1.28325453787059,-1.98861642612155,-1.15341543828117,-1.68356521228777,-1.46377854471808,-1.58829709562295,-1.87443768057831,-1.94606800482792,-1.18391047544649,-1.4234540514168,-1.12902497080503,10.0277797402963,17.5369913674272,10.0117514438092,0,-2409.31090575346
-1.53714383845959,-1.82315382058813,-1.90897844747842,-1.87655774381532,-1.28324570885461,-1.98789607097632,-1.1539738825895,-1.6843232141127,-1.46407123002097,-1.58811957270842,-1.8748381664245,-1.94611425536806,-1.18339776289504,-1.42347088000133,-1.12996975702507,10.0277798377025,17.5369913670194,10.0117515165037,0,-2409.30860941736
-1.53852338273072,-1.82222301844193,-1.90880197776072,-1.87627977975473,-1.28345763670652,-1.98690776050943,-1.15480464962619,-1.68499729222055,-1.46415720864581,-1.58792625850281,-1.8752643171967,-1.946117876147,-1.18502081267016,-1.42350167639721,-1.13040648014624,10.0277800126135,17.5369913662282,10.0117516253467,0,-2409.30779691902
-1.53865918032452,-1.82152768326501,-1.90867671585009,-1.87607961357485,-1.2845306073562,-1.98598344451917,-1.15539212131857,-1.68551544664562,-1.46452125879091,-1.58811262529629,-1.87567389255376,-1.94614635366254,-1.18546212994001,-1.4241051257986,-1.13096538796639,10.0277802110666,17.5369913652842,10.0117517333794,0,-2409.30686887198
