"asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_npa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_laa_psdn","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_sba_cmck","asc_laa_cmck","asc_laa_nanc","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_cmck","theta_msqd","theta_psdn","theta_part_crab","asc_no_participation","logLike"
-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,10,10,0,10,0,-17023.2147465021
-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,10,10,0,10,0,-17023.2147465021
-4.75887695048004,1.73741797497496,-8.64705347176641,-7.1909873788245,-8.90310350060463,-8.03902587923221,-8.72709549567662,-10.0588230399881,-0.426823038840665,-7.74361984641291,-8.19161985255778,-8.88705198140815,-8.77504687942564,-8.8390833681915,-8.63108338508755,-7.8378885211423,-7.71788309630938,8.92251342884265,9.99997383565642,10.0005066976883,0.968728185398504,10.0000139698386,0,-15389.135089999
-3.94024599239247,0.968212684194978,-8.74775929663314,-6.94599912010843,-9.06463457399671,-7.99532398265537,-8.84681578970718,-10.43252323612,0.8245408867565,-7.60292404821097,-8.15052976103674,-9.04477296119798,-8.90616090690885,-8.9854075523784,-8.72799856308246,-7.79023906721215,-7.63583523926589,10.6039725281069,9.99996965801951,10.0007457864892,1.53957930726084,10.0000180205159,0,-14024.0825193669
-2.77767720070621,0.549423783939659,-8.86123269861802,-6.57376329310205,-9.26364174536692,-7.9057775559318,-8.9870251194833,-10.8996790015343,0.253844321798151,-7.38169910075843,-8.06260754487693,-9.23842350064896,-9.06239431446154,-9.16302978908859,-8.83614010466614,-7.71846328500565,-7.5125769507714,12.7349123923537,9.99996486115571,10.001102660012,2.29138119802305,10.000024087562,0,-12000.6631601746
-2.41649439955522,0.264655465550245,-8.8837650646935,-6.27056345653197,-9.34465889783952,-7.79017437126368,-9.02782837206885,-11.1134597322135,0.0159754872176271,-7.24267586978365,-7.99116703538162,-9.31577838372288,-9.11415578649286,-9.22941732277485,-8.85503451566203,-7.661309452783,-7.41448931220245,13.7348769770918,9.99996366304124,10.0011524890042,1.51986138926712,10.0000288012679,0,-11331.6634008259
-8.724081321517,-0.807530033285326,-8.13355937404462,-0.556217281216247,-9.52278732735124,-4.8671776721121,-8.56736878843032,-12.0248845341823,-1.11173649001712,-2.91950981544767,-4.66794979637738,-9.43576540340577,-8.82765461615681,-9.17512119159234,-8.04729447145973,-6.5960982818084,-5.58828093527108,20.4264728302643,9.99998676396277,9.99838623232036,0.685640367253701,10.0001145558232,0,-10629.0912992485
-10.8451475263073,-1.18449908086879,-7.75661654485445,-1.42997234746647,-9.544966873545,-3.59606693483923,-8.31481459593776,-12.2910556064704,-1.51018799438069,-1.07821538789431,-3.11470960099144,-9.43291224215287,-8.64987990367547,-9.09724157148412,-7.6457055807882,-6.13325218779107,-4.80485992011769,22.85900699027,9.99999879041166,9.99738915128434,0.359671135556124,10.0001517903591,0,-10468.0822532899
-11.1901259345247,-1.24667826699279,-7.66823152959636,-1.56898228673448,-9.53770724532865,-3.36710690980256,-8.25161580411656,-12.3165789461331,-1.57491842086274,-1.26023077392126,-2.77868821952708,-9.42054656255419,-8.60187737239864,-9.06957862264409,-7.552356730064,-6.0391325219113,-4.65279405682985,23.2583394908066,10.0000017054372,9.997242468453,0.33365010363743,10.0001593567423,0,-10336.1190344529
-10.8092698945178,-1.26224758060938,-6.40841222503211,-1.7229941449545,-9.06825430529699,-5.04321260805056,-7.22859667956871,-11.5199068681019,-1.5943827043556,-1.36006290943752,-2.19690850021771,-8.89978334115881,-7.72668132918132,-8.39569578943577,-6.24820092590107,-5.21268040788584,-4.00285902106609,24.0357287886965,10.0000472440256,9.99824417266485,0.359294168563019,10.0002237740274,0,-9981.66730881922
-10.2970805498631,-1.25511167906116,-5.17574128301839,-1.86593560671301,-8.57943202064773,-5.38269402518866,-6.20265571114404,-10.6684412033601,-1.58752015024918,-1.50666718597608,-2.96720700568582,-8.35998669478365,-6.83997973387389,-7.7046238505405,-4.98171847660696,-4.51501219748712,-3.72021731972255,24.6563603673312,10.0000943225211,9.99942031677814,0.462724576865698,10.0002738525592,0,-9640.74020492412
-9.04682147212015,-1.14275955737788,-4.0342909655326,-1.7756452397881,-7.98575502596974,-5.02436281551388,-5.09975452383614,-9.60023984685937,-1.47544071587852,-1.43258344103448,-2.67942070170783,-7.71121167828156,-5.84339477262268,-6.89639805843486,-3.87205875768741,-4.19251018157233,-4.14087425830812,24.9233400023925,10.0001505582274,10.0008729217547,0.551807190979011,10.0002894143801,0,-9292.48078706964
-5.29241025768493,-0.840355170815619,-4.27334277894556,-1.64011242841162,-5.94135010742274,-4.4386035821186,-2.70318952910881,-5.81205233618472,-1.17405850927748,-1.34886870616389,-2.5594211628312,-5.50157444122237,-3.02134675871484,-4.26819241236801,-4.9588374698322,-4.79590824963352,-3.10718197955181,25.1486740592191,10.0003501207336,10.0024232116699,0.838888769349128,10.0003273594406,0,-8530.76659933642
-4.20916582474987,-0.766706076774075,-4.33101339854144,-1.64524207988009,-5.29602796961117,-4.39757957689722,-3.17610198606961,-4.53882298973588,-1.10125899214566,-1.36153637036877,-2.57464828332713,-4.82934760703781,-3.02799664120002,-3.65225382597876,-5.1018987232986,-4.86268965481826,-3.25572011934332,25.1244934646217,10.000407545417,10.0022230353374,0.922679543608573,10.0003434721528,0,-8243.3570696693
-3.51788110544287,-0.73065807015195,-4.46839653324908,-1.6715647206413,-4.967020022941,-4.42481692029202,-2.80730360890935,-3.68236945711364,-1.0664355906932,-1.38947992570012,-2.60827735257003,-4.59187856774437,-3.6121298692265,-4.07697527169607,-5.20759223322318,-4.95973567530876,-3.48414497548584,25.0479250904586,10.0004156393015,10.001370631021,0.969781681925974,10.0003510311826,0,-8074.41439057307
-2.52113714884829,-0.716950766354807,-4.54982677075466,-1.7633378381108,-5.10605355741481,-4.53001264970873,-3.37300211265811,-3.36568096347622,-1.05708243839136,-1.47957746552772,-2.69072339279695,-5.30855522338179,-2.45604970621011,-5.95817197891639,-5.11416902370803,-5.40728782080395,-3.86189561995348,24.7069651829293,10.0003192664125,9.99727608246351,1.00163103725715,10.0003381885549,0,-7933.73641644773
