"Year","LCG_mean","Inertia_mean"
2005,33.7939958222765,398.755217977657
2006,33.5385421020868,333.366474566494
2007,33.9285745607827,194.967281598923
2008,33.8486464382062,154.340968006553
2009,33.935847087718,110.194622980932
2010,34.1080828509431,185.008025428571
2011,34.1657834002271,156.934059298121
2012,34.1899187563417,175.665958016409
2013,34.2977966077226,149.987833126609
2014,35.4906998104956,233.743272799675
2015,35.170204352821,155.60614369058
2016,34.826273764299,230.140674348053
2017,34.277556583789,190.277291310907
2018,35.0185842725389,215.94236846856
2019,34.6005110717774,129.750823784201
2020,35.6822023988673,203.559039223316
